sex	reps
\N	682157896
"3 machos, 2 hembras"	1
02 machos, 08 fêmeas	1
1 macho adulto, 1 fêmea adulta	4
1 male + 4 females	2
10 hembras, 17 machos	2
10 males, 6 females	3
102u	4
104 H, 20 M	1
1047 undetermined	1
10m 20f	2
11 females; 13 males	1
11 hembras y 2 machos	1
11M 1H 2H	1
12 Hembras y 14 Machos	2
12 Machos, 12 Hembras ovígeras, 1 Hembra	1
125 H	2
12M 11H 1O	1
13 machos y 33 hembras	1
14 workers	8
14w, brood	6
15 im	5
15M 117H	1
15M 36H	1
15m 10f	2
16 male	7
16ma, 38mi, brood	1
17M 3H	1
17m 27f	1
18 ?	1
18 H, 2 M, 7 I	1
18 Hembras y 9 Machos	1
19 machos, 15 fêmeas	1
19 male; 8 female	2
19F, 23M	1
19m,5f	2
1Female 2Male	1
1M 1H, 1J	1
1dq, 25w	1
1f + 1f?	1
1m 1f apt. I parring	1
1m apt 1n	1
1w (destructive extraction)	11
1w non-destructive	7
2 Hembras ovígeras, 7 Hembras	1
2 Hembras, 1 Macho, 2 No identificados	1
2 female1 sex not recorded	1
2 hanner	20
2 machos, 6 fêmeas	2
2 males, 3 females	83
20 males	2
20 males, 3 females	1
212 H, 206 M	1
22 H	4
22 masculinos, 11 femeninos, 19 estériles, 22 sexo	1
238 tritoninfas	1
23M 15H	1
24 females; 13 males	1
250m	1
28 Hembras y 22 Machos	1
29 male; 14 female	1
2M, 1F	1
2dQ (1Q head detached)	1
2dQ, 45w, 5p	1
2m (1m missing gaster)	3
2m 2f 2n?	1
2w (1w in half)	4
3 Machos, 4 Indeterminados	1
3 brachypterous males, 1 macropterous male, 1 brachypterous female	2
3 machos 4 hembras	1
3 males, 17 females	2
33 male; 17 female	1
334 H	1
33m 69f	1
365 H, 243 M, 16 I	1
3M 1H 1J	2
3w, 1s	3
4 Machos, 2 Hembras ovígeras, 4 Hembras	2
4 indeterminados	2
4 machos, 2 jovens	1
4 males, 14 females	1
40 machos, 44 fêmeas	1
41 sex not recorded	1
4F, 3M	4
5 females	102
5 fêmeas, 3 machos	1
5 males, 11 females	2
51m 120f	1
57 H, 7 M	1
58 H, 4 M	1
5M+1F	2
5dq, 61w	1
6 Hembras y 1 Macho	9
6 hembras, 18 machos	2
68 hembras	7
69 H, 24 M, 1 I	1
6m 3f	31
7 M	2
7 hembras y 3 machos	2
74 hermafroditas	1
7H, 13M	3
8 females; 11 males	1
8 hembras, 14 machos	5
80 H, 38 M	1
81 H, 4 M	1
9 Hembras y 14 Machos	2
9 Males, 2 Females	1
9 indivíduos	3
91 H, 46 M, 105 I	1
93 undetermined	5
94 eks.	1
96 sex not recorded	1
9M 2H	1
9m, 12ma, many mi, brood	1
>10s, >10w	1
>10w minor, 1w major	1
>29w	1
Adultes	1
Alates	16
C&S; larvae	3
EGGS	1
F; C&S;  + skel	1
F; SV 18.2; C&S	1
F; SV 51.5; C&S	1
F; SV 55.0; C&S;  + skull	1
F; SV 86.83; C&S	1
F; TL 1323 + 153	1
F; TL 2172 + 200	1
F; TL 375, T 81; skin only;  + skel	1
F; juv, SV 29.1; C&S	1
F; skel; C&S pec girdle	1
F; skull, caudal vert, skin	4
HEMBRAS 7, MACHOS 11	1
Lich. Lusit. Sel. Exs. Fasc. VII (151-175)	3
Lichens Alpium Fasc. VI	18
M; SV 19.2; C&S	1
M; SV 28.6  + ser-sec 4th right toe	1
Microconque : ?	1
SV 45	1
Stirpes Cryptogamae Fasc. IV (342-366)	21
adult female:2; adult male:2; adult:10	1
adult male:21; adult female:1	1
ergatoid male, queen, worker	5
female 6|unknown 4	1
female: 11 | male: 16	1
female: 33 | male: 21	1
female: 39 | male: 47	1
female: 51 | male: 43	1
larvae, stage 36, SV 25.0 TL 56.4; C&S	1
larvae, stage 46, SV 17.7; C&S	1
larvae, stage 56	1
machos (1), hembras (2)	16
machos (6), hembras (1)	2
machos (65), hembras (60)	1
male 1, female	2
male 114|female 18	2
male 13|female 10	1
male 17|female 16	1
male 246|female 36	1
male 29|female 11	1
male 2|female 9	7
male 3|female 11	1
male 45|female 44	1
male/female (labelled as)	2
male: 36	1
male; male; female;;	73
meta-young, stage 66  + 1 month	3
original data indicates a mix of male, female and immature specimens	2
queens, males, workers, brood	4
right middle tibia worker	1
sex unknown	472
stage 27, SV 4.1 TL 9.3; C&S	1
stage VI; C&S	7
undetermined	1012056
"2 Machos; Hembra"	1
# males: 2; # females: 2; # undet: 3	1
# males: 5; # females: 6	1
(M)?	1
02 F; 02 M; 04 total	38
1 Macho, 1 Indeterminado	1
1 ND y 1 macho	1
1 dealate queen	407
1 female; ? males	1
1 hembra, 26 machos	1
1 macho y 2 juveniles	1
1 macho, 2 ND	2
1 male, 1 juvenile	8
1 male, 2 Females	2
10 hembras, 5 machos	14
100m,1f	2
106m 157f	1
10f	152
10w, 8m	1
11 H, 11 M	2
115 undetermined	4
12 male, 3 female	2
125 H, 123 M	1
130 H, 53 M	1
131-140	10
146 undetermined	4
15 Males, 11 Females	1
15 male, 0 female	1
151f	2
15M 57H	1
15w, 10p, 10l	1
17 males, 5 females, 1 immature	1
19 tritoninfas	1
1F, 9M	5
1M 1H 2J	4
1M 1J	12
1M 5H	7
1Qp, 6w, 1wp, 1mp	1
1dQ, 10w, 1p	1
1dQ, 2w, 2p, 2l	1
1dQ, 30w, 4p, 1l	1
1dq, 57w, brood	1
1m (PP destruction)	3
1m 12f	2
1m opløst	1
1m, 4w	3
1m,3f,1u	2
1w major (head + gaster detached), 1w	1
2 Fêmeas, 3 Machos	2
2 Hembras, 2 Machos	12
2 fêmeas, 5 machos	1
2 hembras, 4 machos	98
2 male 2 female	18
2 males, 1puM	1
20-30 ind. (noen nyk	1
20u	60
22 males, 1 female	4
220 hembras, 211 machos	1
223 undetermined	1
22H, 8 M	1
22w (1), 2w (2)	1
23 hembras, 5 machos	1
24 male	3
27 undetermined	114
2M 2H 1O 2J	1
2aq, 6m(1), 2aq, 2m(2)	1
2w, 2eQ	1
2w, 4aq	1
2w, im	1
2wp	2
3 undetermined	8747
30 hembras, 74 machos	1
300 undetermined	2
30H, 21M	2
327 H, 222 M, 7 I	1
34 H, 22 M, 4 I	1
34 males	2
34w, 16p, 22l	1
36m 29f	1
394 hembras, 196 machos	1
3H 2J	1
3H, 1M	42
3M 3H 5O 4J	1
3M 6O	2
3M, 78J	1
3m 1f n	1
3m micr	1
3m,7f	11
3m3f	1
3u,5f	1
3w >15l 1p	1
4 Female, 8 Male	1
4 Hembras y 3 Machos	25
4 Males, 4 Females	3
4 females; 10 males	2
4 ninfas	8
40 male	2
412 H, 129 M, 2 I	1
42 H, 2 M	1
42 hermafroditas	2
44 H, 4 M	1
45 hembras, 10 machos	1
46 day larvae	1
46 machos	1
48 hembras, 22 machos	1
49 Hembras y 35 Machos	1
49 hembras, 38 machos	1
4H, 59M	1
4a	5
4dQ, many w, brood	1
5 Machos, 2 Hembras ovígeras, 2 Hembras	1
5 Machos, 9 Hembras	1
5 Male, 20 Indeterminate	1
55 MACHOS 48 HEMBRAS	1
6 hembras y 9 machos	1
6M 8H 14O	1
6M 8H 4O 1J	1
6MACHO;9HEMBRA	1
7 H, 11 M, 2 I	1
7 im	12
7 males	8
7F, 1M	5
8 hembras y 5 machos	1
8 machos, 5 fêmeas	2
8 males, 19 females	1
83 H	1
9 HEMBRAS	5
9 hembras	117
9m 21f	4
>10w, 1dq, 15m	1
>15w, 4l, 6p	1
Dealate queen and worker	207
Dioecious?	1
F-gonads	2886
F; , juv; C&S	1
F; SV 17.0; C&S  + skin	1
F; SV 27.9; C&S  + skin	1
F; SV 37.6; C&S	1
F; SV 79.8;  + skull	1
F; with eggs; SV 26.5; C&S	1
Female; male; male; Female	1
Fêmea ?	4
Juv Female	7
Lichenes Bohemoslovakiae Exs. 101-110	9
Lo-Man-Hung, N. F.	2
M; C&S skull	1
M; SV 28.3; C&S	1
M; SV 31.0; skel	1
M; SV 38.5; skel	1
M; SV 61.6; C&S	1
