waterBody	reps
SE Atlantic Ocean	24
SOLOMON SEA	1
Sacramento R. Basin; Georgiana Slough	3
Sacramento R. Basin; Little Butte Cr.	2
Salmon Falls Creek	1
Salt Fork Creek	9
San Gregorio Lagoon	1
San Pedro R.	1
Schloitzbach	45
Schwarzbach (Weiße Elster)	1
Seine River	1
Shebeli	3
Sipsey Fork Black Warrior River - Tombigbee River - Mobile Bay	140
South Pacific Ocean, Cook Strait, Golden Bay	3
South Pacific Ocean, Gulf of Hauraki	21
South Pacific Ocean, Timor Sea, Fog Bay	3
Southwest Altantic Ocean	2
Spizzirò	2
Spring Creek - Tennessee River	50
St Francis Bay Rivers	1
Subcuenca Río Paez, Cuenca Río Magdalena	6
Subcuenca Río Tulua, Cuenca Río Cauca	1
Südliche Umflut	91
Tarume	1
Three	1
Tigris River	17
Tributary of Canadian River	2
Tualatin River	4
Unterer Modenbach	13
Uphapee Creek - Tallapoosa River - Mobile Bay	30
Upper Tallapoosa River	1
Vitiverter Bach	99
Wadi Sahtan	3
Walgerbach	23
Walker River	1
Watershed 9	1
Whitefish Lake	3
Wicomico R.	4
Yockanookany River	25
ZWARTESLUISBEEK	619
Zaire Basin	2
amazonas	9
ampasina	2
main channel rapids/falls	8
sangha	1
seine	494
tone	31
vardar	5
"Quebrada La Picacha, cuenca Cauca"	1
AMPANOBE RIVER	1
Adada	1
Aegean	1
Aki-nada Sea	1
Alaba	4
Alpbach	69
Altamaha River	530
Altamaha River - North Atlantic Ocean	24
Arctic Ocean, Pechora Sea	3
Arnalda	8
Aterno	8
Atlantic Ocean; Massachusetts Bay	10
Azore Is - No Atlantic	2
BAHIA DE NEIBA-CARIBBEAN	2
Bacia Potiguar	110
Baixo Amazonas	2
Balung River	1
Bama	2
Bandera Bay	15
Baragera	1
Bañados Río Curuzú Cuatiá	1
Beaver	3
Bittenbach;	4
Bogue Homa	17
Bogue Homo Creek	1
Bristol Bay Drainage; Naknek R.	1
Broken Bay	2
Buthier	4
CLEAR CREEK	20
CROSS BASIN	4
CZ.	1
Cali	6
Cane  River	1
Chaffin Creek	2
China	1
Chisolm Creek	15
Corbiolo	2
Corsonna	6
Crogga River	2
DELAWARE RIVER-DELAWARE B	1
Dallmann Bay	16
Delaware Bay Basin (misc. creek tribs)	139
Dickopsbach	96
Dießenbach	13
Donau River	8
Drainage: Cabiúnas	2
Drainage: LITTLE KERN RIVER	1
Drainage: R. Patia; R. Telembi	2
Drainage: Rio Ribeira Da Iguape	1
Drainage: Russian R. Estuary	1
EMPTY	2
East Fork Pigeon R.	5
Eleven Point River - White River - Mississippi River	5
Elsebach	125
Elter-Muehlenbach	27
Eltingmuehlenbach	42
Ema	25
Embalse Sogamoso	12
Emscher	10
Emsdettener Mühlenbach	148
Ensenada de Cajon	1
Erebus and Terror Gulf	1
Estrecho de Magallanes	25
Evansville Creek	13
FALL CREEK	3
Fiora	11
Florida - Flagler	1
Foce del Tagliamento	56
Franca	6
G. lac des Roches	6
Gibdo	1
Glover River	401
Gota	4
Gramizza	2
Great Australian Bight	525
Gruppa	5
Guama R.	1
Gulf of Cariaco	3
Hasenbach	76
Highwood River	1
Hoppecke	331
Hudson	15
Humboldt R.	1
Humboldt River	7
Humedal El Conchal	11
Huon Gulf; Adler	1
ISABELLAVAART	384
Illinois - Dekalb	2
Incomati sp.	4
Indian Creek	549
Indian Ocean, Gulf Of Oman	5
Indian Ocean, Tamarin Bay	1
Inglefield Gulf	14
Isarco	52
Isolona	3
Israel - Red Sea	1
Italy	5
Jeffrey's Bay	23
KANAAL DESSEL-SCHOTEN	7612
KANAAL GENT - TERNEUZEN	198
Kansas	442
Kifissos	5
Kikuletwa	2
Kimani	7
Kor basin	1
Kribi River System; Chenge River	7
Kribi River System; Ebome River	10
Kukak Bay	1
Kumano-Nada Sea	4
L. Jiloa	1
LAGOA SANTA	1
LAKE ALBERT	13
LAKE KASUMIGAURA	1
Lac Equerre	1
Lac aux Beans	90
Lac des Polices	1
Lago General San Martín	1
Laguna Sonzapote	1
Lake Chin Chin	18
Lake Mälaren	1
Letaba	3
Lingayen Gulf	30
Little Brazos	20
Little Muddy Creek	9
Little River - Suwannee River	13
Little Scarcies River	30
Lower Twin Lakes	2
Lélama	88
MAURICE RIVER SYSTEM	5
Mad River; Great Miami River Drainage; Kings Creek	1
Mahaicca	1
Makona River - Moa River	14
Mayberry Cut	1
Mediterranean Sea; Adriatic Sea, Adriatic Sea	31
Mella	28
Milford Haven	1
Milmesbach	3
Mountain Fork Little R.	16
Mpiji	1
Murphy Branch	15
Mussi	1
Naamans Creek - Delaware River - Delaware Bay	8
Napoleonico	33
Navidad Bay	1
Nelson Creek	12
Nha Trang	14
Nianda River - St.Paul River	10
Nienholtbach	16
Niger Delta	1
Nishi-betsu R.	1
North Aegean Sea	2
North Atlantic Ocean, Golfo Di Genova	2
North Atlantic Ocean, Gulf Of Mexico, Old Tampa Bay	5
North Atlantic Ocean, Gulf Of Mexico, Pine	1
North Atlantic Ocean, Gulf of Paria	1
North Atlantic Ocean, Irish Sea, Solway Firth	10
North Atlantic Ocean, Mediterranean Sea, Balearic Sea, Bay of Blanes	1
North Atlantic Ocean, Sheepshead Bay	1
North Atlantic Ocean, Westerschelde	4
North Atlantic, Core Sound	1
North East Pacific Ocean	8
North Pacific Ocean, Abalone Cove	1
North Pacific Ocean, Bering Sea, Kaletka Bay	1
North Pacific Ocean, Gulf of Ragay, Ragay Bay	13
North Sea, ICES quadrant 38 F0	2
North Sea, Southern Bight, 10 miles off Westkapelle at the Steenbanken	1
Northeast pacific Ocean	2
Ntem River System; small stream	8
Ntem or Campo R. System; Mfiande & Seng Rivers	8
Oberer Mühlbach	58
Ogliolo Di Monno	1
Orange Basin	1
Orilla de quebrada	12
Ousley Creek	16
PASSAIC RIVER-NEWARK BAY	1
PERDIDO RIVER	6
POPERINGEVAART	1164
Pacific Ocean; Bay of Plenty	1
Pacific, Half Moon Bay	6
Pacific, Molucca Sea, Powatic Harbor	107
Pajaro R.	43
Paltana	55
Penbina	1
Penders Creek	8
Plotzbach	31
Powell River	17
Quebrada Angostura	6
Quebrada El Cedral	1
Quebrada Salero	8
R. Amazonas basin; Igarape do Ajamuri	1
R. Blanco Basin; R. Toachi	5
R. Fuku	2
R. TOCANTINS	3
R. Urubamba (R. Santa Ana)	5
R. VERDE BASIN	1
RICHLAND CREEK	1
RINGBEEK	43
RIO GUAYABERO-RIO GUAVIAR	1
Refreddo	14
Rehoboth Bay	18
Rio Iguazu - Rio Parana	1
Rio IguaÃ§u drainage	4
Rio Inambari  - Madre de Dios	25
Rio Meta	114
Rio Mira	1
Rio Papagaios	2
Rio S. Francisco	1
Risaia	4
River Chamburu	1
River Nidd	1
River Tees	1
Rivivo	2
Rivière Neigette	4
Rivière Sawine	1
Rivière du Loup; Rivière Mastigouche	1
Rogue R. System	2
Rosalia Bay	1
Rosphe	33
Ruempingbach	8
RÃ­o Orinoco	1
Río Corona	3
Río Corrogres	1
Río Lavallén	2
Río Marañon - Río Amazonas	44
Río Monos - Confluencia con Quebrada La Linda	1
Rödlitzbach (Lungwitzbach)	7
S. Diversion Irrigation Canal	1
SAN BENITO CREEK	2
SAN-SAN RIVER & SWAMP	1
SANTA BARBARA CHANNEL	36
SCHEEBEEK	4
SHOAL CREEK-TENNESSEE RIV	22
SOUTH CHINA SEA	314
Sagana River	2
San Felipe Creek	345
Sandakan Bay Drainage; Segaliud R.	16
Santa Barbara Channel	90
Santa Rosa Sound	1
Savannah River Drainage; tributary canal to Island Creek	2
Seigler Creek	1
Seta River	2
Shanty Bay	2
Sile	149
Sinepuxent Bay	3
Sipsey River	18
Six Bit Creek	1
Skeena	1
South China Sea	9212
South Pacific Ocean, Arafura Sea, Gulf of Van Diemen	1
South Pacific Ocean, Bismarck Sea	1277
Speyerbach;	15
Stevens Gap Lake	20
Strona Di Briona	69
Sulphur Creek - Elk River - Tennessee River	1
Sweetwater Creek - Chattahoochee River - Apalachicola River	16
Tanabe Bay	18
Tawayik Lake	1
Terengganu basin	1
Threemile R.	1
Transposta	36
Trengganu	69
Tresa	56
Trombetas	92
Tropical Sea	2
Tsitsikamma Rivers System	40
Tuela R.	1
Uchee Creek - Chattahoochie River	19
Umzintlava River	7
Untere Our	92
Var	2
Voltalto	1
WALNUT CREEK	2
Waurika Lake	9
Weeks Bay	45772
Wehebach	419
Western Indian Ocean, Western Indian Ocean; Persian Gulf	766
Western Northern Pacific Ocean	6
White Bay	1
Wiederitz	42
Yashoo Creek	101
Yuan- Jiang	1
Yukon R. Drainage	5
lag.motacusal	2
lake; Iba-naiko connected to Lake Biwa	1
litani	5
nehu-we wick	2
ob	26
ouaieme	6
poya	6
rasul	2
"Río La Miel, cuenca Magdalena"	126
ANADYR' RIVER BASIN-BERIN	2
ARNOLD RIVER	2
Afte	42
Alto Amazanas	2
Angaran	2
Ankobra River	1
Arroyo Ñandú	1
Arsella	5
Assiniboine River	10
Atlantic Ocean; Saint Davis Sound	3
Atlantic Ocean; Salem Sound	3
Atlantic, St. Lewis Sound	4
Atrato Basin	1
BALAYAN BAY	2
BOHEMIA RIVER-CHESAPEAKE	1
Bahre	10
Bamfield Inlet	6
Bantry Bay	1
Baraboo River - Wisconsin River - Mississippi River	14
Beanblossom Cr.	1
Beeckbach	97
Belgian Congo (Zaire)	1
Big Souix R.	2
Birlenbach	65
Blackburn Fork - Cumberland River	1
Bohai Sea	9
Bolima	1
Bras D'Or Lakes	13
Brazos Drainage	10
British Columbia Minor Coastal (misc. creek tribs)	1
Bushman's River	3
CELEBES SEA	205
CHINDWIN RIVER-IRAWADDY R	66
COOS BAY	5
CURACAO	1
Caddo Lake	6
California - Fresno	1
Campbell Creek, tributary	3
Canada - Northwest Terr.	2
Canada - Quebec	1
Canal Pixuna	23
Cantabrian sea	117
Caribou Lake	1
Carnahan Creek	13
Carter Creek - Apalachicola River	8
Castiglionchio	2
