verbatimSRS	reps
WGS2493	1
WGS2626	1
WGS2664	1
WGS280	2
WGS2835	1
WGS2873	1
WGS413	1
WGS451	1
WGS622	1
WGS660	1
WGS831	1
European 1950	4084
WGS1002	1
WGS1040	1
WGS1211	1
WGS1420	1
WGS1800	1
WGS2038	1
WGS205	3
WGS2076	1
WGS2209	1
WGS2247	1
WGS2285	1
WGS2418	1
WGS243	2
WGS2456	1
WGS2494	1
WGS2627	1
WGS2665	1
WGS281	2
WGS2836	1
WGS2874	1
WGS414	1
WGS452	1
WGS490	1
WGS623	1
WGS661	1
WGS832	1
WGS870	1
WGS1003	1
WGS1041	1
WGS1212	1
WGS1250	1
WGS1421	1
WGS1630	1
WGS1801	1
WGS2039	1
WGS206	3
WGS2077	1
WGS2248	1
WGS2286	1
WGS2419	1
WGS244	2
WGS2457	1
WGS2495	1
WGS2628	1
WGS2666	1
WGS282	2
WGS2837	1
WGS2875	1
WGS415	1
WGS453	1
WGS491	1
WGS624	1
WGS662	1
WGS833	1
WGS871	1
WGS1004	1
WGS1042	1
WGS1080	1
WGS1213	1
WGS1251	1
WGS1422	1
WGS1460	1
WGS1631	1
WGS1802	1
WGS1840	1
WGS207	3
WGS2078	1
WGS2249	1
WGS2287	1
WGS245	2
WGS2458	1
WGS2496	1
WGS2629	1
WGS2667	1
WGS283	2
WGS2838	1
WGS2876	1
WGS416	1
WGS454	1
WGS492	1
WGS625	1
WGS663	1
WGS834	1
WGS872	1
WGS1005	1
WGS1043	1
WGS1081	1
WGS1214	1
WGS1252	1
WGS1290	1
WGS1423	1
WGS1461	1
WGS1632	1
WGS1670	1
WGS1803	1
WGS1841	1
WGS2079	1
WGS208	3
WGS2288	1
WGS2459	1
WGS246	2
WGS2497	1
WGS2668	1
WGS2839	1
WGS284	2
WGS2877	1
WGS417	1
WGS455	1
WGS493	1
WGS626	1
WGS664	1
WGS835	1
WGS873	1
WGS1006	1
WGS1044	1
WGS1082	1
WGS1215	1
WGS1253	1
WGS1291	1
WGS1424	1
WGS1462	1
WGS1633	1
WGS1671	1
WGS1804	1
WGS1842	1
WGS1880	1
WGS209	3
WGS2289	1
WGS247	2
WGS2498	1
WGS2669	1
WGS285	2
WGS2878	1
WGS418	1
WGS456	1
WGS494	1
WGS627	1
WGS665	1
WGS836	1
WGS874	1
WGS1007	1
WGS1045	1
WGS1083	1
WGS1216	1
WGS1254	1
WGS1292	1
WGS1425	1
WGS1463	1
WGS1634	1
WGS1672	1
WGS1805	1
WGS1843	1
WGS1881	1
WGS248	2
WGS2499	1
WGS286	2
WGS2879	1
WGS419	1
WGS457	1
WGS495	1
WGS628	1
WGS666	1
WGS837	1
WGS875	1
WGS1008	1
WGS1046	1
WGS1084	1
WGS1217	1
WGS1255	1
WGS1293	1
WGS1426	1
WGS1464	1
WGS1635	1
WGS1673	1
WGS1806	1
WGS1844	1
WGS1882	1
WGS2100	1
WGS249	2
WGS287	2
WGS458	1
WGS496	1
WGS629	1
WGS667	1
WGS838	1
WGS876	1
WGS1009	1
WGS1047	1
WGS1085	1
WGS1218	1
WGS1256	1
WGS1294	1
WGS1427	1
WGS1465	1
WGS1636	1
WGS1674	1
WGS1807	1
WGS1845	1
WGS1883	1
WGS2101	1
WGS2310	1
WGS288	2
WGS459	1
WGS497	1
WGS668	1
WGS839	1
WGS877	1
WGS1048	1
WGS1086	1
WGS1219	1
WGS1257	1
WGS1295	1
WGS1428	1
WGS1466	1
WGS1637	1
WGS1675	1
WGS1808	1
WGS1846	1
WGS1884	1
WGS2102	1
WGS2140	1
WGS2311	1
WGS2520	1
WGS289	2
WGS2900	1
WGS498	1
WGS669	1
WGS878	1
WGS1049	1
WGS1087	1
WGS1258	1
WGS1296	1
WGS1429	1
WGS1467	1
WGS1638	1
WGS1676	1
WGS1809	1
WGS1847	1
WGS1885	1
WGS2103	1
WGS2141	1
WGS2312	1
WGS2350	1
WGS2521	1
WGS2730	1
WGS2901	1
WGS499	1
WGS879	1
WGS100	3
WGS1088	1
WGS1259	1
WGS1297	1
WGS1468	1
WGS1639	1
WGS1677	1
WGS1848	1
WGS1886	1
WGS2104	1
WGS2142	1
WGS2180	1
WGS2313	1
WGS2351	1
WGS2522	1
WGS2560	1
WGS2731	1
WGS2902	1
WGS2940	1
EPSG:32630	1
WGS101	3
WGS1089	1
WGS1298	1
WGS1469	1
WGS1678	1
WGS1849	1
WGS1887	1
WGS2105	1
WGS2143	1
WGS2181	1
WGS2314	1
WGS2352	1
WGS2390	1
WGS2523	1
WGS2561	1
WGS2732	1
WGS2770	1
WGS2903	1
WGS2941	1
WGS310	1
35.50960 N	1
Belgian Datum 1972	20416
EPSG:32631	2
WGS102	3
WGS1299	1
WGS140	3
WGS1679	1
WGS1888	1
WGS2106	1
WGS2144	1
WGS2182	1
WGS2315	1
WGS2353	1
WGS2391	1
WGS2524	1
WGS2562	1
WGS2733	1
WGS2771	1
WGS2904	1
WGS2942	1
WGS2980	1
WGS311	1
WGS520	1
WGS900	1
WGS103	3
WGS141	3
WGS1889	1
WGS2107	1
WGS2145	1
WGS2183	1
WGS2316	1
WGS2354	1
WGS2392	1
WGS2525	1
WGS2563	1
WGS2734	1
WGS2772	1
WGS2905	1
WGS2943	1
WGS2981	1
WGS312	1
WGS350	1
WGS521	1
WGS730	1
WGS901	1
WGS104	3
WGS1110	1
WGS142	3
WGS180	3
WGS2108	1
WGS2146	1
WGS2184	1
WGS2317	1
WGS2355	1
WGS2393	1
WGS2526	1
WGS2564	1
WGS2735	1
WGS2773	1
WGS2906	1
WGS2944	1
WGS2982	1
WGS313	1
WGS351	1
WGS522	1
WGS560	1
WGS731	1
WGS902	1
WGS940	1
WGS105	3
WGS1111	1
WGS1320	1
WGS143	3
WGS1700	1
WGS181	3
WGS2109	1
WGS2147	1
WGS2185	1
WGS2318	1
WGS2356	1
WGS2394	1
WGS2527	1
WGS2565	1
WGS2736	1
WGS2774	1
WGS2907	1
WGS2945	1
WGS2983	1
WGS3030	1
WGS314	1
WGS352	1
WGS390	1
WGS523	1
WGS561	1
WGS732	1
WGS770	1
WGS903	1
WGS941	1
WGS106	3
WGS1112	1
WGS1150	1
WGS1321	1
WGS144	3
WGS1530	1
WGS1701	1
WGS182	3
WGS1910	1
WGS2148	1
WGS2186	1
WGS2319	1
WGS2357	1
WGS2395	1
WGS2528	1
WGS2566	1
WGS2737	1
WGS2775	1
WGS2908	1
WGS2946	1
WGS2984	1
WGS3031	1
WGS315	1
WGS353	1
WGS391	1
WGS524	1
WGS562	1
WGS733	1
WGS771	1
WGS904	1
WGS942	1
WGS980	1
WGS107	3
WGS1113	1
WGS1151	1
WGS1322	1
WGS1360	1
WGS145	3
WGS1531	1
WGS1702	1
WGS1740	1
WGS183	3
WGS1911	1
WGS2149	1
WGS2187	1
WGS2358	1
WGS2396	1
WGS2529	1
WGS2567	1
WGS2738	1
WGS2776	1
WGS2909	1
WGS2947	1
WGS2985	1
WGS3032	1
WGS3070	1
WGS316	1
WGS354	1
WGS392	1
WGS525	1
WGS563	1
WGS734	1
WGS772	1
WGS905	1
WGS943	1
WGS981	1
WGS108	3
WGS1114	1
WGS1152	1
WGS1190	1
WGS1323	1
WGS1361	1
WGS146	3
WGS1532	1
WGS1570	1
WGS1703	1
WGS1741	1
WGS184	3
WGS1912	1
WGS1950	1
WGS2188	1
WGS2359	1
WGS2397	1
WGS2568	1
WGS2739	1
WGS2777	1
WGS2948	1
WGS2986	1
WGS3033	1
WGS3071	1
WGS317	1
WGS355	1
WGS393	1
WGS526	1
WGS564	1
WGS735	1
WGS773	1
WGS906	1
WGS944	1
WGS982	1
WGS109	3
WGS1115	1
WGS1153	1
WGS1191	1
WGS1324	1
WGS1362	1
WGS147	3
WGS1533	1
WGS1571	1
WGS1704	1
WGS1742	1
WGS1780	1
WGS185	3
WGS1913	1
WGS1951	1
WGS2189	1
WGS2398	1
WGS2569	1
WGS2778	1
WGS2949	1
WGS2987	1
WGS3034	1
WGS3072	1
WGS318	1
WGS356	1
WGS394	1
WGS527	1
WGS565	1
WGS736	1
WGS774	1
WGS907	1
WGS945	1
WGS983	1
WGS1116	1
WGS1154	1
WGS1192	1
WGS1325	1
WGS1363	1
WGS148	3
WGS1534	1
WGS1572	1
WGS1705	1
WGS1743	1
WGS1781	1
WGS186	3
WGS1914	1
