taxonRank	reps
\N	630391907
Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Lyngbya	21
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	4
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	33
Eukaryota;Alveolata;Dinophyceae;Gonyaulacales;Goniodomataceae;Gambierdiscus	18
Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Verrucariales;Verrucariaceae;Endocarpon	509
Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Laboulbeniomycetes;Laboulbeniales;Laboulbeniaceae;Hesperomyces	1
Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Clavicipitaceae;Aciculosporium	1
Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;mitosporic Hypocreales;Acremonium	7
Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Physalacriaceae;Dactylosporina	1
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Chondrichthyes;Elasmobranchii;Batoidea;Rajiformes;Rajidae;Raja	103
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Chondrichthyes;Elasmobranchii;Squalimorphii;Squatiniformes;Squatinidae;Squatina	187
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Cyclostomata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Geotria	7
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Albuliformes;Albulidae;Albula	66
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Clupei;Clupeiformes;Clupeoidei;Clupeidae;Dorosoma	25
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Clupei;Clupeiformes;Clupeoidei;Clupeidae;Spratelloidinae;Spratelloides	2
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Gobiomorpharia;Gobiiformes;Gobioidei;Gobiidae;Oxudercinae;Scartelaos	20
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Gobiomorpharia;Kurtiformes;Apogonoidei;Apogonidae;Apogoninae;Foa	1
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontidae;Cyprinodon	18
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Pelagimorpharia;Scombriformes;Trichiuridae;Lepturacanthus	6
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Labriformes;Labridae;Tautogolabrus	10
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Perciformes;Cottioidei;Cottales;Cottidae;Hemilepidotus	22
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Perciformes;Cottioidei;Cottales;Cottidae;Synchirus	1
