countryCode	reps
\N	621667432
CMR	969
EU-CZ-ST	13
IN-MM	7
KIR	9
LT	1906
PR	39759
US-MD	164
cg	3630
ge	443
AS-TR	4
AU-WA	641
CYM	21
China	2
EU-GR-A1	13
IE-LH	1
LU	1251
MNP	5
NL-NB	76
PS	1645
SAU	145
VGB	2
ch	6501
gf	17884
ALU	3
CH-VD	12
CIV	94
DZ	24976
LV	3085
NLSE	2
PT	416440
TR	103357
US-AL	189
ci	4370
gg	5
ke	1699
sa	763
BIH	40
ES-SE	9
MW-MG	2
SUM	1
WSM	49
ZAF	298
gh	395
sb	232
CL-CO	4
CYP	229
ES-CN	3
IT-AG	1
KAZ	2486
MX-SIN	1
PH-ILN	1
SUN	337
TT	20536
ck	25
gi	33
kg	182
sc	783
BEL	408
DJI	4
DZA	362
ES-CO	4
EU-DE-TH	6
LVA	15357
LY	4437
PH-CAV	1
PL-SK	2
PW	2339
US-MI	1
ZMB	694
cl	11979
kh	6603
sd	1421
EU-AT-1	3
EU-BA	1
JAM	60
NSC	1
NZ-NSN	1
TV	21
US-IL	2
cm	13402
ki	26
se	2199
BEN	129
EU-AT-2	3
EU-ES-A	4
MRT	224
NCL	117
NL-NH	239
PY	151892
TW	88644
cn	35520
gl	531
"NZN;NZS"	2
CH-FR	41
CH-ZH	9
EU-AT-3	35
LBN	135
SUR	31
US-AR	1
US-IN	2
co	37073
gm	105
sg	362
AD	121356
DNK	2645
ES-CS	1
ID-IJ	1
IT-AL	98
NO-12	1
NZ-OTA	24
TW-KHH	6
TZA	713
ZA-NC	1
gn	7061
sh	426
wf	211
AE	1483
EC	591194
EU-AT-5	19
EU-BE	5
FJ-C	1
NL-ZE	81
PHL	127
PL-WN	1
SYR	227
TZ	124646
Taiwan	4
km	7427
si	48
AF	445677
AIA	17
BR-RJ	5
EU-AT-6	41
GB-BST	6
HTI	57
MX-JAL	4
PH-SUN	1
TJK	6253
cr	2045
gp	4113
kn	23
sj	22
AG	1768
EE	4073
EU-AT-7	50
EU-BG	5
EU-FR-11	4
GHA	35
LBR	9
MA	105500
PH-BAN	1
cs	894
gq	354
om	103
sk	79
EU-AT-8	3
ID	134001
NL-FR	23
NL-ZH	135669
NZ-WTC	8
UY-MA	1
gr	5878
kp	234
on	18
sl	1414
"GER;POL"	123
AI	3661
EG	22131
EU-AT-9	12
FSM	2
IE	450353
IT-IM	3
MC	55
QA	353
Quindío	75
URY	168
cu	5545
gs	269
sm	3
BR-RN	2
EH	115
MD	3888
MU-SA	1
Pa	1
UGA	300
US-MS	645
cv	1033
gt	897
kr	1264
sn	4357
FR-21	17
KNA	3
LK-31	2
ME	2337
NZ-AUK	10
UA	47368
cw	2
gu	139
so	150
AL	5108
CH-VS	13
FR-22	12
FR-60	3015
FR-H	5
IT-AT	347
MF	48
SN-DK	3
VCT	7
cx	2
sp	10
"NCA;SCA"	1
AM	24279
AR-B	7
BMU	8
EU-FR-55	6
FR-61	4
IT-MO	7
JP-23	8
MG	328863
MKD	56
PH-ZAN	1
REU	70
SE-C	1
ZA-NL	19
cy	403
gw	76
65	2383
AN	1706
AO-LUA	1
DE-MV	120
DO-VA	272
EU-ES-M	3
EU-NL-UT	197
FR-62	9
JP-24	1
LBY	190
MH	8041
NOR	2848
cz	195
sr	1740
66	98423
AO	26127
EU-CH-BE	4
FR-63	39
SB-MK	1
gy	4366
kw	11
ss	1
EU-CZ-PL	2
FJ-N	1
FR-26	4
FR-64	564
HU-PE	184
IL	91127
JP-26	2
SRB	43
USA	15192
st	463
AQ	14825
BG-02	2
FR-27	762
FR-65	75
IM	29
MK	5860
SN-TH	2
UG	39553
YE	10465
ky	2
su	3875
ws	330
AR	259329
BG-03	8
EU-NL	22
EU-SI-09	3
FR-28	9
FR-66	1
IN	221605
ML	15188
PH-ZAS	1
SE-H	2
WLF	1
kz	466
sv	28
AS	4511
CRI	1481
CZE	1213
DE-BB	156
ESH	10
EU-ES-GE	1
FR-67	5
IO	51
MM	9267
MU-GP	2
RUS	92930
SE-I	17
sw	24
AT	28233
BFA	26
BG-05	2
ER	2676
EU-FR	33
MCO	3
MN	6987
PG-NCD	1
TR-31	13
da	1
AU	519106
CH-GE	10
ES	6971301
EU-ES-T	10
IQ	8068
LCA	1
MO	723
SE-K	4
TR-70	343
UK	1
sy	2857
DE-BE	101
ET	72018
EU-CZ-PR	35
IR	60314
MP	1351
RO-CJ	3
YEM	20
sz	14
AN-AQ	3
AW	734
EU-NL-NB	350
EU-RO	1
IS	5550
MQ	2488
SJM	9
UM	1305
hb	1
AX	63
BG-09	1
BR-CE	4
CL-TA	1
ECU	6992
GB-IOW	211
GLP	8
IT	109376
MA-AGD	11
MR	5400
MWI	36
NZ-MWT	244
NZ-TKI	27
YUG	129
ZA-NW	1
de	4701
la	5254
GTM	347
LKA	160
MS	443
PH-PLW	11
US-NC	46
lb	1671
AZ	15194
BRA	10213
EU-ES-CN	14
MT	3134
NL-GE	853
TCD	7
lc	46
pa	749
BRB	95
ESP	57859
FI-LL	16
IE-MH	2
MU	5152
PH-QUE	3
PH-RIZ	4
SE-Q	6
SVK	2260
US-VA	5
XXX	3
AR-Q	3
FR-2B	2
MV	3474
le	51
ta	3
AR-R	1
CPP-WC	35
CZ-US	17
ES-TE	6
EU-NL-NH	614
LEE-VI	1
MW	22879
NLD	3817
TW-ILA	1
UKR	6672
US	6107441
dj	332
"SWE;FIN;NOR"	79
AUS	8461
BR-SC	9
EGY	510
EU-CH-ZH	7
IT-NA	10
MX	5620617
NZ-NTL	39
SVN	198
US-FL	2596
dk	514
pe	7478
tc	3
AUT	2910
BE-WLG	442
CL-LL	2
EST	1546024
MSR	2
MY	79010
PAK	1413
dl	2
pf	3147
td	1286
AR-U	2
AU-TAS	1
BA	4609
BE-VOV	362
DE-NI	84
EU-ES-GR	32
EU-NL-ZE	131
IT-BI	10
MZ	12085
US-NJ	2
YT	807
dm	258
hk	1005
li	690
pg	2122
AR-V	2
BB	1625
CNY	1
EU-ES-CU	1
SE-W	2
SPA-SP	87
YU	1481
myrciifolia	1
ph	5360
tf	1408
AR-W	1
Brasil	617
CH-GR	8
EU-IT-AO	2
FI-LS	6
FLK	46
IT-FI	44
IT-RC	10
Indian Ocean	14
PAN	299
do	2083
hm	1
lk	3781
tg	381
BD	14266
ES-PM	4
