verbatimCoordinateSystem	reps
1°05'152''N,75°28,219''W	1
1°25'0''N,75°52'0''W	3
1°44.464'N,75°35,073'W	1
Swed. grid [RT 90]	1
1°32'04''N,75°36'12''w	1
1°42'32,4''N,75°42,92''W	8
concession & lot	458
0	3
1°21,01''N,75°55,99''W	2
1°36,23''N,75°39,02''W	3
2°31'30,2''S,70°11'05,7''W	1
9319.192	2
9°37'48''N,74°54'44''W	1
0°16'13''N,72°55'22''W	1
1°04'55''N,76°37'40''W	1
1°32,04'N,75°36,12'W	1
1°36'23''N,75°39'45''W	4
Degrees minutes seconds	1713
Finnish YKJ	142865
1°32'787''N,75°28'522''W	4
1°56'47,2''N,75°11'54,1''W	5
0°31'17''N,72°28'21''W	1
1°29'59,6''N,75°39'22,6''W	3
1°30'22,2''N,75°29'4,3''W	1
1°25'138''N,75°30'690'W	1
1°36,36''N,75°36,45''W	13
1°37'56,9''N,75°35'0''W	3
1°4'11''N,76°44'41''W	1
0°30,02''N,75°39,83''W	1
1°20'22,3''N,75°48'52,3''W	2
1°36,38''N,75°34,82''W	5
1°42,684'N,75°42,865'W	5
3°59'15''N,69°54'10''W	2
Grados minutos segundos	12219
Graus e minutos decimais	455
grados y minutos decimales	118
1°36'359''N,75°36,453''W	1
1°43'20,6''N,75°17'31,9''W	15
Lambert 72	49891
1°26'21''N,75°50'25''W	4
1°36'21,8''N,75°36'27,5''W	1
1°20'54''N,75°30'42''W	5
1°38,97'',75°35,31''	1
1°39,54''N,75°36,13''W	1
1°44,133'N,75°38,487W	1
4°29'13''N,68°00'22''W	4
IFBL 1km	4418894
1°34'45,59''N,75°35'58,4''W	2
1°35'37,70''N,75°38'54,95''W	1
1°42'684''N,75°42'865''W	11
1°5,11''N,75°27,36''W	3
Marsden Square	533
degree minutes	146
1°4'49,8''N,76°37'56,1''W	1
1°42'324''N,75°42'92,6''W	1
1°42'43,33'N,75°17'37''W	2
2°18'8,566''N,75°23'42,57''W	1
0°22'14''N,74°7'56''W	1
0°30'11,4''N,73°18'38,5''W	3
1°23'24,7''N,75°32'31''W	2
1°25'21,9''N,75°32'2,9''W	1
1°39'102''N,75°34,473''W	1
1°44'464''N,75°35,073''W	1
"Grados, minutos, segundo"	2753
MTM	32
PLSS	144
1°20'13,9''N,75°48'35,2''W	1
1°25'416''N,75°30'27,3''W	2
