disposition	reps
\N	706395322
(discarded 13-10-54 JF)	1
1965 Exch - Dr Carlos Alberto Campos Seabra	1
Collection BOLBAYE	1
Collection Beyrouthy n°1990-1	1
Collection Biro	1
Collection Bleicher	1
Collection Brown	1
Collection Cossmann n°1991-14	11352
Collection Faugères	1
Collection Gaudry	31
Collection Houssineau	2
Collection LACAZE, Gaston	1
Collection Obert n°1987-	1
Collection Pacaud n°2006-7	198
Collection Paignon Eugène n°1886-21	1
Collection Schnecbeli n°1900-12	1
DNA/tissue vouchered only	518
Destroyed by insects 50029?	1
Duplicate of V135782	1
Duplicate of V145927, sent as gift to Yukon Government (BABY) 2012	1
Duplicate of V91910, sent as gift to Yukon Government (BABY) 2012	1
Ex. with R.C. Mc Gregor, Mar 1898	6
Exch. to Alex Walker,1961	1
Exch. to Rothschild-when returned renumbered 70076	2
Exch. with Imp. Col.Agr, Japan, Dec '09	1
Exch. with Imp.Coll.Agr. Japan Dec'09	1
Exchange with "Tring Museum"-May 1927	1
Exchanged to S. Austral. Mus., 20 Nov. 1974	8
Exchanged to S. Australia Mus., 20 Nov 1974	1
Exchanged with Dr. Wm. C. Avery, [illeg]2 Feb 18[i	1
Exchanged with H.P. Attwater, April 9, 1892	5
Gift to the Berlin Museum July 1936 Never sent M.L	1
Kaappi 114b, laatikko Histeridae 4	1
Na coleÁ„o | Caixa Dismorphia - Seg(5) Mod(6) (7)	53
Na coleÁ„o| Buprestidae (Chalcophora - Halecia)	133
Na coleção |Buprestidae (26) (1112)	212
Northern Arizona University	1650
Phylliscum demangeonii	3
Physcia Wahlenbergii	1
Physcia ciliata	5
Physcia dubia	3
Platysma glaucum f. dissectum	1
Pres. to Dr. Stanley C. Ball by Dr.L.C. Sanford, N	1
Sent in Exch. Univ. Florida, Prof. Pierce Brodkorb	1
Sent in exchange to Paris Mus., June 6, 1929	3
Sent in exchange with Leiden Mus., Nov. 1934	1
Sent to Lord William Percy, London, Sept 1924	1
This duplicate was sent on exchange to the University of Albert (ALTA) 2008.	1
Tombado em 1988-03-12/in collection	7
Tombado em 2000-02-26/loaned	1
Tombado em 2000-12-10/in collection	1
Tombado em 2000.01 por Tatiana Maria/in collection	5
UFRJ - A. Kury	3
UNM	22
11 in collection at ZMUC	2
A duplicate of this specimen of the same accession number was sent on exchange to the University of Washington (WTU) 2008.	1
Additional Information, see Other Information On exhibit On loan, see Loan Database	1
Collection Ardouin n°1898-13	4
Collection BLAVIER	1
Collection DANDREAT	1
Collection DELALOT	21
Collection Delaunay	1
Collection Deyrolle n°1905-23	1
Collection FLEURIAN DE BELLEVUE	2
Collection Friry n°2008-13	8
Collection GAY	1
Collection O'GOURNAY Gaetan	1
Collection Polak	1
Collection SCHIMPER	456
Collection Tombeck	17
Collection WEDDEL	17
Destroyed (specimen moldy)	1
Destroyed by insects	44
Discarded Oct 1955	1
Duplicate of A12755; sent on exchange to National Museum of Nature and Science (TNS) 2009	1
Duplicate of V10623, sent to V 2012 Aug	1
EXCHANGED	15406
Ex. with Carlos Reeds, Mendoza, Feb 1917	1
Exch. with Berlin Zoological Mus., Nov 1,1930	1
Exch. with Chee Foo, China Mus. thro' Rev. Geo Cor	1
Exch. with D. Banys, May 16,'05	1
Exch. with O. Bangs, Sept 1918	1
Exch. with O.Bangs, Sept 20, 1918	5
Exch. with Stockholm Natural History Museum, May 1	2
Exch.Phila. Acad.Nat.Sci.	1
Exchanged J. Chapin for 2 crows, 4 Feb 1907	1
Exchanged Vienna Museum, 6 Apr 1982	2
Exchanged with Geo. Hollister, Nov 1913	2
Exchanged with H.K. Coale March '10	2
Gift of Miss Bessie Davis	1
Gift to Berlin Museum, July 1936 never sent ML.	1
Given in exchange to Acad.Natl. Sciences, Nov. 193	1
Given in exchange to the Phila.Academy of Sciences	1
In Collection-Type/Figured	331
Kaappi 105a, laatikko Carabidae 112	2
Kaappi 114b, laatikko Histeridae 5	2
Lecidea subuliginosa *E	1
Leptogium tenuissimum	1
Manquant	7
Mounted in Sanford Hall-discarded August 1995 PRS	1
Na coleção | Caixa Rhabdodryas - Aphrissa - Seg(6) Mod(1) (03)	52
Ochrolechia	1
PS	1
Peltidea leucophlebia	1
Presented to U.S. Customs, 1 Sep 1943	1
Private Collection of Werner Mohrig (PWMC)	2
Sent in exchange to M.C.Z. June 11/29	1
Sent in exchange with Stanley (G. ?) Jewett-Oct 28	1
Sent to South Australian Museum, Aug, 1984	1
This duplicate was sent on exchange to Washington State University (WTU) 2008.	1
Tombado em 2000-02-18/in collection	5
Tombado em 2008-06-27/in collection	8
Traded, Thayer, 22 Jul 1907	1
Transferred to L.C. Sanford Collection	1
Was given by F.B. Webster to Harry Austen of Dartm	1
[Given to Dr. E. Mayr, MCZ, Dec 1953	1
footprints collections	2
in collection	2768204
type collection collections	25
Collection CHEVANDIER, E.	7
Collection Carré n°1991-14	1
Collection Dalloz n°1956-10-136	1
Collection Dercourt	10
Collection Desplaces de Charmasse	1
Collection FERUSSAC	5
Collection Gaudry Albert	4761
Collection Graves Louis	1
Collection Mahon Georges n°1855 ou 1856	2
Collection Nicolaï	31
Collection PAICHELER, J.C.	446
Collection Paris n°1975-88	1
Collection Schopin	1
Collection Serv.géol. Alsace-Lorraine	3
Destroyed by insects, J.P.C.	6
Discard	5
Duplicate of A12755; sent on exchange to University of California (UC) 2009	1
Duplicate of A21096 sent on exchange to the University of California (UC) 2009	1
Duplicate of V11405 sent on exchange to CAN 2012 Aug	1
E-voucher only	335
Ex. with C. Wunder, June 10, 1915	9
Ex. with C.E. Aiken, 19 Apr 1898	1
Ex. with Carlos Reeds, Mendoza, Feb. 9, 1917	2
Exch. - Mr. Starrs Olson	2
Exch. With U.S. Nat. Museum, Feb 18, 1925	1
Exch. to U.S. National Museum, Sept 1936	1
Exchange from the Herbarium of Oregon State College	2
Exchanged to Rothschild and on return renumbered 7	2
Exchanged to San Diego State College, Apr 1969 L.L	1
Exchanged to Yale Univ., 30 Jan 1985	1
Exchanged with John E. thayer, Lancaster, Mass. Ju	1
Fla. St. University	1
Illinois Natural History Survey	13
In collection Missing parts, see Availability Remarks Missing parts, see Inventory Remarks	12
Kaappi 105a, laatikko Carabidae 113	1
Kaappi 132a, laatikko Chrysomelidae 114	1
Kaappi 80b, laatikko Staphylinidae 14	2
Lecidea macrocarpa var. cinereoatra f.xtenuata	1
