"",70083876
"native",3639865
"not cultivated",1494144
"unknown",210198
"not native",67240
"cultivated",62385
"no information",3268
"presumably cultivated",422
"not applicable",360
"possibly cultivated",116
"assumed to be cultivated",75
"doubtfully native",75
"doubtfully cultivated",31
"none of the above",8
"assumed to be native",5
"formerly cultivated (extinct)",1
