"data.dwc:disposition","reps"
"collection",2335208
"in",2264978
"unknown",758461
"collections",283041
"voucher",257080
"museum",250310
"not",235341
"applicable",234955
"pwrc",219717
"ansp",146568
"available",119792
"present",101308
"n",87867
"sotty",86597
"systematic",72864
"m",61936
"but",59755
"presumably",59696
"status",59696
"unconfirmed",59696
"unchecked",53863
"d",52143
"35",36782
"orbigny",36475
"alcide",36473
"1858",36403
"0",19368
"de",18162
"currently",17637
"elsewhere",16568
"vasc",15484
"exchanged",15431
"duplicates",15201
"14",14904
"destroyed",14598
"1991",13274
"loan",12356
"péron",12070
"8",11824
"le",11811
"cossmann",11349
"university",10638
"specimen",10440
"1999",10406
"lambert",10140
"on",9827
"osteology",9603
"recent",9603
"taxonomic",8944
"arizona",8360
"northern",8358
"w",8176
"1",8171
"eugène",8091
"boltenhagen",8089
"fluid",7871
"archived",7587
"missing",7399
"3",7178
"colo",6991
"asc",6520
"saporta",6297
"deaccessioned",6287
"11",6228
"gaston",6196
"only",5832
"dna",5683
"tissue",5669
"spitsberg",5356
"d030",5130
"gaudry",5101
"vpi",5061
"courtessole",5020
"griffe",5014
"albert",5005
"or",4661
"1989",4585
"em",4531
"tombado",4531
"e",4427
"mecquenem",4381
"dévonien",4361
"ny",4135
"1969",4131
"sushma.chiluvuri",4131
"o",4066
"see",3759
"deflandre",3728
"apply",3585
"restrictions",3585
"cl",3530
"arambourg",3499
"des",3440
"box",3400
"delaney",3298
"mnhn",3076
"hy",3035
"at",2884
"adolphe",2851
"spitzberg",2810
"brongniart",2794
"d060",2675
"site",2581
"permanent",2556
"denver",2542
"u.c",2542
"type",2426
"stratigraphic",2349
"15",2301
"additional",2254
"information",2254
"other",2254
"wolfe",2246
"draw",2204
"udel",2180
"2",2153
"13",2149
"7",2112
"d062",2109
"1946",2097
"18",2078
"dda",1978
"5",1933
"4",1924
"gcnp",1868
"edouard",1820
"illinois",1819
"d073",1768
"feb",1748
"bureau",1727
"2013",1692
"1907",1683
"terquem",1667
"kasey.miller",1613
"0038",1603
"créqui",1585
"montfort",1585
"6",1563
"ly",1483
"mines",1348
"10",1340
"si",1311
"southern",1309
"12",1298
"s",1290
"d021",1282
"discarded",1265
"2016",1227
"sjnm",1225
"école",1215
"9",1205
"1902",1148
"16",1131
"scully",1124
"louis",1123
"nel",1106
"as",1063
"pi",1029
"trias",995
"unm",991
"d043",980
"wenz",977
"canu",974
"08",952
"26",937
"uic",935
"1939",923
"piton",906
"2007",899
"parts",892
"remarks",892
"2002",874
"chrisgross12.03.201",862
"nnhp",859
"systematics",849
"ethanol",847
"17",819
"cabinet",818
"pacaud",816
"05",792
"faullummel",791
"lozouet",788
"shelf",780
"availability",769
"sjc",768
"2015",760
"fritel",744
"fabre",743
"lab",740
"1908",734
"95",726
"collignon",726
"russell",724
"sigogneau",724
"christopher",716
"gros",716
"alberta",711
"03",705
"hoffstetter",701
"mmns",686
"2008",680
"logan",673
"usda",673
"whole",671
"exe",661
"02",660
"27",659
"fayol",656
"nps",654
"d042",647
"29",646
"inconnu",644
"to",644
"besairie",628
"1964",624
"20",613
"edwards",604
"milne",600
"colcanap",598
"paicheler",593
"françois",590
"bernard",587
"renault",586
"23",575
"0032_00629",574
"graeser",574
"grca",574
"sigal",570
"archiac",567
"ho",566
"d072",562
"paul",558
"1901",557
"lost",548
"d031",546
"asu",541
"franz",541
"unger",541
"utep",530
"d008",528
"36",524
"21",522
"y",519
"0619",518
"buge",514
"la",514
"michelin",513
"eiu",511
"eastern",510
"0031_00610",501
"2014",497
"ex",497
"24",495
"od",491
"database",485
"lhomme",484
"07",483
"1960",480
"léon",478
"1618alexgregg12may2016",476
"busson",475
"39",473
"heyler",463
"cyrille",461
"grand'eury",461
"exa",460
"schimper",456
"1641alexgregg12may",453
"00",451
"juan",451
"vela",451
"philippe",450
"glca",449
"0043",448
"00616",448
"chrisgross12.11.201",448
"j.c",446
"06",440
"duplicate",439
"129",436
"pa",435
"danguy",434
"number",433
"19",432
"daniel",430
"pervinquière",424
"taquet",421
"0032_00632",419
