"month","reps"
,31736080
"[Redacted]",3636
"+7",1
"+8",3
"0",427544
"00",304
"004",1
"005",3
"006",2
"007",9
"008",7
"009",2
"01",473786
"010",2
"01-02",47
"02",409028
"02 April",21
"02 March",36
"02-03",7
"03",512184
"03 August",1
"03 May",14
"03-08",2
"04",578799
"04 April",17
"04 March",7
"05",744193
"06",1123575
"06 February",5
"06-07",1
"07",1641651
"07 February",1
"07 October",4
"08",1339452
"08 September, 13 October",1
"08-02",1049
"08-09",13
"09",801311
"09 August",1
"09 February",3
"09-11",41
"1",1511770
"-1",17
"1/",9
"10",2952549
"1011",16
"10-11",51
"1012",15
"1025",1
"105",16
"11",2244209
"111",2
"11-12",3
"114",2
"12",1645322
"12 & 17 October",1
"120",1
"1201",2
"1202",1
"121",1
"1210",1
"1211",1
"122",2
"13",55
"14",32
"15",86
"15 February",7
"16",38
"166",1
"17",50
"18",37
"1809",1
"1836",1
"1839",3
"1846",1
"1847",2
"1848",3
"1852",1
"1855",1
"1856",1
"1861",1
"1862",1
"1865",2
"1866",3
"1870",3
"1873",4
"1880",1
"1883",1
"1885",3
"1886",1
"1888",1
"1889",2
"1890",3
"1891",1
"1893",1
"1894",3
"1899",1
"19",51678
"1900",1
"1904",1
"1909",1
"1912",1
"1915",1
"1928",3
"1938",1
"1953",1
"1957",1
"2",1483301
"2/",4
"20",1098
"2012",1
"205",2
"21",36
"22",32
"23",29
"2313",1
"24",20
"25",33
"25557",6
"26",14
"27",25
"28",15
"29",16
"3",2108354
"3/",19
"30",29
"304",1
"308",2
"31",23
"311",1
"319",1
"33",1
"34",1
"36",1
"37",2
"378",1
"39",1
"4",2699201
"4/",72
"40",5
"405",1
"406",217
"41",2
"41895",1
"42",1
"46",1
"47",3
"49",1
"5",3772862
"5/",230
"50",4
"506",2
"507",1
"508",46
"51",2
"511",1
"51888",1
"556",1
"59",1
"6",4454777
"6/",269
"60",2
"607",161
"608",1
"609",7
"61",2
"610",9
"611",1
"68",1
"7",5313742
"'7",1
"7/",424
"70",1
"708",58
"709",152
"71",4
"72",1
"73",1
"74",1
"75",1
"77",1
"78",2
"79",3
"8",4441055
"8/",269
"80",6
"809",8
"81",2
"810",3
"811",1
"81866",1
"85",6
"87",1
"88",1
"89",1
"8E",1
"9",3063863
"9/",518
"90",1
"905",6
"909",1
"91",6
"910",42
"911",1
"93",1
"95",4
"96",5
"97",5
"98",3
"99",2
"Amazonas",1
"amplexicaule",1
"and 01 January",7
"and 04 January",1
"April",8534
"April-May",1
"Asclepias curassavica L.",1
"Aspidosperma macrocarpon Mart.",1
"atratum",1
"Aug",18
"August",3081
"Blepharodon nitidum (Vell.) J.F. Macbr.",1
"bracteatus",1
"ca. March",8
"cast",4
"Catharanthus",1
"Condylocarpon isthimicum (Vell.) A.DC.",2
"curassavica",1
"December",954
"Dipladenia",4
"Dipladenia martiana (Stadelm.) A.DC.",1
"Ditassa eximia Decne.",2
"Ditassa hispida (Vell.) Fontella",2
"Ditassa longisepala (Hua) Fontella & E.A. Schwarz",1
"Ditassa mucronata Mart.",1
"Ditassa poeppigii E. Fourn.",1
"Ditassa tomentosa (Decne.) Fontella",1
"elegans",1
"Fall",6
"Fall & Winter",4
"February",2543
"Forsteronia",1
"Forsteronia australis M��ll.Arg.",1
"Forsteronia refracta M��ll.Arg.",1
"Gabrielle, R.",1
"gentianoides",1
"Hancornia",1
"hastata",1
"Hoehne, F.C.",1
"I",1
"II",1
"incarnata",1
"IV",2
"Janauary",1
"January",1012
"Jul",10
"july",7423
"July and August",12
"July or august",10
"July-August",15
"July-Sep",14
"jun",2
"June",10910
"June or july",9
"June/July",8
"June-August",48
"June-July",1
"Late Fall",6
"late spring",2
"Late summer",1
"March",6167
"March-April",1
"May",8618
"May / June",1
"May or June",1
"May-June",1
"May-September",3
"Minaria decussata (Mart.) T.U.P. Konno & Rapini",2
"mounted",2
"mucronata",1
"nitidus",1
"November",1127
"November-December",2
"Novemember",1
"Oct",1
"October",1744
"October - November",1
"or 03 October",2
"Oxypetalum appendiculatum  Mart.",3
"Oxypetalum erectum Mart.",1
"Oxypetalum insigne (Decne.) Malme var. insigne",1
"Oxypetalum wightianum Hook. & Arn.",1
"Plantae",5
"R",1
"rugellosus",1
"saug",1
"Sept",51
"Septeber",1
"September",2681
"��sia",1
"speciosa",2
"Spring",54
"SUmmer",49
"surinamensis",1
"sylvestris",1
"Tassadia subulata (Vell.) Fontella & E.A.Schwarz",1
"unknown",2
"V",2
"variegata",1
"Winter",3
"X",1
"XI",1
