"establishmentMeans","reps"
"smokestack kill",2
"smothered in chimney",1
"snared illegally",1
"snared on nest",2
"spring banding casualty",1
"starvation",1
"starved in Apple Tree",1
"starved, seen daily by many individuals from 16-30 December 2012, then found dead 2 January 2013 by Brendan Boyd",1
"Stockholm, Djurg��rdsbrunn",3
"Stoloniferous herb in ditch",1
"struck by motor car at 0300 hrs on Jones Ave",1
"suffocated in banding trap",3
"swept over falls",49
"swept over falls, died in captivity",1
"taken alive",1
"taken as it left nest",1
"taken at nest",4
"taken at nest hole",5
"taken at nesting colony",1
"taken fom egg",1
"taken from a group of young in rocks",1
"taken from a nest in a hole in a bank",1
"taken from a nest in stub of tree",1
"taken from a nest in telegraph pole",1
"taken from a nest on barn",1
"taken from a nest, nest also collected",16
"taken from egg",7
"taken from egg in nest",2
"taken from eggs",1
"taken from Larus glaucescens",1
"taken from nest",232
"taken from nest April 24 1952",1
"taken from nest hole in dead oak, collected at 1400 hrs",1
"taken from nest in 1934",1
"taken from nest in bird box",2
"taken from nest in hole in bank",3
"taken from nest in telegraph pole",1
"taken from nest of 3",1
"taken from nest of 4",1
"taken from nest on a roof",1
"taken from nest on roof",1
"taken from nest on verandah pillar",3
"taken from nest tunnel in sandbank",6
"taken from nest under rafter of building",2
"taken from nest which had been blown down by heavy rain and wind",1
"taken from nest, 7 ft from ground",1
,67777561
"`",1
"0",52
"1 of 37 which came down in sleet storm",1
"1 of 501 killed at lighthouse",4
"1`",1
"5 young and adults taken",1
"5500-5600 ft.",1
"A lawn specimen",2
"accidental death",29
"Adult",2261
"Adult/Brood",36
"adutl",1
"Adventive",1
"airplane kill",3
"airplane kill at 1200 ft",1
"alive when found, full of shot",1
"Aspergillosus?",1
"attacked and killed by Common Crow",1
"attacked by four crows",1
"bad skunk odor, porcupine quills embedded in head and neck",1
"badly oiled, died next day",1
"banding casualty",44
"banding casualty, drowned",1
"banding casualty, found ill afterwards",1
"banding casualty?",1
"beach kill",237
"beach kill, 1 of 25 small waders found shot",1
"beach kill, badly oiled",1
"beach kill, found in fresh condition, prob died ca 1927 May 27",1
"beach kill, head injury",1
"beach kill, no wound",1
"beach kill, oil kill?",1
"beach kill, oil soaked",1
"beach kill, oiled",2
"beach kill, partly eaten by gulls, lead shot in wing",1
"beach kill, prob caught in gill nets",1
"beak caught ver plk (vertical plank ?)",1
"Bird hit by airplane",1
"bird seen alive 1987 Dec 01-26",1
"born and died on same day",1
"botulism victim",1
"bought 1884 April",1
"bought 25 Dec 1894",1
"bought by E S Elliot in Leadenhall Market, London, England, 14 January 1889",1
"bought from dealer in Montreal",1
"bought from friend of Elgie",1
"bought from game dealer, ca Nov 1923 Montreal",1
"bought from game dealer, Montreal ca Nov 1923",1
"bought from New Zealand, 1871",1
"bought from Wm Cross, Toronto, said to have been brought from Jamaica",1
"bought from Woolworth & Co Toronto for $15.00 by J H Fleming",1
"bought in 1874",1
"bought in 1952 at auction Port Dover, Ontario from Edw. Forest",1
"bought in a market",1
"bought in a Philadelphia, Pennsylvania market",1
"bought in a store",2
"bought in bird market in Paris",2
"bought in Chicago market? about 1892",1
"bought in Dunedin",1
"bought in Dunedin, NZ",1
