"data.dwc:nomenclaturalStatus","reps"
"no",3152203
"opinion",3152203
"legitimate",1082120
"nom",69033
"cons",67896
"accepted",38452
"illegitimate",22543
"invalid",20242
"public",4259
"valid",2757
"not",2349
"rej",1137
