"basisOfRecord","reps"
"Blood",77
"Neoxyphinus furtivus",77
"Zalmoxidae",77
"Dysderina",76
"Gelanor",76
"Photograph",76
"Cynorta conspersa",75
"Dipoena atlantica",75
"Tetragnathidae",73
"Gamasomorpha",71
"Lyssomanes",71
"Orchestina",69
"aff. Xyccarph",68
"Geaya",68
"Goeldia",68
"Teminius insularis",68
"Chaetacis aureola",67
"Micrathena schreibersi",67
"Scaphiella",67
"Ctenus similis",66
"Miagrammopes",66
"Nephila  clavipes",66
"Stygnus",65
"Oonops",64
"Ancylometes",63
"Fufius",63
"Amblypygi",62
"Lycosidae",62
"Epicratinus",61
"Hapalopus butantan",61
"Elaver valvula",60
"Gagrellinae",60
"Thymoites",60
"Cynorta juruensis",58
"Kalcerrytus",58
"Mangora hirtipes",58
"Paratropis",57
"Thwaitesia  bracteata",57
"HerbariumSpecimen",56
"Neoxyphinus termitophilus",56
"Nothroctenus",56
"Otiothops curua",55
"Mesabolivar spinulosus",54
"Pisauridae",54
"Gryne",53
"Paecilaema",53
"Apopyllus",52
"Uloboridae",52
"Thwaitesia",51
"Pseudanapis",50
"Theraphosa blondi",50
"Bolostromus",48
"Loxosceles amazonica",48
"Mesabolivar cambridgei",48
"Paecilaema lobipictum",48
"Thelyphonellus",48
"Aphantochilus",47
"Euophryinae",47
"Micrathena kirbyi",47
"Oxyopes",47
"Phoneutria reidyi",47
"Patrera",46
"Xeropigo",46
"Ctenus villasboasi",45
"Oxyopidae",45
"Trachelas",45
"Carapoia  fowleri",44
"Ogulnius",44
"Oxyopes holmbergi",43
"Parawixia kochi",43
"cf. Eutimesius",41
"cf. Neotrops",41
"Rhomphaea",41
"Camillina",40
"Gradungulonoops?",40
"Achaearanea trapezoidalis",39
"Argiope  argentata",39
"Diplura sanguinea",39
"Scytodidae",39
"Cryptocellus simonis",38
"Holothele rondoni",38
"Lycosa",37
"Tenedos hoeferi",37
"Metazygia",36
"Oxyopes incertus",36
"Avicularia",35
"Stygnommatidae",35
"Scopocira tenella",34
"Micrathena",33
"Mimetidae",33
"Ocrepeira",33
"Oon-simlops-falta preencher",33
"Alpaida gutoi",32
"Palpimanidae",32
"Pseudodysderina?",32
"Tullgrenella",32
"Chrysso",31
"Cotinusa dimidiata",31
"Ctenus dubius",31
"Hypognatha",31
"Surazomus paitit",31
"Tetragnatha",31
"Agyneta",30
"Carapoia  ocaina",30
"cf. Styposis",30
"Ischnothele guianensis",30
"Paracleocnemis",30
"Protus insolens",30
"Scaphiella irmaos",30
"Scytodes altamira",30
"Idiops",29
"Linyphiidae",29
"Mangora",29
"Thaumasia  argenteonotata",29
"Theraphosinae",29
"Deinopis",28
"Enoploctenus",28
"Fernandezina",28
"Kimulidae",28
"Micrathena triangularispinosa",28
"Neoxyphinus boibumba",28
"Physocyclus globosus",28
"Scytodes championi",28
"Trechalea",28
"Acentroscelus",27
"Coleosoma",27
"Cyclosa fililineata",27
"Fufius auricomus",27
"Micrathena miles",27
"Senoculus",27
"Theridiosomatidae",27
"Mangora pia",26
"Opiliones",26
"Sidusa",26
"Thymoites piarco",26
"Coryphasia",25
"Trechaleidae",25
"Azilia",24
"Dipoena militaris",24
"Oxyopes salticus",24
"Rhoicinus",24
"Still Image",24
"Strophius",24
"Calluga",23
"Chira lanei",23
"Gephyroctenus",23
"Myrmecotypus",23
"Schaenicoscelis",23
"Alcmena",22
"Cryptocellus",22
"Cylistella",22
"Epicadus",22
"Isoctenus",22
"Itata",22
"Mago acutidens",22
"Olios",22
"Cerocida ducke",21
"Eriophora fuliginea",21
"Faiditus",21
"Hapalopus",21
"Itata tipuloides",21
"Mesabolivar eberhardi",21
"Phoneutria",21
"Scytodes lineatipes",21
"Thiodina",21
"Acacesia benigna",20
"Ariamnes attenuatus",20
"Creugas",20
"Dipoena esra",20
"Episinus erythrophthalmus",20
"Gnaphosidae",20
"Hamataliwa",20
"Leprolochus",20
"Metazygia jamari",20
"Psecas euoplus",20
"Zimiromus",20
"Araneus",19
"Capidava biuncata",19
"Centroctenus ocelliventer",19
"Heteropoda venatoria",19
"Misumeninae",19
"Roquettea singularis",19
"Scytodes piyampisi",19
"substituir",19
"Tobias",19
"Aff Holothele",18
"Cinetomorpha",18
"Corinna ducke",18
"Masteria",18
"Metagonia beni",18
"Micrathena spinosa",18
"Neonella",18
"Oonopinae",18
"Styposis",18
"Achaearanea",17
"Alpaida delicata",17
"Araneus venatrix",17
"Berlandiella",17
"Castianeira",17
"Centroctenus auberti",17
"Elaver",17
"Escaphiella cidades",17
"Odo vittatus",17
"Stygnus luteus",17
"Amazodysderina?",16
"Cryptachaea pydanieli",16
"Discocyrtus carvalhoi",16
"Freya perelegans",16
"gen. nov.",16
"Stephanopis",16
"Agalenocosa",15
"Dossenus marginatus",15
"Elaver juruti",15
"Ephebopus murinus",15
"Eutichurus",15
"Human Observation",15
"Megaphobema teceae",15
"Metazygia gregalis",15
"Spilasma duodecimguttata",15
"Syncranaus cribum",15
"Acacesia",14
"Achaearanea hieroglyphica",14
"Anapidae",14
"Ariadna",14
"Cupiennius bimaculatus",14
"Cyclosa tapetifaciens",14
"Dipoena kuyuwini",14
"Episinus garisus",14
"gr. Reticulatus",14
"Ischnothele",14
"Lasaeola donaldi",14
"Otavaloa lisei",14
"Pseudosparianthis ravida",14
"Scopocira carinata",14
"Teudis",14
"Titidius quinquenotatus",14
"Aff. Holothele",13
"aff. Sassacus",13
"aff. Titidius",13
"Coleosoma floridanum",13
"Corinna mourai",13
"Cyriocosmus fasciatus",13
"Dipoena hortoni",13
"Escaphiella aratau",13
"Falconina gracilis",13
"Lyssomanes nigropictus",13
"Mangora woytkowskii",13
"Neoxyphinus petrogoblin",13
"Phoroncidia",13
"Psecas",13
"Theridion",13
"Thwaitesia  simoni",13
