"data.dwc:typeStatus","reps"
"none",1350183
"paratype",463719
"isotype",366562
"type",344587
"holotype",328419
"of",249551
"syntype",190494
"a",114980
"voucher",111751
"in",110874
"name",110622
"publication",110337
"http",110336
"arctos.database.museum",110334
"href",110334
"page",74698
"s",72548
"et",70349
"al",70338
"basionym",55679
"2015",48594
"hypotype",43376
"status",41059
"unknown",40412
"lectotype",34445
"and",34355
"2013",30183
"figuré",28637
"0",28512
"10006537",27940
"bousquet",27940
"3",27554
"isosyntype",27553
"10007192",26961
"baltensperger",26961
"huettmann",26961
"physicalobject",26565
"isolectotype",23492
"cité",22542
"bombus",17114
"possible",16013
"publ",15947
"paralectotype",15412
"10007148",14897
"pampell",14897
"fragment",11437
"sorex",11283
"topotype",10780
"2014",10407
"var",10296
"referral",10231
"collection",9849
"microtus",9429
"original",9265
"allotype",8163
"sikes",8142
"material",8134
"lewis",7827
"10007265",7809
"myodes",7776
"figured",7455
"rutilus",7402
"cinereus",7220
"cotype",6969
"2016",6896
"10",6863
"10006887",6546
"pantoja",6546
"paratipo",5935
"paratypes",5710
"not",5675
"pterostichus",5256
"pheidole",5229
"ex",4812
"ross",4684
"10007264",4532
"holotipo",4528
"fig",4517
"p",4472
"isotipo",4320
"i",4287
"isotypus",3920
"e",3906
"bifarius",3580
"nontype",3576
"yes",3488
"neotype",3439
"anolis",3396
"probable",3332
"indicated",3310
"primary",3310
"b",3291
"2012",3247
"parátipo",3242
"homeotype",3199
"adstrictus",3156
"plesiotype",3144
"oeconomus",3142
"2008",3028
"monticolus",2987
"vu",2980
"occidentalis",2970
"centralis",2922
"c",2914
"taraxacum",2882
"paratopotype",2828
"10007372",2809
"urb",2770
"camponotus",2722
"sp",2649
"10007370",2619
"mchugh",2619
"r",2577
"drawing",2426
"paratypus",2379
"published",2363
"scaphinotus",2315
"2007",2302
"10006207",2081
"collet",2081
"f",2039
"10007122",2028
"cook",2001
"2010",1992
"gastrotheca",1977
"kerr",1948
"2011",1926
"griswoldi",1908
"pennsylvanicus",1908
"eleutherodactylus",1902
"tipo",1897
"2002",1880
"ferris",1877
"h",1877
"subsp",1842
"hieracium",1836
"batrachylodes",1810
"jonellus",1762
"xanthognathus",1759
"isoneotype",1757
"10007169",1748
"2009",1746
"l",1729
"calathus",1728
"para",1713
"hypodigm",1627
"dahlst",1615
"g",1609
"agonum",1580
"sphaerodactylus",1529
"holótipo",1524
"sw",1515
"cupreum",1509
"amara",1496
"sintipo",1481
"eckl",1474
"sphenomorphus",1459
"angusticollis",1456
"synonym",1441
"junior",1438
"benth",1436
"amp",1431
"zeyh",1419
"hope",1394
"dna",1391
"americana",1361
"ekman",1350
"2005",1343
"the",1343
"1",1317
"10005893",1290
"elegans",1281
"isótipo",1279
"j",1250
"holotypus",1241
"flavifrons",1236
"crematogaster",1218
"referred",1201
"robertson",1192
"martes",1184
"fr",1179
"2",1137
"sond",1136
"fo",1128
"crenicollis",1119
"peromyscus",1119
"part",1113
"tetramorium",1104
"malme",1085
"plastotype",1078
"moore",1070
"2004",1057
"andrena",1056
"frigidus",1054
"ingratus",1042
"tov",989
"yom",989
"polyrhachis",979
"miurus",977
"plastoholotype",976
"melanopygus",974
"obesa",956
"perplexus",946
"schltr",943
"steremnius",925
"isosyntypus",924
"marginatus",920
"rosenst",916
"w",916
"syntypes",913
"hippodamia",912
"9",910
"sm",910
"14",908
"fanniidae",883
"dc",879
"mediodiscus",879
"2006",865
"mus",860
"hochst",859
"carinatus",849
"frison",849
"m",847
"from",846
"mey",837
"k",835
"non",828
"additional",825
"freyn",813
"ssp",813
"lectoparatype",812
"mixtus",801
"photo",795
"stone",784
"griseb",781
"nebria",774
"nees",761
"meisn",759
"boiss",746
"leptofasciatus",744
"ms",741
"longicaudus",740
"sint",732
"wake",727
"new",726
"helix",725
"illustration",720
"isoparatypus",718
"basis",717
"todd",714
"2001",713
"canadensis",712
"clastotype",712
"advena",690
"2062",681
"10004414",681
"cognatus",673
"haglund",660
"néotype",658
"coccinella",649
"genetic",646
"hydropsyche",644
"par·tipo",642
"10004560",636
"parmenter",636
"strumigenys",635
"ameiva",621
"monomorium",611
"ricker",606
"slowik",605
"microslide",604
"macgillivray",601
"ann",597
"rich",594
"borealis",591
"steud",591
"lundell",590
"ined",587
"philip",587
"runck",587
"10007289",586
"atheta",585
"schwartz",584
"formica",583
"239",582
"o",582
"quinquesignata",582
"zapus",578
"baker",574
"scathophaga",574
"authentic",573
"4",572
"gracilis",571
"lynx",571
"dicheirotrichus",568
"ducke",568
"dolerus",567
"galbreath",567
"carnegie",564
"mentioned",564
"gonatodes",558
"standl",556
"t",556
"1806",555
"1000074",555
"taxon",555
"turton",555
"24",552
"host",550
"conroy",549
"1999",546
"bolitoglossa",542
"californicus",542
"10004828",541
"soc",539
"rech",537
"y",536
"townsendi",533
"sci",531
"atricucullaris",524
"chironomidae",523
"astragalus",521
"insularis",521
"other",519
"specimen",518
"tachinus",517
"harv",513
"measured",512
"laberge",511
"7",500
"d",500
"isoparatype",500
"6",496
"1940",493
"allen",493
"piper",491
"engl",484
"intermedia",476
"tundrensis",471
"18",467
"brunneus",466
"10006540",463
"leptogenys",459
"malloch",459
"myrmica",456
"prob",455
"batrachoseps",454
"chodat",454
"diptera",454
"murb",454
"hudsonius",453
"hyperolius",452
"leiocephalus",450
"synaptomys",448
"2000",446
"bornm",446
"strophiops",445
"trel",441
"707",437
"1000157",434
"peirce",434
"ranunculus",431
"10005403",430
"dipodomys",429
"rana",429
"typus",428
"californica",427
"hassl",427
"neotoma",427
"biol",423
"metallica",423
"van",421
"1998",420
"bicolor",420
"bufo",420
"emoia",413
"lemmus",411
"polypodium",411
"minor",410
"barbouri",409
"dytiscidae",409
"10006666",407
"mann",407
"melania",407
"trimucronatus",407
"smith",406
"allocapnia",403
"rob",399
"thorius",399
"miq",397
"merriami",395
"tabanus",394
"co",393
"cnemidophorus",392
"peperomia",391
"proc",391
"1970",390
"8",389
"plastoparatype",389
"schum",386
"myotis",385
"eugenia",384
"empidonax",383
"transversoguttata",383
"castañeda",381
"merr",378
"oligoryzomys",376
"de",375
"achatinella",374
"panicum",372
"solenopsis",372
"n",371
"tuberculatus",371
"10006803",370
"citations",370
"cumv",370
"fish",370
"cychrus",368
"marmoratus",368
"basalis",365
"chr",364
"hydroptila",364
"lepidophorus",364
"leptothorax",364
"recorded",363
"cerion",361
"americanus",358
"brevicornis",358
"lepus",358
"planorbidae",358
"johanss",357
"taylor",356
"bembidion",352
"grandis",351
"corixidae",350
"dryopteris",350
"senecio",349
"10006359",347
"castaneus",347
"urocoptis",347
"auricomus",346
"spermophilus",344
"anthomyiidae",343
"aspalathus",343
"chamaeleo",341
"maculatus",341
"salix",341
"hook",340
"lectotipo",340
"topotypes",340
"amethystinus",338
"erythroneura",338
"north",338
"quadrinomial",338
"tanneri",338
"unavailable",338
"bull",337
"coenagrionidae",337
"malaney",337
"birds",336
"tamias",336
"eupatorium",335
"1000190",334
"tinnin",334
"1983",333
"montanus",333
"oxalis",333
"cogn",332
"müll",332
"canis",331
"rose",331
"harms",330
"lupus",328
"hyla",327
"mustela",325
"thunb",325
"13",324
"lindb",324
"collembola",323
"cyclostoma",323
"erica",323
"10006719",322
"cinerea",322
"sceloporus",322
"lindm",321
"longicaudatus",321
"12",320
"roquet",320
"nesomyrmex",319
"10006471",318
"rosa",318
"arg",317
"keeni",317
"milne",317
"carex",316
"oculatus",316
"2003",315
"148",313
"female",311
"liguus",311
"skottsb",311
"br",309
"topoparatype",309
"unconfirmed",309
"alvarez",307
"isolectotypus",306
"10005436",305
"distichus",305
"gupta",305
"plastosyntype",305
"wash",305
"miconia",304
"poa",304
"montana",303
"phrynobatrachus",303
"simplex",303
"16",302
"greenm",301
"sch",301
"5",300
"glaucomys",300
"rhyacophila",299
"andersson",298
"bip",298
"major",298
"sabrinus",298
"1941",296
"gilg",295
"hydracarina",295
"10006607",293
"mcguire",293
"euphorbia",291
"mez",291
"bidlack",290
"10005415",289
"kük",289
"palma",289
"ursus",289
"julin",287
"affinis",286
"10006705",285
"jockusch",285
"coker",284
"maniculatus",283
"det",281
"phyllodactylus",281
"physidae",281
"plasto",281
"carabus",280
"syntypus",280
"azteca",279
"hoyi",278
"silusa",278
"lasius",277
"pyramica",277
"researched",277
"43",276
"aenictus",274
"lymnaeidae",274
"ponera",274
"bachia",272
"hultén",271
"ochotona",271
"257",270
"uluguruensis",270
"28",269
"174",269
"10007066",269
"cakenberghe",269
"phototype",269
"aegialites",266
"aphaenogaster",266
"dictyoptera",266
"amphipoda",264
"paratopotypes",264
"photograph",263
"angustifolia",262
"knuth",261
"lucid",261
"plethodon",260
"solanum",260
"sylvicola",260
"1938",259
"nivalis",259
"carolina",258
"zahn",258
"179",257
"university",257
"1975",256
"ekmanii",256
"museum",256
"peter",256
"philippine",256
"epitype",255
"nasionia",255
"variabilis",254
"10004858",253
"neodiprion",253
"variety",253
"sthereus",252
"asplenium",251
"guatteria",251
"weckworth",250
"mabuya",249
"messor",249
"columbiana",248
"hylurgops",248
"rugipennis",248
"burks",247
"sam",247
"agoliinus",246
"ostracoda",246
"thomomys",245
"55",244
"cicindela",244
"kraenzl",244
"temnothorax",244
"15",243
"96",243
"carebara",243
"fasciatus",243
"gannon",243
"pilg",243
"1000022",242
"paralectotypes",242
"racz",242
"validus",241
"collaris",240
"hepner",240
"libellulidae",240
"moldenke",240
"nägeli",240
"rubus",240
"trifasciata",239
"27",238
"monticola",238
"croton",237
"hapantotype",237
"nied",237
"wright",237
"niger",236
"pallas",236
"10004392",235
"mimosa",235
"copei",234
"jour",234
"viridiaeneus",232
"simplicipes",231
"capensis",230
"america",229
"longino",229
"rufa",229
"10007489",228
"austrochaperina",228
"cason",228
"dusén",228
"othus",228
"metatype",227
"blume",226
"conserved",226
"gulo",226
"robustus",226
"tredecimpunctata",226
"wurdack",226
"10005395",225
"cyperus",225
"hanken",225
"poss",225
"radlk",225
"rhinosimus",225
"spruce",222
"no",221
"tuberosus",221
"típo",221
"christ",220
"haliplidae",220
"hitchc",220
"stenamma",220
"erminea",219
"fusca",219
"pseudoeurycea",219
"taeniopteryx",219
"682",218
"inquinatus",218
"rhizophagus",218
"stud",218
"mbr",217
"odorrana",217
"sonoma",217
"rusby",216
"1006",214
"1950",214
"verbascum",214
"debilis",213
"vernonia",213
"american",212
"obscurellum",212
"1992",211
"parryii",211
"derongo",210
"difficilis",210
"hoberg",210
"neothetalia",210
"unio",210
"22",209
"bulletin",209
"sintenisii",209
"806",208
"fleming",207
"selandria",207
"1989",206
"cheumatopsyche",206
"klotzsch",206
"193",205
"365",205
"aeshnidae",205
"pulchella",205
"sullivan",205
"tertiary",205
"1758",204
"bohemicus",204
"fischeri",204
"hyl",204
"polygala",204
"29",203
"10006332",203
"dorylus",203
"pax",203
"pringlei",203
"mexicanus",201
"oxydactyla",201
"11",200
"arctica",200
"australis",200
"ionidesii",200
"iridomyrmex",200
"latifolia",199
"markl",199
"1792",198
"araneus",198
"botanical",198
"frey",198
"liotrichus",198
"strophia",198
"alloperla",197
"early",197
"personatus",197
"urbis",197
"cylindrella",195
"dioscorea",195
"shaw",195
"1984",194
"gapperi",194
"hack",194
"lineatum",194
"probably",194
"919",193
"hausskn",193
"princeps",193
"zool",193
"1954",192
"gray",191
"linnaeus",191
"states",191
"ventricosa",191
"cubensis",189
"ferro",189
"yang",189
"clethrionomys",188
"isonéotype",188
"ordovician",188
"pubescens",188
"veliidae",188
"xyris",188
"258",187
"1982",187
"elmer",187
"helicina",187
"heminota",187
"pogonomyrmex",187
"1973",186
"isolectotipo",186
"ruthveni",186
"western",186
"dolichoderus",185
"sphaeriidae",185
"1997",184
"arostrilepis",184
"bot",184
"gardner",184
"parviceps",184
"10007301",183
"acuminatus",183
"leucopus",183
"voegtlin",183
"vulpes",183
"bakeri",182
"festuca",182
"olivaceus",182
"schmidt",182
"signifera",182
"theridion",182
"trypodendron",182
"10006559",181
"hispida",181
"markarikov",181
"nicrophorus",181
"pl",181
"symbiotype",181
"acutotyphlops",180
"archaeoplax",179
"club",179
"nigrescens",179
"psychotria",179
"pumilus",179
"typhlops",179
"wattsi",179
"10004834",178
"kunuaensis",178
"tenuis",178
"cinara",177
"cornuta",177
"cryptolithus",177
"glacialis",177
"octostruma",177
"parahapantotype",177
"succinea",177
"1927",176
"ceratapogonidae",176
"mikania",176
"phrynomantis",176
"82",175
"dimidiatus",175
"dragoo",175
"longipes",175
"loveridgea",175
"stenocercus",175
"1882",174
"1966",174
"arthroleptis",174
"chaerephon",174
"diels",174
"lecto",174
"nat",174
"pacifica",174
"rufipennis",174
"williams",174
"agathosma",173
"botany",173
"odontomachus",173
"pachycondyla",173
"presl",173
"41",172
"61",172
"10005435",172
"burns",172
"leptinillus",172
"carinata",171
"chrysometa",171
"ficus",171
"parmelia",171
"technomyrmex",171
"bulimus",170
"wall",170
"agama",169
"agassizii",169
"chambers",169
"gerridae",169
"kunth",169
"species",169
"st",169
"épitype",169
"1965",168
"10000004",168
"alticola",168
"cephalotes",168
"703",167
"10006539",167
"hagelin",167
"holo",167
"klimaszewski",167
"lordithon",167
"protocalliphora",167
"william",167
"conchostraca",166
"helichrysum",166
"interstitialis",166
"polytrichia",166
"washington",166
"baetidae",165
"carn",165
"clausilia",165
"pipra",165
"united",165
"x",165
"1811",164
"barneby",164
"bottae",164
"concolor",164
"elongata",164
"hall",164
"homotype",164
"mexicana",164
"yunck",164
"andropogon",163
"berg",163
"chamissonis",163
"lestidae",163
"strigosula",163
"tundrae",163
"21",162
"ctenomys",162
"hirudinea",162
"rhytidoponera",162
"valerio",162
"31",161
"endl",161
"hoffm",161
"univ",161
"berardo",160
