"data.dwc:typeStatus","reps"
"ipomoea",160
"minutus",159
"press",159
"1942",158
"cambarus",158
"erebush",158
"on",158
"opacum",158
"potamogeton",158
"young",158
"177",157
"bidens",157
"dahlgren",157
"humicola",157
"flavescens",156
"inermis",156
"lupinus",156
"wilson",156
"73",155
"10006618",155
"chrysolaema",155
"cordero",155
"demboski",155
"epps",155
"mitchell",155
"tenthredo",155
"annals",154
"anochetus",154
"dolichopus",154
"hirsuta",154
"watson",154
"17",153
"01",153
"arenicola",153
"cataulacus",153
"chaoboridae",153
"glabra",153
"salvia",153
"schwartzi",153
"thesium",153
"175",152
"1923",152
"1959",152
"acalypha",152
"achatina",152
"insignis",152
"intermedius",152
"notes",152
"sanctidiegi",152
"schauer",152
"aphis",151
"centaurea",151
"haukisalmi",151
"kessel",151
"lineaticollis",151
"plates",151
"pseudomyrma",151
"1979",150
"baccharis",150
"grinnell",150
"inocybe",150
"lobelia",150
"pusillus",150
"20",149
"25",149
"10007308",149
"eciton",149
"indigofera",149
"liogluta",149
"punctatus",149
"truei",149
"1996",148
"clavaria",148
"darlingtoni",147
"hilliard",147
"phyllanthus",147
"abyssinica",146
"acuminata",146
"anelia",146
"brasiliensis",146
"fallax",146
"favret",146
"lanceolata",146
"luteus",146
"obscurus",146
"oligochaeta",146
"pallidus",146
"perdita",146
"phaonia",146
"phratora",146
"series",146
"trapezicollis",146
"ambystoma",145
"anaspis",145
"aristida",145
"dicrostonyx",145
"johnst",145
"pallida",145
"striatus",145
"46",144
"100",144
"aleochara",144
"megalomyrmex",144
"alpestris",143
"amphiura",143
"cassia",143
"groenlandicus",143
"hieron",143
"hymenoptera",143
"juncus",143
"melissodes",143
"paleontology",143
"v",143
"237",142
"ashem",142
"bartl",142
"blagoev",142
"capnia",142
"elisha",142
"regnellii",142
"26",141
"1993",141
"agrostis",141
"confusa",141
"dusenii",141
"eremias",141
"hand",141
"klatt",141
"mazz",141
"phoca",141
"savagei",141
"tessellatus",141
"torrey",141
"weim",141
"23",140
"1000060",140
"10006521",140
"araneae",140
"briq",140
"crotalus",140
"eustala",140
"isoperla",140
"loes",140
"macbr",140
"pratensis",140
"vriese",140
"wheeleri",140
"wooller",140
"alleni",139
"ashm",139
"bolivia",139
"cotypus",139
"leopardus",139
"muscidae",139
"oonops",139
"parkeri",139
"saxifraga",139
"tuberilinguis",139
"1967",138
"gibson",138
"listemus",138
"mangora",138
"mildbr",138
"odynerus",138
"parviflora",138
"prenolepis",138
"reissii",138
"rhynchospora",138
"suppar",138
"calyptranthes",137
"castilleja",137
"colostethus",137
"ichneumonidae",137
"insecta",137
"plastohypotype",137
"1937",136
"cinctus",136
"rbtsn",136
"robusta",136
"steetz",136
"strigosa",136
"288",135
"humilis",135
"lyrosoma",135
"sieber",135
"30",134
"10006684",134
"annulatus",134
"busack",134
"castaneipennis",134
"decipiens",134
"eragrostis",134
"lanier",134
"nitida",134
"palustris",134
"rigida",134
"stenonema",134
"yoo",134
"799",133
"10004406",133
"acacia",133
"bothrops",133
"burksi",133
"cochranae",133
"dalerum",133
"floridana",133
"littoralis",133
"rondeletia",133
"rydb",133
"sylvaticus",133
"winstoni",133
"1939",132
"1948",132
"1994",132
"10006325",132
"adelomyrmex",132
"hypericum",132
"pantoni",132
"rufiventris",132
"52",131
"1915",131
"10006623",131
"alpinus",131
"aurora",131
"cingulatus",131
"laevis",131
"maculata",131
"oecetis",131
"pilea",131
"punctata",131
"sayi",131
"sleumer",131
"patrobus",130
"quedius",130
"10007021",129
"boulengerula",129
"elateridae",129
"heldr",129
"islands",129
"nelsoni",129
"notiophilus",129
"ophiacantha",129
"stenus",129
"1393",128
"apparently",128
"cyathea",128
"hardy",128
"isolectoparatype",128
"pavonia",128
"secondary",128
"uta",128
"abrothrix",127
"braun",127
"frigida",127
"fée",127
"habenaria",127
"halictus",127
"jones",127
"nigra",127
"pseudomyrmex",127
"viola",127
"evotis",126
"fauna",126
"gand",126
"lehm",126
"liparis",126
"micrathena",126
"nevadensis",126
"perizoma",126
"plas",126
"pulchra",126
"rodr",126
"schulz",126
"simulans",126
"tapinoma",126
"toxostoma",126
"53",125
"197",125
"canada",125
"chimarra",125
"dictyna",125
"forst",125
"lithobius",125
"orientalis",125
"rhamphomyia",125
"zenkeri",125
"10006570",124
"aspidium",124
"bitter",124
"cyanocitta",124
"duvidosus",124
"gambelii",124
"isoepitype",124
"mast",124
"norton",124
"ornata",124
"quadrituberculatus",124
"rhyncolus",124
"similis",124
"winslow",124
"10006489",123
"brazil",123
"kalkvik",123
"netting",123
"obscura",123
"ovata",123
"plus",123
"preliminary",123
"south",123
"stipa",123
"95",122
"107",122
"1920",122
"1951",122
"auriculus",122
"chondropoma",122
"duplicate",122
"fasciata",122
"gaigei",122
"lindl",122
"multituberculatus",122
"oxypetalum",122
"smithii",122
"virgata",122
"45",121
"104",121
"1801",121
"cerapachys",121
"favosites",121
"grandiflora",121
"nitidus",121
"northern",121
"perognathus",121
"phoridae",121
"phylica",121
"picta",121
"striata",121
"apricus",120
"cardiocondyla",120
"dryocoetes",120
"fernald",120
"hist",120
"mittleman",120
"philonthus",120
"torres",120
"williamsi",120
"1917",119
"1968",119
"banksi",119
"barb",119
"bison",119
"crotalaria",119
"cuatrec",119
"ornatus",119
"reticulata",119
"typodigm",119
"varians",119
"38",118
"10006363",118
"10006619",118
"auberi",118
"brant",118
"ceraurus",118
"cundalli",118
"curvirostre",118
"eucnecosum",118
"goniobasis",118
"hagstr",118
"harris",118
"marginata",118
"oliv",118
"smithi",118
"thoracicus",118
"wedd",118
"284",117
"amphisbaena",117
"eurhopalothrix",117
"for",117
"greene",117
"maguire",117
"meranoplus",117
"portoricensis",117
"silene",117
"spongia",117
"undulata",117
"10007028",116
"carib",116
"chiropterotriton",116
"crenatus",116
"empetricola",116
"nyikae",116
"phil",116
"10007020",115
"cataglyphis",115
"eriogonum",115
"liolaemus",115
"lygodactylus",115
"minuta",115
"natrix",115
"neotrichia",115
"panamensis",115
"ptinoides",115
"richmondi",115
"rufescens",115
"scudder",115
"clarke",114
"diplolepis",114
"dosytheus",114
"mirabilis",114
"nana",114
"pennell",114
"polymita",114
"thomas",114
"19",113
"02",113
"bolitobius",113
"gleason",113
"graptemys",113
"hale",113
"leptodactylus",113
"viridis",113
"waltari",113
"37",112
"227",112
"academy",112
"albigula",112
"anderson",112
"asplundii",112
"concinna",112
"cyathophyllum",112
"eirone",112
"mart",112
"pseudolasius",112
"turcz",112
"venustus",112
"54",111
"158",111
"1918",111
"acad",111
"cabritensis",111
"calliopsis",111
"clavilithes",111
"cousinia",111
"dendroctonus",111
"dorsalis",111
"king",111
"nelson",111
"oreohelix",111
"restio",111
"scolecomorphus",111
"steyerm",111
"110",110
"confinis",110
"dipoena",110
"etheostoma",110
"floridanus",110
"hermannia",110
"holmgren",110
"hypnoidus",110
"meridionalis",110
"pamphila",110
"pardosa",110
"symplocos",110
"33",109
"379",109
"1976",109
"1977",109
"1000062",109
"bequaerti",109
"brevis",109
"burret",109
"corbicula",109
"epidendrum",109
"marmota",109
"mortensen",109
"mycologia",109
"parva",109
"penstemon",109
"pseudemys",109
"sciurus",109
"selago",109
"stapf",109
"222",108
"985",108
"10004757",108
"10007131",108
"angusta",108
"carmichael",108
"copel",108
"florida",108
"harpalus",108
"heimerl",108
"lepisiota",108
"myers",108
"paroedura",108
"small",108
"tomentosa",108
"versicolor",108
"39",107
"83",107
"216",107
"1972",107
"10006640",107
"barbara",107
"boloria",107
"bolus",107
"döll",107
"gering",107
"hiern",107
"palmeri",107
"rhus",107
"stenodactyla",107
"suksd",107
"1392",106
"alsophila",106
"ares",106
"collaria",106
"delong",106
"glaz",106
"microphylla",106
"morton",106
"pusilla",106
"ser",106
"thamnophis",106
"zaphrentis",106
"34",105
"106",105
"athous",105
"brittonia",105
"eurycea",105
"fowler",105
"gossei",105
"ilex",105
"longifolia",105
"melanerpes",105
"multiflora",105
"spreng",105
"uncertain",105
"47",104
"1991",104
"andrenacrudenilaberge",104
"atta",104
"brause",104
"coccoloba",104
"elongatus",104
"gaigeae",104
"macrocephalus",104
"munida",104
"nigricans",104
"potentilla",104
"rugosus",104
"75",103
"396",103
"10005431",103
"caloplaca",103
"cynops",103
"data",103
"divergens",103
"flavus",103
"hydrophilidae",103
"illini",103
"leptotyphlops",103
"macrolepis",103
"minimus",103
"olea",103
"olssoni",103
"pacific",103
"perez",103
"reveal",103
"salazar",103
"stelleri",103
"ukingensis",103
"wikstr",103
"1947",102
"10007127",102
"acromyrmex",102
"blake",102
"bravo",102
"california",102
"delphinium",102
"ephydridae",102
"fourn",102
"hantaviruses",102
"hendersoni",102
"illinoensis",102
"umbricolus",102
"alba",101
"arenaria",101
"atrecus",101
"browni",101
"genus",101
"gürke",101
"isosintipo",101
"maxon",101
"rossi",101
"rugosa",101
"1928",100
"10006374",100
"10006376",100
"aster",100
"chrysogenys",100
"clavarias",100
"hagl",100
"lunatus",100
"lycosa",100
"marcanoi",100
"parvus",100
"pleurexanthemus",100
"saxatilis",100
"schltdl",100
"villosa",100
"walkeri",100
"1916",99
"10004339",99
"bauhinia",99
"calceolaria",99
"dadopora",99
"discolor",99
"eriocaulon",99
"neuwald",99
"podomyrma",99
"pristomyrmex",99
"purpurea",99
"rhinocricus",99
"triturus",99
"wagneriana",99
"1934",98
"1935",98
"amano",98
"calamagrostis",98
"canescens",98
"crassula",98
"haas",98
"lagopus",98
"longicauda",98
"mccoy",98
"micrurus",98
"platycephalus",98
"pleurotoma",98
"porsild",98
"pusa",98
"saintgeorgensis",98
"souza",98
"tomasik",98
"trichomanes",98
"weksler",98
"321",97
"1431",97
"10004893",97
"bankia",97
"filho",97
"fragilis",97
"fusus",97
"glabrata",97
"illinih",97
"jamaicensis",97
"kotschy",97
"myrcia",97
"parvifolia",97
"137",96
"765",96
"artemisia",96
"cristata",96
"gogia",96
"hesperia",96
"merotype",96
"nylanderia",96
"patruelis",96
"spinosa",96
"wahlenbergia",96
"weld",96
"wetmorei",96
"øllg",96
"10000238",95
"aneides",95
"atelopus",95
"carolinensis",95
"hirsutus",95
"limnephilus",95
"natalensis",95
"nemoura",95
"orphicus",95
"papenfuss",95
"perfecta",95
"plagiolepis",95
"protoptila",95
"townsendii",95
"unspecified",95
"urtica",95
"vitulina",95
"zalmoxis",95
"10000203",94
"10000236",94
"antennaria",94
"caenidae",94
"elliptica",94
"erigeron",94
"heller",94
"insulanus",94
"investigator",94
"mastophora",94
"meliana",94
"myrmecia",94
"ocotea",94
"papilio",94
"phyllophaga",94
"risch",94
"rovito",94
"rupestris",94
"stricta",94
"10007348",93
"alpina",93
"cryptophagidae",93
"danthonia",93
"ectatomma",93
"equus",93
"eutrichapion",93
"july",93
"linearis",93
"micrantha",93
"middle",93
"ophiothrix",93
"physa",93
"platycheirus",93
"possibleisotype",93
"putorius",93
"rosea",93
"schlechteri",93
"viciae",93
"1969",92
"10006339",92
"10006386",92
"agapetus",92
"almq",92
"atlantica",92
"bolivianus",92
"buek",92
"costatus",92
"forssk",92
"gigas",92
"loranthus",92
"lot",92
"marginalis",92
"myrmicaria",92
"physicina",92
"summus",92
"trin",92
"webber",92
"10006341",91
"alpaida",91
"broweri",91
"fuscus",91
"gunderson",91
"heliconius",91
"lederia",91
"odobenus",91
"oryzomys",91
"platynus",91
"rosmarus",91
"rubidge",91
"utricularia",91
"139",90
"314",90
"10004600",90
"adiantum",90
"arenivagus",90
"calisto",90
"fenzl",90
"flora",90
"furcata",90
"goin",90
"grevillea",90
"hypoponera",90
"parra",90
"petrocephalus",90
"photosyntype",90
"ribble",90
"sciaridae",90
"sh",90
"veronica",90
"zeyheri",90
"calvia",89
"charitonius",89
"consobrina",89
"convolvulus",89
"ectenocrinus",89
"elaphoglossum",89
"heteropterys",89
"hymenophyllum",89
"mariae",89
"muraltia",89
"notarnicola",89
"palmgr",89
"quatuordecimguttata",89
"schimperi",89
"sculpturatus",89
"selaginella",89
"spinosus",89
"texana",89
"york",89
"1953",88
"1974",88
"10006461",88
"acuta",88
"boulengeri",88
"cryptocerus",88
"duszynski",88
"fungicola",88
"gentiana",88
"gulella",88
"haitiensis",88
"harling",88
"lindau",88
"lobatus",88
"myrmecocystus",88
"oedipus",88
"phillips",88
"proceedings",88
"tiphia",88
"tropical",88
"1000033",87
"africana",87
"amastra",87
"armata",87
"brevicauda",87
"britton",87
"caespitum",87
"cordia",87
"culicidae",87
"december",87
"diagnoses",87
"exigua",87
"goldblatt",87
"heliconia",87
"inst",87
"longiceps",87
"lycopodium",87
"madroño",87
"male",87
"miller",87
"mollis",87
"sedum",87
"tetragnatha",87
"xenopus",87
"63",86
"132",86
"abditus",86
"alsophis",86
"carpenteri",86
"diospyros",86
"diplazium",86
"flores",86
"foreli",86
"hill",86
"krug",86
"lepidostoma",86
"loveridgei",86
"micans",86
"mount",86
"pau",86
"pseudacris",86
"rchb",86
"rondoensis",86
"serrata",86
"sima",86
"thomson",86
"undulatus",86
"variegatus",86
"69",85
"1900",85
"10000006",85
"animalia",85
"curacao",85
"davis",85
"depressa",85
"dorymyrmex",85
"dunni",85
"gyrinidae",85
"herpetol",85
"hispidus",85
"hyatt",85
"leonard",85
"litoria",85
"modesta",85
"neglecta",85
"plantago",85
"pumila",85
"quercus",85
"rubra",85
"scandens",85
"th",85
"94",84
"178",84
"acroneuria",84
"alchemilla",84
"arai",84
"auburn",84
"aureus",84
"beurl",84
"canadaspis",84
"cestrum",84
"cissus",84
"conspersus",84
"flavipunctatus",84
"herculeanus",84
"journal",84
"justicia",84
"paratopo",84
"schmidti",84
"sodiro",84
"stolzii",84
"volitans",84
"184",83
"ardisia",83
"bremus",83
"desmognathus",83
"guianensis",83
"lavoué",83
"lessa",83
"papaver",83
"petunia",83
"phyllocnistis",83
"pieris",83
"polystichum",83
"populiella",83
"speciosa",83
"adams",82
"andrenatorulosalaberge",82
"brevirostris",82
"carabidae",82
"citation",82
"diploglossus",82
"ecklon",82
"eryngium",82
"fungi",82
"geranium",82
"herpetologica",82
