"sex","reps"
"1 female 1 male",13
"1 Female and about 16 young",1
"1 Female Mature With Eggs",1
"1 Female plus egg sacs",1
"1 Female plus eggs",1
"1 female with eggs (51mm), 2 males (66mm)",1
"1 FEMALE,",2
"1 female, 1 adult",42
"1 female, 1 adult, 1 specimen",1
"1 Female, 1 immature",9
"1 female, 1 male",7
"1 Female, 1 Male, 5 Immatures",1
"1 Female, 1 Penultimate Male",1
"1 Female, 1 Penultimate Male, 1 Immature",1
"1 female, 1 specimen",722
"1 Female, 1 Sub-adult Female",1
"1 Female, 1 Sub-adult Female, 2 Immatures",1
"1 Female, 1 Sub-adult Male",1
"1 Female, 1 Sub-female",2
"1 Female, 1 Sub-Female, 1 Immature",1
"1 Female, 1 Sub-Male",1
"1 Female, 1 Sub-Male, 1 Sub-Female",1
"1 female, 1 unknown",1
"1 female, 10 adults",1
"1 Female, 10 Immatures",1
"1 female, 11 adults",1
"1 female, 12 adults",2
"1 Female, 12 Immatures",1
"1 Female, 14 Immatures",2
"1 female, 14 specimens",1
"1 female, 15 adults",6
"1 Female, 15 Immatures",1
"1 female, 18 adults",1
"1 female, 1es",2
"1 female, 1m",1
"1 female, 1st ny",1
"1 female, 2 adults",2
"1 Female, 2 Immatures",7
"1 female, 2 males",1
"1 female, 2 specimens",4
"1 Female, 2 Sub-adult Females, 2 Immatures",1
"1 Female, 2 Sub-Females",2
"1 Female, 2 Sub-males, 3 Immatures",1
"1 female, 20 adults",3
"1 female, 21 adults",1
"1 female, 25 adults",1
"1 female, 25 specimens",1
"1 female, 2m",1
"1 female, 2puM",1
"1 female, 3 adults",2
"1 Female, 3 Immatures",1
"1 female, 3 males",1
"1 female, 3 specimens",3
"1 female, 3 workers",1
"1 female, 30 adults",2
"1 female, 4 adults",3
"1 Female, 4 Immature Females, 3 Immature Male",1
"1 Female, 4 Immatures",1
"1 female, 4 male",1
"1 female, 4 specimens",3
"1 female, 4 workers",1
"1 female, 5 adults",3
"1 Female, 5 Immatures",1
"1 female, 5 specimens",2
"1 female, 6 adults",1
"1 Female, 6 egg sacs",1
"1 female, 6 specimens",4
"1 female, 7 adults",3
"1 Female, 7 Immatures",1
"1 female, 7 specimens",1
"1 female, 8 adults",1
"1 female, 9 adults",1
"1 Female, I Sub-Female",1
"1 Female. 1 Immature",1
"1 Female. 1 Sub-male",1
"1 female: left legs",1
"1 female: left legs, gaster",1
"1 female: right legs",1
"1 female; ? males",1
"1 female; 1 male",110
"1 female; 10 males",5
"1 female; 11 males",1
"1 female; 13 males",1
"1 female; 14 males",3
"1 female; 17 males",1
"1 female; 19 males",1
"1 female; 2 males",49
"1 female; 21 males",1
"1 female; 22 males",1
"1 female; 24 males",2
"1 female; 3 males",33
"1 female; 31 males",1
"1 female; 4 males",15
"1 female; 44 males",1
"1 female; 5 males",12
"1 female; 6 males",9
"1 female; 7 males",9
"1 female; 8 males",4
"1 female; 9 males",5
"1 female1 male",6
"1 female1 sex not recorded",4
"1 females",1380
"1 females, 0 males",3
"1 females, 1 males",907
"1 females, 10 males",7
"1 females, 11 males",5
"1 females, 12 males",1
"1 females, 14 males",3
"1 females, 17 males",2
