"data.dcterms:license","reps"
"creativecommons.org",15686635
"1.0",10600879
"publicdomain",10592225
"zero",10592225
"http",10297363
"https",5418918
"legalcode",5181057
"by",5103064
"licenses",5103064
"4.0",5094410
"cc0",530328
"nc",521908
"about",20992
"copyright",20992
"fieldmuseum.org",20992
"information",20992
"commons",15860
"creative",15860
"www.opendatacommons.org",8654
"1",4617
"2",4617
"3",4617
"4",4617
"5",4617
"6",4617
"a",4617
"adequado",4617
"agradecimentos",4617
"ao",4617
"as",4617
"associados",4617
"avaliar",4617
"citados",4617
"com",4617
"conhecimento",4617
"constar",4617
"consulta",4617
"curador",4617
"da",4617
"dados",4617
"das",4617
"de",4617
"desde",4617
"deve",4617
"devida",4617
"do",4617
"dos",4617
"e",4617
"em",4617
"enviada",4617
"equipe",4617
"escrita",4617
"formato",4617
"garantias",4617
"grupo",4617
"identificou",4617
"jesus",4617
"material",4617
"mesmo",4617
"moure",4617
"na",4617
"no",4617
"nos",4617
"notificado",4617
"o",4617
"observadas",4617
"originais",4617
"os",4617
"ou",4617
"para",4617
"parciais",4617
"pe",4617
"pela",4617
"pelo",4617
"podem",4617
"por",4617
"qualquer",4617
"que",4617
"registros",4617
"reprocessados",4617
"responsabilidade",4617
"santiago",4617
"seguintes",4617
"sejam",4617
"sem",4617
"sendo",4617
"ser",4617
"sua",4617
"suas",4617
"taxonomista",4617
"uma",4617
"uso",4617
"vendidos",4617
"acurácia",4276
"análises",4276
"autorização",4276
"coleção",4276
"condições",4276
"cópia",4276
"disponíveis",4276
"dá",4276
"entomológica",4276
"espécimes",4276
"estão",4276
"experiência",4276
"explícita",4276
"identificação",4276
"indicação",4276
"informações",4276
"instituições",4276
"não",4276
"procedência",4276
"publicação",4276
"publicações",4276
"questão",4276
"redistribuídos",4276
"responsáveis",4276
"responsável",4276
"são",4276
"usuário",4276
"usuários",4276
"utilização",4276
"acur·cia",341
"an·lises",341
"autorizaá",341
"coleá",341
"condiáıes",341
"cûpia",341
"d",341
"disponìveis",341
"entomolûgica",341
"espècimes",341
"est",341
"experiíncia",341
"explìcita",341
"gastropoda",341
"identificaá",341
"indicaá",341
"informaáıes",341
"instituiáıes",341
"n",341
"procedíncia",341
"publicaá",341
"publicaáıes",341
"quest",341
"redistribuìdos",341
"respons·veis",341
"respons·vel",341
"s",341
"usu·rio",341
"usu·rios",341
"utilizaá",341
"lingulata",225
"rhynchonellata",224
"mammalia",183
"gymnolaemata",140
"cephalopoda",131
"anthozoa",130
"reptilia",58
"trilobita",38
"strophomenata",37
"melanota",33
"actinopterygii",30
"var",27
"indet",17
"bivalvia",14
"alascensis",11
"fish",11
"nelsoni",11
"polychaeta",11
"americanus",9
"couesi",9
"loyca",7
"sandwichensis",7
"scyphozoa",7
"cirripedia",6
"crinoidea",6
"euglyphus",6
"magellanicus",6
"mammal",6
"melodia",6
"spinicauda",6
"ab",5
"linearis",5
"malacostraca",5
"maxima",5
"picta",5
"yucatanensis",5
"arborea",4
"atricapillus",4
"branchiopoda",4
"crassimarginalis",4
"divergens",4
"form",4
"fuscus",4
"hydrozoa",4
"hyemalis",4
"intermedius",4
"laticosta",4
"pinus",4
"unicostata",4
"victoriae",4
