"day","reps"
"",34114039
"1",1654561
"25",1487146
"20",1455802
"15",1446145
"10",1444342
"12",1373267
"18",1371185
"19",1350527
"21",1347059
"22",1342687
"23",1341553
"14",1338137
"16",1335246
"8",1334085
"17",1332719
"24",1324593
"13",1323191
"28",1318526
"26",1312036
"11",1297570
"7",1296489
"27",1293914
"9",1287805
"6",1284882
"5",1280501
"4",1250595
"3",1241070
"2",1240007
"30",1220959
"29",1189344
"0",761074
"31",695619
"[Redacted]",3328
"2326",520
"1516",481
"/1",460
"1967",328
"1966",256
"1/",236
"2/",200
"1968",188
"6/",184
"0/",157
"8/",152
"7/",136
"5/",135
"3/",134
"2930",122
"78",121
"4/",120
"1213",117
"45",99
"9/",96
"2530",94
"1718",83
"1920",82
"3031",79
"607",72
"614",70
"1416",64
"1965",63
"2728",63
"1517",61
"1314",59
"2526",59
"1617",57
"35",54
"1415",53
"1631",51
"1112",50
"2022",48
"2324",45
"90",45
"2224",44
"1530",42
"1819",42
"1011",41
"910",41
"2124",40
"2026",39
"1114",37
"80",34
"1319",31
"2223",31
"708",31
"79",31
"56",30
"1012",29
"/2",29
"2021",28
"304",28
"102",27
"70",27
"1923",26
"34",26
"2527",25
"405",25
"R",25
"1113",24
"1318",23
"1418",23
"406",23
"124",22
"2830",21
"1223",20
"26-28",20
"2729",20
"506",20
"110",19
"1121",19
"2628",19
"57",19
"612",19
"210",17
"414",17
"60",17
"710",17
"2426",16
"2528",16
"2829",16
"33",16
"50",16
"67",16
"809",16
"1921",15
"203",15
"2122",15
"38",15
"40",15
"Gminosperma",15
"2023",14
"2228",14
"512",14
"58",14
"618",14
"98",14
"2225",13
"32",13
"36",13
"37",13
"811",13
"1013",12
"1820",12
"1821",12
"2130",12
"39",12
"46",12
"1014",11
"11-12",11
"111825",11
"1214",11
"1216",11
"2425",11
"2427",11
"2531",11
"1315",10
"1618",10
"1922",10
"818",10
"1630",9
"2024",9
"2025",9
"2328",9
"2428",9
"810",9
"1-3",8
"1520",8
"620",8
"68",8
"89",8
"207",7
"2123",7
"2131",7
"3-4",7
"41",7
"44",7
"4-5",7
"515",7
"69",7
"911",7
"916",7
"1215",6
"1218",6
"2627",6
"2931",6
"-6",6
"717",6
"8-11",6
"9-10",6
"1119",5
"1524",5
"2226",5
"24-28",5
"2630",5
"511",5
"812",5
"103",4
"1116",4
"1118",4
"1120",4
"131",4
"1719",4
"1850",4
"2325",4
"2-5",4
"2730",4
"2831",4
"611",4
"715",4
"72",4
"81",4
"96",4
"97",4
"Echites",4
"R,BHZB",4
"10-11",3
"1015",3
"105",3
"111",3
"1320",3
"1420",3
"1620",3
"1901",3
"191",3
"1924",3
"1925",3
"1987",3
"213",3
"216",3
"224",3
"231",3
"2331",3
"2431",3
"2629",3
"265",3
"2nd week",3
"311",3
"411",3
"42",3
"521",3
"709",3
"75",3
"91",3
"Asclepias",3
"Dipladenia",3
"-",2
"-1",2
"1*",2
"1017",2
"109",2
"113",2
"115",2
"116",2
"120",2
"1226",2
"1227",2
"1231",2
"125",2
"126",2
"12��",2
"130",2
"13136",2
"13-14",2
"1316",2
"1330",2
"1419",2
"1528",2
"155",2
"1624",2
"1625",2
"171",2
"1728",2
"1731",2
"175",2
"189",2
"1913",2
"1927",2
"1934",2
"1944",2
"196",2
"1973",2
"199",2
"200",2
"2029",2
"2030",2
"206",2
"221",2
"226",2
"227",2
"229",2
"238",2
"24 - 28",2
"2429",2
"244",2
"2529",2
"25 September",2
"2817",2
"300",2
"301",2
"305",2
"331",2
"367",2
"4, 14, 25",2
"415",2
"42099",2
"422",2
"47",2
"51",2
"531",2
"62",2
"624",2
"82",2
"87",2
"88",2
"-9",2
"92",2
"Ditassa",2
"Hancornia",2
"Oxypetalum pannosum Decne.",2
"Oxypetalum wightianum Hook. & Arn.",2
"Vincetoxicum",2
"02��1",1
"-10",1
"10142009",1
"1020",1
"1021",1
"1026",1
"108",1
"1115",1
"1117",1
"112",1
"1123",1
"1124",1
"1127",1
"118",1
"119",1
"121",1
"1217",1
"122",1
"1220",1
"1228",1
"1229",1
"1230",1
"128",1
"129",1
"1302",1
"136",1
"141",1
"1417",1
"1425",1
"1428",1
"1430",1
"148",1
"1521",1
"1522",1
"1523",1
"158",1
"-16",1
"161822",1
"1619",1
"162",1
"1621",1
"1622",1
"1626",1
"1628",1
"1629",1
"165",1
"168",1
"169",1
"-1718",1
"171976",1
"172",1
"1721",1
"1724",1
"1730",1
"177",1
"178",1
"1808",1
"181992",1
"1822",1
"18/24",1
"1825",1
"1827",1
"1827614",1
"1829",1
"1831",1
"1865",1
"187",1
"1902",1
"1903",1
"1909",1
"1912",1
"1918",1
"192021",1
"1926",1
"1928",1
"1932",1
"1936",1
"1945",1
"1946",1
"1969",1
"197",1
"1974",1
"1977",1
"1978",1
"1981",1
"1982",1
"1988",1
"2013",1
"20-24",1
"2027",1
"2031",1
"209",1
"2127",1
"214",1
"215",1
"218",1
"2209",1
"2215",1
"222",1
"223",1
"2230",1
"2231",1
"228",1
"22��",1
"2327",1
"2329",1
"234",1
"237",1
"2420",1
"243",1
"2430",1
"249",1
"251",1
"253",1
"25-30",1
"255",1
"25 July,",1
"2622",1
"269",1
"277",1
"281962",1
"284",1
"285",1
"29-03",1
"2919",1
"2929",1
"296",1
"299",1
"29��",1
"2o",1
"30,",1
"308",1
"309",1
"310",1
"31-1",1
"311986",1
"312",1
"315",1
"327",1
"330",1
"3618",1
"39815",1
"40065",1
"40105",1
"40137",1
"40165",1
"410",1
"41903",1
"42007",1
"42320",1
"426",1
"427",1
"43",1
"4381",1
"4525",1
"468",1
"49",1
"4 October 1956",1
"505",1
"510",1
"516",1
"52",1
"53",1
"55",1
"567",1
"615",1
"6224",1
"630",1
"65",1
"66",1
"6,8",1
"711",1
"716",1
"721",1
"724",1
"727",1
"729",1
"730",1
"7378",1
"76",1
"814",1
"8-14",1
"820",1
"822",1
"82619",1
"83",1
"84",1
"85",1
"913",1
"915",1
"924",1
"925",1
"93",1
"930",1
"95",1
"99",1
"Arredores de Guadalajara",1
"Brasil",1
"ca. 01",1
"Ceropegia",1
"Couma",1
"first week",1
"Forsteronia",1
"Himatanthus",1
"��2",1
"Matelea",1
"o7",1
"R,UFRN,SUDENE,IBDF",1
"R,US",1
"Schistogne",1
"Serra do Pic��",1
"Tassadia",1
