"countryCode","reps"
"",60451351
"US",5532035
"BR",1217519
"MX",847064
"SE",650583
"EC",525949
"PE",504590
"CR",396869
"BO",364485
"CO",287516
"MG",269858
"PA",246137
"VE",215149
"fr",186978
"AR",183092
"CA",171097
"NI",168590
"PY",136776
"mg",125722
"TZ",96312
"ZA",87964
"GT",86919
"CN",82575
"HN",81189
"NO",78298
"USA",71955
"AU",67724
"br",66248
"JM",64391
"PH",62960
"FR",58568
"KE",56347
"CL",55113
"IN",53710
"PG",53422
"GY",51526
"nc",49852
"BZ",49757
"CM",44947
"VN",41347
"SV",40913
"ID",38317
"GF",37120
"CU",36919
"cn",34927
"GA",34868
"PR",33232
"vn",31382
"RU",29868
"za",29800
"MY",29191
"NC",28993
"SR",26242
"DO",25734
"UG",24204
"FI",24165
"us",22858
"TH",19618
"JP",19427
"ES",19271
"in",17878
"GB",17861
"DE",17716
"gf",17641
"BS",16873
"mx",16813
"CF",16088
"CD",15934
"jp",15909
"TT",14789
"GN",14596
"AQ",14162
"NZ",13698
"ZM",13648
"cm",13348
"LK",13069
"HT",12537
"TW",12278
"IT",11846
"au",11375
"cl",11290
"ZZ",11204
"NG",11132
"es",11039
"BHS",10986
"dz",10444
"ET",9677
"id",9432
"ga",9308
"co",9107
"CI",8994
"DK",8876
"UY",8710
"MW",8675
"PK",8587
"GH",8532
"SC",8381
"it",8004
"BRA",7743
"ZW",7604
"et",7560
"km",7411
"IR",7351
"ml",7334
"tr",7327
"yt",7236
"EG",7206
"MA",7112
"gn",7049
"SN",6988
"re",6957
"pe",6854
"SB",6810
"AO",6600
"VU",6567
"PF",6465
"kh",6457
"BW",6401
"tz",6233
"ec",6152
"LA",6121
"MH",6056
"CH",6046
"CG",5881
"ir",5838
"ma",5761
"GR",5586
"cu",5452
"ch",5432
"TR",5296
"ph",5277
"PER",5268
"la",5198
"ru",5116
"py",5059
"th",5037
"PT",4945
"LR",4912
"TF",4834
"ve",4811
"GL",4785
"gr",4731
"IL",4696
"bo",4666
"TN",4475
"DZ",4372
"ci",4356
"gy",4314
"MN",4260
"IS",4251
"sn",4234
"tw",4215
"CZ",4202
"cf",4142
"AT",4104
"de",4043
"gp",4004
"BI",4003
"su",3814
"ca",3790
"MU",3772
"zr",3716
"COL",3636
"cg",3616
"MEX",3534
"MZ",3510
"NL",3431
"ar",3391
"lk",3391
"mu",3350
"AI",3343
"RE",3271
"FJ",3235
"pt",3206
"hu",3175
"CK",3164
"TM",3149
"VI",3131
"GE",3105
"pf",3104
"UA",3079
"at",3065
"gb",3027
"KM",3019
"HR",3010
"GUY",2934
"BE",2920
"TD",2904
"THA",2887
"NP",2877
"bf",2850
"PL",2832
"KZ",2771
"KH",2758
"SO",2678
"sy",2657
"vu",2632
"KR",2625
"my",2554
"SL",2447
"mq",2411
"ML",2359
"AUS",2330
"ao",2303
"?",2297
"BJ",2240
"RO",2200
"uy",2101
"MR",2065
"pr",2057
"do",2046
"cr",2037
"PAN",2003
"pg",1998
"KW",1941
"se",1923
"VC",1923
"SG",1921
"MM",1902
"SY",1844
"SK",1832
"BF",1766
"GQ",1728
"IE",1721
"sr",1706
"SD",1700
"ke",1692
"SA",1654
"BMU",1642
"ST",1623
"BM",1579
"HU",1570
"nz",1570
"tn",1565
"eg",1540
"FM",1523
"MQ",1506
"lb",1485
"DM",1457
"yu",1447
"WS",1392
"GP",1389
"tf",1389
"sl",1370
"be",1366
"KI",1328
"PHL",1325
"no",1311
"VG",1308
"kr",1264
"MP",1263
"UM",1259
"GU",1250
"HTI",1238
"ZAF",1230
"BT",1211
"LB",1201
"RW",1195
"ro",1193
"ng",1183
"np",1179
"KY",1175
"PW",1173
"BG",1170
"LC",1158
"td",1155
"fj",1130
"sd",1107
"IND",1099
"NE",1094
"TG",1048
"CHN",1026
"cv",1026
"FK",1008
"lr",1007
"cd",1001
"hk",999
"AM",983
"jm",968
"AS",935
"TC",933
"ECU",923
"mr",915
"??",911
"gt",890
"LS",879
"BD",862
"IQ",848
"mz",844
"AF",837
"CRI",825
"cs",825
"vi",821
"PRY",820
"ne",816
"bb",794
"sc",777
"ME",762
"IDN",760
"AG",753
"GM",753
"CAN",745
"GS",743
"ye",738
"pa",724
"KG",715
"CYM",713
"CV",709
"mw",698
"tt",695
"li",689
"pl",688
"TJ",679
"LKA",659
"ER",650
"BN",641
"BQ",633
"SZ",629
"GD",627
"BB",623
"Brasil",617
"sa",611
"CW",606
"CY",602
"bj",594
"EE",583
"JO",571
"ug",570
"bg",562
"ls",561
"il",556
"SUR",553
"SJ",550
"SH",534
"zw",509
"JPN",501
"gl",493
"mm",488
"iq",458
"DJ",456
"ITA",454
"kz",452
"st",447
"LY",435
"NZL",428
"sh",424
"KN",420
"fk",409
"af",406
"GTM",397
"AZ",395
"gh",395
"WF",393
"zm",384
"YE",382
"tg",379
"ge",376
"MS",374
"cy",363
"fi",363
"YT",361
"sg",358
"nl",356
"al",355
"NF",351
"gq",350
"OM",347
"rw",337
"ws",330
"dj",328
"MNG",325
"MTQ",323
"MK",321
"AW",319
"dk",316
"ni",315
"ie",314
"ua",313
"QA",311
"TO",309
"UZ",309
"GRD",308
"tl",304
"BRASIL",303
"BA",297
"bt",297
"DOM",297
"FJI",288
"FO",285
"na",280
"FRA",275
"JAM",275
"SLB",272
"CUB",271
"SI",271
"gs",269
"MT",264
"ly",262
"az",255
"MOZ",250
"dm",244
"ht",241
"bi",240
"WSM",235
"kp",234
"AIA",233
"sb",232
"MDG",231
"KP",228
"GW",227
"BRB",224
"YU",222
"am",220
"HND",216
"wf",211
"mn",209
"BY",204
"SX",199
"BL",191
"aq",190
"WI",190
"ARG",186
"AL",184
"AN",177
"uz",176
"CHL",173
"DMA",166
"tj",164
"mo",162
"LBN",160
"kg",156
"RS",153
"KEN",152
"LBY",150
"is",147
"cz",145
"NIC",142
"so",141
"gu",139
"HK",138
"URY",128
"GUF",127
"bq",125
"bs",125
"PAK",125
"SAU",120
"tm",117
"GUM",112
"AE",111
"UGA",111
"0",110
"ASM",107
"PS",104
"bw",103
"SOM",99
"MV",97
"TON",96
"SGP",93
"pm",91
"LE",90
"CS",89
"LV",89
"om",85
"COK",84
"ROU",84
"vc",83
"AGO",82
"gd",79
"hn",78
"gm",77
"ISR",77
"LT",77
"gw",76
"hr",76
"TTO",75
"ZMB",75
"CMR",74
"MHL",73
"VEN",73
"bz",72
"bd",71
"me",71
"lu",70
"sk",66
"SYC",66
"mk",65
"mp",64
"SS",64
"ad",59
"GBR",58
"to",56
"pk",55
"BWA",54
"IRL",54
"BHR",52
"MUS",52
"tk",52
"le",51
"an",50
"FX",50
"MYS",50
"eh",49
"EU",49
"LU",49
"mt",49
"AUT",47
"BV",47
"lc",46
"SWE",46
"AD",45
"COM",45
"er",45
"ps",45
"pw",44
"HO",41
"NPL",41
"PM",41
"SLE",39
"bm",38
"pn",38
"LBR",37
"fm",36
"GAB",36
"MC",35
"ba",32
"DEU",32
"NGA",32
"MWI",31
"TL",31
"BH",30
"EGY",30
"TUN",30
"sv",28
"as",27
"COG",27
"ETH",27
"ki",26
"SLV",26
"xk",26
"CHE",25
"ck",25
"PN",25
"MF",24
"rs",24
"sw",24
"ag",23
"ee",23
"je",23
"kn",23
"si",23
"sj",22
"FIN",21
"GRL",21
"GI",20
"md",20
"MD",20
"SDN",20
"TUR",20
"ZR",20
"CC",19
"NCL",19
"ATA",18
"BLZ",18
"GIN",18
"NFK",18
"NR",18
"on",18
"gi",17
"IO",17
"PNG",17
"NOR",16
"OMN",16
"TK",16
"TV",16
"IM",15
"jo",15
"vg",15
"ae",14
"bn",14
"cc",14
"fo",14
"GHA",14
"mc",14
"NLD",14
"PI",14
"sz",14
"SEN",13
"uk",13
"ms",12
"vt",12
"ATG",11
"ESP",11
"MARINHO",11
"mh",11
"RH",11
"GRC",10
"NU",10
"EH",9
"kw",9
"nf",9
"CX",8
"KWT",8
"nr",8
"PRI",8
"nu",7
"AMERICA DO SUL",6
"DZA",6
"HKG",6
"\\",5
"gg",5
"HUN",5
"io",5
"lt",5
"lx",5
"MLI",5
"OD",5
"po",5
"bl",4
"bu",4
"GLP",4
"HM",4
"IOT",4
"JE",4
"ax",3
"fl",3
"ik",3
"IRQ",3
"mv",3
"PRT",3
"sm",3
"SU",3
"ta",3
"TCD",3
"tu",3
"ui",3
"1",2
"ai",2
"ALB",2
"bh",2
"Bol��via",2
"cw",2
"cx",2
"CXR",2
"dl",2
"eq",2
"g",2
"ic",2
"ky",2
"LI",2
"lv",2
"MAR",2
"mf",2
"mi",2
"MSR",2
"N��o informado",2
"QAT",2
"SM",2
"SP",2
"SYR",2
"va",2
"Al",1
"aw",1
"BGD",1
"BGR",1
"bk",1
"by",1
"c",1
"CYP",1
"d",1
"da",1
"fe",1
"fg",1
"Fi",1
"GNQ",1
"hb",1
"hm",1
"HRV",1
"KHM",1
"l",1
"MDV",1
"MMR",1
"MNL",1
"MO",1
"myrciifolia",1
"NAM",1
"nh",1
"nv",1
"PC",1
"POL",1
"PYF",1
"rf",1
"RUS",1
"rz",1
"ss",1
"STP",1
"SVN",1
"tc",1
"UK",1
"VA",1
"vm",1
"XK",1
