"nomenclaturalCode","reps"
,50940222
"Acutiramus",11
"Animalia",1686
"Berry, William B. 1960. Graptolite faunas of the Marathon region, West Texas. Texas University Publication. n.6005: 179pp.,3tf.,20pl.",132
"Berry, William B. 1966. Climacograptus hastatus T.S. Hall--its lectotype and some local populations. Journal of Paleontology. v.40 (n.1): pp.162-176,2tf.,1tbl.,1pl.",1
"Blows, William T. 2001. Dermal armor of the polacanthine dinosaurs., in Carpenter, Kenneth. The Armored dinosaurs. 363-385.",1
"Ginsburg, Leonard. 1962. Les Tritylodontes. Problemes actuels de Paleontologie ( evolution des vertebres). 104: 187-192.",1
"ICBN",4282993
"ICBN, ICNB",2
"ICBN/ICSP",2813
"Ichnofossil",171
"ICN",1095011
"ICNafp",4874124
"ICZN",14480305
"ICZN.  Update per WoRMS id 746168",1
"noncomplaint",2
"noncompliant",6516
"Palaeophyllum",1
"Plantae",1
"Seilacher, Adolf & Gishlick, Alan D. 2014. Morphodynamics. 553 p., 145 Pl.",4
"Seilacher, Adolf. 2007. Trace Fossil Analysis. 226 p., 75 pl.",1
"Taxon indet.",1
"undefinable",7
"unknown",18092
