,84729
"Ctenus villasboasi",45
"Cupiennius",3
"Cupiennius bimaculatus",14
"Cybaeodamus",9
"Cyclosa",9
"Cyclosa caroli",3
"Cyclosa fililineata",27
"Cyclosa tapetifaciens",14
"Cylistella",22
"Cynorta",251
"Cynorta conspersa",75
"Cynorta coxaepunctata",155
"Cynorta juruensis",58
"Cynorta valida",7
"Cynorta variegata",1
"Cyriocosmus fasciatus",13
"Cyrtaucheniidae",2
"Deinopidae",8
"Deinopis",28
"Dendryphantes",18
"Dendryphantinae",3
"Diaea",1
"Dictynidae",3
"Diplura",237
"Diplura lineata",1
"Diplura sanguinea",39
"Dipluridae",10
"Dipoena",198
"Dipoena alta",2
"Dipoena atlantica",75
"Dipoena banksi",1
"Dipoena bryantae",4
"Dipoena cordiformis",6
"Dipoena cornuta",2
"Dipoena donaldi",4
"Dipoena duodecimpunctata",12
"Dipoena esra",20
"Dipoena hortoni",13
"Dipoena kuyuwini",28
"Dipoena militaris",24
"Dipoena olivenca",1
"Dipoena pusilla",1
"Dipoena rubella",3
"Dipoena tingo",10
"Dipoena tiro",1
"Dipoena trinidensis",2
"Discocyrtus",5
"Discocyrtus carvalhoi",16
"Dodds and Hisaw 1925",1
"Dolichognatha",8
"Dossenus",11
"Dossenus marginatus",15
"Drymusa",3
"Drymusa  canhemabae",2
"Drymusa  colligata",2
"Drymusa  philomatica",1
"Drymusa  spelunca",2
"Drymusa  tobyi",1
"Dubiaranea",3
"Dubiepeira dubitata",2
"Dysderina",76
"Dysderina urucu",3
"Echinotheridion levii",1
"Echinotheridion utibile",1
"Eilica",9
"Elaver",17
"Elaver juruti",15
"Elaver lutescens",1
"Elaver valvula",60
"Enacrosoma anomalum",4
"Encolpius",1
"Enna",2
"Enna  bonaldoi",8
"Enna  igarape",5
"Enoploctenus",28
"Envia garciai",2
"Envia moleque",7
"Epeirotypus",2
"Ephebopus",1
"Ephebopus murinus",15
"Epicadus",22
"Epicadus heterogaster",2
"Epicratinus",61
"Epilineutes globosus",1
"Episinus",437
"Episinus crysus",1
"Episinus erythrophthalmus",20
"Episinus garisus",14
"Episinus immundus",10
"Episinus juarezi",6
"Episinus nebulosus",8
"Erica",5
"Eriophora",3
"Eriophora edax",2
"Eriophora fuliginea",21
"Eriophora ravilla",3
"Erissus",1
"Ero",127
"Escaphiella",1
"Escaphiella aratau",13
"Escaphiella cachimbo",3
"Escaphiella cidades",17
"Escaphiella hesperoides",1
"Euophryinae",47
"Euophrys",2
"Eupoecilaema perducens",3
"Euryopis",1
"Eustala",171
"Eustala illicita",2
"Eustala vellardi",1
"Eustiromastix",2
"Eutichurus",15
"Euticurine?",1
"Exsiccati",4
"Fageia",2
"Faiditus",21
"Falconina gracilis",13
"Fernandezina",28
"Field Book",6886
"FieldBook",27910
"Fissiphalius",5
"Fissiphallidae",237
"Fluda",8
"Fluda inpae",3
"fluid preparationskeleton",1
"fluid specimen",7870
"FossilSpecimen",3884216
"Freya",7
"Freya perelegans",16
"Freyinae",6
"Freynae?",1
"Fufius",63
"Fufius albovittatus",5
"Fufius auricomus",27
"Gagrellinae",60
"Gamasomorpha",71
"Gamasomorphinae",91
"Gasteracantha cancriformis",11
"Gastromicans",2
"Geaya",68
"Gelanor",76
"gen nov",1
"Gen. n.",163
"Gen. n. 2",138
"gen. nov.",16
"Gen.n.",11
"Gephyroctenus",23
"Gephyroctenus juruti",1
"Gladicosa gulosa",5
"Glenognatha",6
"Gnaphosidae",20
"G��nero ind.",1697
"G��nero ind. humbom",1
"Goeldia",68
"Goeldia zyngierae",1
"Gonyleptidae",8
"gr. Reticulatus",14
"Gradungulonoops?",40
"Graptartia",1
"Gryne",53
"Guaralycosa?",3
"Guyruita cerrado",2
"Hadrotarsinae",1
"Hahniinae",1
"Hamataliwa",20
"Hanson. 1942.",1
"Hapalopus",21
"Hapalopus butantan",61
"Hasarius adansoni",8
"HebariumSpecimen",2
"Heidrunea",1
"Helvetia",1
"Helvibis",7
"Helvibis rossi",8
"Hentziectypus rafaeli",6
"HerbariumRecord",3
"HerbariumSpecimen",56
"Hersiliidae",4
"Heterophrynus",84
"Heterophrynus longicornis",3
"Heteropoda",1
"Heteropoda venatoria",19
"Hibana discolor",3
"Hibana similaris",2
"Holothele",3
"Holothele rondoni",38
"Homoeomma",1
"Hubardiidae",6
"HumanObservation",33989
"Hypaeus",515
"Hypaeus miles",4
"Hypognatha",31
"Hypognatha belem",1
"Hypognatha cryptocephala",1
"Hypognatha lagoas",2
"Hypognatha navio",1
"Hypognatha scutata",8
"Hytanis",8
"Ianduba abara",1
"Ianduba mugunza",1
"Ianduba varia",1
"Ibotyporanga",3
"Ibotyporanga  naideae",8
"Idiops",29
"Ilha de Marac��, SEMA Esta����o., North side of island at Tr��s Igarap��s, ca. Ca. 2km along picada from sub-camp. Open sunny area of tree fall in open seasonal evergreen forest (lower and less dense tha at base camp on south of island).",1
"Illustration",6
"Ischnocolinae",10
"Ischnothele",14
"Ischnothele guianensis",30
"Ischnothyreus",3
"Isigonia",2
"Isigonia limbata",9
"Isoctenus",22
"Isoctenus cachimbo",4
"Itata",22
"Itata tipuloides",21
"Janula",4
"Janula salobrensis",264
"Kalcerrytus",58
"Kalcerrytus amapari",1
"Kalcerrytus merretti",3
"Kambiwa neotropica",6
"Kapogea",1
"Kapogea alayoi",1
"Kapogea cyrtophoroides",1
"Kimulidae",28
"Lapsamita maddisoni",2
"Lasaeola donaldi",14
"Lasiodora",3
"Latonigena",4
"Leprolochus",20
"Leprolochus birabeni",1
"Leprolochus oeiras",189
"Leptopholcus",3
"Leucauge",164
"Linothele",3
"Linyphiidae",29
"Litoporus",3
"Litoporus dimona",6
"Living specimen",1
"LivingSpecimen",2813
"Longistylus ygapema",1
"Loxosceles",2
"Loxosceles amazonica",48
"Lurio",1
"Lycosa",37
"Lycosa nordenskjoldi",1
"Lycosidae",62
"Lygromma",5
"Lyssomanes",71
"Lyssomanes amazonicus",2
"Lyssomanes nigropictus",13
