"data.dwc:establishmentMeans","reps"
"reared",3
"roadside",3
"roof",3
"see",3
"sent",3
"shortcut",3
"shortly",3
"six",3
"small",3
"smokestack",3
"snared",3
"soon",3
"specimen",3
"square",3
"starved",3
"store",3
"suffocated",3
"then",3
"thin",3
"three",3
"through",3
"twenty",3
"was",3
"where",3
"which",3
"while",3
"wind",3
"year",3
"60",2
"300",2
"700",2
"1005",2
"1020",2
"1105",2
"1135",2
"1140",2
"1250",2
"1410",2
"1450",2
"1550",2
"1645",2
"1650",2
"1720",2
"1815",2
"1892",2
"1926",2
"1929",2
"1936",2
"1937",2
"1940",2
"1942",2
"1952",2
"1962",2
"1968",2
"1973",2
"1975",2
"1979",2
"2004",2
"7000",2
"01",2
"0920",2
"0925",2
"0935",2
"2.5",2
"abdomen",2
"accident",2
"adults",2
"against",2
"air",2
"alaska",2
"along",2
"amaranth",2
"apr",2
"aquarium",2
"armstrong",2
"around",2
"arrival",2
"attached",2
"attacked",2
"avairy",2
"badly",2
"bathing",2
"bear",2
"beaver",2
"bill",2
"blind",2
"blue",2
"board",2
"born",2
"both",2
"butterfly",2
"c",2
"cabin",2
"cagebird",2
"came",2
"capture",2
"cause",2
"cave",2
"cavity",2
"chicago",2
"chick",2
"choked",2
"collector",2
"collision",2
"consulting",2
"county",2
"covered",2
"dacelo",2
"dealer's",2
"den",2
"depth",2
"deserted",2
"diseased",2
"domesticated",2
"dufferin",2
"dunedin",2
"early",2
"eating",2
"elliot",2
"entangled",2
"entrance",2
"environmental",2
"escapee",2
"exhib",2
"exotic",2
"f",2
"fall",2
"fauna",2
"fdr",2
"feather",2
"fight",2
"food",2
"freshly",2
"front",2
"gardens",2
"good",2
"grain",2
"great",2
"grown",2
"gulls",2
"have",2
"hawk's",2
"heap",2
"hen",2
"high",2
"illinois",2
"injuries",2
"into",2
"iroquois",2
"jun",2
"kookaburra",2
"l",2
"land",2
"later",2
"laughing",2
"legged",2
"lines",2
"live",2
"lls",2
"ltd",2
"many",2
"marsh",2
"mate",2
"mexico",2
"miller",2
"mink",2
"minus",2
"mono",2
"motor",2
"mouth",2
"nat",2
"newly",2
"novaeguineae",2
"nursery",2
"ocean",2
"october",2
"off",2
"opossum",2
"originating",2
"pennsylvania",2
"pine",2
"pond",2
"pool",2
"porcupine",2
"port",2
"purchased",2
"quail",2
"quills",2
"r",2
"raft",2
"rafter",2
"removed",2
"rifle",2
"riverdale",2
"rock",2
"rough",2
"saunders",2
"screen",2
"seeded",2
"severe",2
"short",2
"sick",2
"skull",2
"sleet",2
"smothered",2
"sparrow",2
"spraying",2
"state",2
"stomach",2
"stress",2
"struck",2
"stuck",2
"surrey",2
"sydney",2
"telegraph",2
"tern",2
"terra",2
"that",2
"thrown",2
"tide",2
"time",2
"track",2
"traps",2
"trash",2
"trauma",2
"tring",2
"twp",2
"univ",2
"vancouver",2
"vineland",2
"w",2
"washed",2
"we",2
"weak",2
"weasel",2
"week",2
"wings",2
"wood",2
"world",2
"wound",2
"wrapped",2
"years",2
"31",1
"32",1
"35",1
"36",1
"37",1
"40",1
"41",1
"42",1
"46",1
"50",1
"52",1
"55",1
"64",1
"65",1
"74",1
"1023",1
"1025",1
"1040",1
"1078",1
"1110",1
"1120",1
"1150",1
"1155",1
"1210",1
"1225",1
"1230",1
"1306",1
"1325",1
"1335",1
"1355",1
"1445",1
"1510",1
"1555",1
"1594",1
"1620",1
"1640",1
"1745",1
"1750",1
"1871",1
"1874",1
"1883",1
"1884",1
"1885",1
"1886",1
"1887",1
"1888",1
"1889",1
"1891",1
"1894",1
"1895",1
"1898",1
"1902",1
"1903",1
"1904",1
"1909",1
"1912",1
"1917",1
"1922",1
"1935",1
"1945",1
"1948",1
"1950",1
"1954",1
"1955",1
"1957",1
"1959",1
"1961",1
"1969",1
"1970",1
"1971",1
"1972",1
"1983",1
"1986",1
"1987",1
"1988",1
"1990",1
"1993",1
"2000",1
"2005",1
"2006",1
"2007",1
"2011",1
"2012",1
"2013",1
"2100",1
"2130",1
"2150",1
"2339",1
"5500",1
"5600",1
"9000",1
"15000",1
"03",1
"0300",1
"05",1
"06",1
"0615",1
"0640",1
"0650",1
"0810",1
"0815",1
"0832",1
"0880",1
"09",1
"0910",1
"14th",1
"15.00",1
"21st",1
"3a",1
"6.5",1
"abbey",1
"accidentally",1
"across",1
"ad",1
"adutl",1
"adventive",1
"aerial",1
"afterward",1
"aircraft",1
"airport",1
"alberta",1
"almost",1
"american",1
"among",1
"analysis",1
"another",1
"antelope",1
"ants",1
"aou",1
"appeared",1
"apple",1
"arctic",1
"arizona",1
"armant",1
"artificial",1
"ashore",1
"asia",1
"aspergillosus",1
"ate",1
"auction",1
"augmented",1
"australia",1
"autumn",1
"ave",1
"aviaries",1
"axe",1
"b",1
"backed",1
"bad",1
"bait",1
"banana",1
"barbwire",1
"barlow",1
"basement",1
"basket",1
"basswood",1
"battered",1
"beak",1
"behind",1
"being",1
"beneath",1
"blown",1
"bog",1
"bone",1
"bones",1
"botulism",1
"boyd",1
"brendan",1
"brook",1
"bubble",1
"buck",1
"burial",1
"buried",1
"burned",1
"burnt",1
"burr",1
"burrow",1
"burrows",1
"busch",1
"bushes",1
"but",1
"caged",1
"caked",1
"calgary",1
"calibre",1
"california",1
