"data.dwc:taxonRank","reps"
"species",7939881
"subspecies",2315905
"genus",770979
"var",525058
"specie",522660
"variety",476883
"subsp",424737
"family",243533
"specificepithet",204232
"espécie",190306
"class",145765
"order",115203
"ssp",106542
"phylum",87111
"espècie",55758
"kingdom",29282
"f",18276
"forma",12442
"varietas",11499
"subespécie",11173
"suborder",9495
"infraspecificepithet",6955
"superfamily",6663
"subclass",5699
"undetermined",4364
"subphylum",3219
"gínero",3020
"subfamily",2895
"division",2870
"form",2501
"infraorder",2148
"hybrid",1692
"sp",1400
"famìlia",1368
"superorder",1141
"or",991
"nothospecies",795
"graptoloidea",693
"subespècie",453
"superclass",434
"cultivar",420
"euomphalina",384
"aberration",367
"perissodactyla",327
"subdivision",283
"subgenus",259
"genero",238
"x",232
"condylarthra",210
"passeriformes",207
"anura",182
"artiodactyla",182
"gorgonacea",181
"unnamed",180
"ampelisca",167
"squamata",164
"infr",154
"lepidoptera",142
"nothovar",133
"caudata",131
"subvariety",131
"cypriniformes",108
"cimolesta",101
"asterales",100
"perciformes",100
"ordem",92
"primates",91
"charadriiformes",77
"race",75
"carnivora",69
"cyclaspis",65
"hypotype",64
"dendroidea",62
"amphipoda",61
"fabales",61
"orthida",59
"matrix",50
"spiriferida",50
"rhynchonellida",48
"anseriformes",47
"pterosauria",46
"salmoniformes",45
"subkingdom",44
"atrypida",40
"ophiurida",39
"ptychopariida",39
"characiformes",38
"morpha",37
"rodentia",37
"fma",36
"lamiales",36
"scleractinia",35
"caryophyllales",34
"crocodylia",34
"tribe",34
"aff",32
"phrynophiurida",31
"stromatoporoidea",30
"strophomenida",30
"classe",29
"malpighiales",29
"morphotype",28
"onychodontiformes",28
"lingulida",27
"veneroida",27
"agg",26
"praecardioida",26
"solanales",26
"sub",26
"morph",25
"productida",25
"unknown",25
"galliformes",24
"creodonta",23
"decapoda",23
"pterioida",23
"poales",22
"antipatharia",21
"clade",21
"thoracica",21
"esociformes",20
"gentianales",19
"scorpaeniformes",19
"cf",18
"cete",17
"isopoda",17
"phyllodocida",17
"testudines",17
"fm",16
"archaeocopida",15
"holotype",15
"bonnierella",14
"subforma",14
"anguilliformes",13
"ferruginea",13
"nothomorph",13
"pl",13
"pseudericthonius",13
"siluriformes",13
"brassicales",12
"gadiformes",12
"tribo",12
"actiniaria",11
"animalia",11
"cv",11
"cyprinodontiformes",11
"ericales",11
"malvales",11
"pentamerida",11
"rosales",11
"tabulata",11
"gasterosteiformes",10
"stomiiformes",10
"accipitriformes",9
"alcyonacea",9
"arenaria",9
"dermoptera",9
"nothosubsp",9
"nthmorph",9
"odontopleurida",9
"piciformes",9
"undet.cat",9
"cuculiformes",8
"cucurbitales",8
"fo",8
"humilis",8
"osteoglossiformes",8
"paxillosida",8
"polypodiales",8
"rugosa",8
"sapindales",8
"spiriferinida",8
"agnostida",7
"conulariida",7
"forcipulatida",7
"hexactinosida",7
"multituberculata",7
"myodocopina",7
"pelecaniformes",7
"poecilosclerida",7
"redlichiida",7
"section",7
"undefinable",7
"actinocerida",6
"apodiformes",6
"astrophorida",6
"beryciformes",6
"conocardioida",6
"hydroida",6
"modiomorphoida",6
"nuculoida",6
"orthocerida",6
"pennatulacea",6
"sauropterygia",6
"subvar",6
"trepostomata",6
"triqueter",6
"zeiformes",6
"articulata",5
"caprimulgiformes",5
"chiroptera",5
"cornales",5
"crinoidea",5
"cumacea",5
"echinoida",5
"falconiformes",5
"foraminiferida",5
"indet",5
"insectivore",5
"lepechinella",5
"lophiiformes",5
"petromyzontiformes",5
"phacopida",5
"piperales",5
"procreodi",5
"sect",5
"soricomorpha",5
"spinulosida",5
"stirp",5
"strigiformes",5
"aulopiformes",4
"baccata",4
"bucerotiformes",4
"columbiformes",4
"foscae",4
"gen",4
"genuina",4
"ichthyodectiformes",4
"littorinimorpha",4
"munida",4
"mysidacea",4
"platyasterida",4
"proboscidea",4
"prol",4
"superdivision",4
"thecosomata",4
"unionoida",4
"unranked",4
"zoanthidea",4
"archaeogastropoda",3
"atheriniformes",3
"byblis",3
"comatulida",3
"endocerida",3
"hippuritoida",3
"leptophoxoides",3
"myctophiformes",3
"neogastropoda",3
"odonata",3
"osmeriformes",3
"phylym",3
"pleuronectiformes",3
"rajiformes",3
"salvinales",3
"saxifragales",3
"sedentarida",3
"sorbeoconcha",3
"suliformes",3
"tanaidacea",3
"albiflora",2
"ammonoidea",2
"archaeostraca",2
"atlantapseudes",2
"barcellana",2
"barrandeocerida",2
"cetacea",2
"chimaeriformes",2
"coraciiformes",2
"elegans",2
"eunicida",2
"filicales",2
"genuinus",2
"gruiformes",2
"haploniscus",2
"hymenoptera",2
"hyolithida",2
"incertae",2
"lagomorpha",2
"leucothoe",2
"manihot",2
"megamphopus",2
"musophagiformes",2
"myersius",2
"myoida",2
"myrtales",2
"nektaspida",2
"notopoma",2
"notoungulata",2
"oncocerida",2
"percopsiformes",2
"phlebobranchia",2
"pilosula",2
"possibly",2
"ranunculales",2
"santalales",2
"scordioides",2
"sedis",2
"stylommatophora",2
"subfamìlia",2
"subform",2
"valvatida",2
"acutiserolis",1
"affn",1
"altiverruca",1
"amazonica",1
"amiiformes",1
"ampeliscidae",1
"arcoida",1
"arecales",1
"asparagales",1
"athyridida",1
"belemnitida",1
"bellerophontida",1
"benthaminum",1
"billingsellida",1
"bodotriidae",1
"brisingida",1
"calanoida",1
"captorhinida",1
"catapaguroides",1
"cear'a",1
"ceriantharia",1
"cheirimedon",1
"cladoselachiformes",1
"clupeiformes",1
"coleoptera",1
"commelinales",1
"crossosomatales",1
"dendrochirotida",1
"deutella",1
"dictyida",1
"didelphimorphia",1
"dipsacales",1
"diptera",1
"elasipodida",1
"ellesmerocerida",1
"enterogona",1
"fam",1
"fissiculata",1
"flabellifolium",1
"gaviiformes",1
"golfingiida",1
"group",1
"hadromerida",1
"harpacticoida",1
"hesperornithiformes",1
"hybodontiformes",1
"hymenopenaeus",1
"hypodigm",1
"ichthyornithiformes",1
"ischyroceridae",1
"janeirensis",1
"janicella",1
"jemuina",1
"lithistida",1
"lobatus",1
"lutea",1
"macrostylis",1
"major",1
"megaloptera",1
"menippe",1
"millericrinida",1
"mineral",1
"minor",1
"moluanum",1
"monobathrida",1
"mytiloida",1
"myxiniformes",1
"nervosa",1
"nm",1
"oblongifolia",1
"oblongifolius",1
"obtusiloba",1
"on",1
"ornithischia",1
"orthotetida",1
"osmundales",1
"ovata",1
"pachycormiformes",1
"palaeonisciformes",1
"panopeus",1
"phyluym",1
"piriri",1
"polymixiiformes",1
"procellariiformes",1
"proles",1
"prownbens",1
"pseudharpinia",1
"pseudischyrocerus",1
"ptyctodontida",1
"purpurea",1
"radicans",1
"rock",1
"s",1
"saurischia",1
"schizaeales",1
"sed",1
"septentrionalis",1
"siphonophorida",1
"solanacus",1
"sparassodonta",1
"spp",1
"squaliformes",1
"stenocionops",1
"stolidobranchia",1
"subconcolor",1
"subglabrifolia",1
"subsect",1
"subsection",1
"subsp.polyacantha",1
"subtropicalis",1
"tarphycerida",1
"taxon",1
"temnospondyli",1
"terebellida",1
"terebratulida",1
"thecodontia",1
"titinga",1
"trigonioida",1
"verum",1
"villosa",1
"waptiida",1
"zygophyllales",1
