"taxonrank","reps"
"species",62011994
"genus",5241680
"subspecies",938153
"variety",427108
"family",201083
"class",151168
"order",111783
"phylum",86530
"kingdom",29150
"suborder",10976
"form",7268
"superfamily",6663
"subclass",5536
"subphylum",3499
"subfamily",2891
"superorder",1121
"superclass",434
"subgenus",187
"tribe",46
"subkingdom",44
"cultivar",40
"section",8
"subvariety",4
"superphylum",4
