"data.dwc:identificationQualifier","reps"
"ser",17
"spongiosula",17
"stellata",17
"sulphurata",17
"telaranea",17
"tenuifolium",17
"toninia",17
"trichostomum",17
"trinervis",17
"truncata",17
"tuberculosum",17
"tuberosa",17
"umbrosa",17
"uvifera",17
"valonioides",17
"verify",17
"vescum",17
"wheeleri",17
"y",17
"albiflora",16
"aliaska",16
"alma",16
"anisogona",16
"anomala",16
"approaching",16
"aromaphloia",16
"asperum",16
"atrovirens",16
"australianum",16
"basaltica",16
"biserrata",16
"boltoni",16
"boodlea",16
"brown",16
"caliginosa",16
"canaliculatum",16
"candelariella",16
"catopsalis",16
"chaetophorus",16
"chenopodium",16
"chriacus",16
"ciliatum",16
"clodius",16
"colligata",16
"complanata",16
"conferta",16
"cordatus",16
"costale",16
"cycloptera",16
"dd2",16
"decumbens",16
"deliciosi",16
"des",16
"desmarestia",16
"dicrostonyx",16
"domninoides",16
"dryopithecus",16
"elpidophorus",16
"engelhartii",16
"excelsa",16
"falciloba",16
"filifolium",16
"fissidens",16
"fistulosus",16
"flabellata",16
"fluitans",16
"fomitiporia",16
"fusco",16
"ganoderma",16
"gelidiella",16
"glaucifolia",16
"grandifolium",16
"graniticola",16
"hygrometrica",16
"johnsonii",16
"julia",16
"laterale",16
"leichhardtii",16
"leptocarpa",16
"leptopoda",16
"leucochlorum",16
"lineare",16
"lower",16
"manglesii",16
"martellia",16
"megacarpa",16
"megalospora",16
"mimotricentes",16
"minyura",16
"mixtilis",16
"multifida",16
"myurium",16
"neriene",16
"nova",16
"olearia",16
"palaeotragus",16
"pellucidum",16
"pennata",16
"perennans",16
"physokentia",16
"pleiostemoneus",16
"podolepis",16
"polyommatinae",16
"polyphyllus",16
"posidonia",16
"procamelus",16
"proud",16
"pyriforme",16
"ramboldia",16
"revolutus",16
"saepium",16
"sagittiferum",16
"secunda",16
"serrulata",16
"sheathiana",16
"siliculosus",16
"spectabilis",16
"stuartii",16
"succulenta",16
"sullivani",16
"tessellata",16
"turneri",16
"unidentified",16
"velutinum",16
"verrucaria",16
"vittatus",16
"yellow",16
"acuminatum",15
"annuum",15
"argentea",15
"aridicola",15
"arnold",15
"atrata",15
"bifurca",15
"bigalerita",15
"bitextura",15
"bolbochaete",15
"bovista",15
"brandenii",15
"bridgesiana",15
"brunonianum",15
"butyracea",15
"caladenia",15
"camptochaete",15
"caulerpa",15
"ceramiaceae",15
"chaunostachys",15
"clastobryum",15
"coenogonium",15
"confirm",15
"cordifolia",15
"coronado",15
"crameri",15
"craspedocarpus",15
"cuneatum",15
"cylindrica",15
"dentata",15
"deserticola",15
"emmeli",15
"ericifolia",15
"ethela",15
"fascia",15
"flaccida",15
"flavipora",15
"flavum",15
"foliosum",15
"funaria",15
"glaberrima",15
"glabrescens",15
"gomphotherium",15
"goniantha",15
"gracile",15
"grevillea",15
"hamersleyana",15
"hanhami",15
"hanovioides",15
"helloides",15
"hillii",15
"hymenogaster",15
"hyophila",15
"hypohippus",15
"imberbis",15
"indicum",15
"interruptus",15
"kenyapithecus",15
"laetevirens",15
"lamicola",15
"lanceolatus",15
"leiocalyx",15
"ligustrina",15
"littoralis",15
"lynx",15
"m.g",15
"macrocalyx",15
"markey",15
"mcmanus",15
"melanelia",15
"merrallii",15
"minus",15
"multiflorus",15
"nahanni",15
"nigra",15
"notharctus",15
"olivacea",15
"oocarpa",15
"paradoxus",15
"peltigera",15
"phaenophylla",15
"planicaulis",15
"platysamia",15
"polymorpha",15
"porrecta",15
"quadrans",15
"retusifolia",15
"ricei",15
"rostellifera",15
"rosulata",15
"rupicola",15
"sanctae",15
"semiluna",15
"sinopa",15
"sisymbrii",15
"solieria",15
"spicata",15
"stylidium",15
"subg",15
"subsecundus",15
"subviscosum",15
"sulcatus",15
"sus",15
"testacea",15
"thoosa",15
"torulosa",15
"tulostoma",15
"typicus",15
"u",15
"vaginata",15
"vidalia",15
"weberi",15
"wrightii",15
"zonalis",15
"abaxialis",14
"acastus",14
"acicularis",14
"acutiloba",14
"adusta",14
"alsate",14
"amoena",14
"antarctica",14
"arcturi",14
"assimilis",14
"auth",14
"b.r",14
"bivenosa",14
"brevilabre",14
"c.w",14
"calanus",14
"calophylla",14
"calvatia",14
"campestre",14
"candidum",14
"capitata",14
"castor",14
"catenatus",14
"cheesemanii",14
"chrysomelas",14
"clavata",14
"conf",14
"confertiflora",14
"confusa",14
"copecion",14
"cordata",14
"croajingolensis",14
"crust",14
"cucullata",14
"cupaniana",14
"cyanophylla",14
"diffusa",14
"discolor",14
"distichum",14
"eileenae",14
"eleocharis",14
"eriantha",14
"erubescens",14
"euchloron",14
"fasciculata",14
"fenestrata",14
"floresia",14
"forrestii",14
"gigartinoides",14
"gloriosa",14
"gracilescens",14
"grimbeeki",14
"grimmia",14
"gypsophila",14
"haloplegma",14
"harmonia",14
"helmsii",14
"hemipogon",14
"herbaceus",14
"hirtula",14
"hopk",14
"hylandii",14
"iberidifolia",14
"incensa",14
"incurvus",14
"intestinalis",14
"iroides",14
"kluanensis",14
"lepidota",14
"lepiota",14
"leptocalyx",14
"leto",14
"lucayus",14
"lutzi",14
"macrocarpa",14
"maslin",14
"melliodora",14
"mentiens",14
"merulius",14
"micropodioides",14
"minimus",14
"monuste",14
"mormo",14
"muralis",14
"murrayana",14
"myrina",14
"nebulosus",14
"obsoleta",14
"odontia",14
"oligantha",14
"optima",14
"orbiculatum",14
"pachyphylla",14
"petrophila",14
"petrophilum",14
"phalloides",14
"philotes",14
"physarum",14
"polypore",14
"pottiaceae",14
"procerus",14
"procumbens",14
"prorepens",14
"protohippus",14
"pseudochristina",14
"psilocybe",14
"purgatorius",14
"q",14
"quadrifarius",14
"remotus",14
"rhacomitrium",14
"rhizogonium",14
"rubens",14
"sagata",14
"scabrum",14
"schaueri",14
"schreyveri",14
"schwaeg",14
"searsi",14
"segregata",14
"sequoia",14
"serratum",14
"simile",14
"spectabile",14
"sphaerocarpa",14
"spongiosus",14
"steccherinum",14
"stirps",14
"stricto",14
"strictus",14
"tephromela",14
"terrica",14
"tessellaris",14
"tharos",14
"trichopoda",14
"victoria",14
"victoriensis",14
"vidi",14
"wilhelmiana",14
"wilsonii",14
"wrighti",14
"acerosa",13
"acrocarpia",13
"aldingensis",13
"all",13
"alpinum",13
"ammophilum",13
"amphiroa",13
"anethifolia",13
"angustus",13
"appendiculata",13
"argus",13
"aristata",13
"assimile",13
"astringens",13
"behriana",13
"bidentata",13
"big",13
"billardiera",13
"breutelia",13
"brule",13
"brumalis",13
"bryhnia",13
"byssoides",13
"byssomerulius",13
"caespitosum",13
"campylopodium",13
"capitellata",13
"card",13
"celtis",13
"chalcosiva",13
"chemotype",13
"chondrophylla",13
"cladia",13
"claopodium",13
"coeloclonium",13
"cryptocarpa",13
"darwinii",13
"decompositum",13
"decora",13
"derris",13
"deserti",13
"dianthophorum",13
"dichromophloia",13
"dimorpha",13
"diniensis",13
"diprionomys",13
"discoidea",13
"dispar",13
"emarginata",13
"eneabba",13
"entodon",13
"erecta",13
"eriachne",13
"exsulca",13
"fawcettiae",13
"festuca",13
"festucacea",13
"floribundum",13
"foecunda",13
"franki",13
"furfuraceum",13
"herbertiana",13
"herzogii",13
"hians",13
"hills",13
"hughesii",13
"humifusum",13
"hymenocladia",13
"hypertragulus",13
"hysterangium",13
"intermedius",13
"involutum",13
"jay",13
"kneiffi",13
"laxa",13
"leanira",13
"lejeunea",13
"ligulatum",13
"limitata",13
"lobophora",13
"loxophylla",13
"lyngbya",13
"macra",13
"macrothamnion",13
"major",13
"marginatus",13
"medulla",13
"menetriesi",13
"metagoniolithon",13
"micarea",13
"microtis",13
"muscicola",13
"neurocarpa",13
"nortonii",13
"novoguineensis",13
"nudicaulis",13
"oblongata",13
"ochraceae",13
"oriskany",13
"paludicola",13
"pedunculatum",13
"pendula",13
"peninsularis",13
"perenniporia",13
"periclados",13
"perriniae",13
"petraeum",13
"phase",13
"phlebia",13
"phocoena",13
"photo",13
"pinjarra",13
"polystachya",13
"pseudhipparion",13
"reticulatum",13
"retroflexa",13
"roensis",13
"rogers",13
"rubritinctus",13
"rutilus",13
"sara",13
"schoenus",13
"scutellatum",13
"section",13
"semiplana",13
"seriata",13
"solanifolius",13
"sp.f",13
"spermacocea",13
"spermothamnion",13
"splachnoides",13
"squarrulosus",13
"strigosus",13
"strymon",13
"suggrandis",13
"sylvestris",13
"syzygium",13
"tannensis",13
"tanymykter",13
"tholiformis",13
"towards",13
"trechispora",13
"troilus",13
"typical",13
"venusta",13
"xanthina",13
"xanthomelas",13
"yendoi",13
"29",12
"adhaerens",12
"adjidaumo",12
"adjutrix",12
"adscendens",12
"adunca",12
"alexandra",12
"also",12
"amphibolis",12
"amplo",12
"antrodia",12
"aphelops",12
"apiculata",12
"appressa",12
"armitiana",12
"artificial",12
"arvensis",12
"astraea",12
"aus16",12
"baldockii",12
"baptistii",12
"barrelieri",12
"benjamini",12
"bergmanii",12
"bicuspidata",12
"billarderi",12
"billardieri",12
"brachytheciaceae",12
"bretonensis",12
"brunnea",12
"burkittii",12
"ca",12
"caleyi",12
"calliptera",12
"capricornica",12
"chinatensis",12
"clavaria",12
"conicus",12
"conocephalus",12
"controversa",12
"cranfieldii",12
"craspedia",12
"crocale",12
"crocata",12
"croceus",12
"cryptonemia",12
"cultivar",12
"curvula",12
"cuspidata",12
"cynna",12
"cystoseira",12
"dampieri",12
"delicata",12
"dimerella",12
"diphylla",12
"drewiana",12
"dryope",12
"dura",12
"durum",12
"edentula",12
"ellisii",12
"enchylaena",12
"epihippus",12
"epipsodea",12
"erectifolia",12
"eremicola",12
"excelsus",12
"filifolia",12
"fl",12
"flabellatum",12
"fosliella",12
"foster",12
"fragrans",12
"frutescens",12
"fumosa",12
"fuscum",12
"geographicum",12
"glacialis",12
"grasbyi",12
"grateloupia",12
"griffithsia",12
"griffithsii",12
"haffiae",12
"halesus",12
"halmaturina",12
"halophila",12
"hibbertia",12
"hollandica",12
"hyrachyus",12
"ithaca",12
"jamesii",12
"july",12
"juncus",12
"jungermannia",12
"klamathensis",12
"kohl",12
"lebelii",12
"leeuwen",12
"lejolisii",12
"lentinus",12
"lithophyllum",12
"longifolius",12
"lutescens",12
"lycopodiifolia",12
"macrosp",12
"magnifica",12
"magnifico",12
"manitoba",12
"michael",12
"microcephala",12
"mitchell",12
"multifaria",12
"multifidum",12
"nematophylla",12
"nigrosuffusa",12
"nitra",12
"northi",12
"nuperrima",12
"ophioglossa",12
"ornata",12
"orseis",12
"otiostigma",12
"ovatocystis",12
"paleacea",12
"panis",12
"papilio",12
"pauperiflora",12
"peduncularis",12
"pfoutsi",12
"phlebiopsis",12
"phyllodes",12
"pimpiniana",12
"piperita",12
"platyclinia",12
"poiformis",12
"porphyra",12
"prodipodomys",12
"promerycochoerus",12
"prp",12
"puberulum",12
"pumila",12
"pusillus",12
"pyxidata",12
"quadricostata",12
"quercifolium",12
"ramulentum",12
"reidentification",12
"reinthali",12
"rigidum",12
"robur",12
"rubrofasciata",12
"rytidosperma",12
"sandvicensis",12
"scirrotherium",12
"scopulorum",12
"scriptura",12
"serratifolium",12
"setigera",12
"sinclairii",12
"sirius",12
"sji",12
"sm",12
"smithiae",12
"sparteus",12
"speciosum",12
"sporochnus",12
"spuleri",12
"squamulosum",12
"stigmaeum",12
"stromatinia",12
"suberecta",12
"sublineare",12
"tenuiloba",12
"teretifolia",12
"tosaensis",12
"trachycarpa",12
"trapeliopsis",12
"trichophora",12
"trithamnion",12
"ulvoidea",12
"umbellata",12
"variifolia",12
"vexilliferum",12
"virgatus",12
"windi",12
"xanthoria",12
"zonaria",12
"7",11
"1999",11
"2260",11
"abietina",11
"acanthophora",11
"achirus",11
"acrolejeunea",11
"aemiliae",11
"agaric",11
"agaricus",11
"agg",11
"alsia",11
"amphechinus",11
"angusta",11
"annetta",11
"anoectangium",11
"anomodon",11
"aphanorhegma",11
"archaeohippus",11
"armitii",11
"atra",11
"atriplex",11
"attenuata",11
"aus5",11
"australiense",11
"austroamericanum",11
"austrodanthonia",11
"bajema",11
"bartramia",11
"between",11
"blackii",11
"bleeseri",11
"borealis",11
"botryoides",11
"bracteosa",11
"brongniartella",11
"bruce",11
"but",11
"candicans",11
"carl",11
"caryophyllea",11
"catillaria",11
"cimexomys",11
"cirsioides",11
"clandestinus",11
"conglobata",11
"corynephora",11
"crinalis",11
"crispatellum",11
"crystallina",11
"cumingii",11
"cuneifolia",11
"cuneiformis",11
"cuspidatum",11
"cv",11
"cylindrothecium",11
"decurva",11
"descomyces",11
"diamesogenos",11
"diandrus",11
"dicranoweisia",11
"diminuta",11
"effusifolia",11
"ephisius",11
"eriocephala",11
"erythraea",11
"fasciculosa",11
"ferdinandiana",11
"flavidus",11
"fleisch",11
"floerkeana",11
"freemani",11
"fruits",11
"fruticosa",11
"glycine",11
"graveolens",11
"guantanamo",11
"gunnianum",11
"hannafordii",11
"harryi",11
"hederacea",11
"heteronea",11
"hypnodendron",11
"immature",11
"implexum",11
"iridescens",11
"irritans",11
"isidiosellum",11
"jezoensis",11
"jucunda",11
"kaili",11
"kallymenia",11
"kitten",11
"kondininensis",11
"laciniatus",11
"ladon",11
"lanceolatum",11
"laricina",11
"lasiostachyus",11
"latifolium",11
"leptochloa",11
"leucophylla",11
"levis",11
"levring",11
"lisa",11
"lophocolea",11
"lopidium",11
"lyallii",11
"macoorai",11
"macraildii",11
"maybe",11
"milnei",11
"mitoura",11
"modestus",11
"moody",11
"muticus",11
"myriadena",11
"nc15",11
"nesis",11
"obovatus",11
"ochroleuca",11
"odontocarpa",11
"ovalis",11
"oxymitra",11
"papillosus",11
"parabolica",11
"parvericius",11
"pecten",11
"pectinatum",11
"pedenereus",11
"pembina",11
"perforata",11
"phlogopappa",11
"phyllopsora",11
"pilifera",11
"pilosella",11
"pinaleno",11
"platycalyx",11
"pleurota",11
"polycladus",11
"polydactylon",11
"polymeria",11
"preissianus",11
"pseudodumetorum",11
"ptychomitrium",11
"puberula",11
"pulvinata",11
"punctatus",11
"punctulatum",11
"pygmaea",11
"quadridentatus",11
"quadrimarginea",11
"queenslandica",11
"ramalina",11
"recurvatus",11
"remota",11
"remotiflora",11
"rotundifolia",11
"rufolanosa",11
"s.n",11
"schwartzii",11
"sclerosperma",11
"secundum",11
"sematophyllaceae",11
"semiteres",11
"sens",11
"sericeum",11
"spanomerus",11
"speciosa",11
"spinetorum",11
"spongiosum",11
"sporobolus",11
"spyridia",11
"squamatus",11
"symonii",11
"taeniolabis",11
"taxifolia",11
"terias",11
"theonus",11
"thryptacodon",11
"tripartita",11
"tritonia",11
"umbonata",11
"umbraculiformis",11
"umbrinella",11
"uncinatum",11
"unknown",11
"veazieae",11
"ver",11
"victrix",11
"vulpes",11
"wahlenbergia",11
"wurunuran",11
"14",10
"2373",10
"6195",10
"a.a",10
"aconitiflorus",10
"acrosorium",10
"agardhii",10
"aglaia",10
"agrocybe",10
"akis",10
"aleramica",10
"angulosa",10
"apatidini",10
"apennina",10
"applanata",10
"aquatilis",10
"arachnaea",10
"arachnoidea",10
"arctodus",10
"armeria",10
"armstrong",10
"aster",10
"atrans",10
"atypical",10
"aus26",10
"aviculare",10
"ballia",10
"billarderii",10
"biradiata",10
"blaxellii",10
"botryobasidium",10
"brachyphylla",10
"brilliantinus",10
"brook",10
"brunnescens",10
"bulbiferum",10
"butleri",10
"cactoides",10
"caesia",10
"calocephalus",10
"calyptrata",10
"cambagei",10
"canadensis",10
"carex",10
"carpopeltis",10
"cetraria",10
"christina",10
"chrysanthella",10
"chrysella",10
"cladosiphon",10
"coccophorum",10
"coelodonta",10
"columella",10
"comata",10
"concolor",10
"concreta",10
"cracens",10
"crassiuscula",10
"cribrosa",10
"crispiflora",10
"crotalaria",10
"cyathophorella",10
"cypellocarpa",10
"dactylon",10
"daphoenus",10
"dasaea",10
"davis",10
"defibulati",10
"derm",10
"desmodium",10
"desmophylla",10
"det",10
"deyeuxia",10
"diana",10
"difformis",10
"dissecta",10
"distichophylla",10
"doxodasya",10
"dupl",10
"echinospora",10
"ecostata",10
"efoliatus",10
"elixii",10
"ellipsoidea",10
"enervis",10
"epicyon",10
"eric",10
"eucalyptoides",10
"favosa",10
"forsteri",10
"fraxinea",10
"from",10
"fungus",10
"fuscatus",10
"gelida",10
"geoglossum",10
"geolthlypis",10
"glaucopus",10
"glover",10
"goodenia",10
"graminea",10
"grandiflora",10
"granite",10
"hamulosus",10
"harroweri",10
"hartmeyerorum",10
"hemineura",10
"hesperium",10
"hispidulus",10
"holmesii",10
"hulda",10
"hypholoma",10
"hypoglossum",10
"ignorabilis",10
"incurva",10
"ixioides",10
"jackson",10
"jelly",10
"john",10
"juniperina",10
"kallymenioides",10
"koch",10
"ksc",10
"kumarlensis",10
"kununurra",10
"laccaria",10
"lactea",10
"laetior",10
"lakota",10
"lanecolata",10
"lavendulensis",10
"lenticulare",10
"lentillifera",10
"leptantha",10
"lestodon",10
"littorale",10
"livida",10
"logansport",10
"longirostre",10
"lullfitz",10
"macrocephala",10
"macrodontum",10
"macrospora",10
"malvaceae",10
"mariana",10
"mariannensis",10
"megasperma",10
"microneura",10
"microphyllum",10
"microsorum",10
"minnehaha",10
"monticolae",10
"muller",10
"murfetii",10
"myriophyllum",10
"napea",10
"nephele",10
"nigrocincta",10
"nigrum",10
"nipisiquit",10
"nipponica",10
"nitens",10
"non",10
"oleraceus",10
"oraria",10
"orbiculata",10
"orgadophila",10
"oroboides",10
"ovatum",10
"pantherina",10
"papillaria",10
"parahippus",10
"paris",10
"parryi",10
"pauciflorus",10
"per",10
"phlaeas",10
"phlomoides",10
"pilbara",10
"platychlamys",10
"platypus",10
"platysiphonia",10
"plocamium",10
"polybractea",10
"polymorphus",10
"portieria",10
"pr",10
"praehispulla",10
"praetermissa",10
"prenanthoides",10
"procaprolagus",10
"protea",10
"protoreodon",10
"pseudocolumbiaensis",10
"pseudoprotoceras",10
"putnami",10
"ramosissima",10
"retinens",10
"robbii",10
"roei",10
"rotundisporus",10
"rubidus",10
"rufosaturior",10
"rufus",10
"rugosula",10
"ryeae",10
"salicina",10
"salomonense",10
"salor",10
"salsugineum",10
"salubris",10
"samia",10
"sarcogynoides",10
"sargentii",10
"saxicola",10
"scaber",10
"scandens",10
"sciurus",10
"scleroderma",10
"seminole",10
"sequoiae",10
"setaceum",10
"setaria",10
"shepleya",10
"sieberianus",10
"similis",10
"sp.e",10
"sp.nov",10
"sparsa",10
"spermacoce",10
"sprengelioides",10
"squamata",10
"stellaris",10
"stenophyllus",10
"stypopodium",10
"subangusta",10
"sulphurea",10
"summer",10
"tankervilleae",10
"tenacella",10
"tenuior",10
"tenuissima",10
"thesis",10
"thompson",10
"thomson",10
"tolypiocladia",10
"torquescens",10
"translucens",10
"trapeziformis",10
"trematodon",10
"trichia",10
"tuberculatum",10
"turbinata",10
"umbellula",10
"uncatipila",10
"urna",10
"vegrandis",10
"virens",10
"viridiflora",10
"westresii",10
"xanthoplaca",10
"yumbarrana",10
"zelleri",10
"307",9
"311",9
"2001",9
"2994",9
"6578",9
"15,067",9
"acc",9
"aciculare",9
"aduncum",9
"aephynsa",9
"aerea",9
"agriochoerus",9
"alatus",9
"albus",9
"anasazi",9
"ancistrocarpa",9
"anicia",9
"anthophytes",9
"arfia",9
"argellus",9
"asplenium",9
"asterella",9
"astrohippus",9
"augusta",9
"aulacocarpa",9
"austrina",9
"baileyi",9
"baudiniana",9
"bernardino",9
"berteroanum",9
"bilineatus",9
"billardierianum",9
"bipunctata",9
"bore",9
"boyaginensis",9
"bredowi",9
"breviflora",9
"bryaceae",9
"byrsaeum",9
"caeruleum",9
"cardiosperma",9
"carinatus",9
"centralis",9
"chaetomitrium",9
"chamonixia",9
"cherticola",9
"chinensis",9
"cinereum",9
"cisalpina",9
"cistiflora",9
"citima",9
"clarkei",9
"clausa",9
"clelandiorium",9
"coactiliferum",9
"cochlearinum",9
"commune",9
"confertum",9
"contigua",9
"crassilingua",9
"crassipes",9
"creek",9
"cribrogloea",9
"crispatum",9
"cristatum",9
"crustose",9
"crystallinus",9
"curta",9
"cuscuta",9
"cyanoxantha",9
"cylindropuntia",9
"delicatulum",9
"dendroides",9
"dendromorpha",9
"derbyensis",9
"diandrum",9
"digitaria",9
"dilatatus",9
"dimidia",9
"disjuncta",9
"distichophyllum",9
"diuris",9
"diurnum",9
"diversifolium",9
"dossenum",9
"echinatum",9
"ectocarpus",9
"ectoconus",9
"elongatus",9
"enantia",9
"ephebe",9
"eriophorum",9
"eriopodum",9
"eryphon",9
"esslinger",9
"ethne",9
"euagorus",9
"eucheuma",9
"europea",9
"eurymus",9
"eurytheme",9
"examplaris",9
"excubitor",9
"exigua",9
"falcatum",9
"famelica",9
"farinacea",9
"fasciculatus",9
"female",9
"ferdinandi",9
"feredayi",9
"flammula",9
"fletcheri",9
"flexicaule",9
"florulenta",9
"franklinii",9
"frigida",9
"fusifolia",9
"fusiformis",9
"g.j",9
"gardenia",9
"geastrum",9
"geniculata",9
"giraffa",9
"glabrata",9
"glaucifolius",9
"globifera",9
"glomeratum",9
"glycinoides",9
"gvsc",9
"gymnostomum",9
"gynocrates",9
"haematomma",9
"heliophila",9
"hera",9
"hibiscus",9
"holotrichia",9
"howei",9
"hyphoderma",9
"hypnaceae",9
"hypocenomyce",9
"hypolepis",9
"hypotrachyna",9
"improba",9
"incerta",9
"jamesonii",9
"keighery",9
"klotsi",9
"kneiffii",9
"kombolgiensis",9
"lanicuspis",9
"lehmannii",9
"lenormandiana",9
"leptoreodon",9
"lineata",9
"linifolia",9
"lobulata",9
"lophocladia",9
"louisii",9
"loxolophus",9
"lurida",9
"macassarensis",9
"marmota",9
"megaphyllum",9
"megaptera",9
"meniscoessus",9
"meridiana",9
"met",9
"metaxytherium",9
"microcarpus",9
"micropeuce",9
"miniata",9
"mistaken",9
"mnium",9
"monantha",9
"montis",9
"myriodesmae",9
"napus",9
"nasturtium",9
"naucoria",9
"neotoma",9
"nigrioreleus",9
"nitidum",9
"opaca",9
"oregonius",9
"orthodontium",9
"owens",9
"p.p",9
"palaeictops",9
"palaeocastor",9
"papuanum",9
"parsons",9
"pauper",9
"peziza",9
"phaeocarpus",9
"phaeoclavia",9
"phlyctis",9
"piper",9
"placopsis",9
"plagiochila",9
"platycena",9
"polaris",9
"pomaderris",9
"porina",9
"potentilloides",9
"pritzelii",9
"propliopithecus",9
"pulchellus",9
"pulla",9
"purpuratus",9
"racopilum",9
"rapa",9
"rapae",9
"reflexum",9
"remotum",9
"resinosum",9
"rhagodia",9
"rigidoporus",9
"rosulabryum",9
"roycei",9
"rubellus",9
"ryan",9
"sakuntala",9
"sambucifolia",9
"sarcodia",9
"schaubeumys",9
"scleroclada",9
"scyphocalyx",9
"secundata",9
"serriola",9
"shepleyana",9
"solnhofen",9
"sororia",9
"southlandica",9
"sphyrnoides",9
"stellatum",9
"sterope",9
"sticta",9
"stolonifera",9
"sturtianum",9
"subgalericulata",9
"sublaevifolia",9
"subloliacea",9
"sundell",9
"sylvestre",9
"symphyogyna",9
"synthetic",9
"tetragonum",9
"thelephora",9
"thelephoraceae",9
"thiers",9
"thompsoniae",9
"thylacosmilus",9
"tincta",9
"toward",9
"transversa",9
"tricholomopsis",9
"tristis",9
"uliginosa",9
"umbra",9
"unguiculatus",9
"vernicosa",9
"vesiculosum",9
"villosisepala",9
"violaceum",9
"vitabunda",9
"wandoo",9
"wattsiana",9
"weld",9
"zygodon",9
"2n",8
"acacus",8
"acanthocladium",8
"acanthophorum",8
"accedens",8
"acinacea",8
"acuaria",8
"adherbal",8
"adoxa",8
"aequioperta",8
"agropyron",8
"agrostis",8
"ajax",8
"al",8
"aloides",8
"alope",8
"alpestre",8
"altilamellosa",8
"altior",8
"amazon",8
"anchitherium",8
"annetteae",8
"annua",8
"anthochaera",8
"antillarum",8
"aparrerinja",8
"aphylla",8
"aquaticum",8
"arafurica",8
"arctodon",8
"arenamontana",8
"armatum",8
"asparagopsis",8
"asper",8
"asperifolia",8
"astomum",8
"attenuatum",8
"attilia",8
"audouinella",8
"badia",8
"baeckeacea",8
"barnes",8
"batesii",8
"baueri",8
"beaufortioides",8
"besch",8
"bewani",8
"blue",8
"bolanderi",8
"bonnemaisoniae",8
"bostrychia",8
"brachystachya",8
"brevilabium",8
"brunonis",8
"buxifolia",8
"byrnesii",8
"caerulescens",8
"callicarpa",8
"calyptroides",8
"cameronii",8
"camptothecium",8
"candolleana",8
"capillifolius",8
"carrii",8
"cavernosa",8
"celastroides",8
"cephaloziella",8
"cervina",8
"cervinus",8
"cetoniinae",8
"chaetophora",8
"charlotti",8
"chrysoglossa",8
"chrysohyphum",8
"chrysoneuron",8
"chrysothrix",8
"clandestina",8
"clavulatum",8
"coangustata",8
"coccineus",8
"cochinchinensis",8
"codii",8
"coenia",8
"cololejeunea",8
"concinnum",8
"confervoides",8
"connexa",8
"contorta",8
"corcorani",8
"cornuta",8
"cosmophylla",8
"cr",8
"cupressoides",8
"curvispicatum",8
"cymosum",8
"dasyura",8
"daura",8
"dc",8
"dehaani",8
"delica",8
"dendropithecus",8
"destriana",8
"dichelyma",8
"dichotomum",8
"dichotomus",8
"dictyosphaeria",8
"didelphodon",8
"diemenicus",8
"diplectroglossum",8
"dipterosiphonia",8
"disparipes",8
"distigma",8
"dracophylloides",8
"dubia",8
"dundasiae",8
"eastwoodiae",8
"effusa",8
"eichlerianus",8
"elachantha",8
"ensifolia",8
"eriostachya",8
"etc",8
"etrusca",8
"euphorbiaceae",8
"eutaxioides",8
"evecta",8
"evoluta",8
"fabronia",8
"falcatus",8
"fecunda",8
"ferrugineum",8
"fistulosa",8
"fleischer",8
"foelscheana",8
"fulva",8
"fulvescens",8
"genotype",8
"gibson",8
"glabella",8
"glabellum",8
"gladiata",8
"glandulosa",8
"glaucina",8
"glomulifera",8
"goodspeedii",8
"gossei",8
"gray",8
"gregory",8
"gymnatini",8
"gynandra",8
"halcyone",8
"haleakalae",8
"halurus",8
"hebecarpa",8
"hedw",8
"hemignosta",8
"hemiteles",8
"hensold",8
"heteromera",8
"heterospathe",8
"hincksia",8
"hoeni",8
"holomitrium",8
"hoplophoneus",8
"howelliae",8
"hutchinsioides",8
"hydnellum",8
"hydrocotyle",8
"hydrophilus",8
"hygrocybe",8
"hygrophanous",8
"hysterogaster",8
"if",8
"impressa",8
"inflexa",8
"inghami",8
"integerrima",8
"inundata",8
"isolepis",8
"jackii",8
"jacobi",8
"javanicum",8
"jennerae",8
"johnstonii",8
"k.f",8
"kenneally",8
"keys",8
"kirishimaensis",8
"kurzia",8
"lachnum",8
"lactarius",8
"lacustrinus",8
"laevinode",8
"lafontainei",8
"lateriticola",8
"latior",8
"lawesii",8
"leiopyxis",8
"lemonthymensis",8
"lepidotum",8
"leptoclada",8
"leptopetala",8
"lethe",8
"leucadendra",8
"leucoblasta",8
"leucopetalum",8
"licmophorum",8
"lilacinogilva",8
"lindauer",8
"lineatum",8
"linum",8
"lolium",8
"longipetala",8
"longiseta",8
"lunata",8
"lysiphloia",8
"m.e",8
"macroloba",8
"marasmiellus",8
"mattrappei",8
"metridiochoerus",8
"microbotrya",8
"microcladioides",8
"microptera",8
"midea",8
"misidentified",8
"moderata",8
"mulga",8
"multispiculis",8
"mycoblastus",8
"nc16",8
"neophyllis",8
"neozelandica",8
"nepalense",8
"nervosa",8
"nervosum",8
"nitophyllum",8
"novo",8
"nudiflora",8
"oberfoeli",8
"obovata",8
"occultans",8
"ok",8
"oligophylla",8
"oligospora",8
"opalactinus",8
"operculatum",8
"oreas",8
"oswaldii",8
"ovales",8
"oxycarpum",8
"pachynema",8
"pallens",8
"pallidiflorus",8
"papulentus",8
"parfitt",8
"patenticuspis",8
"pauciflorum",8
"pendulina",8
