"data.dwc:identificationQualifier","reps"
"feredayae",47
"foliosa",47
"gazella",47
"georgei",47
"intermedia",47
"leucostachys",47
"montanum",47
"ochrolechia",47
"parviceps",47
"petiolaris",47
"pinnatifolius",47
"polycladum",47
"procyon",47
"purpurea",47
"rhodymenia",47
"sabuletorum",47
"scarlatina",47
"spectrunculus",47
"suaveolens",47
"sylvilagus",47
"victoriae",47
"gigartina",46
"gracilaria",46
"limbata",46
"mylagaulus",46
"nazari",46
"peratherium",46
"reptans",46
"taber",46
"tamias",46
"3",45
"aemula",45
"amoenum",45
"dasythamniella",45
"dissection",45
"fornicatus",45
"funicularis",45
"heilinpu",45
"papyrocarpa",45
"phyllophora",45
"rara",45
"rugosa",45
"siliquosa",45
"tortula",45
"weissia",45
"07",44
"alena",44
"azureum",44
"bairdi",44
"banksii",44
"campestris",44
"collema",44
"filamentosa",44
"frondosa",44
"heterophylla",44
"hydrochoerus",44
"intertexta",44
"laevis",44
"media",44
"multicaulis",44
"patens",44
"pilosa",44
"pro",44
"setifolia",44
"transcontinentalis",44
"trichophylla",44
"tumidus",44
"ursus",44
"01",43
"angustifolium",43
"armata",43
"chlosyne",43
"convoluta",43
"curviflora",43
"cuvieronius",43
"dives",43
"fitzgeraldii",43
"flexilis",43
"glutinosa",43
"miniochoerus",43
"peniophora",43
"rangifer",43
"rhizocarpon",43
"ross",43
"tenera",43
"acacia",42
"aroga",42
"authentic",42
"clitocybe",42
"comosus",42
"dioica",42
"elata",42
"eremophila",42
"ex",42
"filatima",42
"formosa",42
"gracillima",42
"infestans",42
"labillardieri",42
"largiflorens",42
"lycaena",42
"needs",42
"papuana",42
"quadrispora",42
"tomarctus",42
"bacidia",41
"bellator",41
"chryseopsis",41
"ciliolatum",41
"craspedocarpa",41
"dan",41
"elko",41
"ferruginea",41
"fuscata",41
"laxum",41
"lepidum",41
"ligulata",41
"macrophylla",41
"oleosa",41
"paludosa",41
"philonotis",41
"polysiphonia",41
"pusilla",41
"revolutum",41
"spinescens",41
"strictum",41
"trenton",41
"umbellifera",41
"undetermined",41
"vittata",41
"brachythecium",40
"clavigera",40
"comosa",40
"cretata",40
"diemensis",40
"diploschistes",40
"dwyeri",40
"echinothamnion",40
"marginifera",40
"may",40
"obtusum",40
"polycarpa",40
"polysciada",40
"prob",40
"rossii",40
"salicola",40
"wasatchia",40
"aduncus",39
"ammophila",39
"archippus",39
"californica",39
"calothrix",39
"caudata",39
"confluens",39
"costata",39
"crassa",39
"crispum",39
"eriphyle",39
"horistes",39
"olivina",39
"ondatra",39
"pictus",39
"tenue",39
"variant",39
"wcsp",39
"aurata",38
"brevifolia",38
"chlorophaea",38
"ciliata",38
"crassicaudex",38
"epacridis",38
"eriopoda",38
"falcata",38
"incorrect",38
"lemhiensis",38
"mycena",38
"nanus",38
"obtusata",38
"pallescens",38
"papillosa",38
"paradoxa",38
"pinnatifida",38
"preissianum",38
"pterostylis",38
"radiciformis",38
"rinodina",38
"sivapithecus",38
"aurea",37
"brachiata",37
"char",37
"chara",37
"derwentiana",37
"ellipticum",37
"heteroclada",37
"hyphodontia",37
"javanica",37
"label",37
"leuropoma",37
"maireana",37
"minuta",37
"olancha",37
"parvula",37
"potamogeton",37
"prolifera",37
"retorta",37
"taxa",37
"tem",37
"tomentosa",37
"viscosa",37
"adjustrix",36
"bernadetta",36
"casuarinae",36
"columbina",36
"crescens",36
"crinita",36
"densiflora",36
"floridanum",36
"gigantea",36
"grosso",36
"helianthemoides",36
"huegelii",36
"lateritia",36
"lepus",36
"mundula",36
"neomexicanus",36
"oleracea",36
"phenax",36
"pinnata",36
"proliferum",36
"sessilis",36
"squamatum",36
"teges",36
"vesicaria",36
"xerophila",36
"acuminata",35
"autumnalis",35
"brachyscome",35
"browniana",35
"calyptothecium",35
"chondria",35
"cladonia",35
"cylindrocarpa",35
"dioicum",35
"furcata",35
"indica",35
"melicausa",35
"muricata",35
"mylohyus",35
"oxyaena",35
"phenacolemur",35
"prostratum",35
"punctelia",35
"pyrenula",35
"serrata",35
"tridens",35
"baxteri",34
"collybia",34
"dubyi",34
"elliptica",34
"eugenioides",34
"grandifolia",34
"hirta",34
"hypnum",34
"indra",34
"isopterygium",34
"moniliformis",34
"paraneura",34
"patagiatum",34
"pedunculata",34
"polyandra",34
"radiatum",34
"s.w",34
"scalopoides",34
"seperina",34
"taeniata",34
"tel",34
"variabilis",34
"verruculosa",34
"2x",33
"albida",33
"americana",33
"biseta",33
"boopis",33
"boormanii",33
"brevipes",33
"decorticans",33
"discreta",33
"gloveri",33
"gorgone",33
"harveyi",33
"incana",33
"incisum",33
"inermis",33
"lactuca",33
"leprocybe",33
"monosaulax",33
"morrisii",33
"nothrotheriops",33
"purpurascens",33
"rustica",33
"scabriuscula",33
"sibirica",33
"sordida",33
"stipitata",33
"variifolium",33
"venosa",33
"09",32
"alpina",32
"ancilla",32
"aspicilia",32
"aus10",32
"bicolor",32
"corticioid",32
"cyanescens",32
"cytotype",32
"dicranoloma",32
"dumosa",32
"elatum",32
"galeatum",32
"harveyanum",32
"hormoclados",32
"icarioides",32
"introflexus",32
"kauffman",32
"latifascia",32
"minima",32
"nesophilum",32
"no",32
"orbicularis",32
"pachyaena",32
"picta",32
"pliohippus",32
"prosciurus",32
"pruinosa",32
"sargassum",32
"semibaccata",32
"silvestris",32
"supina",32
"syn",32
"terrestris",32
"tiparraria",32
"vagabunda",32
"vassallia",32
"2003",31
"alphadon",31
"aongstroemii",31
"axillaris",31
"callophyllis",31
"candida",31
"colei",31
"gracilenta",31
"grandis",31
"greeniana",31
"intricata",31
"lato",31
"lenormandia",31
"leptostachyum",31
"longissima",31
"marina",31
"menziesii",31
"monticola",31
"nuda",31
"pernitens",31
"reniformis",31
"rubida",31
"russula",31
"spicatum",31
"subulata",31
"variegata",31
"white",31
"with",31
"american",30
"amplifolia",30
"australiana",30
"australopithecus",30
"bulbosa",30
"clyton",30
"crouanioides",30
"cullenii",30
"dicranodontium",30
"didymodon",30
"diemenica",30
"dorothyi",30
"extensa",30
"fascicularis",30
"flora",30
"floridensis",30
"fragilis",30
"gracilipes",30
"imbricata",30
"inamoena",30
"ir",30
"laevopinea",30
"nearest",30
"oldfieldii",30
"pannaria",30
"papillata",30
"pergranulata",30
"perplexa",30
"phyllocarpum",30
"pluricallata",30
"poa",30
"psoroma",30
"pubescens",30
"rubra",30
"sematophyllum",30
"semibarbata",30
"sisson",30
"stenophylla",30
"urnigera",30
"vs",30
"willisii",30
"xanthoides",30
"6",29
"amp",29
"archaeotherium",29
"arizonensis",29
"ayersiana",29
"carnosa",29
"chondricola",29
"complicatum",29
"cyanea",29
"dd1",29
"edwardsi",29
"fo",29
"freija",29
"glebosa",29
"hooper",29
"jania",29
"juncifolia",29
"lasiocarpa",29
"latens",29
"lehmanniana",29
"lepidosperma",29
"leucopogon",29
"longifolium",29
"loxophleba",29
"lucida",29
"mark",29
"mcmanaway",29
"ms",29
"naevosa",29
"nesophila",29
"opegrapha",29
"pallidus",29
"parmotrema",29
"pediomys",29
"platylobium",29
"pratensis",29
"pseudospicata",29
"saligna",29
"subsimplex",29
"thelotremataceae",29
"valentiae",29
"vicina",29
"wijkia",29
"wrangelia",29
"agriades",28
"alaskensis",28
"anectangium",28
"bartell",28
"brachymenium",28
"brookeriana",28
"capparis",28
"coloradensis",28
"coriacea",28
"corrugata",28
"corticiaceae",28
"crassifolia",28
"debilis",28
"edulis",28
"fide",28
"fimbriata",28
"gunnii",28
"halocnemoides",28
"halymenioides",28
"macilenta",28
"macrantha",28
"monostictum",28
"mont",28
"moropus",28
"oxyantha",28
"pallidum",28
"pardalis",28
"parvifolia",28
"pectinata",28
"peregrina",28
"peridiomys",28
"postia",28
"ptilocladia",28
"pulchellum",28
"pustulosa",28
"radula",28
"ramseyi",28
"rhynchostegium",28
"riccia",28
"serpyllifolia",28
"the",28
"undulata",28
"uniflora",28
"whitei",28
"yalatensis",28
"alatum",27
"aphyllophorales",27
"barberi",27
"ceramium",27
"chionodes",27
"ciliaris",27
"coelothrix",27
"concinnus",27
"conspicua",27
"crispula",27
"cycnocephalus",27
"dalrympleana",27
"dictyomenia",27
"fusca",27
"heterosiphonia",27
"japonicum",27
"leucobryum",27
"luteola",27
"macromitrium",27
"maderaspatanus",27
"megalagus",27
"mexicana",27
"microsyops",27
"phenotype",27
"phleg",27
"pileata",27
"platyphylla",27
"pohlia",27
"pterothamnion",27
"russellii",27
"sativa",27
"socialis",27
"squarrosa",27
"tenuiflorum",27
"texana",27
"tortella",27
"tuberculata",27
"wendy",27
"zelleromyces",27
"amplissima",26
"aurantiacum",26
"austrostipa",26
"bella",26
"benthamii",26
"bicornis",26
"brachiaria",26
"bracteata",26
"bracteatum",26
"brongniartii",26
"cardiophylla",26
"ceramioides",26
"chloroclada",26
"coccifera",26
"colorata",26
"coolabah",26
"dark",26
"desmatodon",26
"ectropothecium",26
"ee1",26
"effusum",26
"erythrophloia",26
"integra",26
"lange",26
"laxus",26
"linearifolia",26
"lomentaria",26
"macraneura",26
"mannifera",26
"megatherium",26
"nacimiento",26
"new",26
"oregonensis",26
"oswayo",26
"parva",26
"rostrata",26
"seattle",26
"sesamoides",26
"shirleyi",26
"spathulatum",26
"tricholoma",26
"turpis",26
"varians",26
"very",26
"viscidum",26
"vulgaris",26
"1970",25
"acmenoides",25
"ayers",25
"barbella",25
"bipinnatifida",25
"cenveray",25
"cons",25
"constrictus",25
"curtipes",25
"dolichochila",25
"editha",25
"elatior",25
"esthonyx",25
"flocktoniae",25
"fragilessp",25
"gibbosa",25
"graphidaceae",25
"gymnomyces",25
"gymnopilus",25
"heteromorphum",25
"hypneoides",25
"key",25
"lahontani",25
"leptictis",25
"lobata",25
"macyi",25
"maria",25
"meridionalis",25
"mesophyllum",25
"microtheca",25
"muelleriana",25
"obtusifolia",25
"opuntia",25
"orbifolia",25
"platichila",25
"polyporus",25
"possible",25
"scalena",25
"smithii",25
"spinosa",25
"subradiata",25
"substriatus",25
"tindaliae",25
"vesicularia",25
"aggregata",24
"antilocapra",24
"auct",24
"brenda",24
"capillaris",24
"chaetomorpha",24
"chalcedona",24
"citrina",24
"clarki",24
"crispa",24
"cycnocephala",24
"dendrobioides",24
"disticha",24
"dorycarpa",24
"eremaeum",24
"fruticulosum",24
"gabbii",24
"glomeratus",24
"goniocalyx",24
"inocybe",24
"krauthi",24
"leptophyllum",24
"lophothalia",24
"megaloceras",24
"nitella",24
"nitidula",24
"ovalifolia",24
"palustris",24
"perangusta",24
"pholiota",24
"prostrata",24
"range",24
"recurva",24
"robustum",24
"see",24
"setosa",24
"sieberiana",24
"streckeri",24
"subfascicularis",24
"sulcata",24
"tenellus",24
"tenuiramis",24
"tetraclaenodon",24
"tricarinatus",24
"tyromyces",24
"usnea",24
"vestitum",24
"virginicus",24
"amblystegium",23
"angustatum",23
"antithamnion",23
"ardea",23
"arida",23
"aureum",23
"brucei",23
"chilensis",23
"erwin",23
"exserta",23
"filipendula",23
"gracillimus",23
"green",23
"gymnospora",23
"halymenia",23
"hypogymnia",23
"japonica",23
"juncea",23
"lanigera",23
"lorquini",23
"melanophloia",23
"mitchelliae",23
"mitchellii",23
"palustre",23
"polk",23
"race",23
"rostellata",23
"selenis",23
"spinulosa",23
"stellulata",23
"tensa",23
"tetragynus",23
"trinodis",23
"urceolaris",23
"vermicularis",23
"wallacensis",23
"watsoni",23
"5",22
"agave",22
"alberta",22
"ambigua",22
"amer",22
"australasicum",22
"burrisoni",22
"caesariata",22
"calycina",22
"capillacea",22
"cernua",22
"cinerascens",22
"cybele",22
"egger",22
"epiglossum",22
