"nomenclaturalCode","reps"
"",50793545
"ICZN",14493771
"ICNafp",4874124
"ICBN",4282993
"ICN",1095011
"unknown",18137
"noncompliant",6619
"ICBN/ICSP",2813
"Animalia",1686
"Ichnofossil",171
"Berry, William B. 1960. Graptolite faunas of the Marathon region, West Texas. Texas University Publication. n.6005: 179pp.,3tf.,20pl.",132
"Acutiramus",11
"undefinable",7
"Seilacher, Adolf & Gishlick, Alan D. 2014. Morphodynamics. 553 p., 145 Pl.",4
"noncomplaint",2
"Berry, William B. 1966. Climacograptus hastatus T.S. Hall--its lectotype and some local populations. Journal of Paleontology. v.40 (n.1): pp.162-176,2tf.,1tbl.,1pl.",1
"Blows, William T. 2001. Dermal armor of the polacanthine dinosaurs., in Carpenter, Kenneth. The Armored dinosaurs. 363-385.",1
"Ginsburg, Leonard. 1962. Les Tritylodontes. Problemes actuels de Paleontologie ( evolution des vertebres). 104: 187-192.",1
"ICBN, ICNB",1
"ICZN.  Update per WoRMS id 746168",1
"Palaeophyllum",1
"Plantae",1
"Seilacher, Adolf. 2007. Trace Fossil Analysis. 226 p., 75 pl.",1
"Taxon indet.",1
