"identificationQualifier","reps"
"",72600266
"A",2232717
"sp.",277456
"cf.",81021
"A sp.",57995
"species TBD",55497
"?",28870
"aff.",21375
"A ssp.",20963
"CF.",12297
"genus and species TBD",9926
"ssp.",9000
"A {string}",8998
"Equus",7328
"Dusicyon",6925
"A x B",5792
"cf.;",5387
"vel sp. aff.",4616
"uncertain",4348
"Canis",4313
"Holmesina",3503
"s. lat.",3067
"A ?",3054
"Uncertain determination",2995
"cf",2724
"aff.;",2548
"vel sp. nov.",2518
"genus in question",2374
"Eremotherium",2333
"Undet.",2056
"GVSU Digitization Project",1984
"Scelidodon",1953
"sp. nov.",1944
"Smilodon",1890
"Odocoileus",1875
"in question",1849
"A or B",1834
"Species TBD",1762
"s.l.",1751
"Palaeolama",1437
"species in question",1404
"gr.",1204
"c. fr.",1167
"Cresson",1046
"Gess sp. A",1030
"A cf.",1011
"Menoceras",916
"verified by Schmidt, B.C.",839
"Hemiauchenia",805
"Willwood Fm",786
"???",757
"near",745
"!",722
"Kirby",703
"c.fr.",702
"Hyracotherium",673
"var.",652
"ined.",635
"verified by Schmidt, B. C.",625
"?;",622
"group",602
"ssp",553
"verified by Anweiler, G. G.",510
"indet.",484
"sp. n.",467
"vel. aff.",430
"Cupidinimus",404
"n. sp.",398
"(DeGeer)",392
"Dusicyon ?",388
"Leptomeryx",385
"Bison",357
"Marathon Ls",352
"subspecies in question",349
"Mammuthus",333
"Alcelaphus",308
"Gess sp. B",291
"Bos",284
"x;",272
"A / B intergrade",267
"=",263
"1905-06-28",260
"form",252
"cf. winchelli",251
"speciesTBD",251
"Tapirus",250
"sp. nov. ined.",249
"Phenacodus",247
"verified by Bird, C. D.",245
"Mesodma",241
"Copemys",235
"Hendryomeryx",219
"x",218
"Camelops",214
"Smilodon ?",211
"vel aff.",211
"Etage Ff1",210
"Haplomastodon",208
"Panthera",208
"Glyptotherium",207
"Hyopsodus",201
"complex",200
"probably",197
"Niobrara Fm",192
"misidentification for North America",191
"Pampatherium",189
"cfr.",188
"cf. carolinae",183
"comb. nov.",182
"Paramylodon",180
"Plants of Michigan",180
"gp.",177
"Protungulatum",177
"(Telamonia)",173
"Woods Hollow Sh",173
"A and B",168
"Gess sp. C",167
"Mammut",163
"Oscar F. Francke",161
"Uncertain",155
"s. str.",146
"Cantius",144
"Fort Pena Fm",141
"Haplomylus",140
"nom. nov.",137
"Merychippus or Hipparion",135
"mss. sp. nov.",134
"cf. aestivalis",132
"(?)",126
"Neohipparion ?",124
"Homogalax",122
"Grand Valley State University Herbarium",120
"Megasminthus",120
"AFF.",116
"Merychippus",114
"Teleoceras",112
"Neochoerus",110
"grp.",109
"nom. prov.",107
"Palaeolama ?",106
"Dasypus",105
"utahensis",105
"Merycodus",104
"Stygimys",104
"subsp. territa",103
"James C. Cokendolpher",102
"Scelidotherium",101
"Dinohippus ?",99
"= C. lanuginosa (USDA Plant List)",98
"Platygonus",98
"c.f.",97
"platina",97
"f.",94
"Nannippus",94
"(Phlegmacium)",94
"comb. nov. ined.",91
"Hipparion",90
"Mesohippus",90
"Procerberus",89
"sp.?",89
"Conepatus",88
"Diacodexis",88
"Lignimus",86
"Palaeolagus",86
"s.s.",86
"Merycoidodon",85
"McMillan Fm",84
"Trichechus",83
"nov. spec.",82
"snyderi",82
"cf. carbonaria",81
"Maravillas Ch",80
"(Dermocybe)",79
"Pomoxis cf.",79
"Coryphodon",78
"hybrid",77
"letona",77
"Miriam Colson Fritts",77
"Spermophilus",77
"Castoroides",76
"comb. nov",76
"Etage Ee2",76
"Cimolestes",75
"Equus ?",75
"Grand Valley State College Herbarium, Allendale, Michigan",75
"Plebejus melissa melissa",75
"Hemiauchenia ?",74
"Hesperocyon",74
"verified by Anweiler, G.G.",74
"Crocuta",72
"Homotherium",72
"ssp. nov.",72
"Willamette Fm",72
"palla",70
"aff",68
"Bridger Fm",68
"var. nov.",68
"Russellagus",67
"sp. ?",66
"cf. longirostris",64
"Hesperolagomys",64
"Homo",64
"Hypolagus",63
"occidentalis",63
"cf. zonistium",62
"pallida",62
"Megalonyx",61
"Hippopotamus",59
"(Myxacium)",59
"Ischyromys",58
"sp. 1",58
"Gess sp. E",57
"probable mis-id for NA",57
"#NAME?",56
"Puma",56
"Questionable",55
"neumoegeni",54
"Hyracodon",53
"cf,",52
"Glossotherium",52
"Microtus",52
"s.str.",52
"Ward",51
"cf. ditrema",50
"sp. nov.?",50
"Tetonius",50
"??",49
"Didelphis",49
"Hipparion ?",49
"(Bulbopodium)",48
"cfr",48
"Cormohipparion ?",48
"Ectocion",48
"st.",48
"1905-06-30",47
"cf. spectrunculus",47
"D. Z. Damrel",47
"Gazella",47
"1905-06-27",46
"Mylagaulus",46
"Peratherium",46
"Probable mis-id for N.A.",46
"spp.",46
"verified by Nazari, V.",46
"Heilinpu Fm",45
"Macropus",45
"Procyon",45
"Sp. nov.",45
"Sylvilagus",45
"Tamias",45
"nr.",44
"1905-07-01",43
"cf. bairdi",43
"Miniochoerus",43
"sp. aff.",42
"verified by Ross, H. H.",42
"cf. bellator",41
"nevadensis",41
"Trenton Ls",41
"A aff.",40
"ampelos elko",40
"Hydrochoerus",40
"ochracea",40
"Ursus",40
"eriphyle",39
"Ondatra",39
"`",38
"= C. convoluta (USDA Plant List)",38
"lemhiensis",38
"Nannippus ?",38
"Sivapithecus",38
"B",37
"Gess sp. I",37
"olancha",37
"Acanthorrhynchium grosso-papillatum",36
"\adjustrix\",36
"Calymperes dozyanum Mitt",36
"Gess F.",36
"Harrison Fm",36
"rev.",36
"authentic",35
"cf. aestivalis ���B���",35
"melicausa group",35
"Merycodus or Blastomeryx",35
"Oxyaena",35
"Phenacolemur",35
"sp. aff.;",35
"subsp. neomexicanus",35
"Tomarctus",35
"cf. seperina",34
"Palaeolama?",34
"S.W. Taber",34
"type",34
"boopis",33
"floridanum",33
"Lepus",33
"Scalopoides",33
"2x cytotype",32
"aus10",32
"ex char.",32
"Gess sp. G",32
"J. H. Lehr",32
"pallescens",32
"Prosciurus",32
"s. l.",32
"1905-06-09",31
"Aerobryopsis pernitens",31
"Alphadon",31
"browni",31
"Cormohipparion",31
"Grand Valley State University",31
"Monosaulax cf.",31
"Nothrotheriops",31
"Pachyaena",31
"probable hybrid",31
"(s. str.)",31
"var. nov. ined.",31
"Australopithecus",30
"californica",30
"Calymperes aongstroemii",30
"cf, A",30
"dorothyi",30
"IR sp nov",30
"Merycodus ?",30
"Neohipparion",30
"Rangifer",30
"W. D. Sisson",30
"Archaeotherium",29
"Arnheim Sh",29
"Camelops ?",29
"Complex",29
"edwardsi",29
"forma",29
"freija",29
"Gess sp. 1",29
"intermediate",29
"Mylohyus",29
"Pediomys",29
"R. McManaway",29
"s. amp.",29
"Scelidodon ?",29
"Vassallia",29
"2003",28
"Acanthorrhynchium monostictum",28
"alaskensis",28
"australis",28
"cf. ramseyi",28
"clyton",28
"Cuvieronius",28
"floridensis",28
"Hemiauchenia?",28
"Mammut ?",28
"Mammuthus ?",28
"montana",28
"Moropus",28
"n.sp.",28
"Peridiomys",28
"species TBD (needs dissection)",28
"(Tel.)",28
"var. complicatum",28
"archippus",27
"Arnheim Fm",27
"Corticiaceae",27
"E. MT phenotype",27
"gen. nr. Chionodes/Aroga/Filatima",27
"Gess sp. D",27
"latifascia",27
"Megalagus",27
"Microsyops",27
"nesophilum",27
"not",27
"Probable mis-id for NA",27
"Red River Fm",27
"sensu lato",27
"vs.;",27
"Etage Ee1",26
"Gess sp. F",26
"may be",26
"Megatherium",26
"Nacimiento Fm",26
"Oswayo Fm",26
"silvestris",26
"Aphyllophorales",25
"Bartell, Dan P.",25
"Calymperes dozyanum",25
"cenveray",25
"C. gorgone carlota",25
"Gess sp. 2",25
"Leptictis",25
"nom. cons.",25
"sp. indet.",25
"substriatus gp.",25
"verified by Hooper, R.",25
"chalcedona",24
"Chlosyne palla flavula",24
"comb. nov., ined.",24
"Esthonyx",24
"fide",24
"gabbii",24
"krauthi",24
"megaloceras",24
"streckeri",24
"Tetraclaenodon",24
"texana",24
"Aerobryopsis longissima",23
"Bison ?",23
"Gess sp. H",23
"Key in Erwin 1970",23
"Odocoileus ?",23
"Palaeolama cf.",23
"R. Kirby",23
"watsoni",23
"W. Hodgson",23
"alberta",22
"alena",22
"Antilocapra",22
"burrisoni",22
"Cervus",22
"Cervus ?",22
"Corticioid",22
"Hipposideros",22
"Los Guachos Fm",22
"Mark Egger",22
"[North American species]",22
"reducta",22
"sp. 2",22
"T. J. Ayers & K. Huisinga",22
"wallacensis",22
"arachne",21
"aus2",21
"= C. foenea (USDA Plant List)",21
"C. palla flavula",21
"E. a. alena",21
"Eumys",21
"K. Polk",21
"(Leprocybe)",21
"menapia",21
"meridionalis",21
"Michigan Plants",21
"Palaeosyops",21
"Paramys",21
"Pliohippus",21
"prov.",21
"selenis",21
"Stibarus",21
"thebais",21
"Apheliscus",20
"browningi",20
"Calymperes thyridioides",20
"cf. aestivalis A",20
"cybele",20
"flora",20
"Gasterosteus cf.",20
"nycteis",20
"Periptychus",20
"skinneri",20
"sp. A",20
"wasatchia",20
"Acritoparamys",19
"bernadetta",19
"C. p. perplexa",19
"Cylindrodon",19
"echo",19
"Felis",19
"interior",19
"J. Harry Lehr",19
"Lycaena nivalis browni",19
"Michigan Plant",19
"possibly",19
"Probably",19
"Proscelidodon",19
"s. auct. amer.",19
"S. a. wasatchia",19
"sayi",19
"sp.d",19
"toddi",19
"tuckeri",19
"Viverravus",19
"Acanthorrhynchium papillatum",18
"aff.; sp. nov.",18
"as \genuina\",18
"coloradensis",18
"= C. stenophylla (USDA Plant List)",18
"Didymictis",18
"Etage Dd1 gamma",18
"fulvia",18
"Gess sp. J",18
"Isotype",18
"lahontani",18
"meadi",18
"nov. gen. et spec.",18
"oregonensis",18
"phileta",18
"pima",18
"pseudobryoniae",18
"sp. undet.",18
"undetermined species",18
"var. ?",18
"abbreviatum/saucium",17
"albimontana",17
"ampelos",17
"ascerta",17
"chermocki",17
"Desmostylus",17
"Dinohippus",17
"elegans",17
"Glyptodon",17
"Hornerstown Fm",17
"ingens",17
"Medina Ss",17
"nebraskensis",17
"Notochoerus",17
"obscura",17
"penroseae",17
"(Phleg.)",17
"Phyciodes pallida barnesi",17
"Poebrotherium",17
"prob.",17
"sanfordi",17
"sp. a",17
"Subhyracodon",17
"Telamonia",17
"verified by Anweiler, G.",17
"af.",16
"Agriades rustica",16
"aliaska",16
"arcticus",16
"Catopsalis",16
"Ctenidium decurrens",16
"Dicrostonyx",16
"Dryopithecus",16
"Elpidophorus",16
"Etage Dd2",16
"gen. et sp. nov.",16
"Gypsonictops",16
"Kraglievichia",16
"Mimotricentes",16
"nearest",16
"neriene",16
"Pachyarmatherium",16
"Palaeotragus",16
"Polyommatinae",16
"possible mis-id for North America",16
"sp. n. ined.",16
"sullivani",16
"Trigonias",16
"var B",16
"verified by dissection",16
"Acroporium fusco-flavum",15
"arizonensis",15
"bellona",15
"Chriacus",15
"coronado",15
"crameri",15
"Cuvieronius ?",15
"Dicranum longifolium",15
"ethela",15
"fr.",15
"gen. nr. Aroga/Filatima",15
"hanhami",15
"Hipparion or Nannippus",15
"Hyaenodon",15
"indra",15
"Kenyapithecus",15
"macyi",15
"McManus Fm",15
"Misidentification for North America",15
"nahanni",15
"Notharctus",15
"nr. venosa",15
"Platysamia gloveri",15
"Plesiadapis",15
"ricei",15
"Sinopa",15
"sisymbrii",15
"sp. sect. Deliciosi",15
"S. s. saepium",15
"Taxa ined.",15
"thoosa",15
"Unidentified",15
"verified by Lafontaine, J. D.",15
"alma",14
"Alsate Sh",14
"Anectangium euchloron (Schwaeg) Mitt.",14
"baroni",14
"carlota",14
"Castor",14
"C. d. searsi",14
"Ceramiaceae",14
"cf. aestivalis ���A���",14
"chara",14
"chrysomelas",14
"Copecion",14
"C. s. neoperplexa",14
"C.W. O'Brien",14
"emmeli",14
"flavula",14
"grimbeeki cf.",14
"harmonia",14
"lorquini",14
"lucayus",14
"lutzi",14
"Lycaena xanthoides editha",14
"maria",14
"monuste",14
"mormo",14
"myrina",14
"Not",14
"nov. sp.",14
"Ohio Sh",14
"Paramylodon ?",14
"Peromyscus",14
"phaeton",14
"Plebejus icarioides ardea",14
"Procamelus",14
"pseudochristina",14
"Purgatorius",14
"sagata",14
"schreyveri",14
"\Seattle form\",14
"segregata",14
"sequoia",14
"S. f. semiluna",14
"sp.6",14
"sp. B",14
"sp. nov. ?",14
"subsp. nebulosus",14
"syn.",14
"taxa ined.",14
"tharos",14
"turneri",14
"var. bipinnatifida",14
"weberi",14
"weidemeyerii",14
"wrighti",14
"xanthoides",14
"ancilla",13
"brenda",13
"Calymperes moorei",13
"can't verify name",13
"cf, B",13
"Cimolestes ?",13
"cupreus",13
"Dicranum palustre",13
"diniensis",13
"forma cycloptera",13
"Hypertragulus",13
"iroides",13
"kluanensis",13
"leanira",13
"Lower Harrison Fm",13
"M.s. chalcosiva",13
"nov. aff.",13
"nr eileenae",13
"Oriskany Ss",13
"Pseudohipparion ?",13
"Rev.",13
"sp?",13
"sp. 4",13
"sp.f",13
"sp. ined.",13
"Sus",13
"troilus",13
"#1",12
"1905-06-29",12
"Adjidaumo",12
"Agriades glandon rustica",12
"alexandra",12
"Artificial hybrid",12
"aus16",12
"Blastomeryx cf.",12
"(boltonii-sabuletorum)",12
"bretonensis",12
"calcicola",12
"cf. stigmaeum",12
"chinatensis",12
"cynna",12
"Dicranum pallidum",12
"Diprionomys cf.",12
"divergens",12
"ellisii",12
"Epihippus",12
"epipsodea",12
"f. clarki",12
"f. nitra",12
"form adjutrix",12
"form crocale",12
"f. simplex",12
"Gomphotherium",12
"indra/nevadensis",12
"Ined.",12
"Ithaca Fm",12
"japonica",12
"julia",12
"Kohl",12
"L. astyanax arizonensis",12
"leto",12
"Lynx",12
"macra",12
"magnifico",12
"Mont A. Cazier",12
"nearest to",12
"northi",12
"n. var.",12
"obsoleta",12
"O. F. Francke",12
"orseis",12
"pfoutsi",12
"Philotes ancilla",12
"photo ID",12
"Platygonus ?",12
"Prodipodomys",12
"R. Beckham",12
"reinthali",12
"rutilus",12
"Scirrotherium",12
"sensu amplo",12
"sensu stricto",12
"sp. 2 (all July)",12
"spuleri",12
"strigosus",12
"(Stromatinia)",12
"subsp. cryptocarpa",12
"Tremarctos",12
"venosa",12
"wheeleri",12
"#2",11
"aemiliae",11
"Aphanorhegma serratum",11
"aus5",11
"benjamini",11
"brucei",11
"Campylopus virginicus",11
"Canis ?",11
"c. f.",11
"cf., 'Pinaleno'",11
"Cimexomys",11
"C. ochracea brenda",11
"C. perplexa pseudodumetorum",11
"D. E. Foster",11
"dispar cf.",11
"Drepanocladus kneiffi",11
"D. Z. D.",11
"ephisius",11
"f. brucei",11
"f. ochraceae",11
"freemani",11
"guantanamo",11
"harryi",11
"Herbarium of Carl Jay Bajema",11
"Hypohippus",11
"jezoensis",11
"Kaili Fm",11
"Mitoura spinetorum",11
"ms. nom.",11
"nc15",11
"nesis",11
"new species",11
"nr.;",11
"nr. dryope",11
"(= olympiana?)",11
"pedenereus",11
"Plebejus icarioides pembina",11
"Pleurotoid",11
"Promerycochoerus",11
"purpurascens",11
"Rangifer ?",11
"sensu Levring",11
"sp. 3",11
"sp. #4",11
"sp. A.",11
"sp. nov. (cf. achirus)",11
"Taeniolabis",11
"Tanymykter",11
"tritonia",11
"Undetermined",11
"var. 'Gigantea'",11
"veazieae",11
"vel. sp. aff.",11
"Wendy C. Hodgson, DES",11
"aff.; aff.",10
"aff. klamathensis",10
"agg.",10
"akis",10
"aleramica",10
"Apatidini",10
"apennina",10
"Archaeohippus",10
"astraea",10
"aus26",10
"B. Kitten",10
"brilliantinus",10
"Brule Fm",10
"butleri",10
"celtis",10
"Cephalozia sandvicensis",10
"CF",10
"Coelodonta",10
"confirm./rev.",10
"corticioid",10
"diana",10
"florida",10
"forma incisum",10
"gloriosa",10
"harroweri",10
"helloides",10
"heteronea",10
"hulda",10
"Hyrachyus",10
"inornata",10
"J. Armstrong",10
"KSC",10
"laetior",10
"lakota",10
"lanecolata",10
"Lestodon",10
"Logansport ls",10
"L. phlaeas americana",10
"Melanelia olivacea",10
"minnehaha",10
"napea",10
"nephele",10
"nigrescens",10
"nipisiquit",10
"nr macyi",10
"Phlegmacium",10
"Phocoena",10
"Plebejus melissa annetta",10
"P. nigrosuffusa",10
"Posidonia Sh",10
"praehispulla",10
"Procaprolagus",10
"protea",10
"Protohippus ?",10
"Protoreodon",10
"pseudocolumbiaensis",10
"Pseudoprotoceras",10
"R Rogers",10
"rubrofasciata",10
"rufosaturior",10
"seminole",10
"sensu CH Kauffman",10
"sensu Thomson",10
"sequoiae",10
"ser.",10
"Smith, F.",10
"sp. 5",10
"species A",10
"stenophyllus phase",10
"Thryptacodon",10
"U. scriptura",10
"var",10
"verified by D. monticolae Hopk.",10
"Vulpes",10
"Wendy Hodgson",10
"x geolthlypis",10
"2",9
"agaric",9
"? americana",9
"Amphechinus ?",9
"anasazi",9
"Anthophytes of Michigan",9
"ardea",9
"Arfia",9
"argellus",9
"argus",9
"augusta",9
"bernardino",9
"bipunctata",9
"bore",9
"= C. dioica ssp. gynocrates (USDA Plant List)",9
"cf. paludosa",9
"Chlosyne a. acastus",9
"cisalpina",9
"citima",9
"clarki",9
"= C. longirostris (WCSP)",9
"close to",9
"complex ?",9
"dulcamara sensu Lange, Heim",9
"Ectoconus",9
"Epicyon",9
"Eric Sundell",9
"eryphon",9
"euagorus",9
"europea",9
"Eurymus eurytheme",9
"excubitor",9
"glacialis",9
"group?",9
"Hybrid",9
"��",9
"improba",9
"Indet",9
"Leptoreodon",9
"Loxolophus",9
"Mammuthus?",9
"Marmota",9
"Megalonyx ?",9
"Meniscoessus",9
"meridiana",9
"Mistaken Point Fm",9
"nigrioreleus",9
"nr bernadetta",9
"nr klotsi",9
"n.sp. pro tem.",9
"oregonius",9
"Palaeocastor",9
"palustris",9
"Panthera ?",9
"Parsons Point Fm",9
"Pliohippus ?",9
"Propliopithecus",9
"sakuntala",9
"Samia gloveri",9
"S. b. behrii",9
"Schaubeumys",9
"sensu Thompson",9
"(Sericeocybe)",9
"Solnhofen Ls",9
"? sp.",9
"sp. #1",9
"sp. 2 of Dan Proud",9
"sp. 307 (bilineatus)",9
"sp. 311",9
"sp. 6",9
"sp.e",9
"Species A",9
"sp. N.",9
"sp. nov., ined.",9
"sterope",9
"subsp. japonicum",9
"Synthetic hybrid",9
"Thylacosmilus",9
"var.?",9
"var. nov. ined",9
"vitabunda",9
"Acacus Ss",8
"adherbal",8
"Aerobryopsis scariosa",8
"Agriochoerus",8
"A. halesus corcorani",8
"americana",8
"Anchitherium",8
"Anectangium haleakalae (C. Muller) Paris",8
"annetteae",8
"Aphelops ?",8
"arctodon",8
"Arctodus",8
"arenamontana",8
"attilia",8
"Barbella trichophora (Mont.) Fleischer",8
"C. a. affinis",8
"ca. intermediate",8
"= C. aquatilis var. altior (USDA Plant List)",8
"= C. canescens var. subloliacea (USDA Plant List)",8
"Cetoniinae, Gymnatini",8
"cf. punctulatum",8
"charlotti",8
"Chlosyne gorgone carlota",8
"= C. howei (USDA Plant LIst)",8
"coenia",8
"connexa",8
"Conocephalus conicus?",8
"daura",8
"dehaani",8
"Dendropithecus",8
"Dicranodontium longirostre",8
"Domninoides",8
"Domninoides ?",8
"E. a. bernadetta",8
"E. a. maria",8
"E. k. lafontainei",8
"Equus?",8
"ethne/manitoba",8
"f. evoluta",8
"Herbarium of Grand Valley State University (GVSC)",8
"Hesperocyon?",8
"hirsuta",8
"hoeni",8
"Hoplophoneus",8
"? ined.",8
"inghami",8
"J Owens",8
"kirishimaensis",8
"Leptomeryx ?",8
"Megalonyx?",8
"megasperma",8
"Metridiochoerus",8
"midea",8
"mis-id for NA",8
"(Myx.)",8
"Myxacium",8
"nc16",8
"needs reidentification",8
"nov. var. ined.",8
"oberfoeli",8
"opalactinus",8
"pauper",8
"P. clodius menetriesi",8
"Plagiomene",8
"polaris",8
"poliographys",8
"Pronothodectes",8
"Propalaeoryctes",8
"Ramapithecus",8
"rapae",8
"reicheli",8
"rufosplendens",8
"sara",8
"serenus",8
"shoshone",8
"S. m. franki",8
"sp.1",8
"sp. 7",8
"sp.b",8
"sp. b",8
"sp. cf. rubellus",8
"sperryi",8
"ssp nana inornata",8
"steckeri",8
"= S. tristis (WCSP)",8
"substituta",8
"tertiana",8
"towards H. eastwoodiae",8
"tutanus",8
"ursadentis",8
"very likely",8
"vidi",8
"Washakius",8
"X;",8
"\yendoi\",8
"youngi",8
"zelleri",8
"aff. galaxias",7
"alope",7
"annickae",7
"antibubastus",7
"Arnold, G.",7
"assimilis",7
"Astrohippus",7
"atrocostalis",7
"Atypical",7
"aus18",7
"Aweinat Wanin III Fm",7
"Blarina",7
"Blastomeryx ?",7
"Brachymenium melanothecium",7
"callippe",7
"cf. rubescens",7
"cf. species",7
"Chemung Fm",7
"C. ladon f. neglecta",7
"Claopodium amblystegioides",7
"clarens",7
"Colodon",7
"crust",7
"Cyptodontopsis obtusifolia",7
"Daphoenus",7
"dc.",7
"(Derm.)",7
"Dicranum polysetum",7
"Dicranum schraderi",7
"Dinictis",7
"Dinohyus",7
"D. Ralston",7
"Drepanocladus aduncus var. gracilescens",7
"(Ecad)",7
"Elomeryx",7
"Entoptychus",7
"epithore",7
"Etage Dd1 alpha",7
"etc.",7
"etrusca",7
"Eutypomys",7
"fumosa",7
"Giraffa",7
"gp.?",7
"halcyone",7
"halli",7
"Hiodon cf.",7
"Keys to",7
"Knapp Fm",7
"Lycaena rubidus sirius",7
"macrosp.",7
"maybe",7
"Melitaeini",7
"M.g. castalis",7
"misidentified for North America",7
"mis id NA",7
"misindentification for North America",7
"Mustela",7
"Myledaphus cf.",7
"nc14",7
"nc18",7
"nc2",7
"nelsoni",7
"Neotoma",7
"nigrior",7
"nom prov.",7
"nov. aff",7
"nr indra",7
"nr marginata",7
"n.sp.?",7
"(=olympiana?)",7
"oreas",7
"or Eleocharis palustris",7
"\ovatocystis\ type",7
"Panthera cf.",7
"Parvericius cf.",7
"picta",7
"Plebejus icarioides",7
"Possibly",7
"Pseudohipparion",7
"quino",7
"Rhacomitrium canescens fo. ericoides",7
"'Rhodophyllis'",7
"rossii",7
"sacajawea",7
"Samotherium",7
"Sciuropterus",7
"S. columella istapa",7
"sensu Lindauer",7
"sensu Thiers",7
"sister",7
"s.l.;",7
"s.lat.",7
"sp",7
"sp. 308 (comatus)",7
"sp. cf.",7
"spp.?",7
"sp. X sp.",7
"s. str",7
"strigosa",7
"TAP Clade",7
"Teilhardina",7
"Teleoceras ?",7
"Thyrohyrax",7
"Ver.",7
"verified by Gibson, A.",7
"verified by Troubridge, J.",7
"vividior",7
"v. nov. ined.",7
"windi",7
"3",6
"Aelurodon",6
"affin.",6
"(Amazon)",6
"Amphicyon",6
"annulata",6
"Apatemys",6
"archippus nr lahontani",6
"aus27",6
"aus3",6
"aus8",6
"Barbula subulifolia",6
"B. Phillips",6
"Brachypotherium",6
"Bruce D. Parfitt",6
"Bryhnia sublaevifolia",6
"Bryum atwateriae",6
"Bryum roseum",6
"Calymperes tuamotuense",6
"castiliana",6
"Castoroides cf.",6
"= C. crinita var. gynandra (USDA Plant List)",6
"Cervus?",6
"cethura",6
"cf. crustulata",6
"= C. foena (USDA Plant List)",6
"= C. folliculata var. australis (USDA Plant List)",6
"cf, var A",6
"cf. velifer",6
"Chadron Fm",6
"= C. heliophila (USDA Plant List)",6
"C. hypophlaeas",6
"comstocki",6
"Conacodon",6
"Cynomys",6
"Cypretherium",6
"dawsoni",6
"denali",6
"Dicranodontium falcatum",6
"Dicranum albicans",6
"Dicranum fulvum var. viride",6
"Dicranum sauteri",6
"Ditrichum tortile",6
"Drepanocladus aduncus var. typicus",6
"D. Smith",6
"Dupl. det",6
"euphenoides",6
"f. n.",6
"fordi",6
"form lecontei",6
"f. vestita",6
"geisha",6
"gigantea",6
"gp",6
"Halitherium",6
"Heodes editha",6
"hippocrates",6
"hyantis",6
"Hyopsodus ?",6
"hyperbius",6
"�� Steirochloa",6
"Identified as \Bembidion nebraskense or breve\",6
"ined.?",6
"J.V. Moody",6
"J. W. Brasher",6
"K. Helms",6
"Lasiurus",6
"L. E. Smith",6
"liggetti",6
"Liston Creek Fm",6
"Lonsdale Ls",6
"lycea",6
"magnocellatya",6
"medioitalica",6
"Melanoplus bohemani Sensu Otte 2012",6
"melissa",6
"Meniscotherium",6
"Mioclaenus",6
"Mont Cazier",6
"montinus",6
"Morganucodon",6
"morrisoni",6
"morsei",6
"(MS)",6
"M. y. coloradensis",6
"Myuroclada concinna",6
"nipponum",6
