"data.dwc:reproductiveCondition","reps"
"diamètre",9
"dried",9
"emerging",9
"end",9
"entirely",9
"fluid",9
"fn32169",9
"hickory",9
"knob",9
"maritima",9
"mira",9
"p.r.c",9
"persimmon",9
"pup",9
"r5",9
"rearing",9
"rearings",9
"ring",9
"seedling",9
"shows",9
"song",9
"spruce",9
"still",9
"strafford",9
"there",9
"tl",9
"traces",9
"translucent",9
"uk",9
"zelicaon",9
"100",8
"104",8
"114",8
"115",8
"1944",8
"1945",8
"16983",8
"0,3",8
"0.9",8
"10x4.5",8
"10x6.5",8
"11x2",8
"11x5mm",8
"11x6.5",8
"12x16",8
"13x13",8
"15.0",8
"16x13",8
"16x14",8
"2.5x6",8
"20x17",8
"20x5",8
"21x10",8
"21x16",8
"22x9",8
"24mm",8
"24x11",8
"25x16",8
"25x18",8
"2x",8
"3.8",8
"3.9",8
"35x25",8
"3x3mm",8
"4,5",8
"4x4.5",8
"5x13mm",8
"6.5x3",8
"6x13mm",8
"7.5x6",8
"7.8",8
"8x13mm",8
"8x14",8
"8x3.5",8
"9.5x5.5",8
"9.5x6",8
"9.6",8
"9x3.5",8
"9x6.5",8
"a11",8
"absorbed",8
"also",8
"b14",8
"backcross",8
"badia",8
"body",8
"c.fr",8
"c14",8
"catalog",8
"catalogue",8
"clutch",8
"colias",8
"colorado",8
"comment",8
"comments",8
"copulating",8
"died",8
"diego",8
"diffuse",8
"dilaté",8
"discernable",8
"eldora",8
"enl",8
"erect",8
"faa",8
"filmy",8
"first",8
"gynandromorph",8
"heavy",8
"herodias",8
"highlands",8
"holly",8
"imago",8
"kcp",8
"kg",8
"lable",8
"le",8
"least",8
"limenitis",8
"line",8
"maeki",8
"meiosis",8
"melanocarpa",8
"moth",8
"moult",8
"november",8
"nue",8
"nuliparous",8
"obscure",8
"ovate",8
"overy",8
"petit",8
"pine",8
"pinkish",8
"plum",8
"pr",8
"prd",8
"prep",8
"r0",8
"residua",8
"rhus",8
"scarcely",8
"scrub",8
"set",8
"shrub",8
"solitary",8
"subadulto",8
"suckling",8
"sur",8
"tandem",8
"test",8
"throughout",8
"uaz34319",8
"uniform",8
"unripe",8
"utsm",8
"worn",8
"64",7
"82",7
"86",7
"95",7
"110",7
"1924",7
"1934",7
"1953",7
"16981",7
"1.0mm",7
"1.5x5",7
"1.75",7
"17x14",7
"19x5",7
"19x8",7
"1x8",7
"21x8",7
"21x9",7
"22x8",7
"23x8",7
"24x16",7
"24x18",7
"25x17",7
"25x8",7
"26mm",7
"27x18",7
"3.5x5",7
"30x16",7
"3x10mm",7
"3x9",7
"4x12",7
"5.2",7
"5.5x2.5",7
"5x0.5",7
"6.8",7
"6x7mm",7
"6x8mm",7
"75a",7
"7x",7
"7x1",7
"8.0mm",7
"8.5x4",7
"8.5x5",7
"81c",7
"8x5.5",7
"9am",7
"adm",7
"after",7
"am",7
"are",7
"autopsied",7
"avait",7
"axillary",7
"been",7
"brunâtre",7
"cal",7
"calif",7
"city",7
"clearly",7
"colo",7
"colony",7
"con",7
"culm",7
"d.g.m",7
"dna",7
"edt",7
"eduardo",7
"euryalus",7
"eurytheme",7
"external",7
"extremely",7
"fading",7
"firm",7
"foncé",7
"frangula",7
"gem",7
"given",7
"grass",7
"grasses",7
"hard",7
"huge",7
"hyalophora",7
"id",7
"juste",7
"lsu",7
"maturity",7
"middlefield",7
"mixed",7
"mont",7
"mt",7
"objects",7
"olivâtres",7
"ovidcut",7
"ovix",7
"philodice",7
"photos",7
"pins",7
"plantain",7
"previously",7
"prob",7
"process",7
"pupae",7
"pupation",7
"purchased",7
"pussy",7
"quiescente",7
"receding",7
"regrown",7
"regrowth",7
"report",7
"rhamnus",7
"season's",7
"showed",7
"skin",7
"solidago",7
"southbury",7
"stq",7
"supposed",7
"tse",7
"vial",7
"virgin",7
"visibles",7
"vues",7
"which",7
"yet",7
"yg",7
"zoo",7
"53",6
"99",6
"105",6
"119",6
"1936",6
"1948",6
"2003",6
"2835",6
"16982",6
"103578",6
"0,0",6
"0.0077g",6
"0.05",6
"0.5x1.5",6
"10.5x4",6
"10x18",6
"11x",6
"12x2",6
"12x20",6
"14x13",6
"15x2",6
"15x3",6
"19x6",6
"1g",6
"1x5mm",6
"1x7",6
"2.5x0.5",6
"20x18",6
"22.5",6
"26x13",6
"26x14",6
"26x15",6
"27x10",6
"28x14",6
"3.5x1",6
"3.5x3.5",6
"30x12",6
"30x14",6
"30x65",6
"3x0.5",6
"3x1.5mm",6
"4.14",6
"4.5x1.5",6
"4e",6
"4x11mm",6
"4x12mm",6
"5.9",6
"5x12",6
"5x4.5",6
"5x5mm",6
"6.4",6
"6.7",6
"7x15mm",6
"7x2.5",6
"8.2",6
"80x55",6
"8x2.5",6
"8x2mm",6
"8x6mm",6
"9l",6
"9x13",6
"9x5.5",6
"a88",6
"a90",6
"abnormal",6
"accidental",6
"actif",6
"ad",6
"aff",6
"alameda",6
"albumin",6
"amica",6
"amr",6
"anthesis",6
"approx",6
"aster",6
"back",6
"base",6
"beige",6
"blackish",6
"broad",6
"california",6
"cancerous",6
"carapace",6
"cleveland",6
"clips",6
"copulation",6
"cups",6
"damage",6
"desc",6
"deuteron",6
"developpé",6
"difficult",6
"eearly",6
"encore",6
"eriphyle",6
"etoh",6
"f37041",6
"f5",6
"family",6
"fe",6
"filled",6
"gloveri",6
"grainy",6
"grande",6
"heads",6
"hours",6
"hyal",6
"identified",6
"incl",6
"indistinguishable",6
"jonasii",6
"junctura",6
"killed",6
"lawn",6
"leandro",6
"lenght",6
"live",6
"located",6
"lutea",6
"légèrement",6
"maggots",6
"manduca",6
"maximum",6
"mcalpine",6
"measurements",6
"med",6
"missexed",6
"modified",6
"molt",6
"monterey",6
"mushy",6
"myrica",6
"nd",6
"neonates",6
"nettes",6
"never",6
"og",6
"ohio",6
"orangé",6
"outbreed",6
"oviss",6
"park",6
"peas",6
"pennsylvanicum",6
"pondre",6
"pondu",6
"prepupa",6
"presumed",6
"prinoides",6
"punctiformes",6
"raised",6
"rancho",6
"recent",6
"reputed",6
"room",6
"s.a.ae",6
"s.l",6
"santa",6
"shattered",6
"sign",6
"slight",6
"specemins",6
"srotal",6
"st1xst2",6
"stage",6
"ster",6
"suba",6
"swolen",6
"symbol",6
"tes",6
"testi",6
"throat",6
"tip",6
"uaz34328",6
"ut",6
"uteri",6
"valley",6
"vilburnum",6
"wallingford",6
"weidemeyerii",6
"worth",6
"x10",6
"x80",6
"yolky",6
"92",5
"97",5
"117",5
"154",5
"1909",5
"1914",5
"2836",5
"2879",5
"2881",5
"2882",5
"2889",5
"2891",5
"2892",5
"2893",5
"2894",5
"3400",5
"3650",5
"6300",5
"10855",5
"15367",5
"15369",5
"15371",5
"15374",5
"16448",5
"21915",5
"21919",5
"103975",5
"1654222",5
"0.0073g",5
"0.0423g",5
"0.12",5
"0.5x0.25",5
"002923",5
"002924",5
"002967",5
"002969",5
"00297",5
"002970.001",5
"002977",5
"002979.001",5
"002980",5
"002981",5
"002982",5
"003738",5
"011044",5
"016204",5
"016206",5
"016208",5
"016211",5
"017285",5
"022761",5
"022765",5
"1.2mm",5
"1.5x3.5",5
"10.1",5
"10x12mm",5
"11.5x3",5
"11x12",5
"11x15",5
"11x7.5",5
"12x18",5
"12x5mm",5
"12x7mm",5
"13x15",5
"13x7mm",5
"14x14",5
"15h",5
"15x20",5
"16.0",5
"17x15",5
"18x16",5
"18x4",5
"19.5",5
"1st",5
"20.5",5
"22x18",5
"23.5",5
"23x17",5
"24x20",5
"25x11",5
"25x65",5
"26x16",5
"26x18",5
"28x18",5
"2x1.5mm",5
"2x4.5",5
"3,5",5
"3.5x4",5
"3.5x7",5
"30x70",5
"31mm",5
"32x20",5
"33x17",5
"35mm",5
"4.5x4",5
"4.5x6",5
"40mm",5
"40x20",5
"40x40",5
"4x",5
"4x6.5",5
"4x7.5",5
"5.8",5
"5x15",5
"5x6.5",5
"6.2",5
"6.5x2.5",5
"6x14",5
"6x15",5
"6x15mm",5
"7.3",5
"7.5x4.5",5
"7baaakb",5
"7x14mm",5
"7x8mm",5
"8.5x6",5
"83b",5
"8x",5
"8x16",5
"9.2",5
"9.7",5
"9.9",5
"90x55",5
"9h",5
"9x2.5",5
"9x4.5",5
"a10",5
"accessory",5
"acid",5
"advanced",5
"aquatica",5
"archbold",5
"artemesia",5
"asterias",5
"b83",5
"b87",5
"bag",5
"bill",5
"bleeding",5
"blk",5
"bouton",5
"brooding",5
"brower",5
"bryoniae",5
"c.b",5
"captured",5
"cardamine",5
"carrying",5
"certain",5
"checked",5
"chord",5
"clair",5
"coll'd",5
"coming",5
"considerably",5
"consumed",5
"control",5
"coquille",5
"cover",5
"cuercus",5
"cumberland",5
"dans",5
"decomposing",5
"degenerated",5
"des",5
"described",5
"diets",5
"disarticulated",5
"discovery",5
"dispersed",5
"développer",5
"ec",5
"emergent",5
"emg",5
"enclosed",5
"examined",5
"exceedingly",5
"f37051",5
"fatty",5
"feathered",5
"find",5
"follicules",5
"form",5
"friut",5
"frls",5
"genitalic",5
"gonas",5
"gone",5
"greenish",5
"growing",5
"harti",5
"has",5
"heavily",5
"herts",5
"hibernation",5
"if",5
"ilia",5
"ill",5
"inch",5
"includes",5
"internal",5
"ivoire",5
"l.f",5
"l.p",5
"l0",5
"lac",5
"lara",5
"later",5
"latifolia",5
"lawrence",5
"lyonis",5
"maia",5
"marilandica",5
"marmorata",5
"measurable",5
"micro",5
"mix",5
"mo",5
"mod",5
"more",5
"mâle",5
"napi",5
"neogama",5
"nicotinic",5
"nondiapausing",5
"oocyte",5
"osceola",5
"p.napi",5
"parts",5
"patches",5
"pea",5
"peabody",5
"pectoral",5
"perennial",5
"photo",5
"pistillate",5
"polyxenes",5
"portion",5
"pregnancy",5
"preserved",5
"presque",5
"protruding",5
"r.i",5
"rb",5
"received",5
"remaining",5
"rouges",5
"scarring",5
"se",5
"second",5
"seeding",5
"seedlings",5
"shape",5
"short",5
"sibs",5
"six",5
"spinning",5
"spirea",5
"station",5
"strobus",5
"subm",5
"subsequently",5
"summer",5
"swiss",5
"tan",5
"terrier",5
"testicle",5
"threadlike",5
"tout",5
"tree",5
"tsi",5
"twin",5
"twshp",5
"undescended",5
"unit",5
"verdâtre",5
"verified",5
"vii",5
"vitellog",5
"wellling",5
"written",5
"83",4
"101",4
"112",4
"122",4
"1913",4
"1915",4
"22019",4
"22023",4
"22024",4
"29946",4
"29959",4
"30202",4
"31602",4
"50938",4
"50946",4
"96701",4
"97258",4
"97265",4
"102755",4
"111441",4
"1175563",4
"1650702",4
"2805300228",4
"2805300229",4
"2805300230",4
"0,2",4
"0,9",4
"0.0034g",4
"0.0067g",4
"0.0070g",4
"0.0071g",4
"0.0088g",4
"0.0110g",4
"0.0157g",4
"0.0198g",4
"0.0360g",4
"0.0411g",4
"0.0623g",4
"0.0703g",4
"0.10",4
"0.2mm",4
"0.5x2",4
"0.90",4
"011020.002",4
"016045.002",4
"022867",4
"022871",4
"022872",4
"030665",4
"030678",4
"030921",4
"0600",4
"0800",4
"1.0x3.0mm",4
"1.3mm",4
"1.5x1.5mm",4
"10.2",4
"10.5x7",4
"10l",4
"10x",4
"10x15mm",4
"10x17",4
"11.0mm",4
"11.6",4
"11x14",4
"11x17mm",4
"11x7mm",4
"12.8",4
"12x14",4
"12x15",4
"12x17",4
"12x19",4
"13x2",4
"14.0",4
"14x15",4
"16x20",4
"16x3",4
"1909a",4
"1910g",4
"19x19",4
"1x0.8",4
"1x6mm",4
"2,5",4
"20x65",4
"23x18",4
"23x9",4
"24x7",4
"25x23",4
"25x60",4
"25x9",4
"26x11",4
"27x11",4
"27x14",4
"27x17",4
"28mm",4
"28x19",4
"2x7mm",4
"2x9",4
"3.5x2.5mm",4
"30x18",4
"30x55",4
"30x60",4
"329.2",4
"32x13",4
"32x16",4
"35x15",4
"36x20",4
"3emb",4
"3rd",4
"3x1.7",4
"4.5x1",4
"4.5x5",4
"45mm",4
"4emb",4
"5,5",4
"5.2x2.2",4
"5.5x1",4
"5embs",4
"5x",4
"5x14",4
"5x14mm",4
"5x1mm",4
"6.5mm",4
"6.5x6",4
"6x5.5",4
"7.4",4
"7.5x3.5",4
"7.5x5.5",4
"7.7",4
"7x15",4
"7x6mm",4
"7x9mm",4
"8.1",4
"8.4",4
"8.5x3",4
"8.5x3.5",4
"8.5x4.5",4
"8.5x7",4
"8.7",4
"8.8",4
"8x10mm",4
"8x14mm",4
"8x15mm",4
"8x19",4
"9.0mm",4
"9.4",4
"9.5x5",4
"9.8",4
"90a",4
"9r",4
"9x10mm",4
"9x16mm",4
"9x2mm",4
"a08",4
"aestivalis",4
"albany",4
"allongés",4
"analysis",4
"ansonia",4
"around",4
"art",4
"aspen",4
"asterius",4
"aux",4
"b81",4
"b85",4
"bacula",4
"bartle",4
"because",4
"berries",4
"biggest",4
"blastocysts",4
"blossoms",4
"brapple",4
"breast",4
"breed",4
"captivity",4
"cara",4
"celtis",4
"cerifera",4
"certainly",4
"certains",4
"cloer",4
"close",4
"cluster",4
"coiled",4
"colour",4
"community",4
"conc",4
"copallina",4
"corpus",4
"creek",4
"crosses",4
"crushed",4
"cummings",4
"custer",4
"daa",4
"dak",4
"dandelion",4
"dean",4
"documented",4
"domestica",4
"dracuculoides",4
"début",4
"e81",4
"ella",4
"englarged",4
"evidence",4
"extended",4
"f4",4
"f46065",4
"fa",4
"face",4
"facility",4
"fait",4
"feather",4
"fine",4
"fleshy",4
"flowerng",4
"fn32127",4
"foeniculum",4
"folicle",4
"forest",4
"formalin",4
"fresh",4
"generation",4
"georgia",4
"gleditsia",4
"gond",4
"good",4
"grands",4
"granulation",4
"halbert",4
"herbaceous",4
"hook",4
"ilicifolis",4
"indicates",4
"indifférenciée",4
"inflorescence",4
"insides",4
"intacta",4
"invisible",4
"iv",4
"jeunes",4
"ky79.3",4
"labelled",4
"lethal",4
"likely",4
"liquid",4
"looks",4
"louisiana",4
"lupinus",4
"lured",4
"luteum",4
"lvs",4
"m.b.o",4
"mammaries",4
"max",4
"maybe",4
"md",4
"mesa",4
"mexico",4
"myricaceae",4
"nagioides",4
"naked",4
"neonato",4
"newborn",4
"newly",4
"nitrogen",4
"noirâtres",4
"nr",4
"nubila",4
"ny",4
"oeuf",4
"off",4
"oocytes",4
"over",4
"oviductal",4
"ovigerous",4
"p.tharos",4
"p1984a",4
"pars",4
"partum",4
"pease",4
"perennis",4
"pernyi",4
"phase",4
"pitch",4
"pleine",4
"pof",4
"poor",4
"populus",4
"postpartum",4
"pouched",4
"prebreeding",4
"progeny",4
"prolapsed",4
"pups",4
"pure",4
"quarantine",4
"r.k.p",4
"r.w",4
"receiving",4
"regrow",4
"reliable",4
"relicta",4
"repos",4
"retecta",4
"richard",4
"rouge",4
"réduits",4
"sandy",4
"sem",4
"seminji",4
"service",4
"setting",4
"sheathed",4
"soon",4
"sordida",4
"spermatophore",4
"squeezed",4
"st1",4
"stalk",4
"state",4
"stm",4
"suckled",4
"surrounding",4
"t123",4
"t15",4
"ted",4
"teneral",4
"ti",4
"tisssue",4
"tnsp",4
"trois",4
"tufts",4
"turg",4
"underdeveloped",4
"unsure",4
"usda",4
"utmd",4
"v:p",4
"venter",4
"vidua",4
"vulgare",4
"wa",4
"walnut",4
"wash",4
"wb",4
"wrb",4
"yfl",4
"87",3
"89",3
"91",3
"93",3
"96",3
"98",3
"103",3
"109",3
"113",3
"140",3
"163",3
"210",3
"330",3
"408",3
"436",3
"1919",3
"1940",3
"1941",3
"1942",3
"9516",3
"9517",3
"9518",3
"9519",3
"15754",3
"64992",3
"74048",3
"105470",3
"264482",3
"264483",3
"264484",3
"264485",3
"264486",3
"264487",3
"264488",3
"264489",3
"264490",3
"264491",3
"264492",3
"265579",3
"265580",3
"265581",3
"265582",3
"265583",3
"2805300231",3
"2805300232",3
"0,8",3
"0.0032g",3
"0.0055g",3
"0.0074g",3
"0.0105g",3
"0.0148g",3
"0.0164g",3
"0.0427g",3
"0.0516g",3
"0.06",3
"0.07",3
"0.20",3
"0.2x0.2",3
"0.33",3
"00",3
"000257",3
"000258",3
"000259",3
"000260",3
"000261",3
"000262",3
"000263",3
"000264",3
"000265",3
"000266",3
"000267",3
"1.0x2.0mm",3
"1.1mm",3
"1.5x2.5mm",3
"1.6mm",3
"1.6x1.3",3
"1.8x0.9",3
"1.8x1.8",3
"10.5x5",3
"10.5x6",3
"10x1",3
"10x16mm",3
"10x18mm",3
"10x20mm",3
"10x3mm",3
"10x7.5",3
"11x21",3
"11x3.5",3
"11x5.5",3
"12.2",3
"12x13",3
"12x17mm",3
"12x22",3
"12x3.5",3
"12x4.5",3
"12x5.5",3
"12x6.5",3
"12x8mm",3
"13x18",3
"13x8mm",3
"14.8",3
"14x8.5",3
"14x8mm",3
"15.3",3
"15x",3
"15x25",3
"15x5mm",3
"15x8mm",3
"15x9mm",3
"16x16",3
"16x17",3
"16x19",3
"16x4",3
"16x8mm",3
"17.0",3
"17x3",3
"17x9mm",3
"18.0",3
"18.4",3
"18x20",3
"1913t",3
"1914d",3
"1914x",3
"1921d",3
"19x15",3
"1a",3
"1c",3
"1emb",3
"1x05",3
"1x15",3
"1x3.5",3
"1x9",3
"2.0x1.0",3
"2.25",3
"2.3mm",3
"2.5x2mm",3
"2.5x3.5",3
"2.5x4mm",3
"2.9mm",3
"20.0",3
"20x4",3
"21x17",3
"21x5",3
"22x13mm",3
"22x16",3
"22x7",3
"23x16",3
"23x6",3
"25.5",3
"25x19",3
"25x55",3
"25x7",3
"26x20",3
"27mm",3
"27x12",3
"28x10",3
"28x11",3
"28x12",3
"28x16",3
"29x10",3
"29x13",3
"2x11mm",3
"2x9mm",3
"3.5x6",3
"3.5x6.5",3
"3.6mm",3
"3.7x2",3
"30x13",3
"30x17",3
"30x19",3
"30x25",3
"30x30",3
"31x18",3
"32x11",3
"32x17",3
"32x18",3
"32x8",3
"35x17",3
"35x18",3
"35x20",3
"35x30",3
"35x65",3
"36x18",3
"38x15",3
"3x11",3
"3x15",3
"4.27",3
"4.3x3",3
"4.51",3
"4.5x2.1",3
"4.5x7",3
"4.92",3
"45x25",3
"4embs",3
"4x13",3
"4x2.5mm",3
"5.04",3
"5.24",3
"5.36",3
"5.5x1.5",3
"5.5x2.7",3
"5.5x3.7",3
"5.5x4.5",3
"5.5x5",3
"5.6x3",3
"5.96",3
"50mm",3
"50x25",3
"55x85",3
"5x13",3
"5x3.3",3
"5x8.5",3
"6,5",3
"6.18",3
"6.2x4.2",3
"6.5x2",3
"6.5x4.5",3
"6.8x3.8",3
"6.9",3
"6x1.5",3
"6x14mm",3
"6x2mm",3
"6x6mm",3
"7,5",3
"7.1",3
"7.5x3",3
"76.10",3
"76.42",3
"79b",3
"7c",3
"7x11mm",3
"7x16",3
"7x5.5",3
"8,5",3
"8.5mm",3
"8.5x5.5",3
"85x50",3
"85x55",3
"8x1",3
"8x11mm",3
"8x6.5",3
"9.3",3
"9.5mm",3
"9.5x3.5",3
"9.5x4.3",3
"9.5x8",3
"90x50",3
"9x",3
"9x1.5",3
"9x12mm",3
"9x13mm",3
"a80",3
"a94",3
"a96",3
"alcohol",3
"along",3
"among",3
"androconial",3
"apparents",3
"apparié",3
"arbuticalia",3
"assessory",3
"astyanax",3
"away",3
"barton",3
"based",3
"bear",3
"bella",3
"bent",3
"bicolar",3
"biology",3
"bleuâtre",3
"blooming",3
"blueberry",3
"bluish",3
"borwn",3
"bulb",3
"bulla",3
"butterflies",3
"c85",3
"c87",3
"card",3
"carymbosum",3
"cedar",3
"ch9421",3
"check",3
"clsed",3
"cn",3
"coarse",3
"coccinae",3
"collecting",3
"coloured",3
"commençant",3
"connub",3
"contains",3
"cop",3
"copulo",3
"corrected",3
"couvait",3
"cystocarpic",3
"d'un",3
"defeather",3
"definitely",3
"dejecta",3
"dept",3
"descernable",3
"dessicated",3
"develop",3
"did",3
"discoloured",3
"disintegrated",3
"dont",3
"doubtful",3
"dula",3
"dull",3
"dévellopé",3
"développement",3
"dévelopées",3
"eastern",3
"eating",3
"echinata",3
"edematous",3
"embroys",3
"embs:cr",3
"emerg",3
"emergered",3
"enlarge",3
"enormous",3
"entering",3
"epididymus",3
"epione",3
"eriogonum",3
"estimate",3
"ethanol",3
"euphorbia",3
"except",3
"expanded",3
"f'w",3
"faded",3
"fallen",3
"fern",3
"fet",3
"finely",3
"fkrs",3
"flats",3
"fleb",3
"fleurs",3
"flowerring",3
"flwr",3
"foetuses",3
"foncés",3
"formé",3
"freeze",3
"fused",3
"fw",3
"gardens",3
"glossy",3
"gonadal",3
"gracilis",3
"greenhouse",3
"greenwich",3
"hardwoods",3
"her",3
"here",3
"herm",3
"high",3
"horns",3
"hybrids",3
"i29",3
"il",3
"images",3
"imamture",3
"immautre",3
"inches",3
"indifférencié",3
"indistict",3
"infected",3
"information",3
"intact",3
"intermédiaire",3
"iris",3
"j87",3
"jair",3
"joints",3
"kent",3
"kidney",3
"koch",3
"l'oviducte",3
"l'un",3
"lacry",3
"lactation",3
"laurina",3
"lb",3
"lendemain",3
"lf",3
"lin",3
"littleton",3
"loan",3
"lobulated",3
"longest",3
"lv",3
"m.a.h",3
"m1",3
"made",3
"maple",3
"marshallii",3
"maximal",3
"melted",3
"metrics",3
"mmm",3
"morphotype",3
"mottled",3
"mts",3
"mustard",3
"n.y",3
"niche",3
"nip",3
"nips",3
"nl",3
"noon",3
"note",3
"np",3
"o.n.e",3
"occid",3
"oeufs",3
"ofl",3
"oklahoma",3
"older",3
"olive",3
"olivâtre",3
"oogonia",3
"orangés",3
"ovaduct",3
"ovalis",3
"ovigenous",3
"ovipos",3
"ovular",3
"p1",3
"pairs",3
"palmetto",3
"passed",3
"patala",3
"pelvis",3
"piat",3
"piatrix",3
"pigmented",3
"plant",3
"plantago",3
"plomb",3
"poplar",3
"postflowering",3
"primi",3
"produced",3
"promethea",3
"pumila",3
"que",3
"quercuc",3
"questionable",3
"r7",3
"range",3
"rears",3
"regular",3
"repens",3
"return",3
"rh",3
"rosaceae",3
"rotting",3
"roughly",3
"rpt",3
"rromm",3
"rudimentary",3
"samples",3
"sargent",3
"saw",3
"scothicum",3
"separately",3
"serenoa",3
"sexed:gonads",3
"shade",3
"shoulder",3
"shrinking",3
"simple",3
"situ",3
"sl",3
"slices",3
"smallish",3
"sorediate",3
"southford",3
"specemin",3
"specimens",3
"spher",3
"stamens",3
"striped",3
"t.d",3
"t21",3
"t40",3
"t5",3
"t84",3
"te",3
"tesres",3
"tesrtes",3
"testes3x2",3
"texas",3
"though",3
"thread",3
"tissues",3
"tokui",3
"tract",3
"tsa",3
"tuft",3
"uni",3
"unkown",3
"vaginal",3
"vars",3
"varying",3
"ves",3
"vi",3
"w3",3
"wandering",3
"waxy",3
"weeks",3
"while",3
"wood",3
"would",3
"wyatt",3
"x1",3
"x11",3
"yearling",3
"yng",3
"yoked",3
"york",3
"zamia",3
"évolution",3
"94",2
"108",2
"111",2
"120",2
"121",2
"123",2
"124",2
"125",2
"127",2
"129",2
"150",2
"155",2
"157",2
"179",2
"182",2
"185",2
"190",2
"196",2
"220",2
"223",2
"235",2
"279",2
"395",2
"417",2
"420",2
"437",2
"449",2
"484",2
"580",2
"1902",2
"1910",2
"1911",2
"1931",2
"1938",2
"1943",2
"2763",2
"6789",2
"19281",2
"19282",2
"19739",2
"21771",2
"21777",2
"21778",2
"21785",2
"21786",2
"21800",2
"21807",2
"21812",2
"21814",2
"21826",2
"21828",2
"21836",2
"21841",2
"21885",2
"22008",2
"22010",2
"22434",2
"26922",2
"27337",2
"27338",2
"27339",2
"30400",2
"33572",2
"33774",2
"33775",2
"33776",2
"42454",2
"42892",2
"44395",2
"78286",2
"78287",2
"78288",2
"78289",2
"78290",2
"78291",2
"96607",2
"97266",2
"97269",2
"106818",2
"265353",2
"265360",2
"265397",2
"265607",2
"1083994",2
"1171687",2
"3508010218",2
"0.0020g",2
"0.0022g",2
"0.0026g",2
"0.0028g",2
"0.0033g",2
"0.0040g",2
"0.0043g",2
"0.0044g",2
"0.0047g",2
"0.0049g",2
"0.0050g",2
"0.0052g",2
"0.0053g",2
"0.0054g",2
"0.0056g",2
"0.0057g",2
"0.0060g",2
"0.0061g",2
"0.0064g",2
"0.0069g",2
"0.0075g",2
"0.0076g",2
"0.0078g",2
"0.0079g",2
"0.0080g",2
"0.0083g",2
"0.0084g",2
"0.0085g",2
"0.0089g",2
"0.0090g",2
"0.0095g",2
"0.0096g",2
"0.01",2
"0.0103g",2
"0.0108g",2
"0.0113g",2
"0.0114g",2
"0.0118g",2
"0.0122g",2
"0.0123g",2
"0.0127g",2
"0.0128g",2
"0.0129g",2
"0.0132g",2
"0.0137g",2
"0.0141g",2
"0.0143g",2
"0.0145g",2
"0.0149g",2
"0.0150g",2
"0.0155g",2
"0.0175g",2
"0.0181g",2
"0.0190g",2
"0.0195g",2
"0.0197g",2
"0.02",2
"0.0202g",2
"0.0206g",2
"0.0230g",2
"0.0238g",2
"0.0250g",2
"0.0254g",2
"0.0258g",2
"0.0264g",2
"0.0277g",2
"0.0278g",2
"0.0282g",2
"0.0293g",2
"0.0317g",2
"0.0323g",2
"0.0330g",2
"0.0343g",2
"0.0345g",2
"0.0346g",2
"0.0349g",2
"0.0372g",2
"0.0376g",2
"0.0393g",2
"0.04",2
"0.0402g",2
"0.0404g",2
"0.0426g",2
"0.0441g",2
"0.0448g",2
"0.0449g",2
"0.0456g",2
"0.0459g",2
"0.0471g",2
"0.0485g",2
"0.0489g",2
"0.0507g",2
"0.0510g",2
"0.0515g",2
"0.0520g",2
"0.0524g",2
"0.0556g",2
"0.0570g",2
"0.0592g",2
"0.0599g",2
"0.0606g",2
"0.0610g",2
"0.0637g",2
"0.0642g",2
"0.0646g",2
"0.0670",2
"0.0672g",2
"0.0684g",2
"0.0701g",2
"0.0702g",2
"0.0711g",2
"0.0714g",2
"0.0720g",2
"0.0727g",2
"0.0733g",2
"0.0796g",2
"0.0819g",2
"0.0827g",2
"0.0865g",2
"0.0896g",2
"0.0957g",2
"0.1038g",2
"0.1123g",2
"0.1130g",2
"0.1mm",2
"0.30",2
"0.31",2
"0.34",2
"0.35",2
"0.375x0.5",2
"0.3mm",2
"0.3x0.3",2
"0.4mm",2
"0.4x0.4",2
"0.4x0.6",2
"0.4x0.8",2
"0.5x0.2",2
"0.5x0.3",2
"0.5x3mm",2
"0.5x5",2
"0.6x1",2
"002851",2
"002851.001",2
"004451",2
"004458",2
"004495.001",2
"004495.002",2
"004705",2
"006997",2
"020582",2
"022617",2
"022623",2
"022624",2
"022631",2
"022632",2
"022646",2
"022653",2
"022658",2
"022660",2
"022672",2
"022674",2
"022682",2
"022687",2
"022731",2
"022856",2
"022858",2
"1,1",2
"1,8",2
"1.0.5",2
"1.0x2.5mm",2
"1.1x1.1",2
"1.1x1.3",2
"1.1x2.1mm",2
"1.4mm",2
"1.5x0.75",2
"1.5x2.1mm",2
"1.5x3.5mm",2
"1.5x4mm",2
"1.5x6",2
"1.5x7",2
"1.5x9",2
"1.6x2.5mm",2
"1.7mm",2
"1.8x3.0mm",2
"1.8x4.0mm",2
"1.9mm",2
"1.9x1.2",2
"10.05",2
"10.0mm",2
"10.2x4.5",2
"10.2x4.7",2
"10.3x3.8",2
"10.6",2
"10.9",2
"10.9x5.2",2
"109a",2
"10x10mm",2
"10x13mm",2
"10x14mm",2
"10x19mm",2
"10x21",2
"10x22mm",2
"10x24",2
"10x2mm",2
"10x3.5",2
"10x3.7",2
"10x5.6",2
"11.1x4.5",2
"11.2",2
"11.4",2
"11.4x4",2
"11.5x6",2
"11.5x7",2
"1137h",2
"11x16mm",2
"11x18mm",2
"11x19",2
"11x2.5",2
"11x21mm",2
"11x3.2",2
"11x6x2",2
"11x8.5",2
