"data.dwc:reproductiveCondition","reps"
"9mm",197
"6x2",196
"12x9",195
"meas",194
"11x9",193
"pg",193
"7.5",192
"schweitzer",192
"bulbils",191
"bare",188
"dormant",188
"winter",188
"c",187
"noirs",187
"yellow",187
"mammary",186
"4l",185
"undeveloped",184
"oct",183
"but",182
"frond",182
"testicles",182
"11x5",181
"epid",180
"jun",179
"2880",178
"2885",178
"2890",178
"3649",178
"3653",178
"002968",178
"002973",178
"002978",178
"003737",178
"003741",178
"3x1.5",178
"ovulate",178
"9110",177
"9111",177
"9112",177
"9113",177
"9114",177
"9115",177
"9116",177
"9117",177
"9118",177
"9119",177
"9120",177
"9121",177
"9122",177
"9123",177
"9124",177
"9125",177
"9126",177
"9127",177
"9128",177
"9129",177
"9130",177
"9131",177
"9133",177
"9134",177
"9135",177
"9136",177
"9137",177
"9138",177
"9139",177
"9140",177
"009319",177
"009320",177
"009321",177
"009322",177
"009323",177
"009324",177
"009325",177
"009326",177
"009327",177
"perforate",177
"13x9",176
"laying",176
"taken",176
"14x8",175
"jul",174
"swollen",173
"crèmeux",172
"6x6",171
"21822",169
"21854",169
"022668",169
"022700",169
"seeds",169
"1957",166
"eclosed",166
"2001",165
"yolk",165
"crème",164
"previous",164
"15381",163
"15382",163
"15384",163
"265305",163
"265356",163
"1653449",163
"004403",163
"004454",163
"016218",163
"016219.001",163
"016219.002",163
"016221",163
"m",163
"measurement",162
"size",162
"8x8",161
"f",160
"other",160
"remington",159
"dotted",158
"eye",158
"pollen",158
"b",157
"down",157
"tag",157
"wild",157
"15x9",155
"14x9",154
"st",153
"regrowing",152
"10x9",151
"stellata",151
"damaged",150
"hatched",149
"metamorph",149
"shot",149
"penis",148
"1.5x1",143
"broken",143
"0r",142
"2x1.5",142
"14x10",141
"4x1",141
"evans",140
"8.5",139
"ft",139
"1999",137
"1x3",136
"15x8",135
"3x6",135
"5x7",134
"externally",133
"265261",131
"1666298",131
"1666300",131
"1666302",131
"004359.001",131
"004359.002",131
"004359.003",131
"004359.004",131
"convoluted",131
"ing",131
"shelless",131
"29",130
"destroyed",130
"jaune",130
"w.h",130
"7x7",129
"nb",128
"0.5mm",127
"tsm",127
"10x10",126
"12x10",126
"indistincts",126
"plus",125
"abdominal",124
"carya",123
"shelled",122
"1.2",121
"baculum",121
"70",119
"12x5",119
"0l",117
"11mm",117
"dale",117
"medium",117
"4x7",116
"august",116
"each",116
"mother",116
"4.0",115
"5x8",115
"1981",114
"nearly",114
"shell",114
"amp",112
"gonades",112
"long",112
"collected",111
"incubatrices",111
"new",111
"plaques",111
"blanchâtres",109
"regressing",108
"0.5x1",107
"collapsed",107
"sib",107
"14x7",106
"15mm",106
"phyciodes",106
"vag",106
"18x10",105
"could",105
"liver",105
"sporulating",105
"aviary",104
"dark",104
"tiny",103
"21794",102
"21818",102
"21825",102
"21832",102
"21837",102
"21847",102
"21864",102
"21912",102
"22011",102
"022640",102
"022664",102
"022671",102
"022678",102
"022683",102
"022693",102
"022710",102
"022758",102
"022859",102
"dry",102
"serotina",102
"1.5x1.5",101
"1x1.5",101
"ct",100
"broods",99
"hemipenes",99
"br",98
"conn",97
"only",97
"fed",96
"1978",95
"varia",95
"vp",95
"35",94
"blanchâtre",94
"pouch",94
"13x6",92
"16x10",92
"31",91
"1987",91
"last",91
"2.0",89
"20x10",89
"4x2.5",89
"fred",89
"thorne",89
"32",88
"1991",88
"1998",88
"9.5",88
"sep",88
"1.5mm",87
"20x12",87
"follicule",87
"spun",87
"1997",86
"16x9",86
"3.0",86
"5x6",86
"9x9",86
"oliver",86
"paired",86
"ready",86
"so",86
"très",86
"unused",86
"13x10",85
"defeathering",85
"laid",85
"than",85
"5x1",84
"instar",84
"repro",84
"68",83
"apple",83
"contained",83
"cream",83
"defeathered",83
"prunus",83
"red",83
"disarticulating",82
"15x7",81
"everted",81
"gris",81
"2000",80
"5l",80
"watery",80
"265413",79
"004511",79
"99a",79
"used",79
"0.8",78
"5.0",78
"apr",78
"during",78
"mass",78
"sept",78
"transformed",78
"1995",77
"2.5x1.5",77
"out",77
"stock",77
"yfr",77
"0,5",76
"normal",76
"co",75
"dik",75
"fully",75
"pinus",75
"possible",75
"1977",74
"17x10",74
"a14",74
"noted",74
"number",74
"pupal",74
"1968",73
"5r",73
"6x8",73
"a87",73
"distinct",73
"10.5",72
"2.5x2",72
"grand",72
"9x3",71
"cgo",71
"march",71
"nigra",71
"swellings",71
"wt",71
"21808",70
"022654",70
"2x4mm",70
"tharos",70
"uterine",70
"11x4",69
"2x3mm",69
"as",69
"feb",69
"incubating",69
"jaunâtre",69
"1980",68
"1x2mm",68
"2x1mm",68
"haven",68
"parents",68
"horn",67
"partially",67
"sketch",67
"0.3",66
"bulblet",66
"g",66
"11.5",65
"4x8",65
"d.f",65
"ovata",65
"yolked",65
"75",64
"10x3",64
"feathers",64
"mated",64
"spot",64
"40",63
"2720",63
"21887",63
"21888",63
"21889",63
"21890",63
"21891",63
"21892",63
"21893",63
"21895",63
"21907",63
"002808",63
"022733",63
"022734",63
"022735",63
"022736",63
"022737",63
"022738",63
"022739",63
"022741",63
"022753",63
"et",63
"mar",63
"1.0",62
"d",62
"full",62
"1996",61
"1.5x2",61
"14x6",61
"budding",61
"gray",61
"ilicifolia",61
"lisse",61
"ovule",61
"w",61
"33",60
"7b",60
"pre",60
"barely",59
"be",59
"clr",59
"granuleux",59
"had",59
"imm",59
"none",59
"parent",59
"the",59
"1x1mm",58
"7x2",58
"cocoon",58
"juglans",58
"lot",58
"16x8",57
"8x10",57
"pupated",57
"september",57
"some",57
"specified",57
"unable",57
"02",56
"13mm",56
"5x3mm",56
"approximately",56
"colored",56
"gauche",56
"same",56
"1983",55
"21781",55
"022627",55
"3.5x2",55
"3x2mm",55
"4th",55
"5x2.5",55
"both",55
"e",55
"gros",55
"indistinct",55
"oviducte",55
"pac",55
"pert",55
"présente",55
"6.0",54
"6x10",54
"belly",54
"un",54
"whitish",54
"20x11",53
"5x9",53
"gemmae",53
"l2",53
"2785",52
"21793",52
"21810",52
"21846",52
"22022",52
"002873",52
"022639",52
"022656",52
"022692",52
"022870",52
"3x7",52
"6x9",52
"développés",52
"elongated",52
"few",52
"mentioned",52
"peine",52
"r2",52
"raptured",52
"started",52
"22021",51
"022869",51
"droit",51
"en",51
"examining",51
"genitals",51
"similar",51
"0.7",50
"14mm",50
"18x11",50
"dedham",50
"less",50
"manumuskin",50
"nipples",50
"r3",50
"spring",50
"testicule",50
"34",49
"37",49
"1959",49
"1985",49
"21823",49
"21824",49
"21833",49
"265316",49
"004414",49
"022669",49
"022670",49
"022679",49
"1.8",49
"crown",49
"for",49
"glabra",49
"partly",49
"1976",48
"2747",48
"002835",48
"b90",48
"fetus",48
"hivernal",48
"males",48
"mansfield",48
"mostly",48
"shattering",48
"tail",48
"thin",48
"1974",47
"1982",47
"17x9",47
"3x5mm",47
"a95",47
"aborted",47
"biol",47
"fixed",47
"l3",47
"lay",47
"neonate",47
"sheath",47
"17x11",46
"8.0",46
"about",46
"many",46
"october",46
"probably",46
"sta",46
