"waterBody","reps"
"Trib. Killbuck Creek",890
"Atlantic, Mediterranean Sea, St. George Bay",888
"North Atlantic Ocean, English Channel",888
"Bekulab River",883
"North Atlantic Ocean, Gulf of Guinea",860
"Mearim",858
"New R.",849
"North Pacific Ocean, Gulf of Davao",849
"Abrams Creek",842
"[Rio Grande}",840
"Neches River",831
"Brier Creek",830
"Unknown",830
"Blue River",829
"Beaver Creek",827
"North Fork of Red River",827
"Bristol Bay",826
"North Pacific Ocean, East China Sea",822
"Big Black River",819
"East China Sea",818
"Western North Atlantic Ocean",818
"Atlantic Ocean, North",812
"Cedar Creek",812
"Celebes Sea",811
"Spring Creek",807
"[Mississippi River]",803
"oyapock",803
"Western Pacific Ocean",799
"Catalpa Creek",798
"Kokerim and Kugart Rivers",792
"Pacific, Gulf of Carpentaria",781
"Pacific, Verde Island Passage",780
"Eno R.",778
"Saline Branch Drainage Ditch",776
"Bay of Bengal",771
"Clear Creek",768
"Yukon-Kuskokwim Delta",767
"Broad R.",766
"Pine Creek",766
"Little Tennessee R.",758
"Swartkops River",754
"North Pacific Ocean, Gulf of Nicoya",747
"Iwayama Bay",746
"Orinoco R. basin",744
"Kansas River",736
"Republican River",729
"North Atlantic Ocean, Mediterranean Sea, Adriatic Sea",728
"North Pacific Ocean, Visayan Sea",727
"Western North Pacific Ocean",726
"Verdigris River",721
"Ross Sea",716
"Indian, Andaman Sea",711
"Otter Creek",709
"Pacific, Bohol Sea",707
"Monterey Bay",698
"North Pacific Ocean, Gulf of Santa Catalina",697
"Rio Conejos",689
"Woods Slough",689
"Missouri",686
"Washita River",686
"Cumberland River",684
"North Toe R.",684
"South Fork New R.",681
"Rio Ventuari - Rio Orinoco",677
"Wolf River",677
"Tasman Sea",676
"Delaware River",672
"Pacific, China Sea",666
"North Atlantic Ocean, Chesapeake Bay",665
"[Chetek Lake]",663
"Hiwassee R.",662
"mekong",662
"Noxubee River",662
"senegal",660
"Arctic Ocean, Chukchi Sea",653
"North Pacific Ocean, Gulf of Thailand",652
"Gamtoos",650
"East Fork Tombigbee River",649
"Trent R.",648
"Mountain Fork",644
"Umlaas River",643
"Sand Creek",637
"ogooue",633
"South Atlantic",628
"Uwharrie R.",628
"Takutu River - Rio Branco - Rio Negro - Rio Amazonas",622
"Columbia River",621
"Green River",621
"Atlantic Ocean, South",620
"Mekong Basin",618
"Platte River",618
"South Pacific Ocean, Coral Sea",618
"Colorado River drainage",612
"Kellogg Creek",612
"Lake Erie",612
"Twentymile Creek",608
"Cane R.",605
"Alabama River - Mobile Bay",603
"Escatawpa River",603
"Pigeon R.",603
"Lynches R.",601
"San Joaquin R.",600
"Brazos River",598
"Fox River",593
"Rio Amazonas",593
"Philippine Sea",592
"Lake Tenkiller",582
"sinnamary",578
"South R.",577
"San Gabriel River",576
"Savannah R.",576
"Turkey Creek",572
"Wabash River",572
"Atlantic, Gulf of Maine, Penobscot Bay",571
"Cahaba R.",568
"Muddy Boggy Creek",568
"Andaman Sea",567
