"data.dcterms:type","reps"
"physicalobject",34488148
"collection",4834311
"object",633054
"physical",633054
"dataset",266346
"sound",167933
"image",65184
"movingimage",52339
"preservedspecimen",45504
"event",14815
"text",13917
"specimen",8457
"stillimage",3215
"physicalobjec",2561
