"data.dwc:preparations","reps"
"april",33
"bivalve",33
"bullock",33
"ct",33
"different",33
"larval",33
"length",33
"main",33
"major",33
"mrna",33
"neurals",33
"rdp",33
"stribling",33
"termphalanx",33
"thorp",33
"trochlea",33
"263",32
"298",32
"350",32
"06",32
"10more",32
"cheekteeth",32
"dent",32
"epiphyses",32
"fifths",32
"front",32
"iin",32
"ldp",32
"maybe",32
"menthol",32
"pellets",32
"possibly",32
"predentary",32
"rp2",32
"rudell",32
"shsk",32
"stom",32
"trizol",32
"uncottoned",32
"280",31
"antero",31
"artificial",31
"biologic",31
"colored",31
"dyiii",31
"endocranial",31
"fourth",31
"hindlimb",31
"infraorbital",31
"lobe",31
"milk",31
"pined",31
"sesmoid",31
"sol",31
"255",30
"286",30
"291",30
"332",30
"09",30
"9more",30
"absolute",30
"armor",30
"aviv",30
"birdcraft",30
"cabezas",30
"carnoy's",30
"dec",30
"fetus",30
"healey",30
"holotype",30
"hudson",30
"hyoplastral",30
"ischia",30
"israel",30
"ledger",30
"mes",30
"otic",30
"rooting",30
"seismoid",30
"sskul",30
"swim",30
"tel",30
"våtpreparat",30
"xiv",30
"253",29
"261",29
"281",29
"283",29
"308",29
"311",29
"320",29
"325",29
"340",29
"agribin",29
"archival",29
"cas",29
"crypt",29
"epiph",29
"fairfield",29
"haemal",29
"nasals",29
"oz",29
"paroccipital",29
"rectrices",29
"sandy",29
"sclerites",29
"skate",29
"toothplate",29
"waller",29
"249",28
"277",28
"321",28
"08",28
"apr",28
"branchial",28
"casiz",28
"coal",28
"coracoids",28
"digested",28
"estudio",28
"fruits",28
"gabrielson",28
"heads",28
"lm4",28
"mecn",28
"pathologic",28
"print",28
"spike",28
"together",28
"292",27
"302",27
"314",27
"317",27
"326",27
"351",27
"352",27
"362",27
"bagged",27
"calyx",27
"decker",27
"degreased",27
"endocranium",27
"fibulare",27
"forefoot",27
"fta",27
"lingual",27
"m.moon",27
"marks",27
"metamorphosed",27
"pairs",27
"place",27
"processes",27
"sex",27
"u1",27
"271",26
"272",26
"284",26
"287",26
"289",26
"301",26
"306",26
"309",26
"310",26
"312",26
"345",26
"360",26
"11more",26
"acanthocephala",26
"appendicular",26
"aspect",26
"bits",26
"cs",26
"dri",26
"epural",26
"forelimbs",26
"furculum",26
"indeterminate",26
"kansas",26
"matched",26
"mcmahon",26
"mi",26
"oogonium",26
"osteroderm",26
"prob",26
"scattered",26
"sskull",26
"tracheal",26
"273",25
"293",25
"450",25
"bryant",25
"caniniform",25
"chevrons",25
"dasycladales",25
"denatured",25
"dominican",25
"dpx",25
"dup",25
"endocast",25
"fairly",25
"fanned",25
"few",25
"fibulae",25
"impressions",25
"karyo",25
"mar",25
"mic",25
"quarter",25
"rabor",25
"sound",25
"staminate",25
"thompson",25
"ungal",25
"waris",25
"246",24
"266",24
"295",24
"318",24
"319",24
"328",24
"337",24
"354",24
"363",24
"1983",24
"2.5",24
"alk",24
"byssus",24
"cell",24
"clifford",24
"cohen",24
"en",24
"ferris",24
"fertile",24
"flowstone",24
"lens",24
"mouth",24
"mp",24
"nwhrc",24
"old",24
"palynomorphs",24
"position",24
"rinker",24
"s.g",24
"sheath",24
"supracleithrum",24
"szalontai",24
"teleost",24
"tibiale",24
"trackways",24
"tubercles",24
"zygoma",24
"296",23
"299",23
"305",23
"324",23
"330",23
"342",23
"387",23
"404",23
"600",23
"1956",23
"2000",23
"an",23
"ancillary",23
"arm",23
"articulation",23
"ascending",23
"borings",23
"brooks",23
"bryozoan",23
"carl",23
"clanton",23
"coll",23
"condyles",23
"crustacean",23
"cth",23
"diafanizaá",23
"each",23
"foramlin",23
"gutted",23
"knodel",23
"lithified",23
"loan",23
"lumbars",23
"nodules",23
"p6",23
"patellae",23
"primaries",23
"pterotic",23
"sam",23
"sandstone",23
"sponge",23
"takahashi",23
"weathered",23
"white",23
"264",22
"274",22
"282",22
"303",22
"304",22
"316",22
"329",22
"369",22
"375",22
"390",22
"c6",22
"calc",22
"compression",22
"crystals",22
"cráneo",22
"curled",22
"distorted",22
"faint",22
"fifth",22
"g.shugart",22
"gal",22
"grogan",22
"heavily",22
"kroha",22
"labedz",22
"lra",22
"lt",22
"magnesium",22
"nm",22
"rattle",22
"rows",22
"sept",22
"showing",22
"skelton",22
"thietje",22
"zealand",22
"254",21
"294",21
"307",21
"313",21
"323",21
"331",21
"335",21
"355",21
"376",21
"377",21
"386",21
"2014",21
"16more",21
"approx",21
"back",21
"branching",21
"canorus",21
"col",21
"combo",21
"crowns",21
"cuculus",21
"drill",21
"eoth",21
"euglena",21
"flipper",21
"frg",21
"least",21
"ls",21
"methanol",21
"oap",21
"pheromone",21
"quadrates",21
"refrigerated",21
"rhizome",21
"sagittal",21
"scallop",21
"sems",21
"stylohyal",21
"285",20
"327",20
"333",20
"336",20
"338",20
"341",20
"381",20
"394",20
"399",20
"423",20
"499",20
"armstrong",20
"bases",20
"braly",20
"chick",20
"chloretone",20
"deeper",20
"dendroica",20
"feb",20
"genetic",20
"girdles",20
"gular",20
"has",20
"humerue",20
"hyoids",20
"inferognathal",20
"moore",20
"mouthparts",20
"pedagogogic",20
"presacral",20
"silica",20
"slabs",20
"sleeve",20
"that",20
"tris",20
"typanic",20
"343",19
"349",19
"361",19
"366",19
"368",19
"371",19
"385",19
"559",19
"1969",19
"1986",19
"atlantal",19
"bull",19
"collector",19
"crinoid",19
"etching",19
"fasicles",19
"fauna",19
"film",19
"gizzard",19
"includes",19
"isstitute",19
"like",19
"luiz",19
"ms",19
"nitreogen",19
"norman",19
"olszewski",19
"p49",19
"peck",19
"pollex",19
"preopercular",19
"pulled",19
"ridge",19
"rocha",19
"sand",19
"secondaries",19
"seeds",19
"sodium",19
"tanked",19
"tarsometatarsal",19
"zinc",19
"346",18
"347",18
"348",18
"356",18
"358",18
"364",18
"365",18
"374",18
"378",18
"380",18
"395",18
"401",18
"403",18
"410",18
"417",18
"418",18
"448",18
"19more",18
"2x",18
"apparatus",18
"appendage",18
"baker",18
"boliviana",18
"buccal",18
"c8",18
"coleccion",18
"conjectural",18
"considerable",18
"covered",18
"dram",18
"dt",18
"exhibit",18
"fresh",18
"gockman",18
"icterus",18
"maser",18
"materials",18
"metacarpus",18
"midshaft",18
"nucule",18
"open",18
"overnight",18
"partly",18
"paz",18
"poorly",18
"postcanine",18
"pre",18
"preparietal",18
"radial",18
"rasmussen",18
"roache",18
"slightly",18
"south",18
"sphenethmoid",18
"sur",18
"tiny",18
"was",18
"wet75",18
"wide",18
"297",17
"339",17
"373",17
"398",17
"414",17
"422",17
"502",17
"12more",17
"13more",17
"17more",17
"african",17
"ball",17
"belong",17
"calcanei",17
"capetown",17
"carnoy",17
"cingulum",17
"cirri",17
"cronaflex",17
"duc",17
"ether",17
"external",17
"foetus",17
"graphite",17
"hatchling",17
"incompete",17
"lagomorph",17
"legg",17
"loph",17
"oil",17
"palmar",17
"parmelee",17
"passerina",17
"periodic",17
"photo:sc",17
"pinnae",17
"radiale",17
"rapraeger",17
"reference",17
"spade",17
"sphenoid",17
"sulphate",17
"tabular",17
"ureter",17
"which",17
"worm",17
"315",16
"353",16
"359",16
"393",16
"402",16
"411",16
"412",16
"433",16
"470",16
"474",16
"493",16
"1978",16
"1995",16
"30pm",16
"basicranial",16
"battery",16
"berlese's",16
"bourguignon",16
"cape",16
"contains",16
"cornell",16
"crania",16
"dermosphenotic",16
"detached",16
"epithysis",16
"free",16
"gary",16
"hand",16
"hypohyal",16
"injection",16
"kiser",16
"manis",16
"marrow",16
"mcdonald",16
"mclin",16
"mouthplates",16
"n8",16
"pea",16
"perfect",16
"pubes",16
"san",16
"seiurus",16
"shelf",16
"six",16
"slater",16
"sporophyte",16
"suborbital",16
"sw",16
"tibio",16
"vascular",16
"vertebrates",16
"vt",16
"322",15
"334",15
"379",15
"382",15
"396",15
"415",15
"419",15
"438",15
"455",15
"459",15
"468",15
"486",15
"513",15
"552",15
"another",15
"beth",15
"bonadore",15
"brower",15
"burrows",15
"c7",15
"carpotmetacarpus",15
"coen",15
"cusps",15
"delles",15
"display",15
"edge",15
"example",15
"face",15
"fine",15
"frag's",15
"h48",15
"histoclad",15
"hyplurals",15
"indet",15
"innominates",15
"ldp3",15
"m12",15
"metapod",15
"morlan",15
"morton",15
"mudstone",15
"murphy",15
"ncsm",15
"ny",15
"opercs",15
"osteologia",15
"p10",15
"pask",15
"petrosals",15
"photo:scope",15
"placed",15
"polyp",15
"premolariform",15
"protocone",15
"reiter",15
"represented",15
"riñon",15
"sacrals",15
"scaphotrapezium",15
"sitting",15
"spaw",15
"spore",15
"spores",15
"string",15
"table",15
"tips",15
"ulnoradius",15
"whorl",15
"wingfeathers",15
"344",14
"383",14
"389",14
"392",14
"409",14
"416",14
"428",14
"429",14
"431",14
"442",14
"447",14
"449",14
"452",14
"454",14
"457",14
"464",14
"545",14
"712",14
"800",14
"18more",14
"anaesthetized",14
"br",14
"buf",14
"calcified",14
"chromic",14
"collé",14
"di",14
"elytra",14
"extra",14
"flexible",14
"fronto",14
"hembree",14
"humerii",14
"in1962",14
"insect",14
"ithaca",14
"pcmb",14
"plantar",14
"postfrontal",14
"rotten",14
"scan",14
"sixth",14
"solidified",14
"something",14
"spizella",14
"splanchnocranium",14
"stalk",14
"supraorbital",14
"talons",14
"tibial",14
"vertabra",14
"verterba",14
"verterbra",14
"vomerine",14
"357",13
"367",13
"370",13
"405",13
"425",13
"435",13
"451",13
"463",13
"469",13
"471",13
"487",13
"495",13
"508",13
"535",13
"536",13
"540",13
"563",13
"700",13
"1950",13
"accessory",13
"acetone",13
"additional",13
"alcoholi",13
"angle",13
"angulosplenial",13
"antenna",13
"art",13
"atlantes",13
"basal",13
"bract",13
"calcareous",13
"carpus",13
"cluster",13
"coated",13
"compound",13
"cucullatus",13
"curved",13
"dlc",13
"dr",13
"fairfax",13
"fetal",13
"flippers",13
"halves",13
"hanson",13
"hindgut",13
"hook",13
"horse",13
"killpack",13
"lost",13
"microvial",13
"nice",13
"opisthotic",13
"osteoscutes",13
"preopercle",13
"pterygoids",13
"rear",13
"richardson",13
"rom",13
"second",13
"shallow",13
"skulll",13
"spinal",13
"still",13
"syoc",13
"tan",13
"teaching",13
"through",13
"tibiotarsi",13
"toes",13
"toothrow",13
"tucker",13
"unassigned",13
"uncinate",13
"unworn",13
"walters",13
"whorls",13
"zoology",13
"421",12
"424",12
"427",12
"440",12
"441",12
"443",12
"444",12
"445",12
"466",12
"482",12
"488",12
"492",12
"511",12
"515",12
"534",12
"541",12
"548",12
"1290",12
"1982",12
"appendages",12
"atlases",12
"bite",12
"bladder",12
"branched",12
"c5",12
"campbell",12
"crusher",12
"daemonelix",12
"damage",12
"days",12
"diastema",12
"dollar",12
"ethanoldry",12
"exchange",12
"exploded",12
"fargo",12
"fibular",12
"footprints",12
"froze",12
"ganoid",12
"hastings",12
"heel",12
"hooves",12
"hours",12
"institute",12
"iz",12
"john",12
"langjahr",12
"longbone",12
"lungfish",12
"malleolus",12
"malleus",12
"mcmillan",12
"mni",12
"molds",12
"n7",12
"now",12
"p3or4",12
"p4m1",12
"paleo:maxilla",12
"perching",12
"pinneddry",12
"premaxillaries",12
"puncture",12
"rectrix",12
"rm4",12
"samples",12
"scraps",12
"sets",12
"sexed",12
"shafts",12
"situ",12
"sportegn",12
"sulcus",12
"symphyseal",12
"t3",12
"thoraic",12
"trays",12
"ulnare",12
"vomers",12
"wong",12
"zoea",12
"372",11
"384",11
"391",11
"397",11
"406",11
"407",11
"408",11
"432",11
"434",11
"436",11
"437",11
"446",11
"460",11
"467",11
"475",11
"477",11
"484",11
"489",11
"491",11
"501",11
"505",11
"514",11
"519",11
"522",11
"526",11
"537",11
"562",11
"566",11
"580",11
"581",11
"594",11
"673",11
"702",11
"750",11
"761",11
"975",11
"1325",11
"1500",11
"4496",11
"4585",11
"20more",11
"21more",11
"3d",11
"5th",11
"a2",11
"abnormal",11
"amnh",11
"approximately",11
"bad",11
"benson",11
"black",11
"bodley",11
"branches",11
"brennan",11
"canada",11
"ceratohyals",11
"champine",11
"compressed",11
"corner",11
"cusp",11
"development",11
"di1",11
"diatomite",11
"dimensional",11
"dingle",11
"dm",11
"esqueleto",11
"exposed",11
"fontella",11
"foramen",11
"formulin",11
"fossa",11
"frill",11
"gastropod",11
"gluteraldehyde",11
"gonzalocalado",11
"graph",11
"have",11
"hoffman",11
"inferior",11
"interparietal",11
"into",11
"j.p",11
"klh",11
"lachrymal",11
"late",11
"line",11
"lmi",11
"ln2",11
"low",11
"lunula",11
"m5",11
"melospiza",11
"miller",11
"mollusc",11
"moulage",11
"murray",11
"naviculars",11
"needs",11
"node",11
"pedagogic",11
"phragmocone",11
"pistillate",11
"pittsburgh",11
"pleurodont",11
"plumage",11
"poss",11
"prof",11
"putte",11
"pygidium",11
"pygostyle",11
"radioulnar",11
"resin",11
"sesemoid",11
"slight",11
"smashed",11
"sockets",11
"sporophytes",11
"tibiafibula",11
"total",11
"tray",11
"uncertain",11
"undet",11
"unid",11
"unk",11
"used",11
"video",11
"visible",11
"weir",11
"were",11
"388",10
"413",10
"420",10
"426",10
"430",10
"461",10
"462",10
"465",10
"472",10
"473",10
"476",10
"483",10
"485",10
"498",10
"503",10
"509",10
"516",10
"525",10
"532",10
"543",10
"551",10
"553",10
"556",10
"567",10
"577",10
"584",10
"592",10
"596",10
"597",10
"598",10
"603",10
"605",10
"667",10
"687",10
"692",10
"766",10
"900",10
"1945",10
"2010",10
"4574",10
"011",10
"016",10
"018",10
"032",10
"14more",10
"27more",10
"3,4",10
"acc",10
"after",10
"alvord",10
"anterolateral",10
"astagalus",10
"au",10
"august",10
"aurocapilla",10
"bleakney",10
"branchlet",10
"cannonbone",10
"cephalon",10
"charlotte",10
"chondrocranium",10
"clavicles",10
"cocytinus",10
"coprilite",10
"cup",10
"date",10
"dermopalatine",10
"diehl",10
"doto",10
"down",10
"empty",10
"eric",10
"extrascapular",10
"foliage",10
"fructification",10
"gray",10
"hanging",10
"horner",10
"ht",10
"kimball",10
"larger",10
"lc1",10
"likely",10
"lizard",10
"melodia",10
"midsection",10
"nef",10
"odontoid",10
"pa",10
"patricia",10
"pelves",10
"perala",10
"perhaps",10
"pollenberg",10
"pq",10
"precoracoid",10
"preopercula",10
"psotcleithrum",10
"rachis",10
"radford",10
"rather",10
"rc",10
"runt",10
"says",10
"seedlings",10
"short",10
"slid",10
"smaller",10
"squashed",10
"sskut",10
"stream",10
"synthetodus",10
"tads",10
"tarsometatarsi",10
"trainito",10
"tubercle",10
"tun",10
"udp4",10
"unmarked",10
"urinary",10
"uw",10
"ver",10
"verebra",10
"vermivora",10
"volar",10
"zenker's",10
"439",9
"456",9
"458",9
"478",9
"481",9
"496",9
"504",9
"507",9
"512",9
"517",9
"523",9
"547",9
"557",9
"558",9
"560",9
"582",9
"601",9
"606",9
"619",9
"620",9
"647",9
"653",9
"675",9
"748",9
"808",9
"859",9
"1957",9
"1974",9
"1981",9
"2016",9
"4617",9
"014",9
"015",9
"017",9
"022",9
"026",9
"045",9
"15more",9
"1nv:erdshreiber",9
"23more",9
"26more",9
"2f",9
"4orm",9
"adults",9
"agri",9
"allen",9
"angulars",9
"basihyal",9
"batterson",9
"been",9
"bengal",9
"bound",9
"brandt",9
"california",9
"carapaces",9
"cards",9
"carina",9
"carpometacarpal",9
"cass",9
"chilled",9
"cloacal",9
"compressions",9
"cones",9
"cork",9
"corrosive",9
"crayon",9
"cyanea",9
"dentar",9
"dermethmoid",9
"dermopterotic",9
"desmid",9
"dextrose",9
"disrupted",9
"dorso",9
"drawers",9
"drawing",9
"ephiphysis",9
"esc",9
"fagg",9
"filename",9
"flying",9
"forearms",9
"given",9
"guanidinium",9
"harthill",9
"hayashi",9
"incompletel",9
"incus",9
"innominata",9
"irregular",9
"ishium",9
"it",9
"laterosphenoid",9
"lee",9
"lien",9
"life",9
"litho",9
"m.a.malaquias",9
"milberger",9
"murphey",9
"nuchals",9
"p.w",9
"pearls",9
"peet",9
"pensylvanica",9
"perch",9
"petechia",9
"phalanyx",9
"phyllodont",9
"pinnedbn",9
"product",9
"quite",9
"rad",9
"restored",9
"reversed",9
"rose",9
"rostra",9
"rp1",9
"sac",9
"serrations",9
"shaped",9
"sheaths",9
"shipment",9
"silicone",9
"skins",9
"skleleton",9
"sph",9
"spicules",9
"strong",9
"sublimate",9
"talus",9
"taylor",9
"tem",9
"tests",9
"thiocyanate",9
"under",9
"vertebrate",9
"veryebrae",9
"vidales",9
"vk",9
"wa",9
"weasel",9
"yakima",9
"479",8
"480",8
"497",8
"510",8
"518",8
"520",8
"521",8
"527",8
"530",8
"531",8
"533",8
"544",8
"550",8
"554",8
"561",8
"568",8
"569",8
"570",8
"575",8
"579",8
"583",8
"602",8
"625",8
"630",8
"632",8
"644",8
"645",8
"650",8
"660",8
"676",8
"680",8
"685",8
"694",8
"701",8
"708",8
"711",8
"723",8
"777",8
"779",8
"811",8
"812",8
"874",8
"1200",8
"1948",8
"1988",8
"1990",8
"2002",8
"004",8
"005",8
"010",8
"020",8
"021",8
"033",8
"053",8
"062",8
"093",8
"095",8
"1,2",8
"24more",8
"3.5",8
"4,5",8
"6.7",8
"9pm",8
"aeneus",8
"aires",8
"ajf",8
"albino",8
"aliquot",8
"amadon",8
"argentina",8
"arizona",8
"armature",8
"astragalar",8
"band",8
"bar",8
"barax",8
"basiocciptial",8
"beach",8
"big",8
"bolus",8
"border",8
"buenos",8
"c3",8
"calcaneae",8
"cat",8
"centrae",8
"ciencias",8
"circumorbital",8
"cited",8
"compete",8
"dead",8
"deformed",8
"dm3",8
"dowell",8
"drymount",8
"during",8
"epi",8
"erdschreiber",8
"eroded",8
"erupted",8
"felice",8
"foreleg",8
"formailin",8
"fossils",8
"gnawed",8
"gold",8
"green",8
"gulars",8
"incomp",8
"inking",8
"inner",8
"inst",8
"johns",8
"larson",8
"larynx",8
"las",8
"litter",8
"longitudinal",8
"lort",8
"lowery",8
"lymph",8
"malt",8
"mathews",8
"maui",8
"measured",8
"minor",8
"molt",8
"munz",8
"nac",8
"naturales",8
"nine",8
"occlusion",8
"olecranon",8
"owl",8
"paranuchal",8
"pc",8
"pec",8
"phalynx",8
"pharygeal",8
"pin_genitalia_vial",8
"placenta",8
"postero",8
"preparatory",8
"purposes",8
"pusilla",8
"q",8
"range",8
"rest",8
"returned",8
"riñón",8
"rocks",8
"rws",8
"salt",8
"sargis",8
"sawn",8
"scapulo",8
"semilunar",8
"silicified",8
"skullt",8
"snail",8
"snake",8
"soaked",8
"somewhat",8
"squat",8
"staff",8
"stainless",8
"steel",8
"stenebra",8
"sternebrae",8
"sticky",8
"sugar",8
"sugarbait",8
"terrier",8
"thalli",8
"thrombolite",8
"trade",8
"triangle",8
"tricuspate",8
"trochanter",8
"twisted",8
"usnmfs",8
"verts",8
"volvocacean",8
"von",8
"voucherat",8
"vp",8
"ward",8
"wear",8
"williams",8
"494",7
"506",7
"524",7
"529",7
"538",7
"574",7
"576",7
"585",7
"589",7
"609",7
"610",7
"611",7
"612",7
"613",7
"616",7
"622",7
"635",7
"641",7
"646",7
"648",7
"649",7
"651",7
"655",7
"662",7
"665",7
"670",7
"678",7
"693",7
"699",7
"716",7
"719",7
"721",7
"730",7
"736",7
"755",7
"759",7
"765",7
"768",7
"770",7
"775",7
"781",7
"795",7
"806",7
"809",7
"813",7
"818",7
"824",7
"827",7
"832",7
"834",7
"836",7
"885",7
"888",7
"903",7
"1943",7
"1961",7
"1975",7
"2001",7
"2013",7
"4546",7
"002",7
"003",7
"007",7
"008",7
"012",7
"013",7
"019",7
"023",7
"025",7
"031",7
"034",7
"048",7
"061",7
"063",7
"069",7
"087",7
"088",7
"089",7
"098",7
"12am",7
"2,4",7
"2,5",7
"25more",7
"28more",7
"afsc",7
"angeles",7
"ankle",7
"anteriormost",7
"astragular",7
"b1",7
"bale",7
"beautifully",7
"berlese",7
"bk",7
"bowman",7
"brood",7
"calaneum",7
"calcanium",7
"carpel",7
"catkin",7
"cavity",7
"celluloid",7
"cestodes",7
"coalified",7
"computer",7
"cont",7
"critical",7
"cuboids",7
"cupule",7
"cyanoptera",7
"daly",7
"delacour",7
"dentalosplenials",7
"dentosplenial",7
"desiccated",7
"diagnostic",7
"disassociated",7
"drowned",7
"edwards",7
"eight",7
"encased",7
"enlarged",7
"eto",7
"explanation",7
"fangs",7
"females",7
"fitzner",7
"fluorine",7
"frog",7
"frogs",7
"frosset",7
"future",7
"g.d.alcorn",7
"gastrolith",7
"gnawing",7
"goellner",7
"gone",7
"gustav",7
"gws",7
"hall",7
"hammond",7
"harrison",7
"hilton",7
"hinge",7
"historia",7
"hypertosed",7
"hypo",7
"id",7
"inches",7
"incl",7
"injected",7
"innominat",7
"interolateral",7
"invertebrates",7
"irish",7
"ivory",7
"jacot",7
"jg",7
"johnston",7
"karyotyped",7
"kirn",7
"l2",7
"lignite",7
"loop",7
"los",7
"lpx",7
"malar",7
"mammals",7
"marginals",7
"mark",7
"mask",7
"mills",7
"murie",7
"museo",7
"nestling",7
"network",7
"observer",7
"opercle",7
"others",7
"outer",7
"pal",7
"palmer",7
"parasymphysial",7
"pathology",7
"peat",7
"perry",7
"petal",7
"phalangeal",7
"picric",7
"pii",7
"pith",7
"porphyridium",7
"preserving",7
"provide",7
"r.droker",7
"rakers",7
"rand",7
"ritchie",7
"roll",7
"seg",7
"shattered",7
"skint",7
"sterna",7
"strobilis",7
"surfaces",7
"tag",7
"tbt",7
"testdry",7
"tis",7
"too",7
"tracing",7
"ts",7
"tuber",7
"unerrupted",7
"uwbm",7
"vertabrae",7
"vertbra",7
"virens",7
"weberian",7
"wilson",7
"winter",7
"xiphoid",7
"xvii",7
"453",6
"490",6
"528",6
"539",6
"549",6
"555",6
"565",6
"571",6
"572",6
"588",6
"590",6
"591",6
"595",6
"599",6
"604",6
"608",6
"614",6
"617",6
"618",6
"624",6
"626",6
"627",6
"636",6
"638",6
"639",6
"640",6
"643",6
"661",6
"663",6
"669",6
"674",6
"679",6
"681",6
"684",6
"704",6
"709",6
"713",6
"737",6
"740",6
"743",6
"745",6
"749",6
"751",6
"752",6
"756",6
"772",6
"773",6
"790",6
"792",6
"803",6
"807",6
"814",6
"815",6
"820",6
"822",6
"823",6
"826",6
"837",6
"843",6
"851",6
"852",6
"856",6
"861",6
"862",6
"863",6
"865",6
"867",6
"882",6
"883",6
"927",6
"973",6
"1007",6
"1032",6
"1134",6
"1135",6
"1149",6
"1897",6
"1913",6
"1959",6
"1966",6
"1973",6
"1996",6
"2006",6
"2009",6
"2211",6
"2212",6
"2213",6
"2215",6
"3000",6
"4547",6
"4656",6
"23661",6
"23666",6
"024",6
"027",6
"029",6
"035",6
"036",6
"038",6
"039",6
"049",6
"051",6
"054",6
"055",6
"056",6
"059",6
"060",6
"065",6
"066",6
"072",6
"075",6
"081",6
"083",6
"084",6
"086",6
"090",6
"091",6
"094",6
"096",6
"097",6
"099",6
"2,3",6
"2m",6
"35mm",6
"80c",6
"acrodont",6
"adobe",6
"aestivation",6
"alcholic",6
"alveolar",6
"anaesthetic",6
"animals",6
"anther",6
"apex",6
"apparently",6
"archbold",6
"astralagus",6
"astro",6
"basioccipitals",6
"between",6
"bin",6
"bladed",6
"bonariensis",6
"bracts",6
"branchiostegal",6
"breast",6
"broughton",6
"calcaenum",6
"carlos",6
"carpo",6
"catalog",6
"caudate",6
"cdrom",6
"chiapas",6
"chu's",6
"city",6
"clasper",6
"coastal",6
"coccyzus",6
"colln",6
"compl",6
"completel",6
"conjoined",6
"counter",6
"counterparts",6
"cubo",6
"cyamella",6
"deep",6
"deltoid",6
"dendary",6
"died",6
"digial",6
"disart",6
"dli3",6
"dlp",6
"dm4",6
"eden",6
"eexchanged",6
"emerson",6
"english",6
"etanol",6
"f.s.l",6
"facial",6
"facing",6
"faded",6
"fd",6
"fetuses",6
"flank",6
"float",6
"fmnh",6
"fn",6
"footbones",6
"ford",6
"forming",6
"frame",6
"froz",6
"ftr",6
"gallery",6
"garoupa",6
"gastroliths",6
"guatemala",6
"gutierrez",6
"hard",6
"headshield",6
"henderson",6
"hermit",6
"high",6
"huge",6
"hypoplastra",6
"identifiable",6
"imcompl",6
"indistinct",6
"inglin",6
"innom",6
"intercentra",6
"jabouille",6
"jones",6
"jt",6
"jugals",6
"keller",6
"kompanje",6
"kritzman",6
"l1",6
"lacrymal",6
"laterally",6
"lawlor",6
"layer",6
"lining",6
"listed",6
"little",6
"loc",6
"m123",6
"males",6
"manidble",6
"mbari",6
"mcfeely",6
"megasporophyll",6
"melbourne",6
"modularis",6
"mutilated",6
"mv",6
"n:izg",6
"negative",6
"nh4",6
"oc",6
"occipitals",6
"osmium",6
"oversize",6
"ovuliferous",6
"p9",6
"painted",6
"parallel",6
"paratype",6
"park",6
"paws",6
"perkins",6
"petrified",6
"pharyngeals",6
"polissage",6
"prefrontalia",6
"premaxilary",6
"presphenoid",6
"prunella",6
"pteriotic",6
"pure",6
"rare",6
"rattles",6
"rc1",6
"reconstructed",6
"reconstruction",6
"reis",6
"scapular",6
"sep",6
"setophaga",6
"setter",6
"sheffield",6
"sides",6
"skels",6
"sm",6
"smooth",6
"spermatophores",6
"spiral",6
"sporangium",6
"spritbehandlad",6
"squamation",6
"squamosals",6
"st",6
"stage",6
"stagner",6
"stinger",6
"subadult",6
"superpygal",6
"symphysial",6
"synsacral",6
"syst",6
"tails",6
"talonids",6
"tapir",6
"tbe",6
"tibiatarsus",6
"tipless",6
"tomuseum",6
"toorh",6
"triple",6
"ummz",6
"un",6
"underwater",6
"universidad",6
"urblåst",6
"urohyal",6
"usnmfn",6
"vent",6
"victoria",6
"vireo",6
"walking",6
"wax",6
"wayne",6
"weber",6
"wfvz",6
"williamson",6
"542",5
"546",5
"573",5
"578",5
"586",5
"593",5
"621",5
"628",5
"629",5
"631",5
"634",5
"642",5
"652",5
"656",5
"657",5
"658",5
"664",5
"666",5
"672",5
"677",5
"683",5
"686",5
"691",5
"695",5
"696",5
"698",5
"703",5
"705",5
"715",5
"717",5
"718",5
"722",5
"724",5
"731",5
"734",5
"735",5
"741",5
"744",5
"746",5
"753",5
"757",5
"758",5
"760",5
"763",5
"764",5
"767",5
"771",5
"774",5
"776",5
"780",5
"782",5
"783",5
"785",5
"789",5
"791",5
"793",5
"796",5
"797",5
"799",5
"801",5
"802",5
"810",5
"816",5
"817",5
"819",5
"821",5
"830",5
"833",5
"845",5
"848",5
"860",5
"864",5
"866",5
"868",5
"870",5
"875",5
"878",5
"879",5
"880",5
"893",5
"904",5
"918",5
"923",5
"939",5
"940",5
"941",5
"945",5
"947",5
"963",5
"982",5
"995",5
"1006",5
"1012",5
"1014",5
"1016",5
"1017",5
"1028",5
"1031",5
"1042",5
"1055",5
"1065",5
"1066",5
"1067",5
"1092",5
"1093",5
"1106",5
"1108",5
"1113",5
"1114",5
"1116",5
"1121",5
"1127",5
"1128",5
"1129",5
"1130",5
"1136",5
"1144",5
"1145",5
"1151",5
"1154",5
"1156",5
"1159",5
"1165",5
"1181",5
"1184",5
"1231",5
"1300",5
"1340",5
"1381",5
"1400",5
"1906",5
"1912",5
"1916",5
"1922",5
"1939",5
"1967",5
"1968",5
"1979",5
"1994",5
"2008",5
"2076",5
"2178",5
"2225",5
"2245",5
"2246",5
"2247",5
"2258",5
"3039",5
"3069",5
"3074",5
"3096",5
"4621",5
"5114",5
"5413",5
"5537",5
"24491",5
"0011",5
"0016",5
"009",5
"028",5
"030",5
"040",5
"041",5
"042",5
"043",5
"044",5
"046",5
"047",5
"050",5
"052",5
"057",5
"058",5
"064",5
"068",5
"071",5
"076",5
"080",5
"085",5
"092",5
"11pm",5
"22more",5
"31more",5
"37more",5
"a3",5
"absent",5
"adjacent",5
