"island","reps"
"St. Lucia I.",746
"Malakal Id.",742
"Lamu",741
"Mangareva",738
"Angaur",733
"Fergusson Island",733
"Australia",729
"Andros Island",727
"Fanning Island",726
"Sicilia",725
"Bora Bora",721
"American Samoa",716
"Nihoa",715
"Clarion I.",713
"Newfoundland Island",713
"Weno Island",710
"Easter Island",708
"Madeira",708
"Adak Island",707
"Kupreanof Island",707
"New Ireland",707
"Grande Comore I.",703
"Kuiu Island",703
"San Nicolas Island",699
"New Georgia",698
"Margarita I.",696
"Santa Cruz Id.",692
"Dall Island",691
"Lord Howe Island",686
"Santa Rosa Island",685
"San Cristobal",681
"Diego Garcia",676
"Burias Island",675
"Honam",675
"Floreana [Charles, Santa Maria]",674
"Santa Catalina Id.",668
"Cebu I.",667
"Pearl and Hermes Reef",664
"San Miguel",662
"Ulithi Atoll",661
"Sumatera",659
"Whidbey",653
"Camiguin Id.",652
"Anguilla",649
"Heron Island",648
"Bioko Id.",643
"Great Abaco",642
"martinique",642
"Nantucket",642
"Eniwetok Atoll",638
"Isla Guadalupe",636
"Santa Isabel",636
"Afognak Island",633
"Baker Island",632
"Aruba",631
"Maug",629
"Panay Island",629
"Floreana Id.",628
"Douglas Cay",623
"Onotoa Atoll",622
"Exuma",621
"St. Paul Island",620
"Tahaa",618
"Bali",617
"Ofu",616
"Howland Island",613
"kerguelen",613
"Bohol",607
"Cedros Id.",607
"Marten Island",602
"Antigua Island",601
"Isla Grande de Chilo��",601
"Makatea",597
"Culion Island",594
"Ellesmere Island",591
"Panay I.",588
"New Britain Island",586
"Sakhalin Island",586
"Isabela",584
"Green Island",583
"Tutuila I.",583
"Bimini Islands",581
"Leyte I.",581
"Niihau",577
"Normanby Island",575
"Vieques I.",572
"Shikoku",569
"Graham Island",566
"Yaeyama Islands, Ishigaki Island",564
"Daru Id.",562
"Virgin Gorda",562
"Rapa Island",559
"Saipan Island",559
"Siquijor Island",556
"Socorro",550
"Isla Chilo���",548
"San Cristobal Id.",548
"Sudest Island",548
"San Clemente",547
"Santa Cruz I.",547
"Southern Cook Islands",546
"Honsh��",545
"Bougainville",544
"Camiguin I.",544
"Fakfak Div.",542
"Polillo Island",542
"chesterfield",538
"Indonesia",538
"Chuuk",537
"Taumako",537
"Andros I.",534
"Santa Cruz [Indefatigable, Chaves]",534
"Pohnpei I.",532
"Basilan Id.",531
"Swains Island",526
"Mohotane Island",524
"Nonsuch Island",523
"Nosy Be",521
"Leyte Id.",520
"Babeldaob Id.",518
"Brooks Island",518
"Trinidad Island",518
"Dominica Id.",517
"Marinduque I.",517
"Saint George Island",517
"Basse Terre [Guadeloupe]",516
"Epi",514
"Saint John",514
"Pohnpei (=Ponape)",510
"Saint Lucia",510
"Ostrov Sakhalin",505
"Principe Id.",504
"Sibuyan",503
"Pacific Ocean",502
"Cuba Id.",501
"Enewetak [Eniwetok] Atoll",501
"Maricaban Island",500
"Woodlark Island",498
"Monomoy Island",496
"Catanduanes Island",493
"Savai�������i",490
"Carmen Id.",489
"Catanduanes I.",489
"Key Largo",488
"Shelter Island",488
"Guam Id.",487
"Victoria",485
"Rongerik Atoll",480
"Saint Eustatius Id.",480
"San Clemente Id.",480
"Barbuda",475
"Espanola Id.",475
"Pailolo Channel",474
"Jolo Island",473
"Saba Id.",472
"�������Upolu",471
"Lisianski Island",471
"Masbate Island",471
"Saint Kitts Island",471
"Barro Colorado Island",468
"St. George's Island",467
"Bahama Islands",466
"Santa Barbara Island",466
"Malaita",465
"Angaur I.",463
"Kiritimati (=Christmas Island)",460
"Forrester Island",458
"malo",458
"Kayangel",457
"Sanga Sanga I.",457
"Vava'u Island",457
"Calvert Island",455
"Isla de Vieques",454
"Dinagat Island",451
"West Summerland Key",448
"Misima Island",446
"San Marcos Id.",446
"Thailand",445
"Whidbey Island",445
"Guimaras Island",444
"Isabela I.",444
"Oahu Id.",443
"Inagua Island",440
"Urukthapel I.",440
"Tanna",438
"Saint Croix Id.",436
"Barro Colorado I.",435
"Fanning (=Tabuaeran)",435
"Koror",434
"Eiao",432
"grande terre",432
"Groote Eylandt",432
"Jaluit Atoll",430
"Big Damalawa Islet",429
"Anglesey",428
"Madang Province",427
"Peleliu Island",427
"Isla Angel de la Guarda",426
"Isla de Culebra",423
"Great Inagua",422
"Tarawa Atoll",422
"Pearl Island",421
"San Salvador",421
"Siquijor",421
"Likiep Atoll",420
"St Barthelemy",419
"St. Christopher",418
"Muskeget Island",417
"Espiritu Santo Id.",416
"Sibutu I.",416
"Agrihan",415
"Grand Bahama",415
"Plummers Island",415
"Kanton Island",414
"Papua New Guinea",414
"Sudan",414
"Marie Galante",413
"Ano Nuevo Id.",412
"Etolin Island",412
"Manhattan",412
"Escudo de Veraguas",409
"St. Barth����lemy",407
"San Jose Id.",406
"Vanua Lava",406
"Alamagan",405
"Saipan I.",403
"Clarion Id.",402
"Sonsorol",402
"Chuuk Islands",401
"Camiguin Sur Island",399
"Malta",399
"Taravai",397
"Clipperton",396
"Santa Fe Id.",395
"Hispaniola Id.",393
"Isla de La Juventud",390
"Upolu Island",390
"Great Britain",389
"Oreor (Koror)",389
"Southeast Farallon Island",389
"St. Georges",389
"Choiseul Island",388
"Exuma Island",388
"Babeldaob [Babelthuap]",386
"Kadavu",384
"Futuna Island",383
"����le de la Gon����ve",383
"Western Samoa",383
"Siargao I.",382
"Mona I.",381
"Naushon Island",381
"Efate Island",380
"Rangiroa Atoll",380
"Tablas Island",380
