"geodeticDatum","reps"
"-100.5387380000",1
"-100.5390730000",2
"-100.5390840000",1
"-100.5391080000",4
"-100.5395840000",1
"-100.5398660000",1
"-100.5403530000",3
"-100.5423940000",2
"-100.5427720000",1
"-100.5429080000",2
"-100.5431560000",2
"-100.5446830000",3
"-100.5447920000",3
"-100.5455620000",1
"-100.5461790000",8
"-100.5463180000",1
"-100.5463810000",1
"-100.5469840000",4
"-100.5484110000",1
"-100.5563470000",1
"-100.5611380000",1
"-100.5761610000",2
"-100.5817340000",1
"-100.5961650000",65
"-100.5963130000",4
"-100.6080330000",1
"-100.6204170000",1
"-100.6218400000",1
"-100.6227800000",1
"-100.6383290000",1
"-100.6392300000",1
"-100.6400310000",2
"-100.6410460000",1
"-100.6430600000",4
"-100.6458690000",1
"-100.6507850000",1
"-100.6799300000",8
"-100.6800950000",2
"-100.6820940000",1
"-100.6873700000",28
"-100.6881980000",1
"-100.6963350000",1
"-100.6996310000",3
"-100.7015960000",1
"-100.7080390000",1
"-100.7106100000",1
"-100.7119960000",1
"-100.7166700000",30
"-100.7187300000",5
"-100.7304030000",1
"-100.7307110000",1
"-100.7327290000",1
"-100.7344410000",1
"100.739069",3
"-100.7408070000",1
"-100.7790150000",1
"-100.7857490000",1
"-100.7897450000",1
"-100.8020050000",1
"-100.8112310000",1
"-100.8185240000",1
"-100.8282420000",1
"-100.8382340000",1
"-100.8841750000",1
"-100.9172200000",2
"-100.9753420000",1
"-100.9970870000",3
"1000",2
"1000 m",3
"100m",7
"-101.0333900000",1
"-101.0410180000",1
"-101.0494920000",6
"-101.0522570000",1
"-101.1914420000",1
"-101.3638100000",1
"-101.3849660000",1
"-101.4156150000",1
"-101.4395140000",1
"-101.4501770000",1
"-101.4586000000",1
"-101.4783300000",13
"-101.4808300000",1
"-101.4848530000",1
"-101.6479310000",2
"-101.6946600000",1
"-101.6962310000",1
"-101.8000950000",1
"-101.8222200000",1
"-101.8291290000",1
"-101.8375960000",1
"-101.8394400000",1
"-101.8540330000",2
"-101.8595660000",1
"-101.8709700000",1
"-101.9215670000",1
"-101.9285820000",1
"-101.9569090000",1
"-101.9747200000",1
"-101.9828190000",1
"1014",6
"102",17
"-102.0271740000",1
"-102.0355600000",7
"-102.0777510000",1
"-102.0805900000",1
"-102.0843660000",21
"-102.0942740000",2
"-102.0995520000",1
"-102.2398800000",24
"-102.2573200000",1
"-102.2744390000",1
"-102.3437030000",1
"-102.4434380000",1
"-102.5381470000",10
"-102.5454390000",1
"-102.6192010000",1
"-102.6350560000",1
"-102.6953890000",1
"-102.7441410000",1
"-102.9840110000",2
"-103.0682370000",1
"-103.0915330000",2
"-103.0982890000",1
"-103.3391700000",3
"-103.5715270000",1
"-103.6605600000",1
"-103.7472600000",1
"-103.7795220000",1
"-103.7850550000",1
"-103.8638720000",1
"-103.8866810000",1
"-103.8907690000",1
"-103.8941700000",3
"-103.9180360000",1
"-103.9259940000",1
"-103.9278910000",1
"-103.9389290000",1
"-103.9509890000",1
"-103.9619650000",2
"-103.9667830000",1
"-103.9803760000",1
"-103.9899460000",1
"-103.9982360000",1
"1037",2
"-104.0029510000",1
"-104.0448970000",1
"-104.0638540000",1
"-104.0680090000",2
"-104.0719910000",1
"-104.1729790000",1
"-104.2181060000",4
"-104.4367490000",1
"-104.4961100000",2
"-104.6867630000",2
"-104.6871820000",14
"-104.6886750000",1
"-104.6887890000",1
"-105.5406450000",1
"1050",2
"-106.2817380000",1
"-106.6158300000",1
"-107.6184230000",2
"-107.7401330000",2
"1075",3
"-109.8413090000",1
"��10m",4
"110",3
"1130",2
"114",14
"1155",2
"11595",55
"1176",4
"1180",3
"-119.8828130000",1
"119?47'W",1
"1190",1
"12",371
"12 T UTM",1
"12/1146",1
"1200",1
"-121.15",1
"-122.5229410000",1
"1221",4
"124",1
"1262",1
"128",4
"12s",2
"12T0574452E 4531017N",1
"1313",88
"1322",1
"1327",5
"1329",7
"1330",1
"1334",2
"1335",3
"1337",2
"134",2
"1340",2
"1342",2
"1350",7
"1355",1
"1364",1
"137",3
"1371",2
"1372",8
"1375",3
"1381",13
"1390",1
"14",1
"1400",3
"1401",2
"141.0205080000",1
"1421",15
"1430",1
"1431",11
"1439",2
"1440",3
"1445",8
"1451",21
"1458",3
"146",2
"1468",1
"1469",6
"147.5463870000",1
"1478",4
"1483",4
"1496",2
"1500",16
"1505",9
"1510",32
"1522",1
"1524",8
"1538",5
"1550",2
"1551",11
"1556",12
"1559",1
"156",1
"1562",3
"1563",1
"1564",3
"1570",3
"1597",2
"16",1
"1600",1
"1618",12
"1631",2
"1635",1
"1643",3
"1648",3
"165",1
"1659",8
"1668",9
"1670",7
"1673",6
"1674",1
"16770",2
"1681",1
"1685",5
"1688",3
"1689",1
"1690",1
"1698",4
"17",1
"1701",3
"1713",1
"1718",14
"1720",6
"1722",2
"1723 m",5
"1728",1
"1732 m",9
"1734",8
"1738 m",10
"1745",1
"1749 m",2
"175",1
"1753",1
"1762",1
"1769",3
"177.06m",1
"1773",5
"1774",2
"1776",1
"1777",9
"1780",2
"1792",1
"18 40' 14.8 - 18 41' 14.1 N; 109 52' 58.3 - 109 52' 45.8 E",1
"18 40' 27.6 N 109 36' 15.9 E",2
"18 41' 14.1 N 109 52' 45.8 E",4
"18 42' 24.0 - 18 41' 14.1 N  109 52' 55.5 - 109 52' 45.8' E",11
