"sex","reps"
"1 male; 2 female",202
"4 males, 1 female",199
"10w",192
"7w",192
"26 adults",190
"35 adults",189
"22 undetermined",186
"9 females",185
"3 males, 3 females",183
"workers, brood",183
"Lichenothica",182
"1 male, 4 females",181
"1p",180
"9 males",180
"Male;;",180
"19 adults",179
"23 undetermined",179
"Male; Female;;",179
"50 females",177
"3 females, 2 males",176
"Female?",176
"100 adults",174
"11u",174
"3W",174
"1 male, 1 specimen",173
"40 adults",173
"workers/Queen",173
"15",172
"2m,2f",170
"8w",167
"right hind leg of male",166
"3 females, 3 males",164
"pupa",162
"Skel, skull, shell",161
"28 adults",159
"3 specimens",159
"F by dissection",159
"1Q ergatoid",158
"6m",157
"Canadian Lichens II",157
"queen, major, minor worker",157
"12u",156
"juv",154
"unknown; male",154
"worker, dealate queen",154
"20 females",153
"24 undetermined",153
"27 adults",153
"3 male; 1 female",153
"Canadian Lichens I",153
"Adult-worker",151
"M; Skel, skull, shell",151
"queen, minor worker",151
"male and worker",150
"25 undetermined",147
"1Q, 1w",146
"M by dissection",146
"14",145
"2w major",145
"9 sex not recorded",142
"1aQ, 1w, 1m",141
"7m",141
"females",141
"13",140
"F;",139
"2 worker",138
"45 adults",138
"2Q",137
"24 adults",136
"12 males",135
"50 males",135
"male & female",135
"Worker/Male",135
"4M",134
"queen, male, worker",134
"worker/brood",134
"15 females",133
"15 males",133
"Female; male",133
"3 females, 4 males",132
"4W",132
"; Male",132
"11 males",131
"12 females",131
"Female & Male",131
"male 1",131
"Reliquiae Tuckermanianae",131
"1 male 1 female",130
"4 males, 2 females",130
"Lichens of North America",130
"2aQ",127
"30 undetermined",127
"Lichens of North Americans",127
"hun",126
"Lichenes Finniae Exsiccati",125
"unknown; female",124
"1aQ, 2w",122
"20 males",122
"32 adults",122
"2 females, 4 males",121
"female | male",121
"sterile",121
"10f",120
"20",119
"28 undetermined",119
"2 males, 4 females",119
"1m,3f",118
"26 undetermined",118
"1 females, 4 males",117
"3aQ",116
"adult minor worker",116
"Male; Female; Female",116
"1 male, 5 females",114
"27 undetermined",114
"11 females",113
"29 undetermined",113
"4 males, 3 females",112
"Worker/Queen/Male",112
"1 female; 1 male",110
"1 F��mea",110
"han",110
"Worker; Female",110
"1 f��mea",109
"queen, worker, brood",109
"5 males, 1 female",108
"Femelle ?",107
"M;",106
"29 adults",105
"31 adults",105
"worker, queen",105
"13 males",104
"1w (head detached)",104
"3m,2f",104
"female; female;;",104
"Female; Female",103
"4 females, 3 males",101
"4 male",101
"e Museo Nationali Pragensi anno 1966 distributae",101
"Lichens Slovakiae Exsiccati",101
"male; Female",101
"f",100
"shell",100
"14u",99
