"data.dwc:basisOfRecord","reps"
"preservedspecimen",75905220
"fossilspecimen",4057172
"specimen",1747413
"preserved",1716070
"machineobservation",281042
"materialsample",116399
"humanobservation",33986
"fieldbook",27910
"drawingorphotograph",14980
"pinned",11709
"none",11513
"multimediaobject",8028
"fluid",7871
"book",6886
"field",6886
"livingspecimen",2814
"gênero",1698
"ind",1698
"tissue",1181
"skin",1179
"ctenus",1170
"neoxyphinus",777
"s",733
"ancylometes",720
"neohahnia",717
"rufus",656
"salticidae",548
"cynorta",547
"hypaeus",519
"theridiidae",516
"episinus",497
"micrathena",409
"dipoena",402
"mesabolivar",394
"gen",318
"scytodes",310
"paecilaema",308
"n",301
"diplura",277
"janula",268
"alpaida",265
"amphora",265
"salobrensis",264
"corinna",248
"scaphiella",241
"acanthoscurria",238
"fissiphallidae",237
"oonopidae",233
"prionostemma",230
"com",214
"gustavo",214
"ctenidae",211
"leprolochus",210
"manifestum",207
"mago",204
"scopocira",203
"otherspecimen",200
"cf",192
"oeiras",189
"occurrence",188
"thomisidae",186
"oxyopes",181
"eustala",174
"myrmecium",174
"neotrops",171
"leucauge",164
"avicularia",163
"tmarus",159
"otiothops",158
"mangora",157
"coxaepunctata",155
"architis",152
"aff",151
"cosmetidae",151
"nops",151
"manaosbiidae",150
"observation",150
"thaumasia",146
"sparassidae",144
"serratipes",142
"aureomaculatum",141
"penna",141
"tenuis",140
"2",139
"paratype",139
"capitato",130
"ero",128
"centroctenus",125
"thwaitesia",125
"metagonia",118
"stygnidius",113
"aurantiacus",112
"lyssomanes",112
"noegus",111
"barreirosi",110
"anyphaenidae",107
"taruma",102
"crulsi",99
"evansi",96
"metazygia",96
"fufius",95
"achaearanea",94
"elaver",93
"stygnus",93
"abapeba",92
"pholcidae",92
"gamasomorphinae",91
"actinopus",89
"corinnidae",89
"neoantistea",89
"thymoites",88
"araneidae",87
"heterophrynus",87
"hapalopus",85
"saramacia",84
"theraphosidae",84
"ernsti",83
"lucasae",83
"chaetacis",82
"orthobula",80
"phoneutria",80
"teminius",80
"carapoia",79
"dysderina",79
"blood",77
"furtivus",77
"photograph",77
"zalmoxidae",77
"gelanor",76
"nephila",76
"atlantica",75
"conspersa",75
"tetragnathidae",73
"holothele",72
"gamasomorpha",71
"goeldia",69
"orchestina",69
"xyccarph",69
"geaya",68
"insularis",68
"aureola",67
"schreibersi",67
"clavipes",66
"miagrammopes",66
"similis",66
"oonops",64
"cryptocellus",63
"amblypygi",62
"kalcerrytus",62
"lycosidae",62
"butantan",61
"epicratinus",61
"gagrellinae",60
"valvula",60
"xeropigo",60
"apopyllus",59
"hirtipes",58
"juruensis",58
"parawixia",58
"bracteata",57
"paratropis",57
"aphantochilus",56
"herbariumspecimen",56
"nothroctenus",56
"termitophilus",56
"curua",55
"pisauridae",54
"spinulosus",54
"cyclosa",53
"gryne",53
"amazonica",52
"uloboridae",52
"blondi",50
"loxosceles",50
"pseudanapis",50
"theraphosa",50
"styposis",49
"bolostromus",48
"cambridgei",48
"lobipictum",48
"thelyphonellus",48
"coleosoma",47
"euophryinae",47
"kirbyi",47
"reidyi",47
"patrera",46
"trachelas",46
"fowleri",45
"oxyopidae",45
"villasboasi",45
"chira",44
"hypognatha",44
"ischnothele",44
"ogulnius",44
"holmbergi",43
"itata",43
"kochi",43
"gradungulonoops",42
"tenedos",42
"titidius",42
"eutimesius",41
"rhomphaea",41
"simlops",41
"argiope",40
"camillina",40
"ducke",40
"araneus",39
"argentata",39
"sanguinea",39
"scytodidae",39
"trapezoidalis",39
"hoeferi",38
"lycosa",38
"rondoni",38
"simonis",38
"zimiromus",38
"chrysso",37
"cotinusa",36
"incertus",36
"ariamnes",35
"escaphiella",35
"rhoicinus",35
"stygnommatidae",35
"acacesia",34
"tenella",34
"falta",33
"mimetidae",33
"ocrepeira",33
"oon",33
"preencher",33
"psecas",33
"gutoi",32
"palpimanidae",32
"pseudodysderina",32
"theridion",32
"tullgrenella",32
"altamira",31
"azilia",31
"dimidiata",31
"dubius",31
"guianensis",31
"miles",31
"paitit",31
"surazomus",31
"tetragnatha",31
"agyneta",30
"insolens",30
"irmaos",30
"ocaina",30
"paracleocnemis",30
"protus",30
"trechalea",30
"argenteonotata",29
"eriophora",29
"globosus",29
"idiops",29
"kimulidae",29
"linyphiidae",29
"theraphosinae",29
"auricomus",28
"boibumba",28
"championi",28
"deinopis",28
"enoploctenus",28
"fernandezina",28
"physocyclus",28
"senoculus",28
"triangularispinosa",28
"acentroscelus",27
"fililineata",27
"simoni",27
"strophius",27
"theridiosomatidae",27
"cerocida",26
"chrysometa",26
"dossenus",26
"isoctenus",26
"opiliones",26
"pia",26
"piarco",26
"pseudosparianthis",26
"sidusa",26
"beni",25
"coryphasia",25
"trechaleidae",25
"creugas",24
"epicadus",24
"gephyroctenus",24
"image",24
"militaris",24
"salticus",24
"still",24
"calluga",23
"freya",23
"lanei",23
"myrmecotypus",23
"schaenicoscelis",23
"thiodina",23
"acutidens",22
"alcmena",22
"cylistella",22
"olios",22
"tingo",22
"aglaoctenus",21
"capidava",21
"carvalhoi",21
"discocyrtus",21
"eberhardi",21
"faiditus",21
"fuliginea",21
"lineatipes",21
"spinosa",21
"tipuloides",21
"anelosimus",20
"attenuatus",20
"benigna",20
"erythrophthalmus",20
"esra",20
"euoplus",20
"gnaphosidae",20
"hamataliwa",20
"heteropoda",20
"jamari",20
"onocolus",20
"protimesius",20
"soesilarishius",20
"biuncata",19
"misumeninae",19
"ocelliventer",19
"phoroncidia",19
"piyampisi",19
"roquettea",19
"singularis",19
"substituir",19
"tobias",19
"venatoria",19
"cinetomorpha",18
"cryptachaea",18
"donaldi",18
"juruti",18
"masteria",18
"neonella",18
"oonopinae",18
"reticulatus",18
"sicarius",18
"simonestus",18
"wagneriana",18
"auberti",17
"berlandiella",17
"castianeira",17
"cidades",17
"cupiennius",17
"delicata",17
"luteus",17
"nov",17
"odo",17
"otoniela",17
"selenops",17
"venatrix",17
"vittatus",17
"amazodysderina",16
"ephebopus",16
"laticeps",16
"megaphobema",16
"perelegans",16
"pydanieli",16
"spilasma",16
"stephanopis",16
"syntrechalea",16
"agalenocosa",15
"ariadna",15
"bimaculatus",15
"cribum",15
"duodecimguttata",15
"enna",15
"eutichurus",15
"gregalis",15
"helvibis",15
"human",15
"marginatus",15
"murinus",15
"syncranaus",15
"synotaxus",15
"teceae",15
"anapidae",14
"carinata",14
"garisus",14
"gr",14
"gracilis",14
"hieroglyphica",14
"kuyuwini",14
"lasaeola",14
"lisei",14
"misumenops",14
"otavaloa",14
"quinquenotatus",14
"ravida",14
"sassacus",14
"tapetifaciens",14
"teudis",14
"aratau",13
"cyriocosmus",13
"falconina",13
"fasciatus",13
"floridanum",13
"hortoni",13
"methesis",13
"mourai",13
"nigropictus",13
"opopaea",13
"petrogoblin",13
"porracea",13
"sadala",13
"synemosyna",13
"tupirinna",13
"urucu",13
"woytkowskii",13
"argyrodes",12
"auricula",12
"breda",12
"clubionidae",12
"duodecimpunctata",12
"eleonorae",12
"fera",12
"fusca",12
"onofre",12
"pavocosa",12
"pungens",12
"synema",12
"triangularis",12
"trinella",12
"truncata",12
"aschnaoonops",11
"cancriformis",11
"clypeata",11
"drymusa",11
"fluda",11
"gasteracantha",11
"gen.n",11
"ibotyporanga",11
"isigonia",11
"itapevi",11
"manogea",11
"maraca",11
"phiale",11
"phycosoma",11
"pronous",11
"rubescens",11
"taeniatus",11
"uloborus",11
"verrucosa",11
"amazonepeira",10
"annulipes",10
"cachimbo",10
"corythalia",10
"dipluridae",10
"hemorrhous",10
"histrio",10
"immundus",10
"ischnocolinae",10
"lagotis",10
"nerudia",10
"nycerella",10
"ochyroceratidae",10
"philoponella",10
"pusio",10
"rubrosignatus",10
"simla",10
"sparianthis",10
"stenostygnus",10
"trocaraincola",10
"ummidia",10
"zodariidae",10
"acuta",9
"amycinae",9
"amycus",9
"chao",9
"chinoscopus",9
"cybaeodamus",9
"dendryphantes",9
"eilica",9
"envia",9
"habronattus",9
"hortenciae",9
"laevis",9
"limbata",9
"litoporus",9
"maranhensis",9
"nebulosus",9
"neocteniza",9
"pachylinae",9
"plana",9
"siolii",9
"stephanopoides",9
"taurifrons",9
"thallumetus",9
"urucuca",9
"adansoni",8
"altum",8
"amblygyna",8
"bertrana",8
"bonaldoi",8
"deinopidae",8
"dolichognatha",8
"eximius",8
"ferina",8
"gonyleptidae",8
"hasarius",8
"hytanis",8
"naideae",8
"niger",8
"nubigena",8
"petrasierwaldae",8
"prolycosides",8
"quemedice",8
"radulphius",8
"romitia",8
"rosae",8
"rossi",8
"scutata",8
"symphytognathidae",8
"titanoecidae",8
"tremembe",8
"tridentiger",8
"vectius",8
"brignolia",7
"brokopondo",7
"cheiracanthium",7
"cornuta",7
"cubana",7
"elinguis",7
"excavata",7
"excentricus",7
"hahnia",7
"inclusum",7
"intus",7
"moleque",7
"nigritus",7
"paykulli",7
"pentagonois",7
"picta",7
"piracuruca",7
"plexippus",7
"presvervedspecimne",7
"puraquequara",7
"samoidae",7
"segestriidae",7
"selenopidae",7
"senoculidae",7
"separatus",7
"silvestrii",7
"soaresi",7
"stemmops",7
"trivittata",7
"tropicus",7
"unicolor",7
"valida",7
"velox",7
"wulfila",7
"actinosoma",6
"adisi",6
"allocosa",6
"anapis",6
"araneae",6
"attacobius",6
"beata",6
"cocholla",6
"cordiformis",6
"cotopitoka",6
"dimona",6
"echinatus",6
"flavicomis",6
"freyinae",6
"glenognatha",6
"hentziectypus",6
"hubardiidae",6
"iara",6
"illustration",6
"juarezi",6
"longipalpis",6
"maculisternis",6
"manauara",6
"oonopoides",6
"parachemmis",6
"pentacanthum",6
"pselligmus",6
"rafaeli",6
"sexspinosa",6
"sickesia",6
"speocera",6
"spinipes",6
"acrosomoides",5
"albovittatus",5
"castaneus",5
"cithaeron",5
"crucifera",5
"erica",5
"fissiphalius",5
"gladicosa",5
"gulosa",5
"hibana",5
"igarape",5
"ikuruwa",5
"lygromma",5
"maeota",5
