"typestatus","reps"
"voucher of <a href=""http://arctos.database.museum/name/microtus longicaudus"">microtus longicaudus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",525
"paratype of gonatodes atricucullaris",522
"measured",504
"referral of <a href=""http://arctos.database.museum/name/scathophaga"">scathophaga sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",495
"taxon ined.",489
"voucher of <a href=""http://arctos.database.museum/name/agonum cupreum"">agonum cupreum</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/agonum cupreum"">agonum cupreum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",486
"isoparatype",484
"other material",483
"topotype of sphaerodactylus townsendi",473
"y",464
"voucher of <a href=""http://arctos.database.museum/name/pterostichus adstrictus"">pterostichus adstrictus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",458
"voucher of <a href=""http://arctos.database.museum/name/lynx canadensis"">lynx canadensis</a>, page 239 in <a href=""http://arctos.database.museum/publication/1000074"">yom-tov et al. 2007</a>",450
"holotype; holotype",448
"holotype + paratype",446
"voucher of <a href=""http://arctos.database.museum/name/chironomidae"">chironomidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/chironomidae"">chironomidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",438
"paratype; paratype",435
"syntypes",428
"probable syntype",427
"voucher of <a href=""http://arctos.database.museum/name/agonum cupreum"">agonum cupreum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",421
"voucher of <a href=""http://arctos.database.museum/name/synaptomys borealis"">synaptomys borealis</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",418
"voucher of <a href=""http://arctos.database.museum/name/nebria metallica"">nebria metallica</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",411
"type; type",409
"voucher of <a href=""http://arctos.database.museum/name/dytiscidae"">dytiscidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",409
"paratopotype",398
"plastoparatype",388
"voucher of <a href=""http://arctos.database.museum/name/sorex tundrensis"">sorex tundrensis</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",383
