"typestatus","reps"
"isosyntype; isolectotype",42
"paratype andrena crataegi robertson",42
"paratype metapedias silvai ross",42
"paratype of eleutherodactylus urichi euphronides",42
"paratype of odorrana hmongorum",42
"paratype of paroedura tanjaka",42
"paratype polytrichia anisca ross",42
"paratype polytrichia logana ross",42
"referral of <a href=""http://arctos.database.museum/name/delia"">delia sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",42
"topotype of loveridgea ionidesii",42
"topotype of zygodontomys seorsus",42
"voucher of <a href=""http://arctos.database.museum/name/epinotia solandriana"">epinotia solandriana</a> in <a href=""http://arctos.database.museum/publication/10005893"">ferris et al. 2012</a>",42
"voucher of <a href=""http://arctos.database.museum/name/orsodacne atra"">orsodacne atra</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",42
"voucher of <a href=""http://arctos.database.museum/name/peromyscus pectoralis"">peromyscus pectoralis</a>, page 288 in <a href=""http://arctos.database.museum/publication/1000045"">geluso 2004</a>",42
"voucher of manducus maderensis",42
"hypotype of bryograptus sp.",41
"hypotype of pentremites rusticus",41
"paratopotype of <a href=""http://arctos.database.museum/name/chiropterotriton rabbi"">chiropterotriton rabbi</a>, page 2 in <a href=""http://arctos.database.museum/publication/10000348"">wake 1975</a>",41
"paratopotype of paragehyra gabriellae",41
"paratype of agama mossambica montana",41
"paratype of leiocephalus personatus lunatus",41
"paratype of leiocephalus schreibersi nesomorus",41
"paratype of mustela cicognanii mortigera",41
"paratype of tabanus pseudoculus",41
"paratype of thamnophis ruthveni",41
"paratype perlesta shawnee grubbs &amp; stark",41
"referral of <a href=""http://arctos.database.museum/name/draeculacephala angulifera"">draeculacephala angulifera</a> in <a href=""http://arctos.database.museum/publication/10006207"">collet 2008.</a>",41
"voucher of <a href=""http://arctos.database.museum/name/gnathacmaeops pratensis"">gnathacmaeops pratensis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",41
"voucher of <a href=""http://arctos.database.museum/name/microtus californicus sanctidiegi"">microtus californicus sanctidiegi</a>, page 765 in <a href=""http://arctos.database.museum/publication/10004339"">conroy and neuwald 2008</a>; voucher of <a href=""http://arctos.database.museum/name/microtus californicus sanctidiegi"">microtus californicus sanctidiegi</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">conroy and gupta 2011</a>",41
"voucher of <a href=""http://arctos.database.museum/name/micrurapteryx salicifoliella"">micrurapteryx salicifoliella</a> in <a href=""http://arctos.database.museum/publication/10005893"">ferris et al. 2012</a>",41
"voucher of <a href=""http://arctos.database.museum/name/nicrophorus vespilloides"">nicrophorus vespilloides</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",41
"clonotype",40
"hypotype of uintacrinus socialis",40
"paratype chimarrha feria ross",40
"paratype hydroptila angusta ross",40
"paratype of ameiva undulata gaigeae",40
"paratype of colostethus mittermeieri",40
"paratype of eleutherodactylus cundalli cundalli",40
"paratype pheidole bigote",40
"referral of <a href=""http://arctos.database.museum/name/boloria grandis"">boloria grandis</a> in <a href=""http://arctos.database.museum/publication/10007289"">philip & ferris 2015</a>",40
"referral of <a href=""http://arctos.database.museum/name/nymphalis antiopa"">nymphalis antiopa</a> in <a href=""http://arctos.database.museum/publication/10007289"">philip & ferris 2015</a>",40
"syntype, basionym: taraxacum nordstedtii dahlst.",40
"verificar",40
"voucher of <a href=""http://arctos.database.museum/name/bombus bohemicus"">bombus bohemicus</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",40
"voucher of <a href=""http://arctos.database.museum/name/bombus melanopygus"">bombus melanopygus</a> in <a href=""http://arctos.database.museum/publication/10007148"">pampell et al. 2015</a>; voucher of <a href=""http://arctos.database.museum/name/bombus melanopygus"">bombus melanopygus</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",40
"voucher of <a href=""http://arctos.database.museum/name/bombus mixtus"">bombus mixtus</a> in <a href=""http://arctos.database.museum/publication/10007148"">pampell et al. 2015</a>; voucher of <a href=""http://arctos.database.museum/name/bombus mixtus"">bombus mixtus</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",40
"voucher of <a href=""http://arctos.database.museum/name/ips perturbatus"">ips perturbatus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",40
"voucher of <a href=""http://arctos.database.museum/name/neochthebius vandykei"">neochthebius vandykei</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",40
"voucher of <a href=""http://arctos.database.museum/name/opisthius richardsoni"">opisthius richardsoni</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",40
"voucher of <a href=""http://arctos.database.museum/name/vulpes lagopus"">vulpes lagopus</a> in <a href=""http://arctos.database.museum/publication/10004757"">carmichael et al. 2007</a>",40
"""type"" [holotype]",39
"hypotype of cryptolithus lorettensis",39
"neotipo",39
"paratype ascogaster impatientis shawdet. s. r. shaw 1982",39
"paratype of euspondylus josyi",39
"paratype of terataner nemesis",39
"syntype of ithomia hamlini",39
"voucher of <a href=""http://arctos.database.museum/name/alticola semicanus"">alticola semicanus</a>, page 18 in <a href=""http://arctos.database.museum/publication/1000190"">tinnin et al. 2002</a>",39
"voucher of <a href=""http://arctos.database.museum/name/histriophoca fasciata"">histriophoca fasciata</a>, page 366 in <a href=""http://arctos.database.museum/publication/104"">burns and fay 1970</a>",39
"voucher of <a href=""http://arctos.database.museum/name/hydraenidae"">hydraenidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",39
"voucher of <a href=""http://arctos.database.museum/name/hymenoptera"">hymenoptera</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",39
"voucher of <a href=""http://arctos.database.museum/name/micropteropus pusillus"">micropteropus pusillus</a> in <a href=""http://arctos.database.museum/publication/10007066"">van cakenberghe et al 1999.</a>",39
"voucher of <a href=""http://arctos.database.museum/name/myodes rutilus"">myodes rutilus</a>, page 1 in <a href=""http://arctos.database.museum/publication/10006558"">hope et. al.</a>",39
"voucher of <a href=""http://arctos.database.museum/name/schistosomatidae"">schistosomatidae</a> in <a href=""http://arctos.database.museum/publication/10007176"">flores et al. 2015</a>",39
"""type collection"" [prob isotype]",38
"isolectotype; isolectotype",38
"paralectotype of leptodactylus validus",38
"paratopotype of bufo valliceps wilsoni",38
"paratype neodiprion     taedaetaedae ross",38
"paratype of eleutherodactylus greyi",38
"paratype of esenbeckia illota osornoi",38
"paratype of liguus crenatus barbouri",38
"paratype of sorex personatus miscix",38
"paratype pheidole eowilsoni",38
"paratypes (paratopotypes)",38
"referral of <a href=""http://arctos.database.museum/name/phaonia"">phaonia sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",38
"topotype and holotype",38
"topotype of chamaeleo fischeri fischeri",38
"voucher of <a href=""http://arctos.database.museum/name/bembidion planatum"">bembidion planatum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",38
"voucher of <a href=""http://arctos.database.museum/name/cephaloon bicolor"">cephaloon bicolor</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",38
"voucher of <a href=""http://arctos.database.museum/name/clepsis persicana"">clepsis persicana</a> in <a href=""http://arctos.database.museum/publication/10005893"">ferris et al. 2012</a>",38
"voucher of <a href=""http://arctos.database.museum/name/dipodomys merriami"">dipodomys merriami</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">hope and parmenter 2007</a>",38
"voucher of <a href=""http://arctos.database.museum/name/necromys lasiurus"">necromys lasiurus</a>, page 14 in <a href=""http://arctos.database.museum/publication/10007127"">rosa et al., 2005 hantaviruses in northern brazil</a>",38
"voucher of <a href=""http://arctos.database.museum/name/sorex"">sorex</a>, page 682 in <a href=""http://arctos.database.museum/publication/10006471"">hope et al. 2012</a>",38
"""cotype"" [prob isotype]",37
"isotopotype",37
"n. sp.",37
"paratopotype of <a href=""http://arctos.database.museum/name/thorius grandis"">thorius grandis</a>, page 923 in <a href=""http://arctos.database.museum/publication/10000006"">hanken et al. 1999</a>",37
"paratype 2016",37
"paratype andrenaillinibouseman& laberge",37
"paratype isoperla patricia frison",37
"paratype of anolis hendersoni ravidormitans",37
"paratype of anolis homolechis jubar",37
"paratype of emoia maculata",37
"paratype of eurema dina helios",37
"paratype of hyperolius pusillus",37
"paratype of nesomyrmex capricornis",37
"paratype of sphaerodactylus townsendi",37
"paratype sphegigaster salicinus h., l.",37
"precambrian",37
"referral of <a href=""http://arctos.database.museum/name/dorytomus leucophyllus"">dorytomus leucophyllus</a> in <a href=""http://arctos.database.museum/publication/10006207"">collet 2008.</a>; voucher of <a href=""http://arctos.database.museum/name/dorytomus leucophyllus"">dorytomus leucophyllus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",37
"referral of <a href=""http://arctos.database.museum/name/vespula alascensis"">vespula alascensis</a> in <a href=""http://arctos.database.museum/publication/10006207"">collet 2008.</a>",37
"voucher of <a href=""http://arctos.database.museum/name/canis lupus"">canis lupus</a>, page 919 in <a href=""http://arctos.database.museum/publication/193"">weckworth et al. 2005</a>; voucher of <a href=""http://arctos.database.museum/name/canis lupus"">canis lupus</a>, page 365 in <a href=""http://arctos.database.museum/publication/10004834"">weckworth et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/canis lupus"">canis lupus</a>, page 7 in <a href=""http://arctos.database.museum/publication/10005395"">weckworth et al. 2011</a>",37
"voucher of <a href=""http://arctos.database.museum/name/deinopteroloma subcostatum"">deinopteroloma subcostatum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",37
"voucher of <a href=""http://arctos.database.museum/name/dipodomys ordii"">dipodomys ordii</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">hope and parmenter 2007</a>",37
"voucher of <a href=""http://arctos.database.museum/name/microtus montanus"">microtus montanus</a>, page 222 in <a href=""http://arctos.database.museum/publication/10004784"">frey 2009</a>",37
"voucher of <a href=""http://arctos.database.museum/name/syneta carinata"">syneta carinata</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",37
"voucher of <a href=""http://arctos.database.museum/name/zapus hudsonius"">zapus hudsonius</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">malaney and cook 2013</a>",37
"genotype",36
"lectotype collection",36
"paratype allocapnia aurora ricker",36
"paratype hydropsyche aerata ross",36
"paratype of <a href=""http://arctos.database.museum/name/thorius omiltemi"">thorius omiltemi</a>, page 918 in <a href=""http://arctos.database.museum/publication/10000006"">hanken et al. 1999</a>",36
"paratype of celestus costatus oreistes",36
"paratype of eleutherodactylus cundalli glaucoreius",36
"paratype of liguus fasciatus viridis",36
"paratype of pheidole nebulosa",36
"paratype of tetramorium leto",36
"paratype rhyacophila manistee ross",36
"referral of <a href=""http://arctos.database.museum/name/papilio canadensis"">papilio canadensis</a> in <a href=""http://arctos.database.museum/publication/10007289"">philip & ferris 2015</a>",36
"referral of <a href=""http://arctos.database.museum/name/rhamphomyia"">rhamphomyia sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",36
"referral of <a href=""http://arctos.database.museum/name/udea"">udea sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10006207"">collet 2008.</a>",36
"syntype of myrmica wheeleri",36
"voucher of <a href=""http://arctos.database.museum/name/amara patruelis"">amara patruelis</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/amara patruelis"">amara patruelis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",36
"voucher of <a href=""http://arctos.database.museum/name/batrachoseps bramei"">batrachoseps bramei</a>, page 8 in <a href=""http://arctos.database.museum/publication/10006325"">jockusch et al., 2012</a>",36
"voucher of <a href=""http://arctos.database.museum/name/crotalus enyo"">crotalus enyo</a>, page 555 in <a href=""http://arctos.database.museum/publication/10004325"">taylor 2001</a>",36
"voucher of <a href=""http://arctos.database.museum/name/dendroctonus rufipennis"">dendroctonus rufipennis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",36
"voucher of <a href=""http://arctos.database.museum/name/geophis rhodogaster"">geophis rhodogaster</a>, page 644 in <a href=""http://arctos.database.museum/publication/10007251"">goldberg 2015</a>",36
"voucher of <a href=""http://arctos.database.museum/name/microtus californicus aestuarinus"">microtus californicus aestuarinus</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">conroy and gupta 2011</a>",36
"voucher of <a href=""http://arctos.database.museum/name/microtus californicus eximius"">microtus californicus eximius</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">conroy and gupta 2011</a>",36
"voucher of <a href=""http://arctos.database.museum/name/microtus longicaudus"">microtus longicaudus</a>, page 175 in <a href=""http://arctos.database.museum/publication/6"">conroy and cook 2000</a>; voucher of <a href=""http://arctos.database.museum/name/microtus longicaudus"">microtus longicaudus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",36
"voucher of <a href=""http://arctos.database.museum/name/myodes rutilus"">myodes rutilus</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">runck et al. 2009</a>; voucher of <a href=""http://arctos.database.museum/name/myodes rutilus"">myodes rutilus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",36
"voucher of <a href=""http://arctos.database.museum/name/spermophilus parryii"">spermophilus parryii</a>, page 1412 in <a href=""http://arctos.database.museum/publication/10004951"">cook et al. 2010</a>",36
"fluid specimen, tissue",35
"not part of type series",35
"paratype of ansonia longidigita longidigitata",35
"paratype of odorrana banaorum",35
"paratype of pheidole juniperae",35
"paratype of sphaerodactylus nicholsi",35
"paratype plectrocnemia clinei milne",35
"syntype of arnioceras obtusiforme",35
"syntype of chrysemys picta marginata",35
"syntype, basionym: catabrosa concinna subsp. algidiformis harry sm.",35
"uncertain",35
"voucher of <a href=""http://arctos.database.museum/name/dixidae"">dixidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/dixidae"">dixidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",35
"voucher of <a href=""http://arctos.database.museum/name/empidonax difficilis"">empidonax difficilis</a>, page 370 in <a href=""http://arctos.database.museum/publication/10006359"">moore 1940</a>",35
"voucher of <a href=""http://arctos.database.museum/name/formica"">formica fusca group spp.</a> fusca group spp., page 985 in <a href=""http://arctos.database.museum/publication/10007131"">mortensen et al. 2011</a>",35
"voucher of <a href=""http://arctos.database.museum/name/nemocestes horni"">nemocestes horni</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",35
"voucher of <a href=""http://arctos.database.museum/name/oligoryzomys longicaudatus"">oligoryzomys longicaudatus</a>, page 388 in <a href=""http://arctos.database.museum/publication/10006486"">boric-bargetto et al. 2012</a>",35
"voucher of <a href=""http://arctos.database.museum/name/pachyta lamed"">pachyta lamed</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",35
"voucher of <a href=""http://arctos.database.museum/name/thanatophilus sagax"">thanatophilus sagax</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",35
"isoépitype",34
"paratype acroneuria filicis frison",34
"paratype capnia promota frison",34
"paratype dolerus      illini   h. h. ross",34
"paratype neotrichia kitae ross",34
"paratype of <a href=""http://arctos.database.museum/name/caurinus tlagu"">caurinus tlagu</a> in <a href=""http://arctos.database.museum/publication/10006707"">sikes and stockbridge 2013</a>",34
"paratype of anolis hendersoni dolichocephalus",34
"paratype of arthroleptis stenodactylus whytii",34
"paratype of litoria spinifera",34
"paratype of pheidole laselva",34
"paratype prosopis sayi rbtsn.",34
"paratype rhyacophila fenestra ross",34
"referral of <a href=""http://arctos.database.museum/name/dolichopodidae"">dolichopodidae</a> in <a href=""http://arctos.database.museum/publication/10007122"">sikes et al. 2014.</a>",34
"referral of <a href=""http://arctos.database.museum/name/pieris"">pieris marginalis complex</a> marginalis complex in <a href=""http://arctos.database.museum/publication/10007289"">philip & ferris 2015</a>",34
"syntype of ameiva aquilina",34
"voucher of <a href=""http://arctos.database.museum/name/amara quenseli"">amara quenseli</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",34
"voucher of <a href=""http://arctos.database.museum/name/artibeus hirsutus"">artibeus hirsutus</a>, page 331 in <a href=""http://arctos.database.museum/publication/10005039"">findley and jones 1965</a>",34
"voucher of <a href=""http://arctos.database.museum/name/cicadellidae"">cicadellidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/cicadellidae"">cicadellidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",34
"voucher of <a href=""http://arctos.database.museum/name/creophilus maxillosus"">creophilus maxillosus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",34
"voucher of <a href=""http://arctos.database.museum/name/lyrosoma opacum"">lyrosoma opacum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006540"">sikes & slowik 2010</a>; voucher of <a href=""http://arctos.database.museum/name/lyrosoma opacum"">lyrosoma opacum</a>, page 28 in <a href=""http://arctos.database.museum/publication/10006684"">yoo et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/lyrosoma opacum"">lyrosoma opacum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",34
"voucher of <a href=""http://arctos.database.museum/name/odobenus rosmarus"">odobenus rosmarus</a>, page 12 in <a href=""http://arctos.database.museum/publication/10006851"">seymour et al. 2014</a>",34
"voucher of <a href=""http://arctos.database.museum/name/perognathus flavus"">perognathus flavus</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">hope and parmenter 2007</a>",34
"voucher of <a href=""http://arctos.database.museum/name/sonoma parviceps"">sonoma parviceps</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",34
"voucher of <a href=""http://arctos.database.museum/name/spermophilus undulatus"">spermophilus undulatus</a>, page 16 in <a href=""http://arctos.database.museum/publication/1000190"">tinnin et al. 2002</a>",34
"voucher of <a href=""http://arctos.database.museum/name/tachinus frigidus"">tachinus frigidus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",34
"voucher of <a href=""http://arctos.database.museum/name/vulpes lagopus"">vulpes lagopus</a> in <a href=""http://arctos.database.museum/publication/10007269"">goldsmith et al. 2015</a>",34
"basis of illustration of <a href=""http://arctos.database.museum/name/troodon formosus"">troodon formosus</a>, page 677 in <a href=""http://arctos.database.museum/publication/10006882"">fiorillo and gangloff 2001</a>",33
"hypotype of paradoxides harlani",33
"microslide from isotype",33
"original specimen",33
"paratopotype of uta stansburiana nevadensis",33
"paratype coelioxys sayi robertson",33
"paratype hydropsyche rossi flint et al.",33
"paratype leptocella diarina ross",33
"paratype neodiprion      taedaelinearis ross",33
"paratype of <a href=""http://arctos.database.museum/name/thorius spilogaster"">thorius spilogaster</a>, page 314 in <a href=""http://arctos.database.museum/publication/10000004"">wake 1998</a>",33
"paratype of ameiva corax, censky and paulson, 1992, ann. carn. mus. 61(3):187",33
"paratype of eleutherodactylus pantoni amiantus, schwartz and fowler, 1973, stud. fauna curacao, carib. islands, 43:109",33
"paratype of gynodactylus annulatus, taylor, 1915, philippine jour. sci., (d) 13:237",33
"paratype of leiocephalus psammodromus mounax",33
"paratype of liolaemus capillitas, hulse, 1979, ann. carnegie mus., 48:204",33
"paratype of paroedura karstophila",33
"paratype of pheidole ectatommoides",33
"paratype of philiris sappheira manskiei",33
"paratype pheidole carinote",33
"possible type fragment",33
"referral of <a href=""http://arctos.database.museum/name/apocrita"">apocrita</a> in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",33
"voucher of <a href=""http://arctos.database.museum/name/asaphidion yukonense"">asaphidion yukonense</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/asaphidion yukonense"">asaphidion yukonense</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",33
"voucher of <a href=""http://arctos.database.museum/name/hypnoidus rivularius"">hypnoidus rivularius</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",33
"voucher of <a href=""http://arctos.database.museum/name/idolus debilis"">idolus debilis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",33
"voucher of <a href=""http://arctos.database.museum/name/microtus oeconomus macfarlani"">microtus oeconomus macfarlani</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",33
"voucher of <a href=""http://arctos.database.museum/name/pelecomalium testaceum"">pelecomalium testaceum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",33
"voucher of <a href=""http://arctos.database.museum/name/siphlonuridae"">siphlonuridae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",33
"epitipo",32
"isotype? of forma",32
"metatype oecetis ochracea carri milne",32
"paratopotype of <a href=""http://arctos.database.museum/name/uta ornata chiricahuae"">uta ornata chiricahuae</a>, page 165 in <a href=""http://arctos.database.museum/publication/10000046"">mittleman 1941</a>",32
"paratype glyphopsyche missouri ross",32
"paratype odynerus histrionalis robertson",32
"paratype oecetis ditissa ross",32
"paratype oecetis nocturna ross",32
"paratype of anolis distichus aurifer",32
"paratype of basiliscus barbouri",32
"paratype of eleutherodactylus cundalli glaucoreius, schwartz and fowler, 1973, stud. fauna caracao carib. islands, 43:73",32
"paratype of eleutherodactylus librarius",32
"paratype of rana everetti albotuberculata",32
"paratype ostrocerca dimicki (frison)",32
"plasto-paratype",32
"syntype of anolis lividus",32
"voucher of <a href=""http://arctos.database.museum/name/antrozous pallidus"">antrozous pallidus</a>, page 1244 in <a href=""http://arctos.database.museum/publication/10004384"">weyandt and van den bussche 2007</a>",32
"voucher of <a href=""http://arctos.database.museum/name/carabus chamissonis"">carabus chamissonis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/carabus chamissonis"">carabus chamissonis</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>",32
"voucher of <a href=""http://arctos.database.museum/name/platynus decentis"">platynus decentis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",32
"voucher of <a href=""http://arctos.database.museum/name/sonoma margemina"">sonoma margemina</a> in <a href=""http://arctos.database.museum/publication/10007301"">ferro 2016</a>",32
"voucher of semaprochilodus insignis",32
"neoparatype",31
"paratopotype of sceloporus variabilis smithi",31
"paratype calliopsis rudbeckiae, robertson",31
"paratype dolerus abtrusus, goulet cnc no. 18006",31
"paratype neotrichia okopa ross",31
"paratype notes",31
"paratype of draco caerulhians",31
"paratype of lycaeides melissa samuelis",31
"paratype of pheidole otisi",31
"paratype of pheidole specularis",31
"paratype of platymantis parkeri parkeri",31
"paratype pheidole leoncortesi",31
"referral of <a href=""http://arctos.database.museum/name/phyciodes pratensis"">phyciodes pratensis</a> in <a href=""http://arctos.database.museum/publication/10007289"">philip & ferris 2015</a>",31
"referral of <a href=""http://arctos.database.museum/name/syrphus"">syrphus sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10007122"">sikes et al. 2014.</a>",31
"rejected?",31
"study material",31
"syntype of cistudo virginea",31
"topotype of leucolepis modulator interpositus todd",31
"voucher of <a href=""http://arctos.database.museum/name/bolitoglossa zacapensis"">bolitoglossa zacapensis</a>, page 519 in <a href=""http://arctos.database.museum/publication/10006339"">rovito et al. 2010</a>",31
"voucher of <a href=""http://arctos.database.museum/name/bombus insularis"">bombus insularis</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",31
"voucher of <a href=""http://arctos.database.museum/name/cabera exanthemata"">cabera exanthemata</a> in <a href=""http://arctos.database.museum/publication/10005893"">ferris et al. 2012</a>",31
"voucher of <a href=""http://arctos.database.museum/name/entomoscelis americana"">entomoscelis americana</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",31
"voucher of <a href=""http://arctos.database.museum/name/microtus oregoni oregoni"">microtus oregoni oregoni</a>, page 1393 in <a href=""http://arctos.database.museum/publication/10006607"">mcguire 2011</a>",31
"voucher of <a href=""http://arctos.database.museum/name/ochotona princeps muiri"">ochotona princeps muiri</a>, page 105 in <a href=""http://arctos.database.museum/publication/10006302"">matsunami et al. 2008.</a>",31
"voucher of <a href=""http://arctos.database.museum/name/phoca vitulina""><i>phoca vitulina</i> linnaeus, 1758</a>, page 15 in <a href=""http://arctos.database.museum/publication/107"">burns et al. 1984</a>",31
"voucher of <a href=""http://arctos.database.museum/name/puma concolor"">puma concolor</a>, page 990 in <a href=""http://arctos.database.museum/publication/10006496"">holbrook et al. 2012</a>",31
"""cotype"" [prob paratype]",30
"additional material of oonops balanus",30
"alotipo",30
"holotype + paratypes",30
"hypotype of onnia ornatus",30
"ms",30
"paratype of <a href=""http://arctos.database.museum/name/ctenomys andersoni"">ctenomys andersoni</a>, page 21 in <a href=""http://arctos.database.museum/publication/10007028"">ctenomys from bolivia</a>",30
"paratype of acestrorhynchus altus",30
"paratype of anolis allisoni",30
"paratype of bufo cubensis",30
"paratype of mabuya tavaratra",30
"paratype of mangora amchickeringi",30
"photo of isotype",30
"pl-hypotype",30
"plastolectotype",30
"possible type; possible type",30
"referral of <a href=""http://arctos.database.museum/name/phoridae"">phoridae</a> in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",30
"referral of <a href=""http://arctos.database.museum/name/sphaeroceridae"">sphaeroceridae</a> in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",30
"voucher of <a href=""http://arctos.database.museum/name/bolitoglossa helmrichi"">bolitoglossa helmrichi</a>, page 525 in <a href=""http://arctos.database.museum/publication/10006339"">rovito et al. 2010</a>",30
"voucher of <a href=""http://arctos.database.museum/name/dicerca tenebrica"">dicerca tenebrica</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",30
"voucher of <a href=""http://arctos.database.museum/name/eurois astricta"">eurois astricta</a> in <a href=""http://arctos.database.museum/publication/10005893"">ferris et al. 2012</a>",30
"voucher of <a href=""http://arctos.database.museum/name/lepus arcticus"">lepus arcticus</a>, page 3013 in <a href=""http://arctos.database.museum/publication/196"">waltari and cook 2005</a>",30
"voucher of <a href=""http://arctos.database.museum/name/lioon simplicipes"">lioon simplicipes</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",30
"voucher of <a href=""http://arctos.database.museum/name/marmota broweri"">marmota broweri</a>, page 868 in <a href=""http://arctos.database.museum/publication/10004600"">gunderson et al. 2009</a>",30
"voucher of <a href=""http://arctos.database.museum/name/microtus californicus sanctidiegi"">microtus californicus sanctidiegi</a>, page 765 in <a href=""http://arctos.database.museum/publication/10004339"">conroy and neuwald 2008</a>",30
