"identificationVerificationStatus","reps"
,73328134
"confirmed",16
"erroneous citation",40
"expert",270802
"field",231652
"Genus and species in question",1
"Genus in question",1
"geographic distribution",15724
"ID of kin",2292
"ID to species group",193
"legacy",1548433
"molecular data",6015
"Original identification ""Ammodra",15
"Original identification ""Ammospi",2
"photograph",44
"published referral",102
"R. A. Edgren",1
"species in question",1
"Species in question; Possibly C.",2
"Species in question; Possibly S.",1
"student",72549
"Subspecies in question",3
"Subspecies in question: could be",1
"Subspecies in question: either s",2
"Subspecies in question; Original",3
"taxonomic revision",93974
"type specimen",1846
"x L. g. glaucescens",1
