"data.dwc:identificationVerificationStatus","reps"
"legacy",1571199
"expert",283248
"field",193387
"student",163973
"revision",94720
"taxonomic",94720
"distribution",15724
"geographic",15724
"data",6015
"molecular",6015
"id",2589
"kin",2396
"of",2396
"specimen",1772
"type",1772
"species",198
"group",193
"to",193
"published",102
"referral",102
"photograph",44
"citation",40
"erroneous",40
"original",19
"confirmed",16
"identification",16
"ammodra",15
"in",15
"question",15
"subspecies",9
"possibly",3
"s",3
"c",2
"either",2
"genus",2
"a",1
"ammospi",1
"and",1
"be",1
"could",1
"edgren",1
"g",1
"glaucescens",1
"l",1
"r",1
"x",1
