"1629",1
"1634",13
"1636",1
"1648",1
"1652",5
"1654",1
"1661",1
"1664",1
"1668",2
"1672",1
"1673",1
"1675",1
"1676",2
"1684",4
"1687",1
"1696",18
"1697",1
"1698",2
"1699",10
"1703",1
"1710",1
"1712",1
"1717",1
"1719",3
"1722",1
"1727",2
"1754",28
"1755",2
"1760",5
"1763",1
"1765",2
"1767",1
"1768",8
"1769",827
"1770",3366
"1771",4
"1773",4
"1774",1
"1775",1
"1776",4
"1777",9
"1778",4
"1779",2
"1780",2
"1781",1
"1782",2
"1783",3
"1784",11
"1785",2
"1787",1
"1788",614
"1789",5
"1790",7
"1791",30
"1792",68
"1793",34
"1794",9
"1795",21
"1796",6
"1797",10
"1798",22
"1799",136
"1800",420
"1801",1173
"1802",3613
"1803",1032
"1804",694
"1805",175
"1806",64
"1807",95
"1808",71
"1809",80
"1810",327
"1811",23
"1812",27
"1813",20
"1814",21
"1815",135
"1816",115
"1817",587
"1818",467
"1819",386
"1820",450
"1821",194
"1822",474
"1823",1447
"1824",295
"1825",364
"1826",302
"1827",513
"1828",463
"1829",571
"1830",223
"1831",198
"1832",288
"1833",298
"1834",247
"1835",586
"1836",924
"1837",1193
"1838",1847
"1839",3410
"1840",2866
"1841",1361
"1842",1753
"1843",3525
"1844",2136
"1845",1677
"1846",1757
"1847",1458
"1848",2795
"1849",1288
"1850",1754
"1851",1471
"1852",2001
"1853",2891
"1854",3054
"1855",2966
"1856",2364
"1857",1609
"1858",849
"1859",782
"1860",2694
"1861",1811
"1862",1091
"1863",2983
"1864",2709
"1865",4030
"1866",2550
"1867",5418
"1868",2378
"1869",2903
"1870",3458
"1871",2300
"1872",2100
"1873",2031
"1874",4647
"1875",6066
"1876",3622
"1877",7797
"1878",5041
"1879",6525
"1880",8005
"1881",7417
"1882",10489
"1883",9380
"1884",11106
"1885",13443
"1886",14201
"1887",16278
"1888",11072
"1889",13895
"1890",12331
"1891",18827
"1892",13757
"1893",14397
"1894",14132
"1895",12371
"1896",14847
"1897",17565
"1898",24265
"1899",25385
"1900",29542
"1901",22359
"1902",18779
"1903",25247
"1904",18776
"1905",20683
"1906",21126
"1907",21985
"1908",22726
"1909",31638
"1910",30023
"1911",28767
"1912",32786
"1913",30175
"1914",24678
"1915",20043
"1916",22648
"1917",19147
"1918",23863
"1919",24244
"1920",27943
"1921",25255
"1922",24990
"1923",21080
"1924",23254
"1925",17335
"1926",21460
"1927",20174
"1928",27176
"1929",28709
"1930",35794
"1931",39559
"1932",31416
"1933",29565
"1934",31197
"1935",36186
"1936",33044
"1937",41895
"1938",47441
"1939",43635
"1940",26731
"1941",28850
"1942",19331
"1943",24380
"1944",24293
"1945",31618
"1946",40060
"1947",52135
"1948",76169
"1949",60152
"1950",59647
"1951",50134
"1952",66635
"1953",84027
"1954",85538
"1955",84965
"1956",80801
"1957",92176
"1958",106643
"1959",105428
"1960",123285
"1961",119495
"1962",159039
"1963",184838
"1964",186957
"1965",182801
"1966",206812
"1967",225410
"1968",248497
"1969",254460
"1970",266754
"1971",284813
"1972",307764
"1973",310089
"1974",304867
"1975",338128
"1976",357917
"1977",744744
"1978",807254
"1979",817844
"1980",851856
"1981",711043
"1982",558843
"1983",583474
"1984",680062
"1985",707251
"1986",848048
"1987",786682
"1988",928156
"1989",777536
"1990",838663
"1991",976716
"1992",1005321
"1993",1090132
"1994",973085
"1995",1043277
"1996",1097140
"1997",1188219
"1998",1464272
"1999",2931858
"2000",2720664
"2001",2784405
"2002",1893375
"2003",1765437
"2004",1858623
"2005",1712450
"2006",1608321
"2007",1728950
"2008",1847008
"2009",1798468
"2010",1770228
"2011",1987617
"2012",2188945
"2013",2399331
"2014",2784892
"2015",2835318
"2016",2706587
"2017",2902601
"2018",536501
