"Bird (Kimberley)",1
"Bird (Shoalwater Bay)",15
"Bird Island",8
"Bird Island South Africa",1
"Bird Island TAS",3
"Bird Island USA SC",1
"Bird Island, Venus Bay",1
"Bird Islands",2
"Birthday",1
"Black Island",2
"Black Islet",11
"Black Pyramid",3
"Black Pyramid Island",2
"Black Rocks",4
"Block Island",4
"Bloodwood",2
"Blue Hole",1
"Blue Holes Reef",13
"Blue Reef",2
"Blue holes Reef",1
"Blue holes reef",1
"Blue reef",1
"Bluebell",10
"Bluebell  (2nd islet to North)",1
"Bluebell  (4th islet to North)",1
"Bluebell (islet to South)",1
"Bluebell Island",72
"Bluff Point",1
"Bobog Island",4
"Bodgaya Island",25
"Bodgaya Island (Pulau Bodgaya)",24
"Bodgoya Island",4
"Bodie",1
"Bogiagia Island",10
"Bohaydulong  Island",90
"Bohol Island",15
"Boigu Island",1
"Bonaparte",33
"Bonin",5
"Bonin Island",1
"Booby",6
"Boodalan",3
"Boodie",28
"Boodie Island",18
"Boogies Island",31
"Booka Valley Rocks",130
"Boomerang",1
"Boomerang Island",1
"Boonelbah",1
"Boongaree",302
"Boongaree Island",75
"Bora Bora",1
"Bora Bora Island",1
"Borcher Island",1
"Borda",3
"Borda Island",11
"Borkum",1
"Borneo",119
"Borneo Island",3
"Boston Island",17
"Bougainville",666
"Bougainville Island",1
"Boughton Island",4
"Boullanger",45
"Boullanger Island",26
"Bournda Island",1
"Bowden Reef",4
"Bowen Island",50
"Boxer",9
"Brazen Island",1
"Brazendale Island",6
"Breaksea",26
"Breaksea Island",4
"Brecknock Island",61
"Bressay Island",4
"Bribie Island",10
"Bridled",14
"Bridled (2 islands North East)",1
"Brigadier",3
"Brigadier Island",96
"Brindle Island",1
"Bristow Island",33
"Britain",1
"Brooke",13
"Brooke Island",8
"Brothers Island",2
"Broughton",4
"Broughton Island",2
"Broulee",2
"Browse",3
"Browse Island",222
"Brunei Patch North",14
"Bruny",5
"Bruny Island",467
"Brush Island",1
"Buckle Head",45
"Buffon",15
"Buffon Island",9
"Buka  Island",2
"Bullanyin",1
"Buller",20
"Buller Island",1
"Bunaken Island",34
"Bundegi Reef",37
"Bundegi reef",5
"Burks Island",6
"Burnett  (1st islet to North)",2
"Burnett  (= Fin)",9
"Burnett & Mangrove Islands",18
"Burnett Island",45
"Burns Rock",8
"Burnside Island",59
"Burrup peninsula",6
"Burton",4
"Burton Island (nr)",6
"Buru",1
"Bush",1
"Bush Island",3
"Bushby",11
"Buttercup",2
"Buttercup Island",10
"Button",1
"Buyong Island",1
"Byam Martin",68
"Byam Martin Island",6
"Bynoe",25
"Bynoe (1st islet to West)",1
"Bynoe (2nd islet to West)",1
"Bynoe (3rd islet to West)",1
"Bynoe (islet to West)",1
"Bynoe Island",5
"Byron Island",1
"CAPSTAN",8
"CAREY",3
"CARLIA",5
"CASSINI ISLAND",1
"CENTRAL",9
"CERAM",187
"CHAMBERS",2
"CHRISTMAS",4
"COCKATOO",1
"CORONATION",5
"Caban Island",14
"Cabbage Tree",9
"Cabbage Tree Island",87
"Cabilao Island",1
"Cabra Island",2
"Cabulan Island",4
"Cadlao Island",4
"Caf Island",1
"Caffarelli",13
"Caffarelli Island",43
"Cagayan-Sulu Island",1
"Cagbule Reef",1
"Camp Island",6
"Campbell",2
"Campbell  (Abrolhos)",14
"Campbell  (Abrolhos) (is to S)",1
"Campbell  (Montebellos)",1
"Campbell Island",26
"Canal Rocks",3
"Candlemas Island",1
"Candlemas island",1
"Canning",7
"Cap Island",1
"Cape Barren Island",158
"Cape Hamelin  (islet)",2
"Cape Peron  (islet off)",3
"Cape Peron Flats",2
"Cape Romano",1
"Capstan",32
"Cargo Island",1
"Carlia",25
"Carnac",97
"Carnac Island",179
"Carnation (island to SW)",1
"Carola Cay",1
"Caroline Island",3
"Carrie Bow Cay",4
"Carronade",1
"Carronade Island",10
"Cartier",4
"Cartier Island",564
"Cascara Island",1
"Cassini",51
"Cassini Island",967
"Cassowary Island",12
"Castle Rock",6
"Castle Rock Reef",8
"Cat",5
"Cat Island",31
"Catanduanes Island",1
"Cathedral Rocks",23
"Cathedral Rocks  (Middle)",3
"Cato Island",2
"Cave",1
"Cebu",2
"Cebu Island",2
"Cenderawasih Bay",105
"Centre Island",476
"Ceram",1
"Ceram Island",40
"Cervantes",43
"Cervantes  (Middle)",16
"Cervantes  (North)",16
"Cervantes  (South)",15
"Cervantes Island",11
"Cervantes Islands",17
"Chambers Island",5
"Chambri Island",1
"Champagny",95
"Champagny Island",93
"Channel Island",7
"Chappell",10
"Chappell Island",7
"Charity Island",1
"Charity Reef",10
"Charley",20
"Charley Island",9
"Charlie",7
"Charlie  (islet 2 km Sth West)",2
"Charnley Island",1
"Charutu Island",1
"Chatham",27
"Chatham Island",14
"Chatham Island rise",1
"Cheyne",1
"Cheyne Island",1
"Chicken Reef",10
"Chilcott Island",18
"Chilcott Islet",2
"Chindonan Island",3
"Choiseul Island",1
"Christmas",534
"Christmas Island",5053
"Christmas Island (Pacific Ocean)",1
"Christmas Island?",1
"Churchill Reef",74
"Citadel I.",2
"Clara Island",10
"Clarion Island",1
"Clarke",2
"Clarke Island",337
"Clarke Island, Furneaux Group",13
"Cleghorn Island",21
"Clerke Reef",1432
"Cliff",1
"Cliff Head",11
"Cliff Island",1
"Clipperton Island",14
"Clune Rocks",1
"Cobbs Island",1
"Coche Island",1
"Cockatoo",11
"Cockatoo Island",182
"Cocos Island",4
"Cocos Islands",3
"Cocos/Keeling Island",1
"Cocos/Keeling Islands",1
"Coffin",28
"Coffin Island",3
"Cohen",8
"Cohen Island",66
"Colbert",67
"Colbert Island",30
"Collier Rocks",41
"Collier rocks",65
"Colombo Shoals",3
"Com Harbour",4
"Com Vailovaia",2
"Combe Island",2
"Comerong Island",47
"Commerson",1
"Condillac",2
"Condillac Island",150
"Conflict Group",1
"Connor Island",1
"Conzinc",19
"Conzinc Island",72
"Cook Island",2
"Cook Island Aquatic Reserve",1
"Coombe",1
"Coombe Island",1
"Corbett",8
"Coringa Islet",6
"Cormorant",2
"Corneille",47
"Corneille Island",95
"Coronation",299
"Coronation  (1st islet NE)",2
"Coronation  (2nd islet NE)",2
"Coronation  (= Burton)",9
"Coronation Island",115
"Corrie Island",1
"Cow Island",2
"Craggy",6
"Crake",10
"Crayfish Island",2
"Crayfish Rock",7
"Craypot Reef",7
"Credlin Reef",6
"Creery",3
"Cri Island",1
"Crocus",4
"Crocus  (islet to East)",2
"Crocus Island",3
"Crocus/hermite Island",1
"Croker Island",5
"Crost Island",1
"Crusoe",2
"Crusoe Island",1
"Culeenup",44
"Culeenup Island",4
"Culion Island",17
"Cull",7
"Cull Island",24
"Cunningham Island",7
"Curacao",1
"Curieuse Island",1
"Curtis",2
"Curtis Island",5
"Cuyo Island",6
"Cynthia Island",1
"DIRK HARTOG",10
"DOLPHIN",1
"DORRE",8
"D`Arcy Island",23
"Dahlia",2
"Dahlia  (islet to West)",1
"Dai-Koku",50
"Daisey Island",31
"Dakin",9
"Dakin Island",4
"Dalopo Island",11
"Dampier Island",340
"Dandelion",2
"Dangar Island",1
"Daphne Minor Island",1
"Daracoton",2
"Darcy",89
"Darnaby Island",2
"Darnely Island",1
"Darnley",1
"Darnley (Erub) Island",14
"Darnley isand",1
"Daru",11
"Daru Island",143
"Dassen Island",2
"Davies Reef",51
"Davis",14
"Daw",40
"Daw Island",1
"Dayang Island",8
"De Freycinet Island",3
"Deal Island",122
"Deal Island, Kent Group",6
"Deception",2
"Deer Island",4
"Degerando",3
"Delambre",4
"Delambre Island",356
"Deli",3
"Delpeldep Island",1
"Delta",5
"Delta Island",3
"Demasa Island",2
"Demta Island",4
"Dent Island",20
"Depeldep Island",1
"Depeldet Island",4
"Depuch",41
"Depuch (Warmalana) Island",16
"Depuch Island",6
"Descartes",45
"Descartes Island",9
"Diamond Islet",2
"Dibuluan Island",1
"Dick",1
"Dick`s Island",6
"Dicks",15
"Dicks Island",31
"Dicky Burton",1
"Dilumacad Island",9
"Dingville Island",4
"Direction",2
"Direction Island",330
"Dirk Hartog",362
"Dirk Hartog Island",457
"Disappearing Island",1
"Disappointment Island",12
"Diver",4
"Dixon",4
"Djonu",1
"Doc Can Island",9
"Doc can Island",4
"Dodd Rock",5
"Dokmai Island",1
"Dololarog Reef",2
"Dolphin",138
"Dolphin Island",688
"Don",14
"Don Island",4
