"HOTMAN ABROLHOS",1
"HOUTMAN ABROLHOS",25
"Haapai Group",1
"Hall Bank",5
"Halmahera",156
"Halmahera Islands",5
"Hawaii",8
"Hawaiian Archipelago",1
"Hawaiian Islands",2
"Heard Island and McDonald Islands",316
"Herald Cays",37
"Hermit Islands",2
"Heywood",1
"Heywood Shoals",1
"Hibernia Reef",2
"High Cliffy Islands",55
"Holmes Reefs",51
"Hope Islands",3
"Houtman Abrolhos",1743
"Houtman Abrolhos Easter Group",541
"Houtman Abrolhos Islands",651
"Houtman Abrolhos Pelsaert Group",597
"Houtman Abrolhos Wallabi Group",284
"Houtman Abrolhos, Easter Group",492
"Houtman Abrolhos, Pelsaert Group",595
"Houtman Abrolhos, Wallabi Group",861
"Houtman Abrolhos?",2
"Houtman-Abrolhos",37
"Hunter Group",2
"IRIAN JAYA",4
"Ilots de Bass",1
"Imperieuse Reef",98
"Indian Ocean",2
"Institut",127
"Institut Islands",398
"Investigator Group",7
"Irian Jaya",862
"Irian Jaya, Barat Province",5
"Isla del Cocos",14
"Isle St Marie",1
"Isles of Scilly",2
"Iwayama Bay",2
"Izu Islands",2
"Izu Seven Islands",2
"Izu-Shoto",3
"JAVA",136
"Japan",597
"Japanese Archipelago",13
"Java",5
"Java / Sumatra",5
"Johnston Islands",1
"Joseph Boneparte Gulf",3
"Jurien Bay",76
"KRAKATAU",8
"Kai",110
"Kai (or Kei) Islands",105
"Kai Islands",1
"Kaimana area",2
"Kalbarri",1
"Kalimantan",75
"Karen Cheney",6
"Karratha",4
"Kei Islands",12
"Kent Group",129
"Kent Group, Bass Strait",2
"Keppel Group",20
"Keppel Isles",13
"Kerguelen Islands",12
"Kermadec Islands",5
"Kg sawatelu",1
"Kimberley",927
"King George River",5
"King George Sound",32
"King Sound",2
"King sound",1
"Kingfisher Islands",28
"Kingsmill Group",4
"Kofiau Islands",9
"Komodo Islands",23
"Koombana Bay",1
"Kota Kinabalu",38
"Kota kinabalu",41
"Kulumburu",34
"Kuril Islands",1
"KwaZulu-Natal",1
"Laauis Point",1
"Lacepede",16
"Lacepede Archipelago",142
"Lacepede Islands",1349
"Lamu Archipelago",1
"Lancelin",9
"Lancelin - Dongara",428
"Langkawi Arcipelago,",9
"Laparan group",2
"Leeuwin-Naturaliste",1
"Leeward Islands",3
"Leeward islands",1
"Leisure Isle",1
"Lembeh Strait",4
"Lesser Sunda",5385
"Lesser Sunda Islands",23
"Lihou Reef",108
"Lindemann Island Group, Whitsunday Islands",1
"Line Islands",6
"Lizard Island Group",86
"Lofoten Archipelago",2
"Lomaiviti Group",23
"Lombok",11
"Long Reef",1
"Lord Howe Island Group",365
"Louis Islands",39
"Louisade Archipelago",2
"Louisiade Archipelago",2
"Louisiade Islands",77
"Low Isles",33
"Low Islets",1
"Lowendal",37
"Lowendal Islands",91
"Loyalty Islands",1
"Lucky Bay",8
"Ludlow",6
"Lusancay Islands",1
"Luzon",29
"Luzon, Philippine Archipelago",1
"MOLUCCAS",15
"MONTEBELLO",3
"MONTEBELLOS",1
"Mackerel Islands",17
"Mactan Island, NE of",1
"Madagascar",5
"Madang province",1
"Magdalen",1
"Malaupaina Island",1
"Malay Archipelago",333
"Malay Peninsula",3
"Maldives",2
"Maltese Islands",1
"Maluku",1013
"Maluku Islands",10
"Mandu",53
"Mandurah",5
"Mangrove",8
"Mangrove Bay",1
"Mangrove Islands",3
"Mangrove group",3
"Manus",351
"Maret Islands",71
"Maret Islands, Bonaparte Archipelago",74
"Margaret River",2
"Maria Island",1
"Mariana Islands",13
"Marinduque",2
"Marine Park (Central)",23
"Marine Park (Northern)",81
"Marine Park (Southern)",57
"Marion Reef",1
"Marmion",1
"Marmion Marine Park",41
"Marquesas Islands",69
"Mart Islands",1
"Mary Anne",15
"Mary Anne Group",1
"Mascarene Islands",13
"Mascarene Ridge",1
"Mason Bay",8
"Mauritius",5
"Meelup",1
"Mentawai Island",1
"Mergui Archipelago",25
"Mermaid Reef",36
"Mersing",4
"Micronesia",1
"Middle group",1
"Midway Islands",2
"Milne Bay Province",21
"Minden Reef",67
"Mindoro Island",2
"Mindoro island",5
"Mitsio Archipelago",21
"Mitsio Islands",5
"Miura Peninsula",2
"Miyake Jima",1
"Mollucca Islands",1
"Molucca Islands",208
"Moluccas",244
"Moluccas Islands",7
"Montalivet Islands",160
"Montalivet Islands, Bonaparte Archipelago",52
"Monte Bello Islands",670
"Montebello",205
"Montebello Islands",2015
"Monterey Bay",1
"Montesquieu",1
"Montesquieu Islands",40
"Montgomery",1
"Montgomery Islands",271
"Moreton Bay Islands",20
"Morongo Reef",1
"Mosman Bay",1
"Motupore Island",1
"Mudurup Rocks",1
"Muiron Island Group",283
"Muiron Islands",135
"Murchison",22
"Murion",5
"Murion Islands",7
"Muscat",1
"NEIRA I.,BANDA IS.",1
"NW",1
"NW Cape",1
"NW Cape Reef Tract",2
"NW Shelf",4
"Near Islands",1
"Negros Oriental Islands",3
"New Britain",556
"New Caledonia",4
"New Caledonia Archipelago",1
"New Georgia",10
"New Georgia Group",4
"New Guinea",10
"New Hanover",3
"New Hebrides",2
"New Ireland",52
"New Year Island Group",1
"Ngulu Atoll",7
"Nias",25
"Nickol Bay",1
"Nicol Bay",1
"Ningaloo",1
"Ningaloo Reef",8
"Ningaloo Region",738
"Ninigo Islands",1
"No data",1
"Noises Group, Hauraki Gulf",2
"Noosa Head",1
"Norfolk Island",254
"Norh Scott Reef",1
"Nornalup Inlet",1
"North Borneo",1
"North Cloates",21
"North Marquesas Islands",10
"North Palawan",5
"North Scott Reef",2
"North Solomon Islands",635
"North Sulawesi",27
"North West Shelf",2
"North West Slope",1
"North beach",1
"North west australia",1
"North west shelf",5
"North-West Kimberley Islands",20
"Northern Molluccas",2
"Northwestern Group",1
"Nukuoro Atoll",1
"Nusa Laut Island",1
"Nusa Tenggara",18
