identificationverificationstatus,reps
,18091268
legacy,1418862
unverified,298833
field,207162
unknown,187397
expert,143860
taxonomic revision,108234
student,60794
geographic distribution,16563
molecular data,5281
migration,4794
ID of kin,2576
verified by collector,2197
type specimen,1574
ID to species group,192
published referral,91
photograph,48
erroneous citation,33
confirmed,16
R. A. Edgren,1
