waterbody,reps
,18706996
Northern Pacific Ocean,179289
Pacific,149311
Eastern North Pacific Ocean,127864
South Pacific Ocean,96909
North Pacific Ocean,95691
Pacific Ocean,89502
Caribbean Sea,79101
Atlantic Ocean,65447
Indian Ocean,60971
Atlantic,52582
North Atlantic Ocean,41689
Gulf of Mexico,26709
"Atlantic, Caribbean Sea",22662
North Sargasso Sea,20638
Bering Sea,18815
Indian,18662
Eastern Tropical Pacific Ocean,14923
Mar de Cortés,14291
"Atlantic, Gulf of Mexico",12127
North Atlantic,11320
South China Sea,8953
Southern Pacific Ocean,7791
Mediterranean Sea,7409
Gulf of Alaska,6964
"North Sea, Southern Bight",6174
Indo-Malayan Region,6135
North Pacific,5981
South Atlantic Ocean,5803
Chattahoochee River - Apalachicola River,5743
"North Atlantic Ocean, Gulf Of Mexico",5615
Gulf of Thailand,5528
Arkansas River,5449
South Pacific,5311
Gulf of California,4800
Neuse R.,4564
Maritime Southeast Asia,4483
French Broad R.,3480
Río Cinaruco,3438
Tallapoosa River - Alabama River - Mobile Bay,3422
Napo,3396
Atlantic Ocean; Caribbean Sea,3375
Essequibo River,3120
Bering Strait,3099
Red River,3073
Tombigbee River,3040
Neosho,2857
Luxapallila Creek,2853
Alabama River,2852
Dan R.,2829
San Francisco Bay,2814
Tallapoosa River - Alabama River,2721
Tennessee River,2662
Tar R.,2529
Chukchi Sea,2514
Eastern Pacific Ocean,2493
Rio Orinoco,2441
Amazon,2400
Rocky R.,2384
Missouri River,2343
maroni,2280
"North Atlantic Ocean, Mediterranean Sea",2228
Cape Fear R.,2211
Apalachicola River,2161
Haw R.,2139
Tasman Sea,2124
Northern Atlantic Ocean,2121
"Atlantic, Mediterranean Sea",2081
R. Amazonas basin,2077
Lumber R.,2073
Little R.,2071
Molucca Sea,1999
Catawba R.,1981
Lake Texoma,1946
Cimarron River,1938
"Pacific, Sulu Sea",1891
"Indian, Red Sea",1875
Coosa River - Alabama River,1874
Gulf of Guinea,1799
niger,1790
Waccamaw R.,1776
Deep R.,1747
amazone,1689
Canadian River,1635
Piney Creek,1635
Pee Dee R.,1633
North Sea,1611
"North Atlantic Ocean, North Sea",1589
