day,reps
,4555791
1,914491
30,566113
20,557132
15,545139
10,537063
12,519830
18,509278
16,506017
22,505778
14,504582
28,502991
24,501832
23,501273
21,500517
25,500211
11,498082
17,493869
13,492807
26,491490
19,491027
27,489420
29,453881
8,421307
7,416940
6,414467
9,410172
5,408491
2,404823
3,402451
4,396700
31,307374
01,96160
0,85482
07,80964
09,80894
08,79234
05,78324
06,77052
04,75879
02,75386
03,73790
00,8795
99,1665
68,1053
63,796
69,740
78,570
73,567
2326,513
72,465
74,452
75,428
65,425
70,423
76,379
62,371
77,369
64,309
81,304
71,273
80,246
67,202
1994,200
66,179
1979,174
82,172
79,168
1995,163
86,160
87,159
84,158
90,130
88,124
1971,123
1886,123
51,117
1916,105
91,104
47,101
83,100
89,96
2530,90
85,90
92,88
93,83
1888,81
38,81
50,77
614,70
1967,69
2001,66
61,65
95,64
94,60
2006,57
1993,54
60,51
1996,49
54,49
1416,47
59,47
1999,46
1992,46
37,45
1990,44
52,43
97,43
1879,43
32,40
98,40
36,40
49,38
53,38
2009,37
1969,36
96,36
58,35
1887,35
1919,35
33,31
2324,31
1976,30
35,30
2022,28
34,28
2000,26
39,25
56,24
1910,24
2002,24
55,23
2007,23
1318,22
57,20
1418,20
26-28,20
1877,19
1920,19
1819,19
1974,18
1880,17
40,17
2011,16
1883,16
1965,15
1415,15
1973,14
1964,13
2010,13
1955,13
41,12
1894,12
1972,12
11-12,11
46,11
1988,11
618,11
1991,11
1216,11
1981,11
1968,11
1882,10
1617,10
710,9
110,9
1-3,8
1963,8
1884,8
1618,8
2830,7
3-4,7
4-5,7
1953,7
1970,7
48,7
1889,6
2nd week,6
1876,6
8-11,6
2628,6
44,6
9-10,6
-6,6
1986,5
1906,5
1895,5
45,5
24-28,5
1898,5
1987,5
1874,5
1922,4
1891,4
1863,4
911,4
1914,4
1881,4
2-5,4
1978,4
1918,4
511,4
1873,4
611,3
2325,3
1952,3
1966,3
2013,3
42,3
ca. 1850s,3
2003,3
1885,3
10-11,3
1975,3
1878,3
1961,3
2930,3
1875,3
1869,3
2728,3
1896,3
2005,3
1931,3
1985,3
1903,3
1958,2
1872,2
811,2
25 September,2
1014,2
1982,2
1850,2
2123,2
193,2
1998,2
24 - 28,2
1901,2
42099,2
?,2
1957,2
1989,2
1984,2
1960,2
1899,2
1924,2
810,2
1867,2
1913,2
1902,2
1938,2
13-14,2
"4, 14, 25",2
1851,2
1892,2
1870,1
10142009,1
1977,1
1944,1
1621,1
113,1
1860,1
1997,1
1625,1
1114,1
161822,1
148,1
1861,1
1947,1
TH,1
1933,1
31-1,1
"25 July,",1
2004,1
-8,1
1824,1
43,1
ca. 01,1
1015,1
1954,1
25-30,1
521,1
29-03,1
20129,1
192021,1
1213,1
1528,1
1855,1
308,1
4 October 1956,1
42007,1
20-24,1
2526,1
1316,1
1866,1
1905,1
O6,1
101,1
1925,1
1890,1
1926,1
"6,8",1
1821,1
1932,1
42320,1
12013,1
2426,1
1956,1
1893,1
410,1
1871,1
first week,1
1943,1
-1,1
2021,1
0.2,1
1852,1
July or,1
2215,1
1620,1
8-14,1
1939,1
1950,1
