month,reps
,4102188
5,1601854
6,1595067
7,1591067
8,1395679
4,1307674
10,1178598
3,1071480
9,1070825
11,1060974
1,944605
12,796757
2,789417
07,335914
06,302904
08,288629
05,250611
04,182532
09,174413
03,162071
01,112648
02,103534
0,55494
June,11144
April,8670
May,8659
July,7334
March,6833
00,5779
August,3086
September,2685
February,2546
October,1752
November,1134
08-02,1049
January,1013
December,956
2001,296
1975,265
1986,252
1994,229
1998,223
1963,210
1984,206
2007,205
2004,194
1957,193
1982,189
1997,183
1979,179
1985,179
1964,177
1894,171
2009,170
1993,169
2003,168
2005,164
1996,151
1970,144
1983,139
1971,133
1989,130
52,128
1968,127
1923,123
1931,119
1981,119
1972,118
1988,117
1990,113
2002,108
1934,106
1977,103
1987,102
1880,99
1858,96
1883,94
83,94
1897,93
1922,92
1939,91
1991,87
1937,82
1950,82
37,81
1967,81
1974,79
85,79
1929,77
1932,75
02 March,75
2006,75
1966,75
1944,69
1958,68
2013,67
1901,66
1855,65
2008,64
73,64
55,62
1961,61
1956,60
1962,59
17,56
1980,55
2012,54
1992,53
Spring,53
1952,53
1933,51
10-11,51
Sept,51
82,50
1899,50
1973,50
1949,49
2011,49
1887,49
Summer,48
1978,48
1959,48
01-02,47
1999,44
1965,44
1903,43
1954,43
1969,43
1913,43
1995,43
1928,42
68,42
09-11,41
1927,41
1926,40
1940,40
2000,40
1881,38
1953,38
1942,37
66,37
1910,37
1943,36
51,36
1955,35
1947,35
1930,35
56,34
1871,33
1941,33
60,33
2015,33
1909,33
1960,32
40,30
1892,30
1951,29
71,29
70,27
79,27
20,26
1898,25
June-August,24
2010,24
early 1960s,23
81,22
19,21
1879,21
1900,21
1905,21
1936,21
02 April,21
1948,19
65,19
1902,19
05 April,18
Aug,18
86,18
1886,17
1890,17
57,17
04 April,17
38,17
75,16
-1,16
708,16
1945,16
80,15
July-August,15
74,15
1842,14
1885,14
1868,14
July-Sep,14
1907,14
76,14
16,14
13,14
08-09,13
50,13
1889,13
1914,13
1976,12
July and August,12
1904,12
18,12
14,12
1912,11
72,11
54,11
1935,10
1870,10
Jul,10
84,10
& 03 October,10
33,10
63,10
1920,10
1925,9
1893,9
77,9
1917,9
1891,9
21,9
1850,9
24,9
1854,8
87,8
23,8
ca. March,8
25,8
27,8
June/July,8
61,8
58,8
28,8
97,8
30,7
1774,7
2014,7
and 01 January,7
53,7
31,7
Fall,7
02-03,7
1916,7
june or july,7
15 February,7
48,7
03 May,7
04 March,7
26,6
2016,6
94,6
96,6
1888,6
62,6
1946,6
78,5
64,5
1878,5
1938,5
late,5
29,5
06 February,5
july or august,5
88,5
1906,5
67,5
1861,4
07 October,4
september,4
1921,4
1915,4
Fall & Winter,4
01 February,4
1908,4
1924,4
15,4
11-12,3
Late Fall,3
July or august,3
91,3
?,3
22,3
95,3
May-September,3
Winter,3
09 February,3
69,3
August-September,3
or 03 October,2
99,2
93,2
-7,2
59,2
03-08,2
49,2
July or August,2
90,2
1896,2
308,2
92,2
-4,2
august,2
1851,2
late spring,2
1867,2
44,2
October-November,2
1911,2
1873,2
spring,2
1853,2
November-December,2
1919,2
unknown,2
1869,1
October - November,1
89,1
1872,1
1827,1
May / June,1
jun,1
Oct,1
july,1
1816,1
32,1
1860,1
1838,1
June-July,1
1875,1
07 February,1
O2,1
1844,1
1862,1
May or June,1
Novemember,1
43,1
35,1
09 August,1
-8,1
O7,1
1202,1
April or May,1
May-June,1
42,1
1856,1
saug,1
April-May,1
Janauary,1
2103,1
June or July,1
March-April,1
122,1
610,1
O6,1
1801,1
O1,1
Jun,1
03 August,1
1837,1
304,1
47,1
1884,1
-3,1
"08 September, 13 October",1
34,1
early,1
Late Winter,1
and 04 January,1
12 & 17 October,1
O5,1
01 September,1
Late summer,1
SUmmer,1
June or july,1
1918,1
1876,1
1863,1
SP,1
06-07,1
820,1
186,1
Septeber,1
41,1
1805,1
1877,1
