year,reps
24918,1
1608,1
1555,1
29402,1
24492,1
1772,1
24327,1
3291,1
1773,1
1672,1
23864,1
19591963,1
17693,1
180,1
19751976,1
17692,1
9630,1
1600,1
9600,1
24693,1
183,1
1495,1
981,1
22718,1
21420,1
2977,1
400,1
24941,1
24611,1
22754,1
1683,1
23115,1
24709,1
1008,1
24933,1
3010,1
1656,1
42,1
24655,1
1730,1
1594,1
1699,1
1365,1
1635,1
64,1
1598,1
1720,1
2982,1
7374,1
9129,1
2913,1
126,1
18744,1
19266,1
35737,1
24968,1
9122,1
1698,1
1627,1
2074,1
101895,1
1612,1
1066,1
2052,1
1092,1
19571963,1
18743,1
25374,1
192?,1
25380,1
217,1
1677,1
205,1
998,1
24412,1
18556,1
1726,1
8199,1
2095,1
28726,1
23583,1
21363,1
2896,1
1498,1
1694,1
9131,1
20082010,1
2693,1
2984,1
1064,1
23969,1
211,1
26270,1
2036,1
2044,1
2051,1
1060,1
23783,1
2924,1
9137,1
24673,1
31515,1
1725,1
1724,1
1732,1
19610,1
31178,1
145,1
183X,1
8987,1
986,1
9171,1
9162,1
2300,1
2032,1
19611963,1
9172,1
19401900,1
2042,1
19371938,1
1631,1
9720,1
19341938,1
176,1
1221,1
1075,1
1590,1
9983,1
25171,1
22765,1
29045,1
22848,1
30761,1
5000,1
31675,1
32130,1
26017,1
27936,1
23114,1
1049,1
4922,1
24499,1
17715,1
24645,1
24569,1
24702,1
18724,1
25280,1
24555,1
24324,1
23779,1
1053,1
1688,1
1609,1
1624,1
1606,1
901,1
1526,1
1716,1
1178,1
2198,1
1051,1
2875,1
1019,1
19951996,1
202,1
1003,1
2218,1
106,1
24640,1
7313,1
301,1
21892,1
21987,1
23940,1
1619,1
24567,1
3365,1
22013,1
22769,1
25425,1
24669,1
1764,1
1659,1
1520,1
25679,1
1564,1
1751,1
19502000,1
989,1
2995,1
1006,1
1775,1
1009,1
1431,1
24685,1
9618,1
895,1
2070,1
9855,1
2073,1
2580,1
25051,1
18960000,1
23773,1
1560,1
40,1
24845,1
86,1
28320,1
22861,1
22723,1
24328,1
24681,1
1733,1
17739,1
8193,1
2053,1
2879,1
22364,1
1076,1
-1887,1
23111,1
1394,1
21673,1
1675,1
