sex,reps
male; female; male; male,4
m;  + ser-sec testis,4
yng,4
"1 male, 1 female",4
c&s; larvae,3
m; sv 33; c&s,3
age 86 days,3
sv 46,3
stage ii; c&s,3
sv 43,3
m; sv 18.3; c&s,3
0+,3
30,3
on,3
quality,3
002,3
f; sv 62.0 ; skel,3
f; sv 20.9; c&s,3
"f; skel, shell  + soft-parts",3
m; sv 34.2; c&s,3
stage 40 larvae,3
100,3
m; shell +,3
brood,3
12 adults,3
m; sv 35.0; c&s,3
mature males,3
"hyoid , pectoral girdle removed",3
immature male?,3
f; sv 23.5; c&s,3
m; sv 26.0; c&s,3
organs removed,3
m; sv 25.5; c&s,3
1 adult male,3
male | indeterminable,3
m;skel,3
which,3
m; sv 48.6; c&s,3
m; sv 75.0; c&s;  + skull,3
3 juv,3
"juv, ser-sec",3
"02 machos, 02 fêmeas",3
developmental series,3
m; sv 38.5; c&s,3
m; sv 38.7; c&s,3
c&s f,3
f; sv 40; c&s,3
sv 22; c&s,3
m; ser-sec ?,3
pobably male,3
mostly male,3
f; sv 20.3; c&s,3
in,3
f; sv 39.5; c&s,3
+ eggs,3
f; sv 63.0; c&s;  + skull,3
immature?,3
stage 42 larvae,3
2 female,3
"f; , ser-sec head",3
m; sv 36.2; c&s,3
m; sv 21.2; c&s,3
2m+1f,3
f; shell +,3
c&s + skull +skin,3
sv 29; c&s,3
belton,3
fêmea ovada,3
c&s;  + skin,3
200,3
m; sv 22.2; c&s,3
275,3
sv 51; c&s,3
"larvae, 23 days",3
not determined.,3
road kill,3
50,3
"01 fêmea com óvulos maduros, 1",3
destroyed in c&s,3
number of animals,3
macho ?,3
mod. fat,3
fêmeas,3
female 1,3
f; sv 19.1; c&s,3
adult male?,3
age 44 days,3
"eggs , larvae",3
hermaphrodites,3
stage 36 larvae,3
f; sv 21.3; c&s,3
flock,3
no,3
f; sv 30.6; c&s,3
m; c&s;  + ser-sec head,3
m; sv 27.5; c&s,3
2 males,3
fe,3
f; sv 38.6; c&s,3
001,3
juvs,3
+ c&s skull,3
skin;  + skull,3
4f + 1m,3
stage 29 larvae,2
"m; skel, shell  + soft-parts",2
sv 41; c&s,2
+ ser-sec,2
sv 36; c&s,2
ser-sec embryo,2
f; sv 29.8; c&s,2
f; sv 44.2; c&s,2
visual display,2
f; sv 120.0; skel,2
stage 39 larvae,2
f; sv 32.0; c&s,2
d. o. r.,2
m; sv 94.0; skel,2
imm. male,2
f; sv 35.3; c&s,2
+ vertebrae,2
as male,2
1 adult?,2
m; sv 90.0; skel,2
m; sv 55.0 ; skel,2
stage 28 larvae,2
f; sv 38.9; c&s,2
f; sv 124.0; skel,2
reidentified,2
07989,2
female; see er,2
f (?),2
f; sv 67.5; c&s,2
ser-sec ?,2
f; sv 64.0; c&s;  + skull,2
juv. female,2
f; sv 26.7; c&s,2
f; sv 74.0; c&s;  + skull,2
f; sv 105.0; skel,2
"skel,shell,skull",2
f; sv 45.6; c&s,2
f; sv 70.6; skel,2
f; sv 61.1; c&s,2
"born 4 sep 1964 to female collected 16 aug 1964, 6",2
f; sv 55.3; c&s,2
m; sv 18.6; c&s,2
m; sv 42.7; c&s,2
noted,2
40,2
c&s feet;  + ser-sec vert col,2
m; sv 55.0; c&s,2
m; sv 31.7; c&s,2
m; sv 64.2; c&s,2
c&s. organs on shelf,2
as,2
jv.,2
sv 51,2
fêmea grávida,2
f; sv 37.4; c&s,2
male and a juvenile,2
f; sv 29.9; c&s,2
m; sv 60.5; c&s;  + skull,2
"f; larvae, stage 46, sv 26.9; c&s",2
m; sv 22.0; c&s,2
sv 44,2
shell + vertebrae,2
m; sv 39.3; c&s,2
+ head,2
machos e fêmeas reprodutivos,2
4 male,2
fêma,2
some were ripe,2
"f, juvenile",2
c&s + skin + guts,2
f; sv 22.9; c&s,2
m; sv 35.3; c&s,2
100 adults,2
sv 29.0; c&s,2
m; shell,2
bursa,2
male and females,2
sv 24; c&s,2
f; sv 20.8; c&s,2
m; sv 46.2; c&s,2
f; sv 49.6; c&s,2
m; sv 50.0; skel,2
2f + 7m,2
m; sv 28.2; c&s,2
dissected,2
probably ?male,2
m; skin only;  + skel,2
age 28 days,2
1 immature,2
age 97 days,2
several birds,2
f; with eggs,2
10091,2
5m + 1f,2
f; sv 43.6; c&s,2
juveniles,2
7f + 2m,2
