georeferenceverificationstatus,reps
,13292742
requires verification,4481523
unverified,1996531
Unverified,172619
verified by curator,162676
verification required,158999
CoGe_corrected_2015-02-04,119658
Verified by data custodian,50180
checked by curator,23345
Verified by contributor,16209
Not verified,16185
verified,14020
verified by collector,13686
Needs georeferencing,8686
CoGe_skipped_2015-02-04,7201
checked by collector,4589
verified by KC,3086
verified by RS,1979
not georeferenced,1422
verified by DEK,1372
not verified,948
Verified by Contributor,655
verified by JLW,560
Verified by data contributor,324
unverrified,277
unverrifed,112
veriification required,83
Requires verification,28
needs georeferencing,19
unverifed,19
needs verification,12
"verified by KC, RS",6
verified by RC,4
need verification,4
Lucanus field notes,3
"verified by DEK, KC",2
unverrrified,2
Needs georefrencing,1
',1
requres verification,1
"Tyner, Megan",1
Bradley G. Millen (ROM),1
e=requires verification,1
needs validation,1
Verified 20030729,1
"verified, 20081023",1
requires verrification,1
