taxonrank,reps
,9836859
species,6842811
subspecies,2566431
genus,426582
Species,207245
family,196128
specificEpithet,182721
Subspecies,109219
class,69350
order,61238
kingdom,10976
Family,8370
phylum,7249
Order,5897
Genus,5746
infraspecificEpithet,5239
Class,3719
Genus or Species,991
Suborder,951
Subphylum,474
Subclass,400
Superfamily,341
Subfamily,336
Infraorder,138
var.,109
Superorder,109
variety,69
morpha,22
Clade,15
Tribe,14
Superclass,13
Kingdom,8
undefinable,5
Phylum,1
