typestatus,reps
"""paratype of <a href=""http://arctos.database.museum/name/Petrocephalus frieli"">Petrocephalus frieli</a>, page 2171 in <a href=""http://arctos.database.museum/publication/10006781"">Lavoué 2012</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Catharus fuscescens salicicola"">Catharus fuscescens salicicola</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF THAMNOPHIS MELANOGASTER CHIHUAHUAENSIS,3
"""voucher of <a href=""http://arctos.database.museum/name/Promerops cafer"">Promerops cafer</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""paratopotype of <a href=""http://arctos.database.museum/name/Goniurosaurus bawanglingensis"">Goniurosaurus bawanglingensis</a>, page 217 in <a href=""http://arctos.database.museum/publication/10001849"">Grismer et al. 2002</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Thryomanes bewickii spilurus"">Thryomanes bewickii spilurus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Mniotilta varia"">Mniotilta varia</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Turdus dissimilis hortulorum"">Turdus dissimilis hortulorum</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Phoca hispida"">Phoca hispida</a>, page 83 in <a href=""http://arctos.database.museum/publication/146"">Becker et al. 1993</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Corvus frugilegus pastinator"">Corvus frugilegus pastinator</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
TOPOTYPE OF SALPINCTES OBSOLETUS NOTIUS RIDGWAY,3
"""voucher of <a href=""http://arctos.database.museum/name/Clethrionomys rutilus"">Clethrionomys rutilus</a>, page 770 in <a href=""http://arctos.database.museum/publication/161"">Cook et al. 2004</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Branta canadensis moffitti"">Branta canadensis moffitti</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Saltator maximus intermedius"">Saltator maximus intermedius</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Glareola maldivarum"">Glareola maldivarum</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""paratype of <a href=""http://arctos.database.museum/name/Idionycteris phyllotis hualapaiensis"">Idionycteris phyllotis hualapaiensis</a>, page 417 in <a href=""http://arctos.database.museum/publication/10005442"">Tumlison 1993</a>""",3
"""host voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 299 in <a href=""http://arctos.database.museum/publication/1000029"">Haukisalmi et al. 2006</a>; host voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a> in <a href=""http://arctos.database.museum/publication/1000182"">Haukisalmi et al. 2004</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Phoebastria irrorata"">Phoebastria irrorata</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pooecetes gramineus affinis"">Pooecetes gramineus affinis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Ochotona hyperborea"">Ochotona hyperborea</a>, page 11 in <a href=""http://arctos.database.museum/publication/10004745"">Lanier and Olson 2009</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Bradypterus baboecala"">Bradypterus baboecala</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Synallaxis superciliosa"">Synallaxis superciliosa</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii plesius"">Spermophilus parryii plesius</a>, page 610 in <a href=""http://arctos.database.museum/publication/185"">Eddingsaas et al. 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1882 in <a href=""http://arctos.database.museum/publication/10005435"">Galbreath et al. 2011</a>; voucher of <a href=""http://arctos.database.museum/name/Urocitellus parryii"">Urocitellus parryii</a> in <a href=""http://arctos.database.museum/publication/10007188"">Lanier et al. 2015a</a>; voucher of <a href=""http://arctos.database.museum/name/Urocitellus parryii"">Urocitellus parryii</a> in <a href=""http://arctos.database.museum/publication/10008015"">Knowles et al. 2016</a>""",3
"""voucher of Bufo woodhousei woodhousei, page 33 in <a href=""http://arctos.database.museum/publication/10007633"">Holman 1970</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Picoides scalaris symplectus"">Picoides scalaris symplectus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Sula sula websteri"">Sula sula websteri</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Garrulus glandarius rufitergum"">Garrulus glandarius rufitergum</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pica pica serica"">Pica pica serica</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Aimophila ruficeps ruficeps"">Aimophila ruficeps ruficeps</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Nystalus maculatus"">Nystalus maculatus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Aimophila ruficeps scottii"">Aimophila ruficeps scottii</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Plectrophenax nivalis nivalis"">Plectrophenax nivalis nivalis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus gregalis"">Microtus gregalis</a>, page 358 in <a href=""http://arctos.database.museum/publication/1000097"">Conroy and Cook 2000</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microdipodops pallidus"">Microdipodops pallidus</a>, page 6 in <a href=""http://arctos.database.museum/publication/10006555"">Light et al. 2012</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Fringilla montifringilla"">Fringilla montifringilla</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus maniculatus"">Peromyscus maniculatus</a>, page 919 in <a href=""http://arctos.database.museum/publication/10004408"">Lucid and Cook 2007</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus innuitus"">Microtus oeconomus innuitus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Larus genei"">Larus genei</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
Paralectotype; Syntype; Paralectotype; Syntype,3
"""voucher of <a href=""http://arctos.database.museum/name/Ploceus capensis capensis"">Ploceus capensis capensis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax difficilis"">Empidonax difficilis</a>, page 369 in <a href=""http://arctos.database.museum/publication/10006359"">Moore 1940</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Charadrius alexandrinus"">Charadrius alexandrinus ssp.</a> ssp. in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Colluricincla harmonica harmonica"">Colluricincla harmonica harmonica</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Camaroptera brevicaudata"">Camaroptera brevicaudata ssp.</a> ssp. in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Phylloscopus collybita"">Phylloscopus collybita ssp.</a> ssp. in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATOPOTYPE OF CALUMMA JEJY,3
"""voucher of <a href=""http://arctos.database.museum/name/Agelaius phoeniceus megapotamus"">Agelaius phoeniceus megapotamus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Sphyrapicus ruber daggetti"">Sphyrapicus ruber daggetti</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 175 in <a href=""http://arctos.database.museum/publication/6"">Conroy and Cook 2000</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus coronarius"">Microtus longicaudus coronarius</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus coronarius"">Microtus longicaudus coronarius</a> in <a href=""http://arctos.database.museum/publication/10008020"">Sawyer and Cook 2016</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Ochotona collaris"">Ochotona collaris</a>, page 1243 in <a href=""http://arctos.database.museum/publication/176"">Sheafor 2003</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Catharus ustulatus swainsoni"">Catharus ustulatus swainsoni</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Chlidonias leucopterus"">Chlidonias leucopterus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Sorex saussurei saussurei"">Sorex saussurei saussurei</a>, page 61 in <a href=""http://arctos.database.museum/publication/10006614"">Carraway 2007.</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Ploceus manyar manyar"">Ploceus manyar manyar</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Catharus ustulatus almae"">Catharus ustulatus almae</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Aphelocoma coerulescens"">Aphelocoma coerulescens</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Eremophila alpestris strigata"">Eremophila alpestris strigata</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
Typemateriale,3
PARATYPE OF LAMPROPELTIS TRIANGULUM SINALOAE,3
PARATOPOTYPE OF GYMNOPHTHALMUS BIRDI,3
"""voucher of <a href=""http://arctos.database.museum/name/Myotis yumanensis yumanensis"">Myotis yumanensis yumanensis</a>, page 429 in <a href=""http://arctos.database.museum/publication/10008031"">Stock 1970</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax occidentalis hellmayri"">Empidonax occidentalis hellmayri</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Saxicola caprata caprata"">Saxicola caprata caprata</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Cyanocorax yncas luxuosus"">Cyanocorax yncas luxuosus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF TRETANORHINUS NIGROLUTEUS MERTENSI,3
PARATYPES OF PSEUDOBRANCHUS STRIATUS AXANTHUS,3
"""voucher of <a href=""http://arctos.database.museum/name/Nothrotheriops"">Nothrotheriops cf.</a> cf., page 656 in <a href=""http://arctos.database.museum/publication/10007812"">McDonald and Morgan 2011.</a>""",3
PARATOPOTYPE OF LATHROGECKO SANCTAE-MARTAE,3
PARATYPE OF APRASIA PSEUDOPULCHELLA,3
"""voucher of <a href=""http://arctos.database.museum/name/Vulpes vulpes"">Vulpes vulpes</a>, page 64 in <a href=""http://arctos.database.museum/publication/10006335"">Statham et al. 2012</a>; voucher of <a href=""http://arctos.database.museum/name/Vulpes vulpes"">Vulpes vulpes</a>, page 1093 in <a href=""http://arctos.database.museum/publication/10006604"">Perrine et al. 2007</a>""",3
"""paratopotype of <a href=""http://arctos.database.museum/name/Xantusia bezyi"">Xantusia bezyi</a>, page 4 in <a href=""http://arctos.database.museum/publication/10001842"">Papenfuss et al. 2001</a>""",3
Paratype of Mastomys natalensis ((Smith)),3
PARATOPOTYPE OF OEDIPUS CUCHAMATANUS,3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus aequivocatus"">Microtus californicus aequivocatus</a>, page 1394 in <a href=""http://arctos.database.museum/publication/10006607"">McGuire 2011</a>""",3
PARATYPE OF DELMA NASUTA,3
PARATYPE OF CROTALUS LEPIDUS MORULUS,3
"""voucher of <a href=""http://arctos.database.museum/name/Tchagra senegala confusa"">Tchagra senegala confusa</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Asturina nitida maxima"">Asturina nitida maxima</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPES OF OEDIPINA PSEUDOUNIFORMIS,3
"""voucher of <a href=""http://arctos.database.museum/name/Thryomanes bewickii calophonus"">Thryomanes bewickii calophonus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Somateria mollissima mollissima"">Somateria mollissima mollissima</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF LAMPROPELTIS POLYZONA BLANCHARDI,3
"""voucher of <a href=""http://arctos.database.museum/name/Psaltriparus minimus plumbeus"">Psaltriparus minimus plumbeus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Coccyzus americanus occidentalis"">Coccyzus americanus occidentalis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATOPOTYPE OF GONIUROSAURUS LUII,3
"""host voucher of <a href=""http://arctos.database.museum/name/Lonchophylla thomasi"">Lonchophylla thomasi</a>, page 782 in <a href=""http://arctos.database.museum/publication/10004862"">Notarnicola et al. 2010</a>""",3
"""host voucher of <a href=""http://arctos.database.museum/name/Tamias cinereicollis"">Tamias cinereicollis</a> in <a href=""http://arctos.database.museum/publication/10007707"">Pigage et al. (2017)</a>; voucher of <a href=""http://arctos.database.museum/name/Tamias cinereicollis"">Tamias cinereicollis</a> in <a href=""http://arctos.database.museum/publication/10007021"">Sullivan et al. 2014</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Columba fasciata vioscae"">Columba fasciata vioscae</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pipilo maculatus magnirostris"">Pipilo maculatus magnirostris</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF OPHEODRYS AESTIVUS CARINATUS,3
Synytpe,3
"""voucher of <a href=""http://arctos.database.museum/name/Delichon urbicum urbicum"">Delichon urbicum urbicum</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF PSEUDOXYRHOPUS SOKOSOKO,3
"""paratype of <a href=""http://arctos.database.museum/name/Cyrtopodion belaense"">Cyrtopodion belaense</a>, page 131 in <a href=""http://arctos.database.museum/publication/10007326"">Nazarov et al., 2011</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pycnonotus xanthorrhous xanthorrhous"">Pycnonotus xanthorrhous xanthorrhous</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax traillii"">Empidonax traillii</a>, page 353 in <a href=""http://arctos.database.museum/publication/10006359"">Moore 1940</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Dendroica coronata memorabilis"">Dendroica coronata memorabilis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Laterallus jamaicensis coturniculus"">Laterallus jamaicensis coturniculus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius"">Zapus hudsonius</a> in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",3
Holotype of Oecomys speciosus ((Allen & Chapman)),3
Holotype of Didelphis marsupialis caucae (Allen),3
"""host voucher of <a href=""http://arctos.database.museum/name/Sorex vagrans"">Sorex vagrans</a>, page 349 in <a href=""http://arctos.database.museum/publication/1000152"">Arai et al. 2008</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Sorex palustris"">Sorex palustris</a>, page 638 in <a href=""http://arctos.database.museum/publication/10"">Cook et al. 1997</a>; voucher of <a href=""http://arctos.database.museum/name/Sorex palustris"">Sorex palustris</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",3
"""basis of illustration of <a href=""http://arctos.database.museum/name/Bison"">Bison</a>, page 11 in <a href=""http://arctos.database.museum/publication/10006482"">Shapiro et al. 2004</a>""",3
Figured; Cited,3
"""voucher of <a href=""http://arctos.database.museum/name/Lasionycteris noctivagans"">Lasionycteris noctivagans</a>, page 260 in <a href=""http://arctos.database.museum/publication/31"">Parker McNeill et al. 1997</a>; voucher of <a href=""http://arctos.database.museum/name/Lasionycteris noctivagans"">Lasionycteris noctivagans</a>, page 62 in <a href=""http://arctos.database.museum/publication/1000034"">MacDonald and Cook 2007</a>""",3
possible type,3
"""voucher of <a href=""http://arctos.database.museum/name/Corvus brachyrhynchos pascuus"">Corvus brachyrhynchos pascuus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATOPOTYPE OF ALSOPHIS PORTORICENSIS PRYMNUS,3
"""referral of <a href=""http://arctos.database.museum/name/Rangifer tarandus caribou"">Rangifer tarandus caribou</a> in <a href=""http://arctos.database.museum/publication/10006246"">McGuire 1921</a>; paratype of <a href=""http://arctos.database.museum/name/Rangifer tarandus caribou"">Rangifer tarandus caribou</a> in <a href=""http://arctos.database.museum/publication/10006711"">Figgin, J.D. (1919)</a>""",3
"""basis of illustration of <a href=""http://arctos.database.museum/name/Heteromys oresterus"">Heteromys oresterus</a>, page 38 in <a href=""http://arctos.database.museum/publication/10005416"">Anderson and Timm 2006</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus pinetorum"">Microtus pinetorum</a>, page 359 in <a href=""http://arctos.database.museum/publication/1000097"">Conroy and Cook 2000</a>""",3
PARATYPE OF MICRURUS LATICOLLARIS MACULIROSTRIS,3
"""paratype of <a href=""http://arctos.database.museum/name/Etheostoma scotti"">Etheostoma scotti</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Arborimus albipes"">Arborimus albipes</a>, page 952 in <a href=""http://arctos.database.museum/publication/10007266"">Blois and Arbogast 2006</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Neotoma lepida"">Neotoma lepida</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005405"">Sousa et al. 2007</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pycnonotus cafer primrosei"">Pycnonotus cafer primrosei</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus eximius"">Microtus californicus eximius</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">Conroy and Gupta 2011</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus californicus eximius"">Microtus californicus eximius</a>, page 1394 in <a href=""http://arctos.database.museum/publication/10006607"">McGuire 2011</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Oriolus chinensis chinensis"">Oriolus chinensis chinensis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Columba flavirostris flavirostris"">Columba flavirostris flavirostris</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of Microtus mexicanus, page 11 in <a href=""http://arctos.database.museum/publication/10007811"">Smartt 1977</a>""",3
PARATYPE OF SCELOPORUS SCALARIS SLEVINI,3
"""voucher of <a href=""http://arctos.database.museum/name/Phalcoboenus australis"">Phalcoboenus australis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Lessonia rufa"">Lessonia rufa</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius preblei"">Zapus hudsonius preblei</a>, page 346 in <a href=""http://arctos.database.museum/publication/10005477"">Ramey et al. 2005</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus lateralis"">Spermophilus lateralis</a>, page 360 in <a href=""http://arctos.database.museum/publication/10005482"">Friggens et al. 2010</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus abbreviatus"">Microtus abbreviatus</a>, page 1431 in <a href=""http://arctos.database.museum/publication/10004893"">Weksler et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus abbreviatus"">Microtus abbreviatus</a> in <a href=""http://arctos.database.museum/publication/10007188"">Lanier et al. 2015a</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Picoides stricklandi"">Picoides stricklandi</a>, page 92 in <a href=""http://arctos.database.museum/publication/10006425"">Davis 1953</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Junco oreganus townsendi"">Junco oreganus townsendi</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
PARATYPE OF LAMPROPELTIS TRIANGULUM CONANTI,3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus sanctidiegi"">Microtus californicus sanctidiegi</a>, page 3 in <a href=""http://arctos.database.museum/publication/10008080"">Poulsen et al. 2015</a>""",3
PARATYPE OF BOLITOGLOSSA SUCHITANENSIS,3
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 959 in <a href=""http://arctos.database.museum/publication/140"">Brunhoff et al. 2003</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 148 in <a href=""http://arctos.database.museum/publication/174"">Galbreath and Cook 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",3
PARATYPE OF LACERTA ERHARDI RUTHVENI,3
"""voucher of <a href=""http://arctos.database.museum/name/Dendroica virens virens"">Dendroica virens virens</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
Holotype of Oecomys bicolor (The Coryndon Museum),3
"""voucher of <a href=""http://arctos.database.museum/name/Conepatus leuconotus figginsi"">Conepatus leuconotus figginsi</a>, page 37 in <a href=""http://arctos.database.museum/publication/10007667"">Ellsworth (2016)</a>; voucher of <a href=""http://arctos.database.museum/name/Conepatus leuconotus figginsi"">Conepatus leuconotus figginsi</a>, page 15 in <a href=""http://arctos.database.museum/publication/10007163"">Meaney CA, Ruggles AK, & Beauvais GP (2006)</a>; voucher of <a href=""http://arctos.database.museum/name/Conepatus leuconotus figginsi"">Conepatus leuconotus figginsi</a>, page 171 in <a href=""http://arctos.database.museum/publication/1000004"">Dragoo et al. 2003</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Junco phaeonotus palliatus"">Junco phaeonotus palliatus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Bufo canorus"">Bufo canorus</a>, page 337 in <a href=""http://arctos.database.museum/publication/10006280"">Graybeal 1997</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Piranga flava hepatica"">Piranga flava hepatica</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Hirundo albigularis"">Hirundo albigularis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Zenaida asiatica mearnsi"">Zenaida asiatica mearnsi</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""host voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 63 in <a href=""http://arctos.database.museum/publication/1000183"">Haukisalmi and Henttonen 2007</a>; host voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a> in <a href=""http://arctos.database.museum/publication/10007146"">HAUKISALMI et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Falco peregrinus peregrinus"">Falco peregrinus peregrinus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Larus ridibundus"">Larus ridibundus ssp.</a> ssp. in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Ploceus nigerrimus nigerrimus"">Ploceus nigerrimus nigerrimus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Lanius collaris collaris"">Lanius collaris collaris</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Pycnonotus goiavier analis"">Pycnonotus goiavier analis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Loxia curvirostra curvirostra"">Loxia curvirostra curvirostra</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",3
