typestatus,reps
"""voucher of <a href=""http://arctos.database.museum/name/Lynx canadensis"">Lynx canadensis</a>, page 239 in <a href=""http://arctos.database.museum/publication/1000074"">Yom-Tov et al. 2007</a>""",544
"""voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",484
Genetic Voucher,474
Y,464
Syntype*,448
voucher,445
"""voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 2062 in <a href=""http://arctos.database.museum/publication/10004414"">Stone et al. 2002</a>""",440
Figured,434
"""voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 707 in <a href=""http://arctos.database.museum/publication/1000157"">Yom-Tov et al. 2008</a>""",432
"""voucher of <a href=""http://arctos.database.museum/name/Synaptomys borealis"">Synaptomys borealis</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",418
Cited,391
"""voucher of <a href=""http://arctos.database.museum/name/Sorex tundrensis"">Sorex tundrensis</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",383
"""voucher of <a href=""http://arctos.database.museum/name/Lemmus trimucronatus"">Lemmus trimucronatus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",360
"Paratype, Additional Material",354
"""voucher of <a href=""http://arctos.database.museum/name/Notiosorex dalquesti"">Notiosorex dalquesti</a>, page 162 in <a href=""http://arctos.database.museum/publication/10005486"">Carraway 2010</a>""",321
Topoparatype,292
cotype,280
Holotype*,269
"""voucher of <a href=""http://arctos.database.museum/name/Sorex hoyi"">Sorex hoyi</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",267
Additional Material,264
COTYPE,263
"""voucher of <a href=""http://arctos.database.museum/name/Myodes"">Myodes</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">Runck et al. 2009</a>""",262
Topótipo,249
"""voucher of <a href=""http://arctos.database.museum/name/Ursus maritimus"">Ursus maritimus</a> in <a href=""http://arctos.database.museum/publication/10008023"">Winer et al. 2016</a>""",234
"Syntype, Paralectotype",233
Lectotype; Syntype,226
"""voucher of <a href=""http://arctos.database.museum/name/Euphagus cyanocephalus"">Euphagus cyanocephalus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",217
syntypes,215
"""voucher of <a href=""http://arctos.database.museum/name/Mustela erminea"">Mustela erminea</a>, page 806 in <a href=""http://arctos.database.museum/publication/96"">Fleming and Cook 2002</a>""",196
"""voucher of <a href=""http://arctos.database.museum/name/Aquila chrysaetos canadensis"">Aquila chrysaetos canadensis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",190
"""voucher of <a href=""http://arctos.database.museum/name/Junco oreganus thurberi"">Junco oreganus thurberi</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",186
Paratype..Paratype,184
Syntypes,180
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">Peirce and Peirce 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",180
Neotype,173
"""voucher of <a href=""http://arctos.database.museum/name/Lepus othus"">Lepus othus</a> in <a href=""http://arctos.database.museum/publication/10007489"">Cason et al. 2016</a>""",171
"""voucher of <a href=""http://arctos.database.museum/name/Glaucomys sabrinus"">Glaucomys sabrinus</a>, page 257 in <a href=""http://arctos.database.museum/publication/10004392"">Bidlack and Cook 2002</a>""",171
Part of Holotype,167
type,166
"""voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 2062 in <a href=""http://arctos.database.museum/publication/10004414"">Stone et al. 2002</a>; voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a> in <a href=""http://arctos.database.museum/publication/10008001"">Dawson et al. 2017</a>""",166
neotype,163
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus leucopus"">Peromyscus leucopus</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",161
Paratype; Paratype,160
"""voucher of <a href=""http://arctos.database.museum/name/Agelaius phoeniceus nevadensis"">Agelaius phoeniceus nevadensis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",151
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 682 in <a href=""http://arctos.database.museum/publication/10006471"">Hope et al. 2012</a>""",148
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius"">Zapus hudsonius</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",145
Paratype(s)?,135
"""voucher of <a href=""http://arctos.database.museum/name/Turdus migratorius propinquus"">Turdus migratorius propinquus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",135
"Paratype, Paratopotypes",132
HOLO,130
PLAS,126
Cotype(s),125
"""voucher of <a href=""http://arctos.database.museum/name/Myotis auriculus"">Myotis auriculus</a>, page 179 in <a href=""http://arctos.database.museum/publication/1000022"">Gannon and Racz 2006</a>""",121
"""voucher of <a href=""http://arctos.database.museum/name/Myotis evotis"">Myotis evotis</a>, page 179 in <a href=""http://arctos.database.museum/publication/1000022"">Gannon and Racz 2006</a>""",120
typodigm,119
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus truei"">Peromyscus truei</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",118
"""voucher of <a href=""http://arctos.database.museum/name/Aztlanolagus agilis"">Aztlanolagus agilis</a>, page 639 in <a href=""http://arctos.database.museum/publication/10004548"">Russell and Harris 1986</a>""",114
"""voucher of <a href=""http://arctos.database.museum/name/Gulo gulo"">Gulo gulo</a>, page 799 in <a href=""http://arctos.database.museum/publication/10004406"">Dalerum et al. 2007</a>""",112
"""voucher of <a href=""http://arctos.database.museum/name/Buteo jamaicensis calurus"">Buteo jamaicensis calurus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",110
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus maniculatus gambelii"">Peromyscus maniculatus gambelii</a> in <a href=""http://arctos.database.museum/publication/10006619"">YANG et al. 2011</a>""",109
"""voucher of <a href=""http://arctos.database.museum/name/Myodes gapperi"">Myodes gapperi</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">Runck et al. 2009</a>""",107
"""voucher of <a href=""http://arctos.database.museum/name/Chaerephon pumilus"">Chaerephon pumilus</a> in <a href=""http://arctos.database.museum/publication/10007066"">Van Cakenberghe et al 1999.</a>""",107
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 365 in <a href=""http://arctos.database.museum/publication/10004834"">Weckworth et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 919 in <a href=""http://arctos.database.museum/publication/193"">Weckworth et al. 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 7 in <a href=""http://arctos.database.museum/publication/10005395"">Weckworth et al. 2011</a>""",107
"""voucher of <a href=""http://arctos.database.museum/name/Carpodacus mexicanus frontalis"">Carpodacus mexicanus frontalis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",107
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 148 in <a href=""http://arctos.database.museum/publication/174"">Galbreath and Cook 2004</a>""",103
"""voucher of <a href=""http://arctos.database.museum/name/Myodes rutilus"">Myodes rutilus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">Peirce and Peirce 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Myodes rutilus"">Myodes rutilus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",100
"""voucher of <a href=""http://arctos.database.museum/name/Cyanocitta stelleri"">Cyanocitta stelleri</a>, page 237 in <a href=""http://arctos.database.museum/publication/10006376"">Moore 1954</a>""",99
"""voucher of <a href=""http://arctos.database.museum/name/Melanerpes chrysogenys"">Melanerpes chrysogenys</a>, page 110 in <a href=""http://arctos.database.museum/publication/10006374"">Moore 1950</a>""",99
Paralectotypes,97
"""voucher of <a href=""http://arctos.database.museum/name/Zonotrichia leucophrys oriantha"">Zonotrichia leucophrys oriantha</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",97
"""voucher of <a href=""http://arctos.database.museum/name/Pusa hispida"">Pusa hispida</a>, page 379 in <a href=""http://arctos.database.museum/publication/100"">Amano et al. 2002</a>""",96
<No data>,95
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">Peirce and Peirce 2005</a>""",94
"""paratopotype of <a href=""http://arctos.database.museum/name/Cynops orphicus"">Cynops orphicus</a>, page 46 in <a href=""http://arctos.database.museum/publication/10000203"">Risch 1983</a>""",93
"""voucher of <a href=""http://arctos.database.museum/name/Oligoryzomys longicaudatus"">Oligoryzomys longicaudatus</a>, page 2 in <a href=""http://arctos.database.museum/publication/10006332"">Palma et al. 2012</a>""",93
Parátipos,93
holotype?,92
"""voucher of <a href=""http://arctos.database.museum/name/Dicrostonyx groenlandicus"">Dicrostonyx groenlandicus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",92
"""basis of illustration of <a href=""http://arctos.database.museum/name/Equus"">Equus</a> in <a href=""http://arctos.database.museum/publication/10006666"">Mann et al. 2013</a>""",90
"""voucher of <a href=""http://arctos.database.museum/name/Tamias alpinus"">Tamias alpinus</a> in <a href=""http://arctos.database.museum/publication/10006341"">Rubidge et al. 2012</a>""",90
holotype; holotype,89
"""voucher of <a href=""http://arctos.database.museum/name/Myodes"">Myodes</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">Runck et al. 2009</a>; voucher of <a href=""http://arctos.database.museum/name/Myodes rutilus"">Myodes rutilus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",89
H*,89
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1882 in <a href=""http://arctos.database.museum/publication/10005435"">Galbreath et al. 2011</a>""",88
"""voucher of <a href=""http://arctos.database.museum/name/Toxostoma curvirostre"">Toxostoma curvirostre</a>, page 216 in <a href=""http://arctos.database.museum/publication/10006363"">Moore 1941</a>""",88
plastosyntype,88
Syntype; Paralectotype,87
"""voucher of <a href=""http://arctos.database.museum/name/Phoca vitulina"">Phoca vitulina</a>, page 15 in <a href=""http://arctos.database.museum/publication/107"">Burns et al. 1984</a>""",86
PARATOPO,84
"""voucher of <a href=""http://arctos.database.museum/name/Neotoma cinerea alticola"">Neotoma cinerea alticola</a> in <a href=""http://arctos.database.museum/publication/10006618"">Cordero and Epps 2012.</a>""",83
"""voucher of <a href=""http://arctos.database.museum/name/Xanthocephalus xanthocephalus"">Xanthocephalus xanthocephalus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",83
"""voucher of <a href=""http://arctos.database.museum/name/Dipodomys merriami platycephalus"">Dipodomys merriami platycephalus</a>, page 1006 in <a href=""http://arctos.database.museum/publication/10005415"">Alvarez-Castañeda et al. 2009</a>""",82
Syntype(s),80
"""voucher of <a href=""http://arctos.database.museum/name/Spizella passerina arizonae"">Spizella passerina arizonae</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",80
"""basis of illustration of <a href=""http://arctos.database.museum/name/Ovibos"">Ovibos</a> in <a href=""http://arctos.database.museum/publication/10006666"">Mann et al. 2013</a>""",79
