islandgroup,reps
,19750022
Greater Antilles,82911
British Isles,52993
Hawaiian Islands,44420
Maritime Southeast Asia,33444
Alexander Archipelago,23706
Lesser Antilles,23672
West Indies,23266
Solomon Islands,19643
Morobe Prov.,15335
Greater Sunda Islands,14195
New Caledonia,12424
Indonesian Archipelago,11579
Mindanao PAIC,10934
West Indies: Greater Antilles,9472
Vanuatu,9426
New Guinea Ids.,9365
Leeward Islands,9012
Aleutian Islands,8960
Luzon PAIC,8300
Japanese Archipelago,7749
Fiji,7735
Galápagos,7089
Lesser Sunda Islands,6129
Maluku Islands,6114
Bahamas,5894
Ralik Chain,5636
Caroline Ids.,5625
Palau Islands,5220
Windward Islands,5161
Galapagos Ids.,5157
Channel Islands,4873
Milne Bay Prov.,4799
Caroline Islands,4516
Viti Levu Group,4038
Virgin Islands,3994
Samoan Islands,3826
Ryukyu Ids.,3647
Bismarck Archipelago,3548
Mascarene Islands,3469
Bahama Islands,3402
West Sepik Prov.,3301
Galapagos Is.,3248
Sunda Islands,3147
Luzon Islands,3090
Japan,3083
Line Islands,3077
New Caledonia Ids.,3034
Visayas,2952
Vancouver Island,2943
kerguelen,2926
Marshall Islands,2824
Indonesia,2786
Falkland Islands,2689
San Francisco Bay Islands,2598
Kodiak Archipelago,2589
Pribilof Islands,2572
Central Prov.,2513
Northwestern Hawaiian Islands,2477
Tuamotu Archipelago,2416
Galapagos Archipelago,2340
Singapore,2339
Hawaiian Is.,2333
Society Islands,2312
Southern Highlands Prov.,2278
Yap Is.,2276
Santa Cruz Islands,2267
North Solomon Ids.,2227
Visayan PAIC,2068
Haida Gwaii,2033
Marquesas Islands,2012
Philippine Islands,1998
Loyalty Islands,1976
Malay Archipelago,1898
Queen Charlotte Islands,1784
Aldabra Group,1740
Northern Mariana Islands,1699
ABC Islands,1682
Vanua Levu Group,1672
Leeward Ids.,1665
Mindoro PAIC,1644
Marianas,1634
Lord Howe Island,1608
New Georgia Islands,1598
Papua [= Irian Jaya],1564
Revillagigedo Is.,1532
Islas Revillagigedo,1528
Madang Prov.,1526
Channel Ids.,1503
Grenadines,1495
des vanuatu,1478
Long Island,1456
des philippines,1436
Gulf of California Islands,1431
Mariana Islands,1417
Vavau Group,1390
Seychelles,1327
Lau Group,1311
îles salomon,1309
société,1275
Archipiélago de Galápagos,1272
Ryukyu Islands,1263
Tonga Islands,1260
Moluccas,1218
Johnston Atoll,1211
Islas Canarias,1197
Turks and Caicos Islands,1191
Capricorn Group,1184
Islas Marías,1160
Rotuma Group,1155
Pahang State,1142
Palawan PAIC,1117
Commander Islands,1088
Cargados Carajos Shoals (Saint Brandon Rocks),1086
Tongatapu Group,1078
Bermuda,1069
Shepherd Islands,1023
Dry Tortugas,1018
Western Highlands Prov.,1016
Palau SW Islands,1009
Ratak Chain,997
Banks Islands,980
Bermuda Islands,978
Philippines,967
Canadian Arctic Archipelago,948
East Sepik Prov.,948
Babuyan Island Group,948
Cook Islands,944
Batanes Islands,937
Tierra del Fuego,936
"Sulu Archipelago, Tawi-Tawi group",935
Ha'apai Group,919
Tawi Tawi Group,905
South Georgia Islands,900
Viti Levu,894
Papua New Guinea,883
Pearl Islands,876
Mindanao Islands,876
Islas Tres Marias,873
San Juan Islands,808
Azores,806
Admiralty Islands,802
Visayas Islands,795
Calamian Group,795
São Tomé,786
San Blas Islands,785
Solomon Ids.,783
Midway Atoll,783
Duff Islands,778
Austral Islands,774
Selangor State,769
Chimbu Prov.,769
Northern [= Oro] Prov.,742
Oman,741
New Hebrides,736
Suluwesi Island,730
Farallon Islands,727
Sulu Archipelago,711
Comoros,710
Pitcairn Islands,707
Tonga,704
Romblon PAIC,691
Line Ids.,680
Central Visayas,680
Maldive Islands,670
New Georgia Group,668
Stewart Islands,667
Galapagos Islands,653
Revillagigedo Ids.,649
Comoros Islands,649
grandes antilles,638
Illes Balears,634
French Frigate Shoals,624
East New Britain Prov.,615
Islas Revillagigedos,605
Hawaiian Ids.,599
American Samoa,593
Ryukyu Archipelago,589
Rock Is.,587
Andaman Islands,581
Negros Oriental Prov.,580
Society Is.,578
îles chesterfield,571
Leeward Antilles,571
Lubang PAIC,563
Samoa Ids.,558
Madeiras,557
Cocos (Keeling) Islands,551
Eastern Visayas,550
Archipiélago de Chiloé,549
îles marquises,547
Line Is.,545
Taiwan,544
Red Sea,530
Pelican Cays,526
Enewetak Atoll,523
Virgin Ids.,522
The Grenadines,519
Galápagos Archipelago,509
Mariana Ids.,507
Guadeloupe,504
Banda Islands (Kepulauan Banda),499
Luzon Island Group,498
cap-vert,494
îles loyauté,491
Gulf of Aqaba,474
Phoenix Islands,474
Tres Marias Ids.,463
North Solomons Prov.,462
Shumagin Islands,460
Mindanao Group,456
Great Barrier Reef,455
Orkney Islands,448
Viti Levu Ids.,422
"Sulu Archipelago, Sibutu Group",418
Cayman Islands,410
Pohnpei State,401
Malaku Islands,400
Florida Islands,398
Sulu Ids.,391
Chesterfield Islands,389
Sabah State,383
des açores,382
wallis-et-futuna,375
Paracel Is.,374
crozet,360
Bahrain,358
New Ireland Prov.,356
Cape Verde Islands,355
Fiji Islands,353
Senyavin Islands,350
Izu Islands,347
Aleutians,343
New Zealand,338
CHANNEL IS,335
Agusan Prov.,334
Palawan Prov.,331
"Archipiélago de San Andrés, Providencia y Santa Catalina",329
Pohnpei Is.,329
Islas Coronados,327
Inner Islands,327
Leyte Prov.,323
Islas Grandes,322
Zanzibar Archipelago,322
Tubuai Islands,322
Outer Hebrides,319
Polillo Ids.,317
Society Islands*,317
Western Prov.,316
Camotes Ids.,312
Chatham Islands,309
Wake Is.,308
Carrie Bow Cay,305
Saudi Arabia,301
Pitcairn Group,300
Ogasawara Islands,300
Tawi-Tawi group,299
Lomaiviti Group,299
Shetland Islands,293
India,290
South Shetland Islands,287
Ryukyu Is.,287
Islas San Benito,286
Palawan Island,286
Nicobar Islands,284
Kermadec Islands,283
Coronados,282
Minami Tori Shima,281
Vanuatu(i.),281
San Benito Ids.,277
Gilbert Islands,276
New Guinea,276
Samoa Islands,274
Gulf Prov.,273
Fox Islands,271
San Blas Archipelago,265
North Solomon Islands,262
Queen Elizabeth Islands,261
Babuyan Is.,261
Kabaena Island,257
Calamian Ids.,257
Amirante Islands,256
Hermit Islands,256
Solomon Is.,255
Tokelau Islands,255
Louisiade Archipelago,254
Cook Ids.,253
South Georgia and the South Sandwich Islands,250
des salomon,249
Aleutian Is.,248
Marshall Ids.,246
Visayan Islands,235
Gambier Islands,233
Mentawai Islands,229
Banggai Islands,224
Bimini,224
Nggela Islands,223
Malaysia (Peninsular),222
New Hebrides Ids.,222
Lower Cook Is.,219
South Africa,219
Commonwealth of the Northern Mariana Islands,216
Halmahera Islands,216
Florida Keys,215
Cebu Island,213
Kurile Islands,212
Sri Lanka,211
Sibutu Group,210
Trang Prov.,207
Jolo Group,207
Malta,204
Senyavin Is.,204
Macclesfield Bank,203
Coronado Ids.,202
