islandgroup,reps
,18843701
Greater Antilles,89395
British Isles,52113
Hawaiian Islands,42285
Maritime Southeast Asia,33444
Alexander Archipelago,23295
West Indies,22674
Lesser Antilles,21483
Solomon Islands,18311
Morobe Prov.,15335
Greater Sunda Islands,14165
New Caledonia,12424
Indonesian Archipelago,11830
Vanuatu,9426
New Guinea Ids.,9365
Mindanao PAIC,9095
Leeward Islands,8845
Aleutian Islands,8610
Fiji,7731
Japanese Archipelago,7715
Luzon PAIC,7708
Galápagos,6235
Lesser Sunda Islands,6128
Maluku Islands,6113
Bahamas,5650
Ralik Chain,5613
Caroline Ids.,5499
Palau Islands,5404
Galapagos Ids.,5156
Windward Islands,5095
Channel Islands,4863
Milne Bay Prov.,4799
Caroline Islands,4289
Viti Levu Group,4015
Virgin Islands,3876
Samoan Islands,3781
Ryukyu Ids.,3647
Bismarck Archipelago,3528
Mascarene Islands,3461
Bahama Islands,3354
West Sepik Prov.,3301
Galapagos Is.,3245
Sunda Islands,3147
Luzon Islands,3086
Japan,3083
Line Islands,2989
Vancouver Island,2941
Visayas,2929
kerguelen,2926
New Caledonia Ids.,2893
Indonesia,2786
Falkland Islands,2657
Marshall Islands,2621
Central Prov.,2513
Pribilof Islands,2485
Northwestern Hawaiian Islands,2476
Tuamotu Archipelago,2411
Kodiak Archipelago,2410
Singapore,2338
Hawaiian Is.,2330
Galapagos Archipelago,2301
Southern Highlands Prov.,2278
Society Islands,2275
Yap Is.,2272
Santa Cruz Islands,2268
North Solomon Ids.,2227
Visayan PAIC,2068
Haida Gwaii,2034
Marquesas Islands,2004
Malay Archipelago,1897
Loyalty Islands,1805
Queen Charlotte Islands,1766
Aldabra Group,1730
Northern Mariana Islands,1698
Leeward Ids.,1665
Vanua Levu Group,1658
Philippine Islands,1633
Marianas,1626
Mindoro PAIC,1611
Lord Howe Island,1608
New Georgia Islands,1596
Papua [= Irian Jaya],1564
Revillagigedo Is.,1531
Islas Revillagigedo,1528
Madang Prov.,1526
Channel Ids.,1502
Grenadines,1485
ABC Islands,1479
des vanuatu,1478
Long Island,1438
des philippines,1436
Gulf of California Islands,1434
Mariana Islands,1397
Vavau Group,1389
Seychelles,1330
îles salomon,1309
Lau Group,1291
société,1275
Archipiélago de Galápagos,1272
Mindanao,1254
Tonga Islands,1241
Moluccas,1215
Islas Canarias,1197
Capricorn Group,1176
Islas Marías,1160
Rotuma Group,1158
Pahang State,1142
Johnston Atoll,1124
Palawan PAIC,1116
Bermuda,1091
Commander Islands,1088
Cargados Carajos Shoals (Saint Brandon Rocks),1083
Tongatapu Group,1078
Ryukyu Islands,1046
Shepherd Islands,1024
Western Highlands Prov.,1016
Palau SW Islands,1009
Ratak Chain,995
Dry Tortugas,991
Banks Islands,984
Bermuda Islands,975
Philippines,967
East Sepik Prov.,948
Babuyan Island Group,948
Canadian Arctic Archipelago,946
Cook Islands,940
"Sulu Archipelago, Tawi-Tawi group",935
Batanes Islands,932
Ha'apai Group,917
South Georgia Islands,899
Viti Levu,894
Tawi Tawi Group,893
Papua New Guinea,883
San Francisco Bay Islands,878
Mindanao Islands,874
Pearl Islands,873
Galápagos Archipelago,845
Azores,804
Admiralty Islands,801
Visayas Islands,795
Calamian Group,795
São Tomé,786
San Blas Islands,785
Solomon Ids.,782
Duff Islands,779
Midway Atoll,776
Austral Islands,774
Chimbu Prov.,769
Selangor State,769
Tonga,764
Leeward Antilles,748
San Juan Islands,745
Northern [= Oro] Prov.,742
Oman,741
New Hebrides,735
Turks and Caicos Islands,728
Suluwesi Island,727
Farallon Islands,726
Comoros,710
Sulu Archipelago,709
Pitcairn Islands,707
Romblon PAIC,691
Line Ids.,680
New Georgia Group,668
Stewart Islands,667
Central Visayas,660
Galapagos Islands,653
Maldive Islands,651
Revillagigedo Ids.,649
Comoros Islands,640
grandes antilles,638
French Frigate Shoals,624
East New Britain Prov.,615
Carrie Bow Cay,610
Hawaiian Ids.,598
American Samoa,593
Ryukyu Archipelago,588
Rock Is.,587
Negros Oriental Prov.,580
Andaman Islands,578
Society Is.,577
Illes Balears,575
îles chesterfield,571
Lubang PAIC,563
Madeiras,554
Cocos (Keeling) Islands,551
îles marquises,547
Line Is.,545
Taiwan,544
Red Sea,530
Pelican Cays,526
Enewetak Atoll,523
Virgin Ids.,522
The Grenadines,511
Mariana Ids.,507
Guadeloupe,504
Banda Islands (Kepulauan Banda),499
cap-vert,494
îles loyauté,491
Luzon Island Group,490
Aleutians,475
Gulf of Aqaba,474
Archipiélago de Chiloé,468
Tres Marias Ids.,463
North Solomons Prov.,462
Samoa Ids.,461
Great Barrier Reef,455
Shumagin Islands,455
Mindanao Group,454
Phoenix Islands,453
Orkney Islands,447
Tierra del Fuego,446
Viti Levu Ids.,426
Florida Islands,419
"Sulu Archipelago, Sibutu Group",418
Pohnpei State,401
Malaku Islands,398
Sulu Ids.,391
Chesterfield Islands,389
Sabah State,383
Cayman Islands,383
des açores,382
wallis-et-futuna,375
Paracel Is.,373
crozet,360
Bahrain,358
New Ireland Prov.,356
Cape Verde Islands,355
Fiji Islands,353
Senyavin Islands,351
Izu Islands,347
CHANNEL IS,335
Agusan Prov.,334
New Zealand,333
Palawan Prov.,331
Pohnpei Is.,329
"Archipiélago de San Andrés, Providencia y Santa Catalina",328
Leyte Prov.,323
Zanzibar Archipelago,322
Islas Grandes,322
Tubuai Islands,321
Islas Coronados,321
Inner Islands,319
Outer Hebrides,319
Society Islands*,317
Polillo Ids.,317
Western Prov.,316
Camotes Ids.,312
Turks & Caicos Islands,308
Wake Is.,308
Chatham Islands,307
Saudi Arabia,301
Ogasawara Islands,300
Pitcairn Group,300
Tawi-Tawi group,299
Lomaiviti Group,294
Shetland Islands,293
India,290
Ryukyu Is.,287
Islas San Benito,286
South Shetland Islands,286
Palawan Island,284
Kermadec Islands,283
Nicobar Islands,283
Coronados,282
Minami Tori Shima,281
Vanuatu(i.),281
San Benito Ids.,277
New Guinea,276
Gilbert Islands,276
Gulf Prov.,273
Fox Islands,270
San Blas Archipelago,265
North Solomon Islands,262
Babuyan Is.,261
Calamian Ids.,257
Kabaena Island,256
Amirante Islands,255
Tokelau Islands,255
Hermit Islands,255
Solomon Is.,254
Louisiade Archipelago,254
Cook Ids.,253
South Georgia and the South Sandwich Islands,250
des salomon,249
Samoa Islands,247
Aleutian Is.,246
Marshall Ids.,246
Queen Elizabeth Islands,241
Gambier Islands,233
Mentawai Islands,229
Islas Baleares,229
Bimini,224
Banggai Islands,224
Malaysia (Peninsular),222
New Hebrides Ids.,222
Nggela Islands,222
South Africa,219
Lower Cook Is.,218
Commonwealth of the Northern Mariana Islands,216
Cebu Island,212
Sri Lanka,211
Trang Prov.,207
Sibutu Group,207
Jolo Group,207
Malta,204
Senyavin Is.,203
Macclesfield Bank,202
Coronado Ids.,202
Tongatapu ids.,201
Palliser Islands,201
Netherlands Antilles Ids.,201
Southern Exuma Cays,200
Halmahera Islands,200
des canaries,198
Kepulauan Seribu,197
Islas de Todos Santos,197
Pribilof Ids.,196
Aru Islands,196
Bonin Islands,196
Marquesas Is.,195
Arquipélago do Marajó,194
Borneo,193
Near Islands,191
Perak State,190
Babuyan Islands,190
Batan Islands,187
Rennell Islands,187
Florida Keys,186
Bahama Ids.,186
Eastern Highlands Prov.,186
Samoa,186
Luzon,185
Azores Islands,184
Kashevarof Islands,183
Philippine Ids.,181
Canary Islands,180
ISLAS REVILLAGIGEDOS,177
Bay Islands,176
Abaco Islands,174
Mamanuca Islands,174
Kadavu Group,173
Archipel des Kerguelen,173
Chuuk State,172
Kenya,169
Zamboanga del Norte Prov.,166
Juan Fernández Archipelago,165
Khorat Prov.,164
Islas Desventuradas,163
Andaman Is.,161
Russell Islands,158
Seychelles Islands,156
Southern Gulf Islands,156
Batanes PAIC,155
Andreanof Islands,153
Thousand Islands,151
Santa Cruz Is.,149
Barren Islands,149
Vava'u Group,149
Jawa Barat Prov.,145
Farallon Ids.,144
Thailand,139
Sangihe Is.,137
Cayman Ids.,136
Sula Islands,135
Exuma Cays,135
aldabra,134
Tristan da Cunha,131
Chuuk Atoll,131
Rat Islands,130
Sulawesi,127
Chuuk Islands,126
Togian Islands,126
Vientiane Prov.,125
Magdalen Islands,124
Visayan Islands,123
Chagos Archipelago,121
National Capital District,121
Rotuma,120
Svalbard,120
Walters Shoal,119
Canary Is.,118
Tristan da Cunha Islands,117
Bimini Islands,116
Mariana Is.,116
Bikini Atoll,115
Red Sea Coast North Group,115
Western Australia,115
Trobriands,114
Marinduque,113
Manua Islands Group,112
Islas Tres Marias,111
Tanzania,109
Duke of Kirk Group,108
Marianas Islands*,108
Islas de la Bahía,106
Caroline Islands*,106
Ringgold Isles,104
Pulau Pari Group,103
Semidi Islands,102
Cuyo Islands,101
Hong Kong,101
Balicuatro Islands,100
Andros Island,99
Channel Is.,98
Little Bahama Bank,98
Osumi Shoto Ids.,97
Yap State,97
Kuwait,95
Seychelle Ids.,94
Farquhar Group,93
Kyonggi-do Prov.,93
Faroe Islands,92
Islas Juan Fern�ndez,92
Kurile Islands,92
Davao Prov.,92
Hoorn Islands,90
Ragged Islands,90
Krenitzin Islands,90
Kedah State,89
"Sulu Archipelago, Sibutu group",88
Phoenix Is.,88
Yap Islands,87
Perlas Archipelago,85
Grand Manan Islands,84
Moala Group,83
Gulf of Guinea Islands,82
Schouten Islands [Kepulauan Biak],82
Santa Cruz Ids.,81
Berry Islands,78
indonesien,78
Balabac Islands,77
Cocos Islands,77
Moscos Is.,76
Tierra del Fuego Islands,75
Rongelap Atoll,74
Tres Marias Islands,74
mariannes,74
unknown,74
tuamotu,74
Hebrides,73
Dampier Archipelago,73
Johor State,73
Leyte Islands,72
Inagua Islands,72
Bohol Islands,72
Grand Manan Archipelago,71
Trinity Islands,70
Loyalty Is.,69
Seram Group (Ceram Group),69
Florida Is.,69
