waterbody,reps
,18041659
North Pacific Ocean,200876
Pacific,148111
Eastern North Pacific Ocean,127851
South Pacific Ocean,97690
Pacific Ocean,86600
Caribbean Sea,77564
Indian Ocean,58593
Atlantic,52450
Atlantic Ocean,47870
North Atlantic Ocean,32736
Gulf of Mexico,24738
"Atlantic, Caribbean Sea",22586
Indian,18524
Bering Sea,18445
"Atlantic, Gulf of Mexico",12074
North Atlantic,10974
South China Sea,8611
Mediterranean Sea,7326
"North Sea, Southern Bight",6174
Indo-Malayan Region,6135
Chattahoochee River - Apalachicola River,5743
Gulf of Alaska,5596
Gulf of Thailand,5512
South Atlantic Ocean,5508
North Pacific,5113
Gulf of California,4770
Maritime Southeast Asia,4483
Neuse R.,4276
South Pacific,4173
Río Cinaruco,3438
Tallapoosa River - Alabama River - Mobile Bay,3422
French Broad R.,3411
Napo,3393
Atlantic Ocean; Caribbean Sea,3372
Arkansas River,3204
Essequibo River,3120
Red River,3066
Alabama River,2839
San Francisco Bay,2812
Neosho,2728
Tallapoosa River - Alabama River,2721
Dan R.,2716
Tennessee River,2658
Bering Strait,2640
Eastern Pacific Ocean,2492
Chukchi Sea,2464
Rio Orinoco,2440
Tar R.,2372
maroni,2280
Rocky R.,2245
Amazon,2170
Cape Fear R.,2140
Apalachicola River,2132
Tasman Sea,2123
Haw R.,2094
"Atlantic, Mediterranean Sea",2081
R. Amazonas basin,2071
Molucca Sea,1999
Mar de Cortés,1985
Little R.,1965
Lumber R.,1947
Lake Texoma,1946
Cimarron River,1938
"Pacific, Sulu Sea",1880
Coosa River - Alabama River,1874
"Indian, Red Sea",1864
Gulf of Guinea,1801
niger,1790
Deep R.,1744
Catawba R.,1705
amazone,1689
"North Atlantic Ocean, Mediterranean Sea",1634
Canadian River,1633
Piney Creek,1620
Waccamaw R.,1611
North Sea,1608
Coral Sea,1586
SOUTH PACIFIC,1576
Atlantic Ocean; Gulf of Mexico,1572
Río Orinoco,1466
"North Pacific Ocean, Bering Sea",1436
Pee Dee R.,1433
Yadkin R.,1416
"Indian, Red Sea, Gulf of Aqaba",1364
Solomon Sea,1354
Puget Sound,1304
Illinois River,1280
congo,1277
2007,1269
Beaufort Sea,1240
Tennessee River - Ohio River - Mississippi River,1239
Arabian Sea,1193
Buncombe Creek,1187
Rupununi River - Essequibo River,1187
Little River,1176
Sargasso Sea,1176
Coosa River - Alabama River - Mobile Bay,1164
North Canadian River,1161
Kiamichi River,1127
Red Cedar River,1121
Laguna Tortuguero,1108
"Pacific, Bering Sea",1073
NORTH PACIFIC,1065
Timor Sea,1064
Fraser River,1052
Roanoke R.,1024
l.tchad,1023
Colorado River,1004
Rio Caura,984
Central Pacific Ocean,977
Cahaba River - Alabama River - Mobile Bay,966
Bay of Bengal,956
Java Sea,955
Kaneohe Bay,952
Contentnea Creek,942
"Atlantic, Chesapeake Bay",933
"Pacific, South China Sea",929
Western Indian Ocean,920
Northeast Cape Fear R.,901
Southern Ocean,888
