nomenclaturalCode,reps
ICBN,2395
ICN,7
"Blows, William T. 2001. Dermal armor of the polacanthine dinosaurs., in Carpenter, Kenneth. The Armored dinosaurs. 363-385.",1
unknown,6547
,6191749
ICZN,13417553
"Ginsburg, Leonard. 1962. Les Tritylodontes. Problemes actuels de Paleontologie ( evolution des vertebres). 104: 187-192.",1
noncompliant,4539
Animalia,288
undefinable,7
