sex,reps
in question,8259
m; skel,1031
na,39
incubation,47
"male,male",798
"skel, skull, shell",161
age 113 days,1
"larvae, day 19",1
sv 34; c&s,1
"males,male",85
"male,males",89
1 adult,10
female with eggs and tuberculate males,1
han,110
male male,322
f; sv 80.5; c&s,1
skin,55
female; male,50
m; sv 75.0; c&s;  + skull,3
m; sv 33; c&s,3
f; sv 72.1; c&s,1
juv; skel,11
108 hr larvae,1
"larvae, stage 40, sv 25.3 tl 63.2; c&s",1
o?,7
f; sv 28.6; c&s,1
f; sv 23.3; c&s,2
f;,139
m; sv 70.5; c&s,1
measurements color etc,24
checked,39
4,11
original data specifies a mix of male and female specimens,2
male(s) & female(s),37
1f + 2m,22
eft; c&s,47
normal adult; c&s,10
m; sv 66.8; c&s,1
f; sv 62.1; c&s,1
"c&s, 13.3 mm svl",1
f; sv 72.2; skel,1
one,10
based,1
presumed male,1
both specimens female,1
1f + 3m,10
embryos; c&s,2
juv; c&s; sv 29.0,1
c&s m; sv 28.5,7
f; sv 19.1; c&s,3
"larvae, gosner stage 36, sv 26.8 tl 64.5; c&s",1
-,11
m; sv 34.9;  + ser-sec 4th right toe,1
soft-parts,1
+ c&s skull,3
+  skull,5
no,5
1000 adults,1
4 adults,10
female with eggs,7
002,3
her,1
f; juv; c&s,6
skel;m,4
sv 307; c&s,1
embryos,9
m; sv 48.8  + ser-sec 4th right toe,1
f; with eggs,2
dry,4
adult female,1
2 females full of eggs,1
m; sv 58.2; c&s,1
f; sv ca 20; c&s,1
from ku 260289 (as x9998),12
"larvae, c&s",13
f; sv 67.5; c&s,2
"m; tl 1793 ,  t 211",1
m; sv 46.6; c&s,1
c&s + skull +skin + guts,6
m; sv 95.0; c&s;  + skull,1
not recorded; female,17
17.5,3
"larvae, day 5",1
tl 248,1
fe ?,1
multiple animals of mixed sex,1
sv 35; c&s,2
f; sv 71.6 ; skel,1
immature male?,3
1f et 2m,1
2f + 7m,2
road kill,3
f; sv 74.0; c&s;  + skull,2
"larvae, stage 39, sv 24.2 tl 55.3; c&s",1
+head +vertebrae,2
m; sv 71.5; skel,1
"larvae; c&s, stage 26",4
quality,3
females full of eggs,2
by plumage.,2
m; sv 27.8; c&s,1
m; sv 18.2; c&s,1
"m; tl 1252 , t 208",1
could,1
m; sv 71.5; c&s;  + skull,1
f; sv 23.5; c&s,3
f; sv 45.6; c&s,2
"larvae, stage 46, c&s",1
"larvae, day 17",1
f; sv 35.0; c&s,2
f; sv 34; c&s,2
f; sv 43.6; c&s,2
dried,1
m; sv 52.6; skel,1
2adults,2
in,1
original data specifies sex as female,2
001,3
1f + 1ju,1
sv 27; c&s,5
m; sv 57.9; c&s,1
"f; tl 1689 , t 245",1
"larvae, stage 36, sv 19.4 tl 46.1; c&s",1
recorded,1
shell only,6
275,3
adultsl,1
implied,1
f; sv 36.7; c&s,1
m; sv 60.5; c&s;  + skull,2
57 day larvae,1
m; sv 89.0; skel,1
"juv, sv 24.9; c&s",1
f; sv 76.0; skel,1
150,1
4f + 5m,1
m; sv 20.7; c&s,2
46 day larvae,1
"f; tl 375, t 81; skin only;  + skel",1
"f; tl 660, t 145; skin only;  + skel",1
f; sv 31.0; c&s,2
m; sv 39.9  + ser-sec 4th right toe,1
24,1
5 adults,2
belton,3
f; sv 24.2; c&s,1
"skel, f sv 81.5",2
m; sv 49.0; c&s,1
stage 37 larvae,2
f; sv 52.6; skel,1
f; sv 31.5; c&s,1
f; sv 39; c&s,1
f; sv 49.5; c&s,4
1 adult male,3
20,4
026,1
"not recorded , male",1
m; sv 78.0; c&s;  + skull,1
f; sv 126.0; skel,1
"larvae, 10 days",1
m; sv 35.4; c&s,1
listed in book,1
captive,1
"larvae, stage 38, sv 33.6; c&s",1
f; sv 43.7; c&s,2
"larvae, stage 37, sv 11.4, tl 38.1; c&s",1
"m; tl 1544 , t 221",1
shell (upper) only,1
sv 70.3; c&s,1
"larvae, day 14",1
stage 31 larvae; sv 11.8 tl 23.5; c&s,1
"hatchling, egg shell",2
c&s;  + ser-sec embryo,1
"f; tl 1640 , t 220 , 7 embryos",1
yng.,1
f; sv 30.3; c&s,1
3 juv,3
due,1
no evidence of developed gonads,1
f; sv 30; c&s,1
"larvae, stage 36, sv 32.0; c&s",1
"larvae, stage 46, sv 19.0; c&s",1
gonads destroyed,5
m; sv 43.1; c&s,1
"c&s f; sv 38.0,  +  skin , guts",1
200,3
"juv,  c&s; sv 33.3",1
f; sv 121.5; skel,1
"larvae, stage 42, sv 12.7, tl 38.0; c&s",1
dissected,2
female 114 grams,1
shell parts,2
stage v; c&s,2
"larvae, stage 35, sv 15.4 tl 36.9; c&s",1
probably female,2
hermaphrodites,3
original data indicates sex of #654 as female,1
"1 female with eggs (51mm), 2 males (66mm)",1
f; sv 55.0; skel,1
m; sv 88.6; skel,1
f; sv 100.0; c&s;  + skull,1
+  alc. skull; f;,1
m; sv 24.5; c&s,1
f; sv 25.4; c&s;  + skin,1
m; sv 28.6  + ser-sec 4th right toe,1
f; ser-sec ?,2
stage ii; c&s,3
n/a,2
of other bird,1
c & s,5
"f; tl 1875 , t 260",1
sv 45,1
5f + 2m,2
2m+1juv,1
stage 40 larvae,3
m; sv 115.0; c&s;  + skull,1
