language,reps
,3952129
Dried Specimen,2
"Fluid Specimen, Tissue",3156
es,4400
eng,301763
Fluid Specimen; Tissue,49
Skeletal,17
"Skeletal Specimen, Dried Specimen",1
Fluid Specimen,2338
EN,191424
Skeletal Specimen,32
English,1250538
en,13917137
"Skeletal Specimen, Tissue",12
Cleared and Stained Specimen,3
Skeletal specimen,2
Fluid Preserved,83
"Skeletal Specimen, Tanned Specimen",1
