typeStatus,reps
PARATYPE,9180
paratype,34183
"""basis of illustration of <a href=""http://arctos.database.museum/name/Equus"">Equus</a> in <a href=""http://arctos.database.museum/publication/10006666"">Mann et al. 2013</a>""",90
Syntype; Lectotype,33
Syntype?,84
"HOLOTYPE OF TERENURA HUMERALIS TRANSFLUVIALIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 160, PUBLISHED 2 DECEMBER 1927.",1
"HOLOTYPE OF HABIA RUBICA CRISSALIS, PARKES, K. C. 1969. TWO NEW SUBSPECIES OF THE RED-CROWNED ANT TANAGER HABIA RUBICA FROM VENEZUELA, WITH REMARKS ON COLOMBIAN POPULATIONS. BULL. BRIT. ORN. CLUB, 83-85. PAGE 83, PUBLISHED 5 JUNE 1969.",1
TOPOTYPE OF HABIA RUBICA MESOPOTAMIA PARKES,7
TOPOTYPE OF CIRRHIPIPRA FILICAUDA SUBPALLIDA TODD,4
TOPOTYPE OF PHOENICOTHRAUPIS ALFAROANA RIDGWAY,10
SYNTYPE OF ORIOLUS CINEREOGENYS BOURNS & WORCESTER,2
"PARATYPE OF RHOPTROPUS BOULTONI, SCHMIDT, 1933, ANN. CARNEGIE MUS., 22:7",22
"PARATYPE OF GYRINOPHILUS PORPHYRITICUS INAGNOSCUS, MITTLEMAN, 1942, PROC. NEW ENGLAND ZOOL. CLUB, 20:27",1
"PARATYPE OF LANKASCINCUS GANSI, GREER, 1991, J. HERP. 25(1):62",18
syntype,7861
Paratype of Diglossa venezuelensis,7
PARATOPOTYPE,12
Paratype of Muntiacus putaoensis,8
Holotype of Phyllostomus hastatus panamensis (Allen),1
PARATYPE NOTES,31
FIG,4177
"""paratype of <a href=""http://arctos.database.museum/name/Rana lemosespinali"">Rana lemosespinali</a> in <a href=""http://arctos.database.museum/publication/10007323"">Smith and Chiszar 2003</a>""",4
PARATOPOTYPES OF RANA PUEBLAE,1
PARATOPOTYPE OF GEOPHIS INCOMPTUS,4
PARATYPE OF LEIOLOPISMA ASSATUM TAYLORI,1
paratopotype,61
PARATYPE OF CNEMIDOPHORUS CRYPTUS,17
PARATOPOTYPE OF THORIUS PULMONARIS,1
PARATOPOTYPE OF CALUMMA TSYCORNE,11
HOLOTYPE OF LEUROGNATHUS MARMORATA ROBORATA,1
PARATYPE OF ELEUTHERODACTYLUS PATRICIAE,19
"""voucher of <a href=""http://arctos.database.museum/name/Bolitoglossa dunni""><i>Bolitoglossa dunni</i></a>, page 4 in <a href=""http://arctos.database.museum/publication/10000154"">McCranie and Wilson 1993</a>""",5
"""paratype of <a href=""http://arctos.database.museum/name/Fundulus waccamensis"">Fundulus waccamensis</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus boylii"">Peromyscus boylii</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",46
syntypes,215
syntype?,36
hypoparatype,2
"""voucher of <a href=""http://arctos.database.museum/name/Cyanocompsa parellina"">Cyanocompsa parellina</a>, page 27 in <a href=""http://arctos.database.museum/publication/10006461"">Moore 1938</a>""",17
"""voucher of <a href=""http://arctos.database.museum/name/Falco sparverius"">Falco sparverius</a>, page 243 in <a href=""http://arctos.database.museum/publication/10006463"">Moore 1946</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax difficilis"">Empidonax difficilis</a>, page 370 in <a href=""http://arctos.database.museum/publication/10006359"">Moore 1940</a>""",35
"""voucher of <a href=""http://arctos.database.museum/name/Lonchophylla thomasi"">Lonchophylla thomasi</a>, page 476 in <a href=""http://arctos.database.museum/publication/10004319"">Woodman and Timm 2006</a>""",9
"""voucher of <a href=""http://arctos.database.museum/name/Puma concolor"">Puma concolor</a>, page 15 in <a href=""http://arctos.database.museum/publication/10006576"">Miller, FW. 1930</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax flavescens"">Empidonax flavescens</a>, page 29 in <a href=""http://arctos.database.museum/publication/10006358"">Moore 1940</a>""",14
"""voucher of <a href=""http://arctos.database.museum/name/Crotalus enyo"">Crotalus enyo</a>, page 555 in <a href=""http://arctos.database.museum/publication/10004325"">Taylor 2001</a>""",29
"""paratype of <a href=""http://arctos.database.museum/name/Batrachoseps robustus"">Batrachoseps robustus</a>, page 1017 in <a href=""http://arctos.database.museum/publication/10001844"">Wake et al. 2002</a>""",57
"""paratopotype of <a href=""http://arctos.database.museum/name/Batrachoseps minor"">Batrachoseps minor</a>, page 65 in <a href=""http://arctos.database.museum/publication/10001787"">Jockusch et al. 2001</a>""",19
"""paratype of <a href=""http://arctos.database.museum/name/Aneides flavipunctatus niger"">Aneides flavipunctatus niger</a>, page 132 in <a href=""http://arctos.database.museum/publication/10000359"">Myers 1948</a>""",62
"""paratopotype of <a href=""http://arctos.database.museum/name/Batrachoseps kawia"">Batrachoseps kawia</a>, page 11 in <a href=""http://arctos.database.museum/publication/10001764"">Jockusch et al. 1998</a>""",16
"""voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus longicaudus"">Microtus longicaudus longicaudus</a>, page 390 in <a href=""http://arctos.database.museum/publication/10004787"">Frey et al. 2009</a>""",15
"""voucher of <a href=""http://arctos.database.museum/name/Dipodomys panamintinus"">Dipodomys panamintinus</a>, page 365 in <a href=""http://arctos.database.museum/publication/10004452"">Hafner 1978</a>""",13
"""voucher of <a href=""http://arctos.database.museum/name/Dipodomys merriami melanurus"">Dipodomys merriami melanurus</a>, page 1007 in <a href=""http://arctos.database.museum/publication/10005415"">Alvarez-Castañeda et al. 2009</a>""",43
"""voucher of <a href=""http://arctos.database.museum/name/Thomomys bottae albatus"">Thomomys bottae albatus</a>, page 673 in <a href=""http://arctos.database.museum/publication/10006301"">Álvarez-Castañeda 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Thomomys bottae albatus"">Thomomys bottae albatus</a>, page 673 in <a href=""http://arctos.database.museum/publication/10006301"">Álvarez-Castañeda 2010</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 365 in <a href=""http://arctos.database.museum/publication/10004834"">Weckworth et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 919 in <a href=""http://arctos.database.museum/publication/193"">Weckworth et al. 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 7 in <a href=""http://arctos.database.museum/publication/10005395"">Weckworth et al. 2011</a>""",86
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 919 in <a href=""http://arctos.database.museum/publication/193"">Weckworth et al. 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 365 in <a href=""http://arctos.database.museum/publication/10004834"">Weckworth et al. 2010</a>""",16
"""voucher of <a href=""http://arctos.database.museum/name/Lepus arcticus"">Lepus arcticus</a>, page 3013 in <a href=""http://arctos.database.museum/publication/196"">Waltari and Cook 2005</a>""",30
"""voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 1431 in <a href=""http://arctos.database.museum/publication/10004893"">Weksler et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a> in <a href=""http://arctos.database.museum/publication/10006719"">Hope et al. 2013</a>""",26
"""voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 95 in <a href=""http://arctos.database.museum/publication/130"">Small et al. 2003</a>; voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 177 in <a href=""http://arctos.database.museum/publication/126"">Stone and Cook 2002</a>; voucher of <a href=""http://arctos.database.museum/name/Martes americana"">Martes americana</a>, page 2062 in <a href=""http://arctos.database.museum/publication/10004414"">Stone et al. 2002</a>""",2
