basisOfRecord	reps
Epitrix biscuta	1
Habit 2	24
Helimeda incrassata	2
Hypognatha lagoas	2
Larva	204
Marshallius sp2	1
Observation, Specimen	8516
Padina gymnospora	2
Polyrhaphis spinosa	10
Prosicoderus coronatus	1
Scaphiella	67
Scytodes eleonorae	12
Scytodes itapevi	11
Spatoglossum asperum	13
Zonarius Cinctus	2
cf. Thwaitesia	3
posterior tissue	3
118 specimens	1
Cladophora saracenica	1
Conotrachelus sp8	1
Epitrix domenica	23
Eulachnesia exotica	1
Lissonotus biguttatus	5
Microrhinus	7
Neoscona nautica	2
Nycerella	6
Passalus punctinger	36
Scopocira dentrichelis	1
Tapeina hylaeana	4
Tissue	22
Trigonexora gerentia	2
cf. Misumenops	1
to be vouchered:holdup/private	1312
102 specimens	1
29 specimens	11
70 specimens	2
Agasicles opaca	9
Anthonomus vesculus	4
Antitypona fica	1
Caeporis stigmula	9
Camillina	40
Carapoia  fowleri	44
Chaetacis picta	7
Conotrachelus sp9	1
Diomus cristopher	1
Drymusa  tobyi	1
Enna	2
Herbarium sheet	8859
Lygromma	5
Mesocordylus scutellaris	2
Metazygia laticeps	8
Myoxinus pictus	1
Nyssodrystes deletus	4
Ocrepeira	33
Saw  1	1
Sicoderus ibis	3
Somenes spinifer	3
Symphytognathidae	8
insect leg in 95% ETOH	1
larva	6
mounted specimen	49
1 specimen	4829
13 specimens	52
Acallepitrix isidis	184
BC ZSM HYM 07735	1
Babiohaltica corumbana	130
Brasilaphthona nuaregdima	1
Caulerpa verticillata	1
Cladophora subsimplex	3
Cratossomus hoplites	37
Cycnidolon batesianum	1
Dictyota atomaria	2
Dipoena olivenca	1
East Arm	3
Enteromorpha compressa	2
Enteromorpha tubulosa	11
Euophryinae	47
Genital preparation	382
Janula	4
Loboderes citiventris	21
Myrmarachne mocamboensis	1
Neotama mexicana	1
Nesticodes rufipes	2
Retiro	1
Saprinus semirosus	3
Agrianes subcostatus	1
Alpaida antonio	1
Amatorculus	2
BC ZSM HYM 07736	1
Chlorida fasciata	1
Chnoospora	1
