v_highestBiostratigraphicZone,reps
Level A3.4,2
Nicorella germanicus,2
"(S. Weller, 1900, bed no. 6)",2
Missiquoia - Corbinia apopsis,2
"Devonian Stage, G g1",2
Bed number 9,2
Brachiopod - Productus magnus Beds,2
Kimméridgien supérieur,2
Upper Pseudooneotodus bicornis Zone,2
Pinacoceras verchojanicum,2
Nevadella to Bonnia-Olenellus,2
hawskerense Ammonite Subzone,2
Malletoptychites kotchekovi,2
Bolaspidella *,2
Campanian,2
G. lobata Planktonic Foraminiferal zones,2
Eokochaspis nodosa Zone,2
Eognathodus sulcatus,2
Vercherites cf. pulchrum,2
Tetragraptus,2
Crioceratites loryi,2
Gravesia gravesiana,2
cf5 (base de la zone; Sous-zone cf4δ),2
Polygnathus inornatus Conodont Zone,2
NP19-NP20,2
"Little Rock Section, Bed No. 2",3
R. calcarata,3
Ermoceras primitifs,3
Strenoceras subturcatum,3
Prionoceras subtum,3
Ventricosa,3
Solenopleuropsis,3
Bathyurus sunbloodensis?,3
Zone NP 21,3
RZ4,3
Dispar,3
'Adiantites',3
Planula? Zone,3
Rhynchonella cuvieri Zone,3
Clarkina meishanensis-Hindeodus praeparvus,3
Inoceramus undulatoplicatus,3
Psiloceras tilmanni,3
Climacograptus pygmaeus-Paraclimacograptus manitoulinensis,3
Stoliczkai dispar,3
Holcoptychites neuquensis,3
Neogondolella constricta cornuta,3
B. bohemica,3
Garantiana garanti,3
Portisi,3
Belemnella mucronata,3
Cameraspis,3
Jinogondolella granti,3
16a,3
Unit 4,3
T-03b- Foveotricolpites perforatus,3
Parkinonia parkinsoni,3
Argentiniceras noduliferum,3
Gerhardtia galeatoides,3
Actinocamax quadratus Zone,3
NP 10 - NP 11,3
Cynognathus subzone B or C,3
Turneri,3
G0-gamma-1,3
Douvilleiceras mammillatum Zone,3
Kainella meridionalis,3
Morocconus notabilis,3
Palmatolepis marginifera-Palmatolepis trachytera,3
Kilianella otopeta,3
"P Goniatite Zone, P1c Goniatite Subzone",3
SBZ16-17,3
Lower hermanni- Upper subterminus Fauna,3
Ostrea lunata,3
Paragoceras,3
Sonninia altecostata,3
nodular layer,3
before Ptychagnostus punctuosus,3
Arnouldi,3
Taitzuia,3
Vandanchella dercourti,3
Monograptus distans,3
Platyceras,3
Inyoites,3
Sprifer brazerianus,3
Equisetites gracilis Zone (NATHORST),3
Neoschwagerina haydeni,3
Zone NP 20,3
Otoceras boreale,3
Unnamed 4,3
Ludwigia Murchisonae,3
N23 Zone,3
Monograptus  yukonensis zone,3
To III,3
Zone à Discus,3
taylori,3
Pernoceras dorsatum,3
Spinaptychus sp.,3
P. atavus,3
Kunmingaspis-Chittidilla,3
Mill Street conglomerate,3
Pseudoaspidoceras flexuosum,3
Shirbuirnia,3
Boreoceras demokidovi,3
"Arcuolenellus cf. megafrontalis zonule, subunit 3",3
Pseudothumannia ohmi,3
Hoplitocrioceras gentili,3
MP 10,3
Daixina robusta-Ultradaixina bosbytauensis,3
Mineralense,3
Pseudomonoclimacis,3
P10,3
subterminus Fauna?- Lower rhenana,3
Acidusus atavus and Ptychagnostus gibbus boundary,3
Liocereas opalinum,3
Adiantites Zone,3
Actinocamax plenus Zone,3
crassum Ammonite Subzone,3
MN 1,3
Monodiexodina sutschanica-Metadoliolina dutkevichi,3
Romaniceras ornatissimum,3
subterminus,3
MP19 or MP21,3
Dzhulfites zalensis,3
lamellatus shale of Division 1 B and C,3
Tryphyllopteris,3
Pagetiellus anabarus,3
Polygnathus timorensis,3
Ozarkodina hassi,3
Verrucosporites polygonalis - Dictyotriletes emsiensis spore zone,3
upper Metapolygnathus primitius,3
VI Miospore Biozone Assemblage,3
Doryagnostus incertus,3
Dokidocyathus regularis,3
Phaulactis,3
Symphysurina woosteri,3
Muderongia australis,3
Myophoria vulgaris,3
Stage G.g.1,3
?Metapolygnathus communisti/Metapolygnathus nodosus,3
Paradoxides bennetti beds,3
MP 25-26,3
Cardita beaumonti,3
Albertella Zone,3
Cedaria-Crepicephalus,3
Zone à Rupellense,3
bingmanni,3
Americare subzone,3
Trigonocerca typica - Presbynileus ibexensis,3
subglobosus,3
Zone à Mutabilis,3
Amaltheus stokesi Zone,3
Discoaster tamalis,3
Pissotensis (chitinozoaire),3
Eumorphotis hinnitidea,3
discites,3
Hauericeras sulcatum,3
Oryctocephalus,3
Olenekites spiniplicatus,3
late praesulcata,3
Bajarunia confusionensis beds,3
opalinum Zone; torulosum subzone,3
Bed 10,3
Cardioceras,3
Capnodoce Zone of Blome (1984),3
Chouteau Limestone,3
Arnioceras semicostatum-Echioceras raricostatum,3
Bristolia mohavensis,3
P1c,3
Clarkina bachmanni,3
Pericyclus princeps,3
Buchia pacifica,3
conodont,3
"Arcuolenellus cf. megafrontalis zonule, subunit 2",3
Jinogondolella xuanhanensis-granti,3
Solenopleura brachymetopa,3
Pre-Megapalaeolenus,3
Nevadites secedensis,3
Orthograptus ruedemanni,3
Plethopeltis-Dakeoceras,3
Colonograptus deubeli,3
semicelatum,3
MP21-22,3
Anahoplites intermedius Subzone,3
upper mutabilis and pseudomutabilis,3
Alborsella,3
Pa. crepida to Pa. marginifera,3
Neospathodus kummeli,3
Climacograptus manitoulinensis,3
upper portion of Paradoxides sacheri-Tomagnostus fissus,3
Sutneria platynota,3
Oxynoticeras oxynotum Zone,3
obtusum,3
Ptychagnostus gibbus and lowermost part of the Tomagnostus fissus Subzone of the Ptychagnostus atavus,3
Eostichomitra carnegiense,3
Eurycephalites gottschei,3
Riasanites rjasanensis,3
NP 12 Zone,3
Aulacosphinctes hollandi,3
Unit 9,3
Burckhardticeras ponti,3
? Tapinocephalus assemblage,3
Monodiexodina sutchanica-Metadoliolina dutkevichi,3
Pre-planorbis,3
Submortoniceras chicoense,3
Olenoides subzone,3
Rassetia magna,3
Parastrenoceras zapotecum,3
Subthurmannia boissieri,3
Divisum,3
MP 12,3
Polygnathus rhenanus,3
A. raricostatus Zone,3
MN5 to MN 9,3
Parkinsonia schloenbachi,3
exaratum,3
Holcoptychites neuqensis,3
Zone à Autissiodorensis,3
“subzone a” of the Nitzschia reinholdii Zone,3
Basiplana/stobaei,3
Normalograptus perscupltus,3
Paragloborites subglobosus–Purella squamulosa,3
Diplograptus ingens wellingtonensis,3
G0-gamma-2,3
Pectinatites hudlestoni Zone,3
subterminus Fauna,3
Triqueta,3
Alacoota fauna,3
"Peachella brevispina occurrence zone, subunit 3",3
Didymograptus simulans or Isograptus gibberulus,3
M4,3
3,3
Bukkenites rosenkrantzi,3
Daixina sokensis,3
Neoagnostus quadratiformis,3
Kozlowskia,3
Francovichia,3
Triplagnostus gibbus,3
Te,3
rhotomagense,3
Sunaspis laevis,3
Decipia decipiens,3
Palmatolepis rhenana,3
NP 24,3
Pycinodesma,3
MFZ5,3
Tosapecten efimovae,3
ldiognathodus sinuosus,3
inversus/laticostatus,3
Pectinatites hudlestoni and Pavlovia pallasioides,3
La Debruge Level,3
Dufrenoyia justinae,3
nassa-frequens,3
Windhauseniceras interspinosum,3
mariae to lower transversarium,3
Eccaparadoxides insularis - Ptychagnostus praecurrens,3
Lepidolina,3
Offaster pilula and Actinocamax quadratus,3
Cyrtospirifer,3
Euagnostus opimus,3
Bristolia bristolensis s. acme zonule,3
Zone à Retrocostatum,3
Ashgill Shelly Zone 5,3
Zigzag/Aurigerus,3
N9 Zone,3
Pterosirenites obrucevi,3
C? (zone C begins â€œwithin 10-20 feet of top of House limestoneâ€,3
Jinogondolella aserrata,3
Bed 1,3
Missella claudie,3
"J  (""K"" of Hintze, 1951)",3
inversus,3
Buchia fischeriana,3
Dieneroceras,3
Pterospathodus amorphognathoides angulatus,3
Prionoceras mrakibense,3
Bed No. 7,3
Tc,3
BIIIbeta,3
Iapetognahtus fluctivagus,3
lower tripapillatus-spicula Miospore Assemblage subzone,3
Ashgill Shelly Zone 6,3
late,259
NN11,515
Tritylodon Acme,4
MP 25?,4
Bostrchoceras polyplocum,4
crenulatus,4
Protrachyceras curionii,4
NP16-NP17,4
lusitanicum,4
Plagiura-Kochaspis,4
Redlichia chinensis - Cotenia gimelfarbi,4
Dolgeuloma abunda-Dolgeuloma dolganensis,4
Tornquistia,4
Gradata,4
Phragmodus-Plectodina,4
Calceolispongia,4
Metatissotia fourneli-Metatissotia ewaldi,4
Asery Level,4
Monodiexodina sutschanica,4
Cynognathus Subzone C,4
Monograptus yukonensis graptolite zone,4
Fittoni,4
Bouleiceras,4
Monograptus yukonensis Zone,4
1 lln3 Zone,4
Hupeolenus,4
terrestrial and marine vertebrates,4
Streptograptus nodifer,4
VCo spore Biozone,4
Hoekaspis yahuari,4
Elvinia/Conaspis,4
J-L (mixed?),4
Canadensis,4
Parahoplites nutfieldensis,4
Hyolithes-Allatheca,4
marginifera,4
obesum,4
Ketyna ketiensis-Monosulcatina laeve,4
Globorotalia pusilla pusilla,4
Calycoceras guerangeri,4
Primus,4
Tetractinella trigonella,4
Kochiproductus-Attenuatella,4
Choristoceras crickmayi,4
Baidites hermanni,4
zellerella hidalgoensis,4
Homolsomites bojarkensis,4
Verrucosisporites polygonalis - Dibtyotriletes emsiensis,4
Exogyra costata,4
Pa. punctata,4
Ctenopyge tumida,4
Leaia,4
Fissicostatus,4
Redlichia chinensis,4
Terebratula turneri Zone,4
S. maximus Subzone of the Polygnathoides siluricus Zone,4
"C (or possibly B), C starts â€œwithin 10 or 20 feet of the top of the sectionâ€",4
Baculites lomaensis,4
Venericardia wegeneri,4
Olcosterphanus,4
Bolbolenellus euryparia occurrence zonule,4
korostelevi,4
Motol beds,4
CP10-11,4
Bristolia,4
P. ludbrookiae,4
MZ9 or MZ10,4
Micraster coranguinum and Marsupites,4
laeviuscula,4
Stenopopanoceras mirabile,4
Choristoceras marshi-crickmayi,4
Labyrinthoceras,4
Desmoscaphites bassleri,4
Beyrichoceras,4
Palmatolepis expansa-Siphonodella praesulcata,4
Calygirtyoceras confusionense,4
Oryctocara,4
Poriagraulos nanum,4
Parabolina frequens argentina,4
Proximum,4
Inoceramud dimidius,4
Mobergella-Schmidtiellus mickwitzi,4
Bergeroniellus micmacciformis- Erbiella,4
Acidusus atavus,4
Paragloborilus-Siphogonuchites,4
Clydoniceras discus,4
Bed 4,4
Yunnanaspis-Yiliangella,4
Hesperornis,4
Raricostatum,4
Truelli,4
Manchuriella,4
UAZ 3-6 Baumgartner et al. 1995,4
Mantelliceras japonicum,4
Ponti,4
Zygobolba anticostiensis,4
semialternans/latifossatus,4
Paraceratitoides brotzeni,4
NP19-20,4
Kaolishania granulosa,4
Halobia zitteli,4
Ammonite zone sauzei,4
Metathisbites dawsoni,4
Pedavis latialatus,4
Nodotibetites nodosus,4
Holaster subglobosus and Inoceramus labiatus (Actinocamax plenus subzone),4
trigonatum,4
Bed No. 4,4
Cheiruroides arcticus-Changaspis transversus,4
Nodosus,4
Eudesia cardium,4
Pseudosubplannites ponticus,4
Acanthoceras muldoonense,4
upper mutabilis and lower pseudomutabilis,4
Liaoyangaspis,4
Olenus,4
Atrypa-Isorthis,4
Orthotichia-Septospirifer,4
Zone à Ibex,4
N7 to N8,4
fallaciosum,4
Orthograptus truncatus intermedius,4
Jinogondolella nankingensis,4
Neogondolella krystyni,4
Perisphinctes bifurcatus,4
Cistecephalus,4
p1 (Lower Bollandian),4
Prionoceras ouarouroutense,4
Reineickia anceps Zone,4
Neognathod askynensis,4
Parkinsonia parkinsoni,4
Marginotruncana schneegansi,4
subterminus Fauna?,4
praesulcata conodont zone,4
Nematograptus persculptus,4
Ancoradella ploeckensis - Polygnathoides siluricus,4
pertransiens,4
Kidney Seam,4
E2b1,4
Marsupites testudinarius,4
Epivirgatites nikitini,4
Nevadella-Holmia,4
top of Division II,4
Holkopollenites forix,4
Subvishnuites posterus,4
Oxydiscites taimyrensis,4
Dicynodon or Daptocephalus Assemblage Zone,4
Paraorthograptus paciflcus,4
Angulaticeras Marmoreum,4
Lower Palmatolepis marginifera Zone,4
woschmidtii,4
Palmatolepis norrisi,4
Ptychaspis-Prosaukia,4
P. gibbus,4
Megastoma Zone,4
D<sub>1/1</sub>,4
Pseudostaffela antiqua,4
latialatus-crispus,4
Marsupites,4
Furcata,4
Big Red,4
Tsvetkovites varius,4
Neogondolella planata,4
Parabolina spinulosa,4
Oxyceratites aspidoides Zone,4
Globorotalia fohsi foshi,4
HCII?,4
Alispiriferella lita-Kaninospirifer adressum,4
Ticinites polymorphus,4
Kockelella variabilis variabilis,4
Crinoid - Pisocrinus tennesseensis bed,4
Scaphites ferronensis,4
N19 Zone,4
archelaus,4
Lacunosella arolica,4
leptotheca,4
raricostatum,4
Bolbolenellus euryparia,4
Mamet 15,4
Acrograptus ellesae,4
P. punctuosus,4
Phacops potieri Zone,4
trilobite zone G-2,4
Aldanocyathus sunnaginicus - Dokidocyathus regularis,4
Duntroonian,4
Dorypyge richthofeni,4
Paratirolites trapezoidalis,4
Columbiae,4
NN13-15,4
Bristolia insolens occurrence zonule,4
Neseuretus tristani,4
Division 1c,4
Orthograptus amplexicaulis,4
Gymnotoceras blakei,4
Ostrea osiris,4
Bb,4
G-1 or G-2,4
Belemnitella woodi,4
Vavilovites turgidus,4
Zone G-1,4
Praeactinocamax plenus,4
Pycnodonte simile/Veneri cardia teneidensis,4
Triticites subcrassulus,4
Bristolia anteros occurrence zonule subunit 1,4
Mendozanus,4
Euomphaloceras septemseriatum,4
Bed no. 3,4
Gregoryceras transversarium,4
tripapillatus-spicula spore zone,4
nodular layer at the base of Cuyahoga Shale,4
Prionoceras lamellosum,4
Lenodus variabilis,4
MN8,4
Atavus,4
Goniagnostus nathorsti,260
Falciferum,5
4c,5
upper Palmatolepis triangularis,5
Pectinatites pectinatus,5
Collina chilensis,5
Bodenbenderi,5
semipolitum,5
Anomalinoides aegyptiacus,5
Neospathodus planus,5
N-O,5
Emileia giebeli,5
Bergeronites-Mansuyia,5
F-G2,5
Homoceras beyrichianum,5
Zone 7,5
"Arcuolenellus cf. megafrontalis zonule, subunit 1",5
Crucilobiceras densinodulum Zone,5
Palmatopsis falsiovalis,5
Jura 1,5
Terrakea concavum,5
"S Coral-Brachiopod Zone (Caninia), S1 Coral-Brachiopod Subzone (Caninia)",5
Annelid - “Lecthaylus Shale”,5
Afropollis jardinus/Cretaceaporites densimurus,5
Monograptus crispus,5
Gymnites,5
Asaphelina barroisi berardi-Taihungshania miqueli,5
spinosus,5
Prohecticoceras retrocostatum,5
falciferum,5
Juvarites beds,5
Aphanaia andrianovi,5
Garantiana,5
Eudoxus,5
m/u varcus,5
Calycoceras (Proeucalycoceras) guerangeri,5
Parahystricurus? zone,5
Ilsanella compressa,5
Humphresianum,5
Onchonotellus tchecurensis,5
Heckethornia bowiei,5
Taoqupognathus philipi,5
Mytiloides hattini,5
Didymograptus varicosus,5
Dumortieria pseudoradiosa,5
Eopteria,5
Olenus gibbosus,5
Baculites sp. (smooth) - Baculite perplexus,5
MN 3a,5
Ninella tarimensis - Cambroclavus fangxianensis,5
Ptyagnostus atavus or Leiopyge,5
Nephrolenellus multinodus occurrence zonule (subunit 2),5
Profusulinella copiosa,5
Crioceratites emericianus,5
Belemnopsis latesulcatus,5
Adaecyathus solidus,5
Malletoptychites kotchetkovi,5
Coilopoceras requienianum total range,5
Codonofusiella,5
Pseudofusulina ambigua,5
Costidiscus recticostatus,5
Broeggerolithus soudleyensis,5
Pragian,5
Trigonocerca typica - Pseudocybele nasuta,5
Verrucosisporites polygonalis - Dictyotriletes emsiensis,5
"Ammonite zones Humphriesianum, orbis and discus",5
Cyrtograptus lundgreni - Monograptus testis,5
Plesiadapis cookei,5
Bed number 4,5
CC 22,5
Bursachitina umbilicata,5
Paravascoceras tectiforme,5
Ammonite Zone Margaritatus,5
Ammonite zones concavum and bradfordensis,5
Mesophyllum sancti-dionysii,5
Pisocrinus,5
Nathorstites tenuis,5
Mammites nodosoides or Colligniceras woollgari,5
mariae and lower cordatum,5
Heckethornia hyndeae,5
Xystridura jielingensis,5
Aegyptiaca,5
Runcinatum,5
Romaniceras mexicanum,5
Olduvai min: zone,5
zone 34,5
Schluerterella kawadai Subzone,5
Trilobite - early Etcheminian fauna,5
Ozarkodina eurekaensis,5
Close to the Montmartre Level,5
Inoceramus hobetsuensis,5
MP 8–10,5
early postera,5
Zone à Parkinsoni,5
Polygnathus ansatus,5
Neospathodus cristagalli,5
Arthricocephalites-Changaspis,5
Eremnoceras coronatum,5
Pseudokeyserlingites guexi beds,5
middle Epigondolella triangularis,5
Hassi,5
Meekoceras beds,5
4b,5
Dicellograptus laticeps,5
Anabarites trisulcatus–Protohertzina anabarica / Siphogonuchites triangularis–Paragloborilus subglobosus,5
Solenopleuropsis verdiagana - S. riberoi,5
Montmartre Level,5
Tritortis kretaensis zone of Kozur and Mostler (1994),5
P14,5
Yiliangella-Yunnanaspis,5
Calvinella-Plethometopus,5
Kilinora spiralis,5
Helvetoglobotruncana helvietica,5
Dinophyton,5
Isarcica staeschei,5
Globorotalia crassaformis,5
Platyrachella oweni,5
Clarkina hambastensis,5
Soumailles reference level,5
Bed 2,5
Buchiceras bilobatum,5
Vabdaites sturzenbaumi,5
between Fons 4 and Perriere levels,5
Gnathodus typicus - S. anchoralis/S. latus,5
Pseudoschwagerina muongthensis,5
Dicellograptus gravis,5
Actinocamax quadratus,5
Bed number 7,5
Griestoniensis Zone,5
Hatchericeras patagonense,5
Groeberi,5
Dunbarula mathieui,5
Micromphylites clydocromphalus,5
Aurilobodus leptosomatus-Loxodus dissectus to Pygodus lunennsis to Pygodus anitae,5
Upper Icriodontid Subzone,5
Stephanoceras epalxites,5
Mobergella,5
hermanni-norrisi,5
cristatus,5
Streptograptus exiguus,5
Missisquoia depressa,5
Subcolumbites,5
D?,5
Adiantites,5
Neospirifer,5
Angelina sedgwickii,5
Bed 8,5
Adiantities Zone,5
Tapinocephalus,5
Barbatia merriami,5
Erixanium sentum,5
Holaster subglobosus,5
Pseudostaffella antiqua,5
"""Triphyllopteris Zone""",5
Sharpeiceras laticlavium,5
Neolobites medeninensis,5
Diplograptus,5
Semenoviceras litschkovi,5
Cadoceras elatmae,5
Shale above Grape Creek Coal,5
Bristolia n. sp1 zonule,5
P1a,5
Eccaparadoxides pinus,5
biceratopsinae n. gen 1. n. sp.2 occurrence zonule,5
Tn3c Conodont Zone,5
Kosmoceras (Zugokosmoceras) jason,5
Ctenopyge linnarssoni,5
Bed 6,5
Upper N20r,261
Ptychagnostus atavus,261
Bed no. 1,6
Bryograptus and Clonograptus,6
Uncertain,6
Acodus deltatus - Oneotodus costatus,6
NP14a3-NP14b,6
Zone à Plicatilis,6
Escamps and Montmartre levels,6
Cunningtoniceras inerme,6
Rhotomagense,6
Progracilis,6
MN 5a,6
UAZ6-7,6
instrenuus-kolobus,6
Ceratocaris scanica,6
A-E,6
Pa. rhenana,6
Cyrtograptus,6
Euhoplites meandrinus Zone,6
Monograptus spiralis,6
Bimmamatum,6
Pissotensis Zone,6
Monograptus scanicus,6
Saynoceras verrucosum,6
Pinacoceras metternichi,6
Reichelina changhsingensis,6
Juvavites beds,6
5,6
Hypophiceras triviale,6
Bigotina bivallata,6
Echinalosia maxwelli,6
Himavatites columbianus,6
Bathyurus mackenziensis?,6
Baltograptus deflexus,6
Poliellina-Laticephalus,6
obductum,6
Gondolella carinata,6
Anthracomya phillipsii,6
Ceratites enodis and Ceratites sublaevigatus,6
MP 7,6
Eoredlichia-Watingaspis,6
Parkinsonia subarietis,6
Dawson Tectonic,6
Hoploscaphites constrictus,6
Perneroceras delepinei,6
Tenuicostatum,6
P20,6
"D Coral-Brachiopod Zone, D3 Subzone",6
Ishmae,6
Nephrolenellus multinodus occurrence zonule (subunit 1),6
Eopachydiscus marcianus - Mortoniceras equidistans,6
Shamaraites rursiradiatus,6
Zone N. 17/18,6
Gevanites epigonus,6
Theridomyx major,6
Echinauris jisuensis,6
Archaeorthis,6
M. uniformis,6
Scaphites warreni,6
Bathyurus margareti,6
Shumardites,6
Lissochonetes,6
Rhaeticum or Crickmayi,6
Albertella - Kochaspis,6
NN6-7,6
"Peachella brevispina occurrence zone, subunit 1",6
murchisonae,6
MN10,6
Cyrtograptus lundgreni-Monograptus testis,6
Epigondolella serrulata,6
Shipingia gerbachmanni,6
Bostrychoceras polyplocum (Kg2),6
Upper Burlington Chert,6
Athyris vittata (brachiopod),6
Upper Gonioteuthis granulataquadrata - Middle Offaster pilula,6
Phytagnostus gibbus and the lowermost part of the Tomagnostus fissus Subzone of the Ptychagnostus atavus,6
MP11-MP13,6
Beedeina and Bartamella,6
Pseudofusulina concavutas,6
Ensensis,6
Unit 3,6
Mountonianum,6
Gnathodus antetexanus-Polygnathus lacinatus Conodont Zone,6
Conochitina tuberculata,6
Ozarkodina remscheidensis eosteinhornensis,6
Cedaria (Lower Cedaria subzone),6
N8-N9,6
liasicus,6
Wedekindellina dutkevichi-Fusulinella eopulchra,6
Sauzei,6
D Coral-Brachiopod Zone,6
Turborotalia cunialensis/Cribrohantkenina inflata,6
Acanthoceras bellense,6
Hectooceras kochi,6
Peltura minor,6
Echinalosia deari,6
Idiognathodus sinuosus,6
Haydenaspis parvatya,6
Stegerhynchus,6
Oxynotoceras oxynotum,6
Orthis striatula Zone,6
Leptocoelia infrequens,6
Parapopanceras asseretoi,6
Damesella-Yabeia,6
Badouxia canadensis,6
Sphaeroschwagerina vulgaris-S. fusiformis,6
Bed 3,6
Pachendoceras,6
Oulodus velicuspus,6
Manticoceras lysiolense,6
Jason Zone,6
? Nevadella,6
insita Fauna,6
uppermost trilobite zone E,6
Monograptus tauragensis,6
Choffaticeras segne - Thomasites rollandi,6
E1 - E2,6
Parafrechites sublaqueatus,6
Protosphyraena pernicosa,6
Conchidium alaskense,6
Mortoniceras (Mortoniceras) inflatum,6
CP14a,6
D2,6
Polygnathus hermiansatus,6
NP12 calcareous nannoplankton zone,6
NP21a,6
Kockelella ortus obsidata,6
Madagascariense,6
Isograptus victoriae maximus,6
Neocardioceras juddi,6
Bristolia anteros occurrence zonule subunit 2,6
Perriere level,6
Glossopleura to Bathyuriscus-Elrathina,6
Badulesia tenera,6
Between the Perriere and the La Debruge Levels,6
Colonograptuas praedeubeli - Colonograptus deubeli,6
Dunveganoceras problematicum,6
Stenotheca derpanoida,6
Auloacostephanus pseudomutabilis,7
Eostropheodonta,7
Dorsoplanites panderi,7
Morganense,7
Deltavjatia vjatkensis Assemblage,7
Globorotalia aragonensis - Globorotalia pentacamerata,7
Calcarata,7
Verrucosisporites polygonalis - Dictyotriletes emsiensis spore zone,7
St Capraise d'Eymet level,7
Pu1,7
auritus,7
Dicellograptus complanatus var. ornatus,7
ansatus-hermanni,7
Semicelatum,7
Alphelaspis,7
Siphonodella crenulata,7
Patina,7
Chapadmalalan,7
Unit 14,7
Belemnitella mucronata Zone,7
Linton Vertebrate beds,7
Vascoceras costatum,7
Crawfordsville crinoid beds,7
MN 4b,7
Aulacostephanus autissidorensis,7
Holcoptychites agrioensis,7
ovale,7
Wa-M,7
Epigondolella elongata,7
Tf 2 Zone,7
mulleri,7
Choffaticeras securiforme - Vascoceras harttii,7
Substeueroceras koeneni,7
posidonomya,7
Anetoceras arduennense,7
Bed number 3,7
MN 3,7
Adelograptus antiquus,7
Vergarensis and Bodenbenderi,7
Tb Zone,7
P8 - P9,7
Demirastrites pectinatus - Demirastrites triangulatus,7
Cynognathus Assemblage Zone Subzone C,7
Histiodella altifrons,7
Deshayesi,7
Baltoniodus aff. navis,7
Neosirenites pentastichus,7
Stephanoceras humpriesianum,7
Parabolina (Neoparabolina) frequens,7
MN6,7
orbignyi,7
Ophileta,7
Globigerina woodi connecta,7
MP 8–9,7
Kilianella roubaudiana,7
MN 15,7
MP 18-19,7
Brasilia bradfordensis Zone,7
Struszia dimitrovi,7
lower Epigondolella triangularis,7
bifrons to variabilis,7
Actinoceramus sulcatus,7
Corydolus andresi,7
Pseudofusulina fusiformis,7
Arthricocephalus-Changaspis,7
Fallotaspis- Nevadella,7
Ammonite zone Opalinum,7
Agnostus inexpectans,7
Beedeina acuelata,7
Prionocyclus germari,7
Parawocklumeria paradoxa,7
Phymatoceras toroense,7
Lissieu or Egerkingen Level,7
Lower hermanni,7
Iapetognathus fluctivagus,7
Subzone II-B,7
'molluscan units',7
Protopeltura praecursor,7
Unit 13,7
Shabaella,7
Notostylops,7
Zone à Eudoxus,7
Globorotalia esnehensis,7
between Perriere and La Debruge levels,7
Peachella iddingsi acme interval,7
Didymoceras awajiense,7
Aulacostephanus autissidorensis and Pectinatites elegans,7
Atavograptus atavus,7
Mesoendothyra izjumiana,7
sedgwickii,7
Cliffia lataegenae,7
Buchia crassicollis,7
Murchisonae and Bradfordensis,7
Cremnoceramus waltersdorfensis,7
IV Zone,7
Dimitobelus hectori,7
Williamsville A,7
Leioceras opalinum,7
Globorotalia rex,7
Dicranograptus caudatus,7
at least partly J,7
Hoplitoplacenticeras marroti,7
Inoceramus inkermanensis,7
Cancrinelloides,7
grandis,7
Saetograptus leintwardiensis,7
semiglaber,7
Platyclymenia annulata,7
P1,7
Corbinia apopsis,7
NM biozone,7
Hypagnostus parvifrons-Ptychagnostus punctuosus,7
MN 12,7
Buddhaites hagei,7
Lenotropites tardus,7
Acanthodiscus radiatus,7
p1a,7
upper P12 to P13,7
Camarotoechia,7
Edgecombeaspis belli,8
matutinum,8
Hellenites,8
Loopus primitivus,8
pseudoradiosa,8
Orthocera,8
Spathagnathodus steinhornensis/Ligonodina detorta-Icriodus postwoschmidti/woschmidti,8
Hypophiceras martini,8
Ludwigia murchisonae Zone,8
Olcostephanus (Olcostephanus) laticosta,8
sverdrupi,8
Echinalosia preovalis,8
Kashmiritidae beds,8
Marsupites Zone,8
Nathorstites mcconnelli,8
Taylori,8
Plectodina aculeata - Erismodus quadridactylus,8
Lissieu Level,8
Insignis,8
C. plummerae,8
Halorites macer,8
Euflemingites cirratus,8
Wasatchites tardus,8
Buchia okensis,8
Agnostus scrobicularis,8
Pachydiscus aff. P. subcompressus,8
Burlington Chert,8
Tawuia-Chuaria,8
Epigondolella quadrata,8
Ozarkodina excavata + Ozarkodina scanica Subzone of the Ozarkodina snajdri Zone,8
Badulesia granieri,8
Schmidtognathus hermanni,8
Streptognathodus wabaunsensis,8
Pseudocybele nasuta - Paralenorthis/Orthidiella,8
Shale above #6 Coal?,8
Scaphites hippocrepis,8
Kullingia,8
Saukia (Corbinia apopsis),8
Brooksina-Harpidium,8
Belemnella casimirovensis,8
Proceratoyge cryptica - Stigmatoa dilomas,8
Palmatolepis rhenana-Palmatolepis linguiformis,8
"Tf, 2",8
Nicklesia pulchella,8
Refugian,8
Tortodus kockelianus australis,8
Asaphus raniceps - Asaphus vicarius,8
Ringsteadia pseudocardata,8
Tumulites varians,8
Pterospathus amorphognathoides,8
Zone à Transversarium,8
Mammonal zone,8
Lamberti,8
Asteroceras stellare Zone,8
Pristiograptus tumescens,8
Streptorhynchus,8
Pachydiscus subcompressus,8
Inoceramus costaecus,8
Diplacanthgraptus spiniferus,8
Ozarkodina clavula,8
Aulacostephanus mutabilis,8
Liopeishania,8
Monograptus parultimus,8
Pseudorthotheca costata,8
Gradatus,8
Eustheria,8
Pseudononosaria obonica,8
Romaniceras kallesi,8
T. globotruncanoides,8
Simbirskites decheni,8
Santacruzodon,8
Shelly Zone 6,8
M and N?,8
j,8
O. sagitta sagitta,8
Gastrioceras subcrenatum,8
Indigirites tozeri,8
gracilis-coronatum,8
"Olenus, O. gibbosus subzone",8
Hysteroceras varicosum Zone,8
Streptognathodus fusus,8
Vascoceras cauvini interval zone,8
Anabarites-Circotheca,8
Profallotaspis jakutensis,8
Psiloceras erugatum,8
4a,8
Hupeidiscus-Sinodiscus,8
Cf-3,8
Triasina hantkeni,8
Rohillites rohilla,8
