v_highestBiostratigraphicZone,reps
"Minkina LF, Zone A",1
Everticyclammina virguliana,1
Lower Oolitic,1
Goniates greencastlensis,1
W. interspinosum ?,1
Stage F.1,1
Cadomites bremeri,1
Spiroplectammina,1
romani Zone,1
Macrocephalites semilaevis,1
Nauvoo Bed #14,1
kharaulakhensis,1
Lower Greensand,1
Presimoceras acanthicum,1
Upper Refugian,1
Kachpurites fulgens,1
planorbis,1
Olcostephanus (O.) atherstoni,1
Sabellidites,1
Pleydellia lotharingica,1
TC palynozone,1
jasoni,1
"Beattonoceras, Acanthoceras, Inoceramus dunveganensis",1
Uintacrinus westfalicus,1
Favositid - Pleurodictyum bed of Wanakah,1
Rassettia magna,1
"Devonian Stage, G.g.2",1
Idiognathodus sinuosis,1
in drift,1
MP 12–13,1
Aphanaia korkodonica,1
Member 5,1
"Tf, 3",1
micrornatus-newportensis spore zone,1
polymorphous,1
Manumiella druggii,1
Cardium pellati Zone,1
Subpulchellia oehlerti,1
Petasobairdia bidentata,1
Echioceras raricostatum,1
Nicomedites yohi,1
Malayites-Pseudocardioceras,1
Macrescens,1
Streptognathodus bellus,1
Prfallotaspis jakutensis,1
Shale 1c,1
jamieae to linguiformis,1
Priohybodus arambourgi,1
Cladiscites multilobatus,1
Unit 2,1
Trilobite - Lowest Paradoxides davidis beds,1
Gonioclymenia hoevelensis,1
Bed 20,1
Vavilovites meridialis,1
Ataxioceras hypselocyclum,1
Lesuerella,1
pseuaocordata,1
"Little Rock Section, Bed No. 4",1
Erycitoides howelli,1
P. rhenana,1
Polygnathus asymmetricus,1
Spinulitheca rotunda-Anabarella plana,1
Emileia sauzei,1
Uintacrinus socialis,1
Brachiopod - Spirifer bed at top of formation,1
Zone à Fallauxi,1
Bed No. 8,1
Redlichia meitanensis - Palaeolenus lantenoisi,1
Chonetes,1
Lepidocyclina-Pseudophragmina,1
MN2b,1
communis carina,1
Hoplites,1
Tragophylloceras ibex,1
Protrachyceras seimkanense,1
member 2,1
"Bed 1 of Weller, 1900",1
Paraclimacograptus manitoulinensis-Mesograptus triangulatus,1
"Tf, 1 Zone, 1",1
Drakeoceras drakei,1
Kelloway Rock,1
Unit 1,1
Thouarsense,1
Gibbospirifer,1
Bathyuriscus–Ptychoparella,1
Jensen,1
Dicynodon or Lystrosaurus Assemblage,1
Hanieloceras,1
pulcher/robustus,1
Chalk Marl,1
Sabaudiella riverorum,1
Ozarkodina scanica Subzone of the Ozarkodina snajdri Zone,1
Bispathodus stabilis stabilis,1
Lithacosphinctes aff. janus,1
Level A3.3,1
Sporadoceras orbiculare,1
Deshayesites,1
N4 - N5,1
Zone à Mammilatum,1
NP19/20,1
Ochetoceras canaliculatum Zone,1
Apectodinium hyperacanthum (Dinoflagellate cyst zone),1
Metoicoceras gourdoni,1
Uintacrinus socialis Zone,1
Budaiceras hyatti,1
#9 Coal,1
Pteraspis crouchi,1
Bonnia- Olenellus,1
Frechites bisulcatus,1
Triassospathodus homeri,1
Adetognathus lautus,1
Unit 10,1
Inconstans Zone,1
Glossopleara,1
Stoliczkaia (Faraudiella) blancheti,1
Shale above Herrin (No. 6) Coal,1
Bryozoan - top of the Rhinidictya bed,1
T. miqueli,1
Siemens,1
6b,1
LL palynozone,1
Nathorstites mclearni,1
Rotalia cushmani,1
6a,1
Idiognathodus sagittalis,1
Hadrognathus staurognathoides,1
Submortoniceras tequesqiutense,1
Naviculopsis constricta,1
Siemensi,1
Oxytoma-Mytilus,1
Nostoceras rugosum,1
Pseudolissoceras zitteli,1
Spergen Limestone,1
D1390,1
Phosphatic nodule,1
Bonnia-Olenllus,1
Rusophycus parallelum,1
Amaltheus viligaensis,1
Declinognathodus noduliferus,1
Neochetoceras mucronatum,1
Cedaria prolifica,1
Baculites sp. (weakly ribbed)-Baculites obtusus,1
member 4,1
griestoniensis-sakmaricus,1
Trilobite Zone H,1
Porocyathus squamosus - Botomocyathus zelenovi,1
Streptognathodus trimulus,1
Globigerina daubjergensis,1
eudoxus,1
Cordatum Zone,1
Nowakia barrandei - Nowakia elegans,1
Upper Red,1
Kotetishvilia nicklesi,1
A. superbus - A. ordovicius,1
Dunbarella level,1
Paraspiticeras groeberi,1
Zone à Bifurcatus ; Sous-zone à Stenocycloides,1
Yunnanaspis-Yiliangellau,1
Unterkalk,1
Ambites lilangensis,1
Bloody Run Zone,1
Baculites sp. (smooth) - Baculites perplexus,1
Lycopodiopsis derbyi,1
B2,1
Danville coal,1
Cymaclymenia goniofera,1
NN 6 Zone,1
Bed 11,1
Ar3/4-He1,1
Sweetognathus barskovi,1
CP10-CP12A,1
Aulacostephanus autissidorensis or Aulacostephanus euxodus,1
Megistaspis armata,1
Bed 16,1
Propinquans,1
Perisphinctes cautisnigrae,1
Sowerbyi,1
H + I (undifferentiated),1
Batesville Sandstone,1
Rasenia cymodoce-Aulacostephanus euxodus,1
Anceps,1
C. turneri,1
Bed No. 5,1
E. foliaceus,1
D3,1
Jamesoni,1
P. varcus - K. disparilis,1
Ozarkodina sagitta rhenana Subzone 3,1
Homolsomites packardi,1
Palmatolepis hassi Conodont Zone,1
Wagnericeras arbustigerum,1
Pa. postera to Pa. expansa,1
"Lower Burlington, White Chert",1
Bed No. 20 (quarry),1
Devonian Stage F.f.2,1
Illanurus priscus biozone,1
Coroniceras lyra Zones,1
Ptychagnostus atavus / Euagnostus opimus,1
Upper Medinan,1
Scrinodinium crystallinum,1
Subfengshanites multiformis,1
Doushantuo,1
Stoliczkaia dispar Zone,1
Transitans,1
Gowericeras subitum,1
Semicostatus,1
Faunal Zone D,1
Zone à Ibex ; Sous-zone à Valdani,1
"Honey Creek, Bed # 7",1
Tropites welleri,1
LaSalle,1
Bed 2 (middle),1
